index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
236;Islas Baleares;flat;studio;40000.0;20.0;0;8.0;39.5563968;2.6086966
616;Islas Baleares;flat;studio;50000.0;26.0;0;12.0;39.5526224;2.6098784
640;Islas Baleares;flat;studio;75000.0;26.0;0;5.0;38.965438;1.2942636
742;Islas Baleares;flat;studio;50000.0;28.0;0;6.0;39.5263479;2.5422849
745;Islas Baleares;flat;studio;49875.0;28.0;0;3.0;39.5205178;2.4665247
784;Islas Baleares;flat;studio;102260.0;29.0;0;4.0;39.5376996;2.5921078
828;Islas Baleares;flat;studio;90000.0;30.0;0;3.0;39.5541951;2.6213793
841;Islas Baleares;flat;studio;43000.0;30.0;0;9.0;39.5529363;2.61262
842;Islas Baleares;flat;studio;80000.0;30.0;0;12.0;39.5557515;2.6079053
904;Islas Baleares;flat;studio;112000.0;30.0;0;6.0;39.5694918;2.6509167
921;Islas Baleares;flat;studio;112000.0;30.0;0;6.0;39.5677248;2.648599
922;Islas Baleares;flat;studio;60600.0;30.0;0;12.0;39.5561077;2.6125492
957;Islas Baleares;flat;studio;34000.0;30.0;0;3.0;39.4655732;3.2805261
1035;Islas Baleares;flat;studio;78000.0;30.0;0;6.0;39.5627748;2.6281921
1155;Islas Baleares;flat;studio;112000.0;31.0;0;6.0;39.5706237;2.6485989
1213;Islas Baleares;flat;studio;42760.0;32.0;0;10.0;39.5894102;3.2168087
1222;Islas Baleares;flat;studio;78500.0;32.0;0;6.0;39.5331267;2.5665496
1238;Islas Baleares;flat;studio;57000.0;32.0;0;7.0;39.5833362;3.3221506
1265;Islas Baleares;flat;studio;46000.0;32.0;0;7.0;39.553333;2.6140789
1293;Islas Baleares;flat;studio;100000.0;33.0;0;6.0;39.5049445;2.4708422
1294;Islas Baleares;flat;studio;87000.0;33.0;0;7.0;39.5047445;2.4695422
1346;Islas Baleares;flat;studio;62260.0;33.0;0;9.0;39.8309146;3.1064474
1362;Islas Baleares;flat;studio;112000.0;33.0;0;6.0;39.5680918;2.6529167
1407;Islas Baleares;flat;studio;60000.0;34.0;0;5.0;39.5024445;2.4695422
1408;Islas Baleares;flat;studio;80000.0;34.0;0;4.0;39.5033445;2.4695422
1411;Islas Baleares;flat;studio;64000.0;34.0;0;5.0;39.8370246;3.1162821
1447;Islas Baleares;flat;studio;180000.0;34.0;0;4.0;38.9444132;1.2348265
1454;Islas Baleares;flat;studio;78000.0;34.0;0;5.0;39.5133479;2.4793976
1456;Islas Baleares;flat;studio;58000.0;34.0;0;9.0;39.829525;3.1084286
1486;Islas Baleares;flat;studio;126000.0;34.0;0;5.0;39.5355781;2.7223917
1512;Islas Baleares;flat;studio;75000.0;35.0;0;5.0;39.5233473;2.4771361
1513;Islas Baleares;flat;studio;100000.0;35.0;0;5.0;39.5033445;2.4735422
1526;Islas Baleares;flat;studio;44000.0;35.0;0;7.0;39.8379935;3.1429812
1691;Islas Baleares;flat;studio;61000.0;35.0;0;3.0;39.5108995;2.5376406
1815;Islas Baleares;flat;studio;63000.0;35.0;0;5.0;39.4617184;3.2759858
