index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32640;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5861921;2.6736507
32652;Islas Baleares;garage;Vacio;30000.0;0.0;0;0.0;39.5750551;2.6435449
32725;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.567039;2.5022169
32759;Islas Baleares;garage;Vacio;18000.0;0.0;0;0.0;39.5715076;2.648366
32761;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5934327;2.6564318
32769;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5934327;2.6575318
32827;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5929327;2.6550318
32843;Islas Baleares;garage;Vacio;16000.0;0.0;0;0.0;39.5700076;2.647966
32849;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5934327;2.6557318
32852;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5924327;2.6590318
32868;Islas Baleares;garage;Vacio;18000.0;0.0;0;0.0;39.5677076;2.647966
32874;Islas Baleares;garage;Vacio;18000.0;0.0;0;0.0;39.5692076;2.647966
32901;Islas Baleares;garage;Vacio;22000.0;0.0;0;0.0;39.5679076;2.647966
32912;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5928995;2.6564906
32947;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5873617;2.3505784
32964;Islas Baleares;garage;Vacio;4000.0;0.0;0;2.0;39.5089367;2.4758841
32967;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5873617;2.3488784
32993;Islas Baleares;garage;Vacio;6000.0;0.0;0;0.0;39.7007283;3.4375609
33024;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.563239;2.5044169
33027;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5873617;2.3482784
33028;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5869617;2.3506784
33029;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5871617;2.3466784
33039;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5873617;2.3480784
33060;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.563339;2.5022169
33069;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.567239;2.5054169
33082;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.567239;2.5043169
33116;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.564839;2.5062169
33117;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.566839;2.5062169
33118;Islas Baleares;garage;Vacio;4000.0;0.0;0;0.0;39.563339;2.5022169
33121;Islas Baleares;garage;Vacio;18000.0;0.0;0;0.0;39.5675076;2.650066
33130;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5845017;2.6759184
33151;Islas Baleares;garage;Vacio;5000.0;0.0;0;0.0;39.5862017;2.6766184
33177;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5871617;2.3466784
33178;Islas Baleares;garage;Vacio;8000.0;0.0;0;0.0;39.5833617;2.3497784
33222;Islas Baleares;garage;Vacio;9000.0;0.0;0;0.0;39.5904327;2.6550318
