index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
21041;Islas Baleares;house;terraced house;65000.0;200.0;0;0.0;39.7659167;3.0281094
67674;Islas Baleares;house;terraced house;165000.0;50.0;1;0.0;39.5278228;2.4714598
69793;Islas Baleares;house;terraced house;159000.0;51.0;1;0.0;39.5286529;2.4687627
69849;Islas Baleares;house;terraced house;135000.0;51.0;1;0.0;39.5287228;2.4695598
75264;Islas Baleares;house;terraced house;160000.0;60.0;1;2.0;38.9428001;1.2397546
80049;Islas Baleares;house;terraced house;123000.0;75.0;1;0.0;39.077582;1.5127228
80151;Islas Baleares;house;terraced house;115000.0;75.0;1;0.0;39.0698602;1.4075829
81444;Islas Baleares;house;terraced house;270000.0;90.0;1;0.0;39.5747303;2.4216078
82885;Islas Baleares;house;terraced house;1067200.0;272.0;1;0.0;39.4923046;2.469914
83583;Islas Baleares;house;terraced house;192000.0;40.0;2;0.0;38.9064791;1.4390616
85192;Islas Baleares;house;terraced house;120000.0;50.0;2;0.0;39.9982092;3.8413961
85291;Islas Baleares;house;terraced house;157500.0;50.0;2;0.0;39.9276502;3.8315192
86765;Islas Baleares;house;terraced house;159000.0;52.0;2;0.0;39.9095481;4.2898862
88239;Islas Baleares;house;terraced house;150000.0;55.0;2;0.0;40.0017092;3.8377961
99638;Islas Baleares;house;terraced house;150000.0;64.0;2;0.0;39.9272632;4.1381543
99639;Islas Baleares;house;terraced house;140000.0;64.0;2;0.0;39.8483559;4.255777
100663;Islas Baleares;house;terraced house;111000.0;65.0;2;0.0;39.9977092;3.8401961
103263;Islas Baleares;house;terraced house;115000.0;65.0;2;0.0;39.4143878;2.7425377
109388;Islas Baleares;house;terraced house;220000.0;70.0;2;0.0;39.4968971;2.5024545
109650;Islas Baleares;house;terraced house;140000.0;70.0;2;0.0;40.0003092;3.8373961
116093;Islas Baleares;house;terraced house;128000.0;72.0;2;0.0;40.0031101;3.8099429
117329;Islas Baleares;house;terraced house;128000.0;73.0;2;3.0;39.9974;3.8409
120062;Islas Baleares;house;terraced house;265000.0;75.0;2;3.0;39.3587414;2.8281149
120330;Islas Baleares;house;terraced house;169000.0;75.0;2;0.0;39.5803801;3.3628117
126193;Islas Baleares;house;terraced house;80000.0;78.0;2;3.0;39.8873;4.25962
136008;Islas Baleares;house;terraced house;170000.0;83.0;2;0.0;38.9652362;1.2871847
137338;Islas Baleares;house;terraced house;215000.0;84.0;2;0.0;39.6274578;2.5272446
138016;Islas Baleares;house;terraced house;199000.0;85.0;2;0.0;39.8365262;4.2991002
