index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32474;Islas Baleares;land;Vacio;225000.0;0.0;0;0.0;39.608533;3.341787
32475;Islas Baleares;land;Vacio;450000.0;0.0;0;0.0;39.520468;3.3114952
32515;Islas Baleares;land;Vacio;120000.0;0.0;0;0.0;39.8935091;4.2838813
32516;Islas Baleares;land;Vacio;175000.0;0.0;0;0.0;39.5671249;2.4916637
33360;Islas Baleares;land;Vacio;175000.0;0.0;0;0.0;39.6126353;2.6861945
41505;Islas Baleares;land;Vacio;349000.0;0.0;0;0.0;39.495689;2.535433
41506;Islas Baleares;land;Vacio;189000.0;0.0;0;0.0;39.6440665;2.8987973
41507;Islas Baleares;land;Vacio;299000.0;0.0;0;0.0;39.569235;2.6788967
41508;Islas Baleares;land;Vacio;950000.0;0.0;0;0.0;39.4532967;2.746957
41509;Islas Baleares;land;Vacio;399000.0;0.0;0;0.0;39.5501743;2.3799605
41510;Islas Baleares;land;Vacio;1650000.0;0.0;0;0.0;39.5585421;2.7560701
41511;Islas Baleares;land;Vacio;200000.0;0.0;0;0.0;39.4549967;2.746957
41512;Islas Baleares;land;Vacio;300000.0;0.0;0;0.0;39.4520328;2.7524831
41513;Islas Baleares;land;Vacio;750000.0;0.0;0;0.0;39.5767022;2.4679829
41514;Islas Baleares;land;Vacio;636300.0;0.0;0;0.0;39.5831056;2.3510397
44124;Islas Baleares;land;Vacio;450000.0;0.0;0;0.0;39.0075453;1.3492657
44125;Islas Baleares;land;Vacio;515000.0;0.0;0;0.0;38.981733;1.514667
44126;Islas Baleares;land;Vacio;990000.0;0.0;0;0.0;38.9188865;1.4544372
44334;Islas Baleares;land;Vacio;248000.0;0.0;0;0.0;39.6753813;2.8274416
44335;Islas Baleares;land;Vacio;400000.0;0.0;0;0.0;39.5610514;3.2076488
44336;Islas Baleares;land;Vacio;450000.0;0.0;0;0.0;39.5645299;2.6017149
44337;Islas Baleares;land;Vacio;145000.0;0.0;0;0.0;39.4924015;2.4946647
44439;Islas Baleares;land;Vacio;270000.0;0.0;0;0.0;39.5076009;2.4608267
44440;Islas Baleares;land;Vacio;1300000.0;0.0;0;0.0;39.694951;2.69872
44629;Islas Baleares;land;Vacio;604000.0;0.0;0;0.0;39.9337839;4.1517684
44694;Islas Baleares;land;Vacio;80000.0;0.0;0;0.0;39.3412147;3.0614171
44695;Islas Baleares;land;Vacio;108000.0;0.0;0;0.0;39.3384533;3.05303
44696;Islas Baleares;land;Vacio;235000.0;0.0;0;0.0;39.3382533;3.05503
45015;Islas Baleares;land;Vacio;500000.0;0.0;0;0.0;39.5933734;2.5754501
45016;Islas Baleares;land;Vacio;740000.0;0.0;0;0.0;39.5686819;2.6303729
45075;Islas Baleares;land;Vacio;195000.0;0.0;0;0.0;39.9085269;3.0793646
45076;Islas Baleares;land;Vacio;675000.0;0.0;0;0.0;39.8540088;3.121058
45077;Islas Baleares;land;Vacio;200000.0;0.0;0;0.0;39.8624932;3.1524463
45078;Islas Baleares;land;Vacio;180000.0;0.0;0;0.0;39.8594073;3.1540251
45079;Islas Baleares;land;Vacio;195000.0;0.0;0;0.0;39.8549088;3.119058
45159;Islas Baleares;land;Vacio;105000.0;0.0;0;0.0;39.3214995;3.1371225
45160;Islas Baleares;land;Vacio;1000000.0;0.0;0;0.0;39.5395015;2.7075326
45161;Islas Baleares;land;Vacio;240000.0;0.0;0;0.0;39.3372035;3.0465601
45162;Islas Baleares;land;Vacio;190000.0;0.0;0;0.0;39.3221359;3.1405126
45163;Islas Baleares;land;Vacio;120000.0;0.0;0;0.0;39.3202599;3.1332928
45166;Islas Baleares;land;Vacio;160000.0;0.0;0;0.0;39.3205052;3.1421026
45167;Islas Baleares;land;Vacio;50000.0;0.0;0;0.0;39.340905;3.0941275
45168;Islas Baleares;land;Vacio;100000.0;0.0;0;0.0;39.3565359;3.1249431
45169;Islas Baleares;land;Vacio;700000.0;0.0;0;0.0;39.3216773;3.1421169
45173;Islas Baleares;land;Vacio;191000.0;0.0;0;0.0;39.4147519;2.9643021
45174;Islas Baleares;land;Vacio;150000.0;0.0;0;0.0;39.4041432;3.0256993
45176;Islas Baleares;land;Vacio;180000.0;0.0;0;0.0;39.4627675;3.06034
45177;Islas Baleares;land;Vacio;185000.0;0.0;0;0.0;39.4123928;2.9851634
45178;Islas Baleares;land;Vacio;220000.0;0.0;0;0.0;39.4646999;2.9304281
45179;Islas Baleares;land;Vacio;106500.0;0.0;0;0.0;39.432279;3.0169402
45561;Islas Baleares;land;Vacio;1260000.0;0.0;0;0.0;38.9785871;1.3039714
45562;Islas Baleares;land;Vacio;395000.0;0.0;0;0.0;38.9247918;1.4564078
45563;Islas Baleares;land;Vacio;650000.0;0.0;0;0.0;38.9247918;1.4576078
45564;Islas Baleares;land;Vacio;420000.0;0.0;0;0.0;38.9231918;1.4559078
45565;Islas Baleares;land;Vacio;355000.0;0.0;0;0.0;38.9218918;1.4599078
45566;Islas Baleares;land;Vacio;600000.0;0.0;0;0.0;38.9920364;1.525717
45576;Islas Baleares;land;Vacio;150000.0;0.0;0;0.0;39.581107;2.6654453
45577;Islas Baleares;land;Vacio;135000.0;0.0;0;0.0;39.6662582;2.6695733
45578;Islas Baleares;land;Vacio;130000.0;0.0;0;0.0;39.6528576;2.9959159
45579;Islas Baleares;land;Vacio;360000.0;0.0;0;0.0;39.5633483;2.5021683
45580;Islas Baleares;land;Vacio;90000.0;0.0;0;2.0;39.698684;2.701498
45581;Islas Baleares;land;Vacio;135000.0;0.0;0;2.0;39.4939049;2.4969756
45582;Islas Baleares;land;Vacio;135000.0;0.0;0;0.0;39.6664582;2.6709733
45694;Islas Baleares;land;Vacio;770000.0;0.0;0;0.0;39.8865855;4.2970135
45695;Islas Baleares;land;Vacio;215000.0;0.0;0;0.0;39.8906247;4.2615544
45696;Islas Baleares;land;Vacio;255000.0;0.0;0;0.0;39.9473748;4.0484041
45697;Islas Baleares;land;Vacio;95000.0;0.0;0;0.0;40.0295431;4.1921243
45698;Islas Baleares;land;Vacio;290000.0;0.0;0;0.0;39.8951403;4.2791388
45699;Islas Baleares;land;Vacio;400000.0;0.0;0;0.0;39.8936677;4.2945451
45700;Islas Baleares;land;Vacio;221000.0;0.0;0;0.0;39.9917337;4.0928066
45702;Islas Baleares;land;Vacio;200000.0;0.0;0;0.0;39.9312632;4.1395543
45769;Islas Baleares;land;Vacio;140000.0;0.0;0;0.0;39.6199714;2.7517623
45770;Islas Baleares;land;Vacio;140000.0;0.0;0;0.0;39.6155409;2.7728971
45771;Islas Baleares;land;Vacio;120000.0;0.0;0;0.0;39.5805334;2.7185382
45772;Islas Baleares;land;Vacio;140000.0;0.0;0;0.0;39.650749;2.7753737
45800;Islas Baleares;land;Vacio;450000.0;0.0;0;0.0;39.5214917;3.3113624
45801;Islas Baleares;land;Vacio;79000.0;0.0;0;0.0;39.5432726;2.7716824
45802;Islas Baleares;land;Vacio;599000.0;0.0;0;0.0;39.5896089;2.654157
45807;Islas Baleares;land;Vacio;45000.0;0.0;0;0.0;39.6241597;2.8286324
45808;Islas Baleares;land;Vacio;149000.0;0.0;0;0.0;39.5549493;2.8910823
45809;Islas Baleares;land;Vacio;249000.0;0.0;0;0.0;39.5691303;2.6722954
45810;Islas Baleares;land;Vacio;145000.0;0.0;0;0.0;39.3638448;2.9166553
45905;Islas Baleares;land;Vacio;1500000.0;0.0;0;0.0;38.9717887;1.5221639
45988;Islas Baleares;land;Vacio;25000.0;0.0;0;0.0;39.608882;2.6310711
45989;Islas Baleares;land;Vacio;135000.0;0.0;0;0.0;39.5623804;2.6034673
46034;Islas Baleares;land;Vacio;220000.0;0.0;0;0.0;39.6214656;2.8397065
46083;Islas Baleares;land;Vacio;250000.0;0.0;0;0.0;39.7473835;2.6485592
46120;Islas Baleares;land;Vacio;499000.0;0.0;0;0.0;39.8661158;3.1479736
46121;Islas Baleares;land;Vacio;175000.0;0.0;0;0.0;39.7647855;3.1212002
46125;Islas Baleares;land;Vacio;367500.0;0.0;0;0.0;39.9852931;3.8334496
46663;Islas Baleares;land;Vacio;222705.0;0.0;0;0.0;38.9248325;1.2876866
47044;Islas Baleares;land;Vacio;1750000.0;0.0;0;0.0;38.9185221;1.4747195
47083;Islas Baleares;land;Vacio;135000.0;0.0;0;0.0;38.99364;1.58039
51454;Islas Baleares;land;Vacio;199000.0;0.0;0;0.0;39.6259355;2.5269243
51455;Islas Baleares;land;Vacio;230000.0;0.0;0;0.0;39.4985983;2.5320046
51584;Islas Baleares;land;Vacio;1500000.0;0.0;0;0.0;39.7086202;2.6240717
51585;Islas Baleares;land;Vacio;1290000.0;0.0;0;12.0;39.5860651;2.5938236
51586;Islas Baleares;land;Vacio;420000.0;0.0;0;0.0;39.5656886;2.8961658
51587;Islas Baleares;land;Vacio;650000.0;0.0;0;0.0;39.5846563;2.5877908
52235;Islas Baleares;land;Vacio;135000.0;0.0;0;0.0;39.5951426;2.7113594
52236;Islas Baleares;land;Vacio;79000.0;0.0;0;2.0;39.539996;2.7755949
52237;Islas Baleares;land;Vacio;59000.0;0.0;0;0.0;39.540496;2.7724951
52238;Islas Baleares;land;Vacio;360000.0;0.0;0;0.0;39.5850917;2.6661357
52303;Islas Baleares;land;Vacio;1300000.0;0.0;0;0.0;38.9740469;1.5220781
52304;Islas Baleares;land;Vacio;525000.0;0.0;0;0.0;39.0329811;1.5641257
52305;Islas Baleares;land;Vacio;1150000.0;0.0;0;0.0;38.9827644;1.5100193
52306;Islas Baleares;land;Vacio;199000.0;0.0;0;0.0;38.9821737;1.5281976
52689;Islas Baleares;land;Vacio;180000.0;0.0;0;0.0;39.3492554;3.1247347
52690;Islas Baleares;land;Vacio;95000.0;0.0;0;0.0;39.4667895;2.8940178
52691;Islas Baleares;land;Vacio;1500000.0;0.0;0;0.0;39.4468286;2.7497595
52692;Islas Baleares;land;Vacio;80000.0;0.0;0;0.0;39.3670087;2.8566433
52693;Islas Baleares;land;Vacio;150000.0;0.0;0;0.0;39.6129273;2.6992688
52694;Islas Baleares;land;Vacio;599000.0;0.0;0;0.0;39.3654099;2.8568887
54293;Islas Baleares;land;Vacio;480000.0;0.0;0;0.0;39.52697;3.32071
54552;Islas Baleares;land;Vacio;800000.0;0.0;0;0.0;39.5214718;2.4850388
54553;Islas Baleares;land;Vacio;750000.0;0.0;0;0.0;39.5677399;2.4237049
54611;Islas Baleares;land;Vacio;168000.0;0.0;0;0.0;39.3679006;3.0848457
54612;Islas Baleares;land;Vacio;175000.0;0.0;0;0.0;39.3393785;3.0476208
54613;Islas Baleares;land;Vacio;80000.0;0.0;0;0.0;39.3431902;3.0599739
54614;Islas Baleares;land;Vacio;325000.0;0.0;0;0.0;39.3184836;3.0048543
54615;Islas Baleares;land;Vacio;190000.0;0.0;0;0.0;39.3392035;3.0450601
54616;Islas Baleares;land;Vacio;128000.0;0.0;0;0.0;39.3362035;3.0485601
54730;Islas Baleares;land;Vacio;595000.0;0.0;0;0.0;38.982933;1.514667
54749;Islas Baleares;land;Vacio;170000.0;0.0;0;0.0;38.987793;1.5308293
54859;Islas Baleares;land;Vacio;19500.0;0.0;0;2.0;39.5151798;3.0258266
54861;Islas Baleares;land;Vacio;14000.0;0.0;0;0.0;39.553963;2.9029549
54862;Islas Baleares;land;Vacio;315000.0;0.0;0;0.0;39.5735841;2.6833619
54885;Islas Baleares;land;Vacio;550000.0;0.0;0;0.0;39.5898022;2.5998012
54886;Islas Baleares;land;Vacio;350000.0;0.0;0;0.0;39.7118053;2.6245616
54887;Islas Baleares;land;Vacio;900000.0;0.0;0;0.0;39.5467653;2.5924952
55021;Islas Baleares;land;Vacio;480000.0;0.0;0;0.0;39.7091268;2.8025176
55369;Islas Baleares;land;Vacio;399000.0;0.0;0;0.0;39.7460322;2.6429902
55370;Islas Baleares;land;Vacio;210000.0;0.0;0;0.0;39.615251;2.6877529
55522;Islas Baleares;land;Vacio;133000.0;0.0;0;0.0;39.6406506;3.0080151
55523;Islas Baleares;land;Vacio;221000.0;0.0;0;0.0;39.4805745;2.4803084
55528;Islas Baleares;land;Vacio;109000.0;0.0;0;0.0;39.6094683;2.671768
55555;Islas Baleares;land;Vacio;75000.0;0.0;0;2.0;39.5727109;3.2111245
55556;Islas Baleares;land;Vacio;210000.0;0.0;0;2.0;39.5207321;3.3025537
55557;Islas Baleares;land;Vacio;68000.0;0.0;0;2.0;39.5717174;3.2100318
55558;Islas Baleares;land;Vacio;120000.0;0.0;0;0.0;39.5247399;3.3205301
55559;Islas Baleares;land;Vacio;98000.0;0.0;0;0.0;39.574731;3.1909717
55560;Islas Baleares;land;Vacio;115000.0;0.0;0;0.0;39.5666891;3.0851923
55561;Islas Baleares;land;Vacio;97000.0;0.0;0;0.0;39.5587553;3.1693548
55762;Islas Baleares;land;Vacio;500000.0;0.0;0;0.0;38.9808989;1.4580895
55763;Islas Baleares;land;Vacio;1260000.0;0.0;0;0.0;39.0046782;1.5723538
55764;Islas Baleares;land;Vacio;1500000.0;0.0;0;0.0;38.961411;1.2211561
55765;Islas Baleares;land;Vacio;430000.0;0.0;0;0.0;38.97305;1.52986
55766;Islas Baleares;land;Vacio;380000.0;0.0;0;0.0;38.9228325;1.2885866
55767;Islas Baleares;land;Vacio;500000.0;0.0;0;0.0;38.881036;1.2674717
55768;Islas Baleares;land;Vacio;1100000.0;0.0;0;0.0;38.9799621;1.4996767
55769;Islas Baleares;land;Vacio;375000.0;0.0;0;0.0;39.075582;1.5132228
