index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
12577;La Rioja;flat;Vacio;93000.0;102.0;0;6.0;42.468231;-2.4587243
60982;La Rioja;flat;Vacio;28000.0;30.0;1;2.0;42.3241247;-3.0111815
61665;La Rioja;flat;Vacio;57800.0;35.0;1;2.0;42.5764182;-2.8505546
62757;La Rioja;flat;Vacio;55000.0;40.0;1;3.0;42.4806499;-2.8876763
63191;La Rioja;flat;Vacio;100000.0;40.0;1;6.0;42.493221;-2.520269
63529;La Rioja;flat;Vacio;60000.0;41.0;1;2.0;42.1934231;-2.6976856
64214;La Rioja;flat;Vacio;7500.0;43.0;1;4.0;42.3007298;-1.9581427
64465;La Rioja;flat;Vacio;39663.0;44.0;1;3.0;42.4251404;-2.4180048
64582;La Rioja;flat;Vacio;90951.0;44.33;1;0.0;42.418553;-2.4602288
64674;La Rioja;flat;Vacio;69000.0;45.0;1;4.0;42.3271252;-3.0121597
64675;La Rioja;flat;Vacio;61000.0;45.0;1;3.0;42.3291655;-3.0157029
64676;La Rioja;flat;Vacio;63000.0;45.0;1;2.0;42.3265252;-3.0121597
64677;La Rioja;flat;Vacio;53000.0;45.0;1;3.0;42.3281999;-3.0149857
64678;La Rioja;flat;Vacio;79000.0;45.0;1;3.0;42.3242353;-3.0116628
64807;La Rioja;flat;Vacio;118000.0;45.0;1;7.0;42.4270244;-2.4636379
64993;La Rioja;flat;Vacio;57000.0;45.0;1;4.0;42.5486693;-2.9495977
65039;La Rioja;flat;Vacio;82800.0;45.0;1;2.0;42.4589743;-2.4366583
65258;La Rioja;flat;Vacio;75000.0;45.0;1;6.0;42.4665001;-2.4474119
65771;La Rioja;flat;Vacio;115000.0;45.0;1;2.0;42.321595;-3.0157483
65852;La Rioja;flat;Vacio;69000.0;45.0;1;4.0;42.3281999;-3.0118857
66147;La Rioja;flat;Vacio;55000.0;46.0;1;6.0;42.4338982;-2.4648986
66480;La Rioja;flat;Vacio;85000.0;47.0;1;7.0;42.4581127;-2.4691914
67172;La Rioja;flat;Vacio;46000.0;49.0;1;8.0;42.5781163;-2.8439707
67636;La Rioja;flat;Vacio;52000.0;50.0;1;2.0;42.4035993;-2.4359001
68590;La Rioja;flat;Vacio;65000.0;50.0;1;7.0;42.4622406;-2.4513468
69532;La Rioja;flat;Vacio;40000.0;50.0;1;3.0;42.4702768;-2.4427674
69620;La Rioja;flat;Vacio;85000.0;51.0;1;2.0;42.3317999;-3.0114857
69997;La Rioja;flat;Vacio;57000.0;52.0;1;4.0;42.4036993;-2.4399001
69998;La Rioja;flat;Vacio;52000.0;52.0;1;2.0;42.4073993;-2.4365001
69999;La Rioja;flat;Vacio;55000.0;52.0;1;3.0;42.4058993;-2.4359001
70333;La Rioja;flat;Vacio;85000.0;52.0;1;2.0;42.3690733;-2.5471517
70354;La Rioja;flat;Vacio;60900.0;52.0;1;2.0;42.4353896;-2.4586232
70355;La Rioja;flat;Vacio;58300.0;52.0;1;3.0;42.4353896;-2.4586232
70505;La Rioja;flat;Vacio;26500.0;53.0;1;2.0;42.434044;-2.252487
70907;La Rioja;flat;Vacio;57000.0;54.0;1;3.0;42.4065993;-2.4399001
70908;La Rioja;flat;Vacio;64000.0;54.0;1;5.0;42.4033993;-2.4360001
71002;La Rioja;flat;Vacio;155000.0;54.0;1;5.0;42.4652011;-2.445553
71034;La Rioja;flat;Vacio;105000.0;54.0;1;2.0;42.3577;-2.54652
71153;La Rioja;flat;Vacio;130000.0;54.0;1;3.0;42.4603889;-2.4474928
71406;La Rioja;flat;Vacio;27900.0;55.0;1;2.0;42.434044;-2.252487
71981;La Rioja;flat;Vacio;89000.0;55.0;1;4.0;42.4558489;-2.4378441
72061;La Rioja;flat;Vacio;55000.0;55.0;1;4.0;42.4358982;-2.4629986
72925;La Rioja;flat;Vacio;72000.0;56.0;1;8.0;42.4610925;-2.4493245
72975;La Rioja;flat;Vacio;77800.0;56.0;1;2.0;42.43828;-2.45934
73414;La Rioja;flat;Vacio;61990.0;57.0;1;2.0;42.4246007;-2.4172143
73518;La Rioja;flat;Vacio;29100.0;58.0;1;2.0;42.434044;-2.252487
73541;La Rioja;flat;Vacio;58000.0;58.0;1;2.0;42.4057993;-2.4359001
73542;La Rioja;flat;Vacio;63000.0;58.0;1;3.0;42.4057993;-2.4359001
73628;La Rioja;flat;Vacio;45900.0;58.0;1;0.0;42.3362399;-2.8558986
73693;La Rioja;flat;Vacio;57500.0;58.0;1;2.0;42.5596519;-2.7565699
74054;La Rioja;flat;Vacio;120000.0;59.0;1;2.0;42.324019;-3.01328
74106;La Rioja;flat;Vacio;35000.0;59.0;1;2.0;42.5441432;-2.783877
74332;La Rioja;flat;Vacio;59000.0;60.0;1;2.0;42.4058993;-2.4399001
74974;La Rioja;flat;Vacio;110000.0;60.0;1;6.0;42.4588371;-2.4382248
75205;La Rioja;flat;Vacio;39200.0;60.0;1;3.0;42.5780858;-2.8460567
75764;La Rioja;flat;Vacio;115000.0;60.0;1;4.0;42.4586024;-2.4807271
76669;La Rioja;flat;Vacio;70900.0;64.0;1;0.0;42.42445;-2.46133
76984;La Rioja;flat;Vacio;63022.0;65.0;1;0.0;42.37001;-2.54505
78118;La Rioja;flat;Vacio;95000.0;67.0;1;4.0;42.4573775;-2.4320359
78189;La Rioja;flat;Vacio;125000.0;67.0;1;6.0;42.46391;-2.4514916
78379;La Rioja;flat;Vacio;78200.0;68.0;1;0.0;42.4253293;-2.458163
79901;La Rioja;flat;Vacio;70000.0;75.0;1;0.0;42.3212969;-3.0331973
79909;La Rioja;flat;Vacio;75000.0;75.0;1;2.0;42.414466;-2.8202949
79910;La Rioja;flat;Vacio;75000.0;75.0;1;3.0;42.4163384;-2.820669
80131;La Rioja;flat;Vacio;70959.0;75.0;1;0.0;42.4671185;-2.4449424
80423;La Rioja;flat;Vacio;84900.0;78.0;1;0.0;42.42535;-2.45943
80708;La Rioja;flat;Vacio;160000.0;80.0;1;6.0;42.4561368;-2.4453596
81008;La Rioja;flat;Vacio;6484.0;82.0;1;3.0;42.5748136;-2.8419779
81894;La Rioja;flat;Vacio;160000.0;100.0;1;5.0;42.4671366;-2.4471264
82073;La Rioja;flat;Vacio;80000.0;105.0;1;6.0;42.4670391;-2.436291
82105;La Rioja;flat;Vacio;186690.0;107.0;1;4.0;42.4295316;-2.4607229
82187;La Rioja;flat;Vacio;60000.0;110.0;1;3.0;42.4579213;-2.4475259
83452;La Rioja;flat;Vacio;29000.0;40.0;2;5.0;42.4691705;-2.4363108
83488;La Rioja;flat;Vacio;20600.0;40.0;2;2.0;42.5098935;-2.9346361
84299;La Rioja;flat;Vacio;40000.0;45.0;2;5.0;42.4638263;-2.4502922
84440;La Rioja;flat;Vacio;48000.0;46.0;2;2.0;42.5450458;-2.9463337
84472;La Rioja;flat;Vacio;45000.0;46.0;2;4.0;42.4565945;-2.4479036
85180;La Rioja;flat;Vacio;46000.0;50.0;2;0.0;42.4662583;-2.4376054
85287;La Rioja;flat;Vacio;63000.0;50.0;2;4.0;42.4657052;-2.5612454
85334;La Rioja;flat;Vacio;46000.0;50.0;2;2.0;42.4590945;-2.4519036
85693;La Rioja;flat;Vacio;41500.0;50.0;2;6.0;42.4638339;-2.4594834
85735;La Rioja;flat;Vacio;60000.0;50.0;2;3.0;42.4646497;-2.4406155
86231;La Rioja;flat;Vacio;100000.0;50.0;2;3.0;42.4695941;-2.4445807
86362;La Rioja;flat;Vacio;36700.0;51.0;2;2.0;42.467731;-2.434128
86538;La Rioja;flat;Vacio;130000.0;51.0;2;4.0;42.4639492;-2.4390642
86568;La Rioja;flat;Vacio;61180.0;51.0;2;5.0;42.4351501;-2.4564322
86569;La Rioja;flat;Vacio;73490.0;51.0;2;2.0;42.4335069;-2.458834
86949;La Rioja;flat;Vacio;14697.0;52.0;2;4.0;42.3036076;-1.9575508
87052;La Rioja;flat;Vacio;126000.0;52.0;2;2.0;42.406007;-2.8949786
87215;La Rioja;flat;Vacio;75000.0;53.0;2;0.0;42.4163175;-2.8158054
87309;La Rioja;flat;Vacio;60000.0;53.0;2;3.0;42.4113878;-2.8228855
87405;La Rioja;flat;Vacio;8151.0;53.0;2;5.0;42.577667;-2.8444536
87642;La Rioja;flat;Vacio;70000.0;54.0;2;0.0;42.4163175;-2.8158054
87834;La Rioja;flat;Vacio;60000.0;54.0;2;4.0;42.4576968;-2.4479562
87970;La Rioja;flat;Vacio;135000.0;54.0;2;3.0;42.3252488;-3.0175804
87971;La Rioja;flat;Vacio;135000.0;54.0;2;3.0;42.408807;-2.8938786
88352;La Rioja;flat;Vacio;115000.0;55.0;2;6.0;42.456617;-2.4535696
88409;La Rioja;flat;Vacio;40000.0;55.0;2;5.0;42.4687164;-2.4369531
88632;La Rioja;flat;Vacio;60000.0;55.0;2;3.0;42.4115093;-2.8148744
88633;La Rioja;flat;Vacio;87500.0;55.0;2;2.0;42.5087988;-2.9246402
88668;La Rioja;flat;Vacio;35000.0;55.0;2;3.0;42.4605665;-2.4511081
89219;La Rioja;flat;Vacio;51000.0;55.0;2;5.0;42.5705384;-2.8449721
89220;La Rioja;flat;Vacio;49900.0;55.0;2;3.0;42.5761657;-2.8433682
89221;La Rioja;flat;Vacio;36500.0;55.0;2;4.0;42.5772195;-2.8430945
89676;La Rioja;flat;Vacio;43000.0;55.0;2;4.0;42.459741;-2.450249
89677;La Rioja;flat;Vacio;40000.0;55.0;2;5.0;42.4632282;-2.4479922
89860;La Rioja;flat;Vacio;84000.0;56.0;2;5.0;42.4562777;-2.4815404
89861;La Rioja;flat;Vacio;65000.0;56.0;2;7.0;42.4635036;-2.4519739
90027;La Rioja;flat;Vacio;90000.0;56.0;2;3.0;42.463211;-2.4421952
90135;La Rioja;flat;Vacio;30000.0;56.0;2;5.0;42.1872976;-1.7467435
90157;La Rioja;flat;Vacio;58000.0;56.0;2;4.0;42.4558968;-2.4505562
90322;La Rioja;flat;Vacio;69500.0;57.0;2;0.0;42.4296709;-2.416657
90376;La Rioja;flat;Vacio;89000.0;57.0;2;0.0;42.4163175;-2.8158054
90468;La Rioja;flat;Vacio;60000.0;57.0;2;3.0;42.4623692;-2.4353232
90527;La Rioja;flat;Vacio;48000.0;57.0;2;2.0;42.5470458;-2.9479337
90616;La Rioja;flat;Vacio;65000.0;57.0;2;5.0;42.4646599;-2.451392
90856;La Rioja;flat;Vacio;90000.0;58.0;2;2.0;42.42136;-2.4201599
91123;La Rioja;flat;Vacio;157800.0;58.0;2;3.0;42.4619021;-2.4419305
91348;La Rioja;flat;Vacio;65000.0;58.0;2;5.0;42.4624443;-2.4329639
91467;La Rioja;flat;Vacio;57500.0;58.0;2;4.0;42.5575519;-2.7593699
91637;La Rioja;flat;Vacio;66000.0;58.0;2;4.0;42.4654004;-2.5635168
92127;La Rioja;flat;Vacio;49950.0;59.0;2;4.0;42.5763541;-2.851159
92128;La Rioja;flat;Vacio;29900.0;59.0;2;5.0;42.5775541;-2.848159
92150;La Rioja;flat;Vacio;82398.0;59.0;2;0.0;42.444802;-2.458648
92371;La Rioja;flat;Vacio;75000.0;60.0;2;3.0;42.3229004;-3.0153441
92576;La Rioja;flat;Vacio;108000.0;60.0;2;3.0;42.3273252;-3.0141597
