index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
64556;La Rioja;flat;penthouse;80000.0;44.0;1;5.0;42.4367;-2.45572
114544;La Rioja;flat;penthouse;119000.0;70.0;2;10.0;42.4617579;-2.463659
121763;La Rioja;flat;penthouse;107000.0;75.0;2;6.0;42.4316713;-2.4576258
129469;La Rioja;flat;penthouse;185000.0;80.0;2;7.0;42.4148591;-2.7329368
130124;La Rioja;flat;penthouse;140000.0;80.0;2;6.0;42.4142834;-2.7347447
133380;La Rioja;flat;penthouse;141000.0;80.0;2;7.0;42.4609625;-2.4384356
135014;La Rioja;flat;penthouse;93000.0;82.0;2;5.0;42.5668378;-2.9224092
137295;La Rioja;flat;penthouse;135000.0;84.0;2;10.0;42.4652029;-2.4646824
139138;La Rioja;flat;penthouse;135000.0;85.0;2;10.0;42.45665;-2.4453748
146381;La Rioja;flat;penthouse;165000.0;90.0;2;7.0;42.4280322;-2.4555769
152795;La Rioja;flat;penthouse;210000.0;100.0;2;8.0;42.4541083;-2.4369876
184090;La Rioja;flat;penthouse;133000.0;75.0;3;9.0;42.45875;-2.4453748
209259;La Rioja;flat;penthouse;130000.0;90.0;3;9.0;42.4646643;-2.4648054
209606;La Rioja;flat;penthouse;150000.0;90.0;3;9.0;42.4613452;-2.4382858
229384;La Rioja;flat;penthouse;216000.0;98.0;3;7.0;42.4504201;-2.4637281
230118;La Rioja;flat;penthouse;215000.0;99.0;3;7.0;42.4535676;-2.4623987
236971;La Rioja;flat;penthouse;150000.0;100.0;3;5.0;42.4278503;-2.4156725
241864;La Rioja;flat;penthouse;145000.0;104.0;3;5.0;42.42427;-2.41325
248954;La Rioja;flat;penthouse;198000.0;109.0;3;10.0;42.4614072;-2.4272695
251174;La Rioja;flat;penthouse;216000.0;110.0;3;7.0;42.4504201;-2.4658281
257139;La Rioja;flat;penthouse;225000.0;115.0;3;7.0;42.4570622;-2.4299217
270952;La Rioja;flat;penthouse;147000.0;128.0;3;8.0;42.576984;-2.8491247
271115;La Rioja;flat;penthouse;147000.0;128.0;3;8.0;42.578984;-2.8508247
271443;La Rioja;flat;penthouse;275000.0;129.0;3;7.0;42.4501821;-2.4609916
273698;La Rioja;flat;penthouse;120000.0;130.0;3;5.0;42.4212561;-2.4201952
277348;La Rioja;flat;penthouse;350000.0;138.0;3;9.0;42.4649701;-2.4437298
328287;La Rioja;flat;penthouse;270000.0;129.0;4;7.0;42.4519821;-2.4569916
333179;La Rioja;flat;penthouse;320000.0;140.0;4;7.0;42.4725661;-2.4326093
334615;La Rioja;flat;penthouse;390000.0;141.0;4;7.0;42.4501952;-2.456069
378361;La Rioja;flat;penthouse;299000.0;187.0;5;12.0;42.4564436;-2.4515231
