index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1996;La Rioja;flat;studio;83600.0;37.0;0;0.0;42.4615003;-2.4327346
2102;La Rioja;flat;studio;49000.0;38.0;0;4.0;42.4256045;-2.4187939
2390;La Rioja;flat;studio;63000.0;40.0;0;4.0;42.4645746;-2.4496245
2392;La Rioja;flat;studio;52900.0;40.0;0;2.0;42.4372501;-2.4595322
2948;La Rioja;flat;studio;85000.0;42.0;0;5.0;42.4657903;-2.4369046
3361;La Rioja;flat;studio;60000.0;45.0;0;8.0;42.4670911;-2.4387874
3427;La Rioja;flat;studio;65450.0;45.0;0;4.0;42.5663408;-2.9199658
3612;La Rioja;flat;studio;63000.0;45.0;0;4.0;42.4681189;-2.4490785
4206;La Rioja;flat;studio;51000.0;50.0;0;5.0;42.461831;-2.4644277
4208;La Rioja;flat;studio;91000.0;50.0;0;3.0;42.45678;-2.44287
4751;La Rioja;flat;studio;99900.0;52.0;0;6.0;42.4668366;-2.4431264
4752;La Rioja;flat;studio;90000.0;52.0;0;4.0;42.4653317;-2.4573028
4806;La Rioja;flat;studio;79000.0;52.0;0;5.0;42.4650376;-2.4512763
5186;La Rioja;flat;studio;79000.0;55.0;0;5.0;42.46501;-2.45192
5207;La Rioja;flat;studio;78000.0;55.0;0;3.0;42.54933;-2.91057
5308;La Rioja;flat;studio;91000.0;55.0;0;3.0;42.45338;-2.44287
5667;La Rioja;flat;studio;120000.0;58.0;0;5.0;42.4614421;-2.4467055
5875;La Rioja;flat;studio;72000.0;60.0;0;4.0;42.4628872;-2.4581271
8207;La Rioja;flat;studio;97000.0;74.0;0;3.0;42.4276524;-2.4174589
8350;La Rioja;flat;studio;70959.0;75.0;0;2.0;42.4679231;-2.4456076
9585;La Rioja;flat;studio;169000.0;81.0;0;2.0;42.4548158;-2.4383113
10559;La Rioja;flat;studio;139000.0;89.0;0;5.0;42.4620297;-2.4400188
