index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32643;La Rioja;garage;Vacio;10000.0;0.0;0;0.0;42.4581587;-2.4357524
38537;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4646501;-2.4735183
38538;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4624501;-2.4708183
38539;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4631501;-2.4695183
38540;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4637501;-2.4735183
38541;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4645501;-2.4695183
38542;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4624501;-2.4707183
38543;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4657501;-2.4695183
38544;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4631501;-2.4695183
38545;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4664501;-2.4723183
38546;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4664501;-2.4709183
38547;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4664501;-2.4723183
38548;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4655501;-2.4695183
38549;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.4656501;-2.4735183
40682;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40683;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40686;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40694;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40695;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40700;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40721;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40722;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40723;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40726;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40727;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40728;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40729;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40733;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40749;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40750;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40751;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
40752;La Rioja;garage;Vacio;3500.0;0.0;0;0.0;42.4693529;-2.4757851
41758;La Rioja;garage;Vacio;9900.0;0.0;0;0.0;42.42445;-2.46123
41759;La Rioja;garage;Vacio;7800.0;0.0;0;0.0;42.42755;-2.46343
41760;La Rioja;garage;Vacio;9000.0;0.0;0;0.0;42.42845;-2.45993
41761;La Rioja;garage;Vacio;13400.0;0.0;0;0.0;42.42445;-2.46183
41762;La Rioja;garage;Vacio;8000.0;0.0;0;0.0;42.42445;-2.46173
41763;La Rioja;garage;Vacio;8300.0;0.0;0;0.0;42.42735;-2.46343
41764;La Rioja;garage;Vacio;8500.0;0.0;0;0.0;42.42845;-2.46223
41765;La Rioja;garage;Vacio;8200.0;0.0;0;0.0;42.42845;-2.46133
41766;La Rioja;garage;Vacio;8300.0;0.0;0;0.0;42.42445;-2.46063
41767;La Rioja;garage;Vacio;8100.0;0.0;0;0.0;42.42845;-2.46313
41768;La Rioja;garage;Vacio;8200.0;0.0;0;0.0;42.42845;-2.45983
41769;La Rioja;garage;Vacio;7600.0;0.0;0;0.0;42.42525;-2.46343
41770;La Rioja;garage;Vacio;10600.0;0.0;0;0.0;42.42465;-2.46343
41771;La Rioja;garage;Vacio;10300.0;0.0;0;0.0;42.42845;-2.46263
