index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
91027;La Rioja;house;Vacio;26000.0;58.0;2;0.0;42.3590341;-2.4711684
163594;La Rioja;house;Vacio;21000.0;151.0;2;0.0;42.1779856;-1.7469961
165710;La Rioja;house;Vacio;146000.0;254.0;2;0.0;42.2273693;-1.88125
166216;La Rioja;house;Vacio;22000.0;45.0;3;2.0;42.3025881;-1.9595177
167515;La Rioja;house;Vacio;52000.0;57.0;3;0.0;42.4029394;-2.4420831
169450;La Rioja;house;Vacio;26000.0;62.0;3;0.0;42.3026649;-1.955539
184197;La Rioja;house;Vacio;186000.0;76.0;3;0.0;42.46121;-2.4789024
188442;La Rioja;house;Vacio;80000.0;80.0;3;0.0;42.4685091;-2.4260409
208924;La Rioja;house;Vacio;20000.0;90.0;3;0.0;42.3026828;-1.9601822
266762;La Rioja;house;Vacio;22000.0;121.0;3;0.0;42.2144356;-2.0072693
270682;La Rioja;house;Vacio;26190.0;127.0;3;0.0;42.2309098;-2.0990384
273373;La Rioja;house;Vacio;71239.0;130.0;3;0.0;42.2171509;-2.0045539
288440;La Rioja;house;Vacio;138000.0;166.0;3;0.0;42.2275537;-1.8605304
288441;La Rioja;house;Vacio;138000.0;166.0;3;0.0;42.2274901;-1.8602729
289577;La Rioja;house;Vacio;145206.0;170.0;3;0.0;42.4294184;-2.4178345
290709;La Rioja;house;Vacio;140000.0;176.0;3;0.0;42.2285312;-1.850441
291207;La Rioja;house;Vacio;35000.0;180.0;3;2.0;42.0654138;-2.098127
297286;La Rioja;house;Vacio;99000.0;213.0;3;0.0;42.3667835;-2.419486
297287;La Rioja;house;Vacio;99000.0;213.0;3;0.0;42.3686329;-2.4206354
297288;La Rioja;house;Vacio;99000.0;213.0;3;0.0;42.3657835;-2.419486
297603;La Rioja;house;Vacio;99000.0;217.0;3;0.0;42.3644835;-2.420786
298998;La Rioja;house;Vacio;59000.0;230.0;3;0.0;42.300277;-1.9564156
303908;La Rioja;house;Vacio;420500.0;315.0;3;0.0;42.5747305;-2.8450525
306194;La Rioja;house;Vacio;35000.0;62.0;4;0.0;42.30047;-1.9552905
311925;La Rioja;house;Vacio;42000.0;99.0;4;0.0;42.5505611;-2.9070567
313456;La Rioja;house;Vacio;42281.0;100.0;4;0.0;42.301296;-2.1158619
321839;La Rioja;house;Vacio;39941.0;117.0;4;0.0;42.238428;-1.853696
332367;La Rioja;house;Vacio;144000.0;138.0;4;0.0;42.2272036;-1.8914949
343025;La Rioja;house;Vacio;270000.0;165.0;4;0.0;42.3904179;-2.5844728
344438;La Rioja;house;Vacio;62975.0;170.0;4;0.0;42.3091236;-2.535159
346384;La Rioja;house;Vacio;150000.0;180.0;4;2.0;42.38044;-2.55461
348314;La Rioja;house;Vacio;45000.0;185.0;4;0.0;42.2135636;-2.0066577
350979;La Rioja;house;Vacio;125000.0;200.0;4;2.0;42.35269;-2.5478
354997;La Rioja;house;Vacio;40000.0;219.0;4;2.0;42.4831736;-2.6429156
355269;La Rioja;house;Vacio;320000.0;220.0;4;2.0;42.4230816;-2.4577053
359700;La Rioja;house;Vacio;138400.0;249.0;4;0.0;42.1844919;-1.7508059
362410;La Rioja;house;Vacio;123614.0;268.0;4;0.0;42.4043086;-2.1208349
362571;La Rioja;house;Vacio;480000.0;270.0;4;0.0;42.449003;-2.4517071
365228;La Rioja;house;Vacio;270000.0;300.0;4;2.0;42.427476;-2.4598984
374605;La Rioja;house;Vacio;9160.0;139.0;5;0.0;42.2260519;-2.0442385
376105;La Rioja;house;Vacio;60000.0;160.0;5;0.0;42.2162397;-2.0086116
387619;La Rioja;house;Vacio;163000.0;313.0;5;0.0;42.424595;-2.4176509
403581;La Rioja;house;Vacio;495000.0;190.0;7;0.0;42.4460458;-2.7058002
404395;La Rioja;house;Vacio;480000.0;350.0;7;2.0;42.4363135;-2.4551809
