index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
122747;La Rioja;house;semi-detached;135000.0;75.0;2;0.0;42.5666276;-2.8558899
165015;La Rioja;house;semi-detached;233000.0;194.0;2;0.0;42.5418392;-2.8297322
185288;La Rioja;house;semi-detached;62000.0;77.0;3;0.0;42.4699685;-2.4369502
246264;La Rioja;house;semi-detached;129000.0;107.0;3;0.0;42.3249866;-3.0131754
263554;La Rioja;house;semi-detached;160500.0;120.0;3;0.0;42.545135;-2.9482334
265071;La Rioja;house;semi-detached;180000.0;120.0;3;0.0;42.5453943;-2.9476798
272529;La Rioja;house;semi-detached;80000.0;130.0;3;0.0;42.3378925;-2.853065
273213;La Rioja;house;semi-detached;145000.0;130.0;3;0.0;42.5488533;-2.9681391
276448;La Rioja;house;semi-detached;145000.0;136.0;3;0.0;42.5481533;-2.9661391
280364;La Rioja;house;semi-detached;170000.0;144.0;3;0.0;42.5468182;-2.960375
281269;La Rioja;house;semi-detached;186534.0;146.0;3;0.0;42.5386381;-2.9644694
281733;La Rioja;house;semi-detached;160000.0;148.0;3;0.0;42.5400381;-2.9664694
281989;La Rioja;house;semi-detached;149900.0;149.0;3;0.0;42.5683493;-2.8501405
282103;La Rioja;house;semi-detached;17457.0;150.0;3;2.0;42.0058202;-1.9559531
282887;La Rioja;house;semi-detached;137000.0;150.0;3;0.0;42.5447337;-2.960623
286262;La Rioja;house;semi-detached;79000.0;160.0;3;0.0;42.410007;-2.8940786
287536;La Rioja;house;semi-detached;130000.0;162.0;3;0.0;42.54473;-2.9480099
288036;La Rioja;house;semi-detached;160000.0;165.0;3;0.0;42.5020152;-3.0260677
295640;La Rioja;house;semi-detached;150000.0;200.0;3;2.0;42.5632924;-2.9245168
296116;La Rioja;house;semi-detached;240000.0;200.0;3;0.0;42.4923107;-2.520511
296166;La Rioja;house;semi-detached;190000.0;201.0;3;0.0;42.4342709;-2.4158251
297050;La Rioja;house;semi-detached;240000.0;210.0;3;0.0;42.5422224;-2.7797862
297469;La Rioja;house;semi-detached;206000.0;215.0;3;0.0;42.3731198;-2.4247315
299427;La Rioja;house;semi-detached;165000.0;234.0;3;0.0;42.5149154;-2.8809123
299443;La Rioja;house;semi-detached;128750.0;234.0;3;0.0;42.4673046;-2.9088921
299832;La Rioja;house;semi-detached;246415.0;240.0;3;0.0;42.5147662;-2.9271661
300395;La Rioja;house;semi-detached;250000.0;245.0;3;0.0;42.5446871;-2.9183875
300477;La Rioja;house;semi-detached;350000.0;246.0;3;0.0;42.4647472;-2.4236401
301696;La Rioja;house;semi-detached;350000.0;260.0;3;0.0;42.4415156;-2.4517705
318352;La Rioja;house;semi-detached;125000.0;110.0;4;0.0;42.577832;-2.9035567
320670;La Rioja;house;semi-detached;210000.0;115.0;4;0.0;42.5702735;-2.8529699
328908;La Rioja;house;semi-detached;210000.0;130.0;4;0.0;42.5738776;-2.8590838
333905;La Rioja;house;semi-detached;146950.0;140.0;4;0.0;42.5873484;-2.9561998
337456;La Rioja;house;semi-detached;190000.0;150.0;4;2.0;42.5766903;-2.8423347
342549;La Rioja;house;semi-detached;154900.0;164.0;4;0.0;42.5490138;-2.9071636
350168;La Rioja;house;semi-detached;170000.0;196.0;4;0.0;42.577234;-2.9089644
350381;La Rioja;house;semi-detached;180000.0;198.0;4;0.0;42.577865;-2.9109117
358057;La Rioja;house;semi-detached;32500.0;237.0;4;0.0;42.2285951;-2.0979234
358721;La Rioja;house;semi-detached;165000.0;240.0;4;0.0;42.37294;-2.42249
359440;La Rioja;house;semi-detached;179900.0;245.0;4;0.0;42.5729246;-2.8549458
361545;La Rioja;house;semi-detached;32200.0;260.0;4;2.0;42.3501258;-2.2328553
361627;La Rioja;house;semi-detached;160000.0;260.0;4;0.0;42.3675387;-2.8127393
361911;La Rioja;house;semi-detached;214000.0;260.0;4;0.0;42.5679248;-2.9189559
364075;La Rioja;house;semi-detached;500000.0;283.0;4;0.0;42.4508302;-2.4509352
365415;La Rioja;house;semi-detached;500000.0;300.0;4;0.0;42.4468347;-2.449218
369657;La Rioja;house;semi-detached;438000.0;383.0;4;0.0;42.4223531;-2.4618738
381999;La Rioja;house;semi-detached;270000.0;230.0;5;0.0;42.4381786;-2.4566314
383388;La Rioja;house;semi-detached;235000.0;250.0;5;0.0;42.4391922;-2.4528961
385939;La Rioja;house;semi-detached;690000.0;290.0;5;0.0;42.4464301;-2.4510446
391088;La Rioja;house;semi-detached;398000.0;400.0;5;0.0;42.5744999;-2.8552413
400546;La Rioja;house;semi-detached;550000.0;421.0;6;0.0;42.4343811;-2.4564902
404799;La Rioja;house;semi-detached;480000.0;421.0;7;0.0;42.4223531;-2.4633738
