index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
44216;La Rioja;land;Vacio;45000.0;0.0;0;0.0;42.6000876;-2.8346728
44316;La Rioja;land;Vacio;45000.0;0.0;0;0.0;42.38722;-2.9766298
44321;La Rioja;land;Vacio;50000.0;0.0;0;0.0;42.3886667;-2.9828168
44324;La Rioja;land;Vacio;35000.0;0.0;0;0.0;42.5635296;-2.920521
56312;La Rioja;land;Vacio;1910000.0;0.0;0;0.0;42.485894;-2.4228603
56313;La Rioja;land;Vacio;360000.0;0.0;0;0.0;42.4241737;-2.4573203
56314;La Rioja;land;Vacio;225200.0;0.0;0;0.0;42.4553478;-2.3983187
56315;La Rioja;land;Vacio;1500000.0;0.0;0;0.0;42.4522628;-2.4181492
56316;La Rioja;land;Vacio;1850000.0;0.0;0;0.0;42.4827743;-2.4189165
56317;La Rioja;land;Vacio;167750.0;0.0;0;0.0;42.4256952;-2.4192324
56491;La Rioja;land;Vacio;300000.0;0.0;0;0.0;42.3427899;-2.17133
56625;La Rioja;land;Vacio;45000.0;0.0;0;0.0;42.62154;-2.96314
57827;La Rioja;land;Vacio;39950.0;0.0;0;0.0;42.5539078;-2.9020808
59238;La Rioja;land;Vacio;200000.0;0.0;0;2.0;42.0549211;-1.9074762
60125;La Rioja;land;Vacio;2100000.0;0.0;0;0.0;42.4548059;-2.4009963
60613;La Rioja;land;Vacio;50000.0;0.0;0;0.0;42.4241531;-2.4604738
