index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
623;La Rioja;office;Vacio;35000.0;26.0;0;2.0;42.4669637;-2.4567442
1158;La Rioja;office;Vacio;18598.0;31.0;0;2.0;42.571775;-2.846789
1268;La Rioja;office;Vacio;34000.0;32.0;0;2.0;42.4658637;-2.4567442
1932;La Rioja;office;Vacio;35000.0;36.0;0;2.0;42.4644344;-2.4596301
2553;La Rioja;office;Vacio;50400.0;40.0;0;3.0;42.4560005;-2.4300257
2861;La Rioja;office;Vacio;155000.0;41.0;0;2.0;42.4612443;-2.4459441
3918;La Rioja;office;Vacio;117168.0;48.0;0;9.0;42.4662206;-2.451349
3919;La Rioja;office;Vacio;116016.0;48.0;0;9.0;42.4630206;-2.449549
4006;La Rioja;office;Vacio;42000.0;48.0;0;0.0;42.4643819;-2.4278
4803;La Rioja;office;Vacio;65000.0;52.0;0;3.0;42.461822;-2.422037
5079;La Rioja;office;Vacio;120000.0;54.0;0;3.0;42.4661021;-2.437136
5204;La Rioja;office;Vacio;61200.0;55.0;0;2.0;42.4568457;-2.4323021
5262;La Rioja;office;Vacio;150000.0;55.0;0;4.0;42.4626943;-2.4423982
6867;La Rioja;office;Vacio;69900.0;65.0;0;3.0;42.4603454;-2.4196103
7682;La Rioja;office;Vacio;90000.0;70.0;0;3.0;42.4572176;-2.4287579
7914;La Rioja;office;Vacio;102210.0;71.0;0;3.0;42.4599404;-2.4173999
8194;La Rioja;office;Vacio;160000.0;73.0;0;0.0;42.4666912;-2.4486643
8520;La Rioja;office;Vacio;112000.0;75.0;0;2.0;42.4559649;-2.4592613
9158;La Rioja;office;Vacio;40000.0;80.0;0;2.0;42.4582511;-2.4194593
9362;La Rioja;office;Vacio;50000.0;80.0;0;2.0;42.4623324;-2.4546868
9639;La Rioja;office;Vacio;95000.0;81.0;0;2.0;42.4565387;-2.4290178
9858;La Rioja;office;Vacio;294000.0;83.0;0;2.0;42.4687206;-2.4544933
10435;La Rioja;office;Vacio;95000.0;88.0;0;0.0;42468.0;-2436.0
10467;La Rioja;office;Vacio;82935.0;88.0;0;2.0;42.4621481;-2.4058313
11228;La Rioja;office;Vacio;201549.0;93.0;0;3.0;42.4609008;-2.4214828
11452;La Rioja;office;Vacio;110000.0;95.0;0;3.0;42.4621006;-2.4556601
14241;La Rioja;office;Vacio;155000.0;119.0;0;0.0;42.4701991;-2.4610506
15927;La Rioja;office;Vacio;274847.0;135.0;0;2.0;42.4556811;-2.4609231
16225;La Rioja;office;Vacio;216365.0;138.0;0;3.0;42.4632227;-2.4447404
18187;La Rioja;office;Vacio;250000.0;160.0;0;3.0;42.4665392;-2.4492943
20058;La Rioja;office;Vacio;461752.0;187.0;0;2.0;42.458351;-2.4290912
21734;La Rioja;office;Vacio;242751.0;215.0;0;2.0;42.4666804;-2.4719132
23751;La Rioja;office;Vacio;552111.0;263.0;0;2.0;42.4634729;-2.4485607
