index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
190;La Rioja;premise;Vacio;6100.0;18.0;0;3.0;42.3023658;-1.9594348
311;La Rioja;premise;Vacio;10000.0;21.0;0;2.0;42.4251126;-2.4608345
343;La Rioja;premise;Vacio;25000.0;22.0;0;2.0;42.429725;-2.416814
447;La Rioja;premise;Vacio;114000.0;24.0;0;2.0;42.4664441;-2.4564588
551;La Rioja;premise;Vacio;40500.0;25.0;0;2.0;42.5755853;-2.8482594
629;La Rioja;premise;Vacio;44000.0;26.0;0;2.0;42.5745903;-2.8454347
676;La Rioja;premise;Vacio;22743.0;27.0;0;2.0;42.4933132;-2.5231909
789;La Rioja;premise;Vacio;65200.0;29.0;0;2.0;42.5741593;-2.8469347
882;La Rioja;premise;Vacio;29546.0;30.0;0;2.0;42.4899132;-2.5215909
1032;La Rioja;premise;Vacio;59000.0;30.0;0;2.0;42.5765903;-2.8443347
1096;La Rioja;premise;Vacio;51000.0;30.0;0;0.0;42.4653157;-2.457518
1125;La Rioja;premise;Vacio;40000.0;31.0;0;2.0;42.4618928;-2.4380354
1228;La Rioja;premise;Vacio;23030.0;32.0;0;2.0;42.4638429;-2.4717017
1283;La Rioja;premise;Vacio;14500.0;33.0;0;0.0;42.4280414;-2.4164192
1284;La Rioja;premise;Vacio;60000.0;33.0;0;0.0;42.4258858;-2.4205847
1321;La Rioja;premise;Vacio;22500.0;33.0;0;3.0;42.3559093;-2.4737471
1322;La Rioja;premise;Vacio;17000.0;33.0;0;3.0;42.3576093;-2.4747471
1431;La Rioja;premise;Vacio;24900.0;34.0;0;3.0;42.3555093;-2.4777471
1687;La Rioja;premise;Vacio;39000.0;35.0;0;0.0;42.4213348;-2.4219592
1695;La Rioja;premise;Vacio;37200.0;35.0;0;2.0;42.4622897;-2.4274555
2993;La Rioja;premise;Vacio;114200.0;42.0;0;2.0;42.4683895;-2.4605384
3086;La Rioja;premise;Vacio;95000.0;42.0;0;0.0;42.4607593;-2.4498306
3168;La Rioja;premise;Vacio;44900.0;43.0;0;2.0;42.4579034;-2.4186136
3728;La Rioja;premise;Vacio;34000.0;46.0;0;2.0;42.4591407;-2.4451103
3794;La Rioja;premise;Vacio;9306.0;47.0;0;2.0;42.2992536;-1.9613622
3963;La Rioja;premise;Vacio;150000.0;48.0;0;2.0;42.4658609;-2.4443432
4099;La Rioja;premise;Vacio;150000.0;49.0;0;2.0;42.4670612;-2.4413432
4123;La Rioja;premise;Vacio;72000.0;50.0;0;0.0;42.4685035;-2.4569608
4230;La Rioja;premise;Vacio;18107.0;50.0;0;2.0;42.3402459;-2.2218821
4240;La Rioja;premise;Vacio;36000.0;50.0;0;3.0;42.3540093;-2.4777471
4258;La Rioja;premise;Vacio;170000.0;50.0;0;2.0;42.4628358;-2.4551307
4695;La Rioja;premise;Vacio;70000.0;51.0;0;2.0;42.4659183;-2.4350654
4892;La Rioja;premise;Vacio;179445.0;53.0;0;2.0;42.1158609;-2.6771442
4995;La Rioja;premise;Vacio;103923.0;54.0;0;2.0;42.4656206;-2.449549
4999;La Rioja;premise;Vacio;103923.0;54.0;0;2.0;42.4622206;-2.450549
5261;La Rioja;premise;Vacio;95000.0;55.0;0;2.0;42.4590318;-2.4534169
5307;La Rioja;premise;Vacio;29800.0;55.0;0;2.0;42.5766131;-2.8431128
5548;La Rioja;premise;Vacio;35400.0;57.0;0;3.0;42.3542093;-2.4737471
6166;La Rioja;premise;Vacio;80000.0;60.0;0;2.0;42.4586393;-2.453973
6233;La Rioja;premise;Vacio;51500.0;60.0;0;0.0;42.4682743;-2.4361013
6294;La Rioja;premise;Vacio;41949.0;61.0;0;2.0;42.2591123;-2.7626556
6304;La Rioja;premise;Vacio;102200.0;61.0;0;3.0;42.4656112;-2.4441416
6464;La Rioja;premise;Vacio;32000.0;63.0;0;2.0;42.427812;-2.421498
6495;La Rioja;premise;Vacio;111606.0;63.0;0;10.0;42.4622206;-2.453149
6598;La Rioja;premise;Vacio;52803.0;64.0;0;2.0;42.2297738;-2.0975614
6642;La Rioja;premise;Vacio;47500.0;64.0;0;2.0;42.4603454;-2.4196103
6684;La Rioja;premise;Vacio;55000.0;65.0;0;2.0;42.2168258;-2.0051713
6984;La Rioja;premise;Vacio;75000.0;66.0;0;2.0;42.4672561;-2.4451125
7004;La Rioja;premise;Vacio;26757.0;66.0;0;2.0;42.3009975;-1.9598529
7013;La Rioja;premise;Vacio;39700.0;66.0;0;3.0;42.3536093;-2.4746471
7016;La Rioja;premise;Vacio;39300.0;66.0;0;3.0;42.3576093;-2.4762471
7042;La Rioja;premise;Vacio;60000.0;66.0;0;2.0;42.4644004;-2.4628295
7098;La Rioja;premise;Vacio;40000.0;67.0;0;3.0;42.3536093;-2.4767471
8042;La Rioja;premise;Vacio;80000.0;72.0;0;2.0;42.4697751;-2.4376725
8136;La Rioja;premise;Vacio;108576.0;73.0;0;2.0;42.4662206;-2.450649
8679;La Rioja;premise;Vacio;45400.0;76.0;0;3.0;42.3549093;-2.4777471
8775;La Rioja;premise;Vacio;86600.0;77.0;0;3.0;42.4563466;-2.4243398
9020;La Rioja;premise;Vacio;179172.0;79.0;0;9.0;42.4662206;-2.450649
9563;La Rioja;premise;Vacio;33000.0;81.0;0;0.0;42.4192545;-2.7236282
9599;La Rioja;premise;Vacio;48200.0;81.0;0;3.0;42.3553093;-2.4777471
9856;La Rioja;premise;Vacio;116000.0;83.0;0;2.0;42.4548457;-2.4311021
9857;La Rioja;premise;Vacio;116000.0;83.0;0;2.0;42.4527005;-2.4277257
9944;La Rioja;premise;Vacio;200000.0;84.0;0;2.0;42.4540487;-2.4635881
10117;La Rioja;premise;Vacio;85000.0;85.0;0;2.0;42.4712159;-2.460282
