index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3939;País Vasco;flat;duplex;150000.0;48.0;0;Vacio;42.8421605;-2.6726973
7397;País Vasco;flat;duplex;198000.0;69.0;0;Vacio;42.8521525;-2.6738172
63021;País Vasco;flat;duplex;174100.0;40.0;1;7.0;43.2602088;-2.9381303
66868;País Vasco;flat;duplex;99900.0;48.0;1;3.0;43.1989821;-3.192691
67673;País Vasco;flat;duplex;169000.0;50.0;1;2.0;43.3145676;-1.9714526
68273;País Vasco;flat;duplex;99900.0;50.0;1;5.0;43.1969962;-3.1889902
71262;País Vasco;flat;duplex;95650.0;54.0;1;Vacio;42.9957594;-3.0076664
78036;País Vasco;flat;duplex;205000.0;67.0;1;9.0;43.1858841;-2.4707404
78555;País Vasco;flat;duplex;198000.0;69.0;1;5.0;42.8497011;-2.6712663
79687;País Vasco;flat;duplex;410000.0;73.0;1;5.0;43.2625472;-2.929095
80301;País Vasco;flat;duplex;149995.0;76.0;1;6.0;42.8450606;-2.6721358
81993;País Vasco;flat;duplex;240000.0;102.0;1;6.0;43.2514774;-1.9918307
82016;País Vasco;flat;duplex;790840.0;103.0;1;11.0;43.3063927;-1.9777686
82649;País Vasco;flat;duplex;739245.0;152.0;1;11.0;43.309991;-1.979571
91356;País Vasco;flat;duplex;100000.0;58.0;2;3.0;43.246852;-2.9504388
93884;País Vasco;flat;duplex;515970.0;60.0;2;7.0;43.3197686;-1.9840319
94558;País Vasco;flat;duplex;162000.0;60.0;2;6.0;43.3212902;-1.8982005
101526;País Vasco;flat;duplex;275000.0;65.0;2;3.0;43.3302811;-3.0347915
103477;País Vasco;flat;duplex;100000.0;65.0;2;5.0;43.4188491;-2.7227982
105689;País Vasco;flat;duplex;675000.0;67.0;2;0.0;43.318809;-1.982468
105825;País Vasco;flat;duplex;222203.0;67.0;2;5.0;43.2891367;-2.9777783
107686;País Vasco;flat;duplex;216000.0;68.0;2;2.0;43.4169245;-2.7197309
109238;País Vasco;flat;duplex;299000.0;70.0;2;3.0;43.403421;-2.9465034
110211;País Vasco;flat;duplex;230000.0;70.0;2;5.0;43.3791909;-2.9823995
110728;País Vasco;flat;duplex;360000.0;70.0;2;2.0;43.3238758;-1.945068
111309;País Vasco;flat;duplex;130000.0;70.0;2;12.0;42.8525501;-2.6526547
112784;País Vasco;flat;duplex;213550.0;70.0;2;3.0;42.8551837;-2.6644217
113069;País Vasco;flat;duplex;169900.0;70.0;2;2.0;43.2621518;-2.9378314
115389;País Vasco;flat;duplex;172000.0;71.0;2;3.0;42.8541535;-2.6628532
116243;País Vasco;flat;duplex;230000.0;72.0;2;6.0;43.18255;-2.46693
119329;País Vasco;flat;duplex;156000.0;74.0;2;12.0;42.8619433;-2.6856731
119331;País Vasco;flat;duplex;180250.0;74.0;2;7.0;42.8633831;-2.6804982
121116;País Vasco;flat;duplex;360000.0;75.0;2;5.0;43.3231186;-3.0211691
121246;País Vasco;flat;duplex;300000.0;75.0;2;4.0;43.3076624;-2.0332968
121362;País Vasco;flat;duplex;220000.0;75.0;2;5.0;43.3778658;-2.9898078
125573;País Vasco;flat;duplex;260000.0;77.0;2;3.0;43.3299811;-3.0359915
126852;País Vasco;flat;duplex;320000.0;78.0;2;5.0;43.2772136;-1.9521101
129426;País Vasco;flat;duplex;202000.0;80.0;2;6.0;43.3058188;-2.3868872
130072;País Vasco;flat;duplex;133000.0;80.0;2;3.0;43.1924863;-3.1927413
130073;País Vasco;flat;duplex;136000.0;80.0;2;4.0;43.1939863;-3.1920413
130588;País Vasco;flat;duplex;172000.0;80.0;2;3.0;42.8511535;-2.6650532
130593;País Vasco;flat;duplex;181350.0;80.0;2;7.0;42.8664429;-2.6778879
131203;País Vasco;flat;duplex;350000.0;80.0;2;3.0;43.3055255;-2.0149903
132328;País Vasco;flat;duplex;240000.0;80.0;2;7.0;43.325446;-3.0144614
132700;País Vasco;flat;duplex;257500.0;80.0;2;3.0;43.255009;-2.9296609
132723;País Vasco;flat;duplex;250000.0;80.0;2;6.0;43.2411677;-2.9492351
134397;País Vasco;flat;duplex;210000.0;82.0;2;4.0;43.0658931;-2.4879873
134798;País Vasco;flat;duplex;280000.0;82.0;2;7.0;43.2171993;-2.7321556
135673;País Vasco;flat;duplex;385000.0;83.0;2;3.0;43.3600606;-2.9950105
137742;País Vasco;flat;duplex;330000.0;85.0;2;3.0;43.3299222;-2.9889845
138113;País Vasco;flat;duplex;250000.0;85.0;2;3.0;43.2518;-2.9345332
138522;País Vasco;flat;duplex;217434.0;85.0;2;3.0;43.2689317;-3.161575
138941;País Vasco;flat;duplex;260000.0;85.0;2;3.0;43.3298811;-3.0319915
139205;País Vasco;flat;duplex;580000.0;85.0;2;Vacio;43.3186897;-1.9809848
139675;País Vasco;flat;duplex;390000.0;85.0;2;4.0;43.4169326;-2.7179812
139838;País Vasco;flat;duplex;275760.0;85.0;2;6.0;43.2546515;-2.939239
140355;País Vasco;flat;duplex;492000.0;86.0;2;6.0;43.3301902;-2.9963866
141580;País Vasco;flat;duplex;160000.0;87.0;2;11.0;42.8608717;-2.682468
142809;País Vasco;flat;duplex;224000.0;89.0;2;0.0;43.1621375;-2.0707341
143143;País Vasco;flat;duplex;150000.0;89.0;2;5.0;43.2505239;-2.38565
143872;País Vasco;flat;duplex;490000.0;90.0;2;3.0;43.304393;-2.0189046
145047;País Vasco;flat;duplex;210000.0;90.0;2;4.0;42.8074273;-2.5353716
145623;País Vasco;flat;duplex;460000.0;90.0;2;2.0;43.3430685;-3.0010136
145678;País Vasco;flat;duplex;190000.0;90.0;2;7.0;43.2634811;-2.9453476
145805;País Vasco;flat;duplex;219000.0;90.0;2;3.0;42.8497133;-2.6687165
146306;País Vasco;flat;duplex;196000.0;90.0;2;7.0;43.258669;-2.9529318
146523;País Vasco;flat;duplex;675000.0;90.0;2;8.0;43.3176173;-1.9811488
149571;País Vasco;flat;duplex;219000.0;95.0;2;3.0;42.8515783;-2.6757432
150580;País Vasco;flat;duplex;178300.0;96.0;2;0.0;43.2807748;-2.9946116
151520;País Vasco;flat;duplex;230000.0;98.0;2;3.0;43.3193013;-1.9441316
152099;País Vasco;flat;duplex;468000.0;100.0;2;2.0;43.3390685;-3.0008136
152464;País Vasco;flat;duplex;127000.0;100.0;2;4.0;43.3644294;-2.5038276
153212;País Vasco;flat;duplex;389000.0;100.0;2;5.0;43.264797;-2.9541561
153532;País Vasco;flat;duplex;360000.0;100.0;2;2.0;43.3199758;-1.946668
153537;País Vasco;flat;duplex;450000.0;100.0;2;5.0;43.25799;-2.92542
153650;País Vasco;flat;duplex;195700.0;100.0;2;7.0;43.257369;-2.9529318
153662;País Vasco;flat;duplex;237500.0;100.0;2;2.0;43.3190088;-1.9436077
153896;País Vasco;flat;duplex;179000.0;101.0;2;5.0;43.1930033;-3.1963591
154003;País Vasco;flat;duplex;231100.0;101.0;2;0.0;43.2913262;-2.9790053
154531;País Vasco;flat;duplex;330000.0;103.0;2;3.0;43.193454;-3.1858622
154989;País Vasco;flat;duplex;335000.0;104.0;2;4.0;43.2357953;-2.150956
155405;País Vasco;flat;duplex;309300.0;105.0;2;3.0;43.2763597;-2.9592236
155423;País Vasco;flat;duplex;158000.0;105.0;2;5.0;43.3389598;-1.7877758
157512;País Vasco;flat;duplex;288000.0;111.0;2;3.0;43.2723597;-2.9612236
158067;País Vasco;flat;duplex;425000.0;114.0;2;7.0;43.2623468;-2.9286387
158251;País Vasco;flat;duplex;405000.0;115.0;2;6.0;43.2537564;-2.94225
158429;País Vasco;flat;duplex;480000.0;115.0;2;4.0;43.3130637;-1.9870293
158629;País Vasco;flat;duplex;168000.0;116.0;2;3.0;42.8593317;-2.6934
158665;País Vasco;flat;duplex;290000.0;116.0;2;4.0;43.3510454;-3.0163784
158733;País Vasco;flat;duplex;350000.0;117.0;2;Vacio;43.05372;-2.1795455
160389;País Vasco;flat;duplex;355000.0;123.0;2;6.0;42.8456063;-2.6804703
160475;País Vasco;flat;duplex;675000.0;124.0;2;2.0;43.3323435;-3.0108198
160536;País Vasco;flat;duplex;675000.0;124.0;2;2.0;43.3325435;-3.0126198
160952;País Vasco;flat;duplex;450000.0;127.0;2;Vacio;43.3442606;-3.006204
161464;País Vasco;flat;duplex;825000.0;130.0;2;4.0;43.313681;-2.005087
161579;País Vasco;flat;duplex;933385.0;130.0;2;11.0;43.3086927;-1.9777686
162033;País Vasco;flat;duplex;495000.0;135.0;2;Vacio;43.3433422;-3.0062312
