index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32617;País Vasco;garage;Vacio;27000.0;0.0;0;0.0;43.255869;-2.8989045
32618;País Vasco;garage;Vacio;12000.0;0.0;0;0.0;43.3056529;-2.95222
32619;País Vasco;garage;Vacio;19800.0;0.0;0;0.0;43.2596773;-2.9351577
32620;País Vasco;garage;Vacio;29000.0;0.0;0;0.0;43.255747;-2.8989594
32683;País Vasco;garage;Vacio;36000.0;0.0;0;0.0;43.2524939;-2.9407389
32684;País Vasco;garage;Vacio;16000.0;0.0;0;0.0;43.2574256;-2.9424655
32692;País Vasco;garage;Vacio;19300.0;0.0;0;0.0;43.1258904;-2.4232764
32700;País Vasco;garage;Vacio;35000.0;0.0;0;4.0;43.3214116;-1.9710369
32701;País Vasco;garage;Vacio;40000.0;0.0;0;0.0;43.2615588;-2.9387145
32777;País Vasco;garage;Vacio;12000.0;0.0;0;0.0;43.3541191;-3.0145723
32989;País Vasco;garage;Vacio;18000.0;0.0;0;0.0;42.8621331;-2.6951712
33026;País Vasco;garage;Vacio;18000.0;0.0;0;0.0;42.8591331;-2.6956712
33032;País Vasco;garage;Vacio;18000.0;0.0;0;0.0;42.8610331;-2.6956712
33087;País Vasco;garage;Vacio;18000.0;0.0;0;0.0;42.8586331;-2.6916712
33127;País Vasco;garage;Vacio;25000.0;0.0;0;0.0;43.3118698;-1.9020468
33134;País Vasco;garage;Vacio;18000.0;0.0;0;0.0;42.8619331;-2.6956712
33237;País Vasco;garage;Vacio;18000.0;0.0;0;0.0;42.8614331;-2.6956712
33370;País Vasco;garage;Vacio;31000.0;0.0;0;0.0;43.334063;-3.0048947
36054;País Vasco;garage;Vacio;5800.0;0.0;0;0.0;43.2881862;-2.8863727
36055;País Vasco;garage;Vacio;3900.0;0.0;0;0.0;43.2881862;-2.8864727
36056;País Vasco;garage;Vacio;6400.0;0.0;0;0.0;43.2916862;-2.8875727
36057;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2920862;-2.8835727
36058;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2921862;-2.8839727
36059;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2907862;-2.8875727
36060;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2921862;-2.8870727
36061;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2881862;-2.8863727
36062;País Vasco;garage;Vacio;6500.0;0.0;0;0.0;43.2885862;-2.8875727
36063;País Vasco;garage;Vacio;6800.0;0.0;0;0.0;43.2895862;-2.8835727
36064;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2886862;-2.8875727
36065;País Vasco;garage;Vacio;4000.0;0.0;0;0.0;43.2914862;-2.8835727
36066;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2881862;-2.8843727
36067;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2894862;-2.8875727
36068;País Vasco;garage;Vacio;6500.0;0.0;0;0.0;43.2921862;-2.8846727
36069;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2921862;-2.8874727
36070;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2881862;-2.8851727
36071;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2919862;-2.8875727
36072;País Vasco;garage;Vacio;8900.0;0.0;0;0.0;43.2921862;-2.8848727
36073;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2887862;-2.8835727
36074;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2914862;-2.8875727
36075;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2904862;-2.8835727
36076;País Vasco;garage;Vacio;3900.0;0.0;0;0.0;43.2919862;-2.8875727
36077;País Vasco;garage;Vacio;5800.0;0.0;0;0.0;43.2921862;-2.8871727
36078;País Vasco;garage;Vacio;7000.0;0.0;0;0.0;43.2921862;-2.8873727
36079;País Vasco;garage;Vacio;3400.0;0.0;0;0.0;43.2909862;-2.8875727
36080;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2897862;-2.8875727
36081;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2881862;-2.8853727
36082;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2912862;-2.8835727
36083;País Vasco;garage;Vacio;3400.0;0.0;0;0.0;43.2883862;-2.8875727
36084;País Vasco;garage;Vacio;4000.0;0.0;0;0.0;43.2912862;-2.8835727
36085;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2921862;-2.8860727
36086;País Vasco;garage;Vacio;4000.0;0.0;0;0.0;43.2886862;-2.8835727
36087;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2921862;-2.8869727
36088;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2881862;-2.8854727
36089;País Vasco;garage;Vacio;6800.0;0.0;0;0.0;43.2881862;-2.8845727
36090;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2881862;-2.8869727
36091;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2881862;-2.8853727
36092;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2909862;-2.8835727
36093;País Vasco;garage;Vacio;3600.0;0.0;0;0.0;43.2897862;-2.8875727
36094;País Vasco;garage;Vacio;5300.0;0.0;0;0.0;43.2881862;-2.8843727
36095;País Vasco;garage;Vacio;3900.0;0.0;0;0.0;43.2897862;-2.8875727
36096;País Vasco;garage;Vacio;5800.0;0.0;0;0.0;43.2881862;-2.8856727
36097;País Vasco;garage;Vacio;6200.0;0.0;0;0.0;43.2921862;-2.8853727
36098;País Vasco;garage;Vacio;3400.0;0.0;0;0.0;43.2884862;-2.8835727
36099;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2881862;-2.8856727
36100;País Vasco;garage;Vacio;5100.0;0.0;0;0.0;43.2906862;-2.8835727
36101;País Vasco;garage;Vacio;5100.0;0.0;0;0.0;43.2900862;-2.8875727
36102;País Vasco;garage;Vacio;3400.0;0.0;0;0.0;43.2921862;-2.8848727
36103;País Vasco;garage;Vacio;3400.0;0.0;0;0.0;43.2921862;-2.8838727
36104;País Vasco;garage;Vacio;3700.0;0.0;0;0.0;43.2905862;-2.8835727
36105;País Vasco;garage;Vacio;3400.0;0.0;0;0.0;43.2921862;-2.8845727
36106;País Vasco;garage;Vacio;4300.0;0.0;0;0.0;43.2882862;-2.8875727
