index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
17734;País Vasco;house;terraced house;119500.0;154.0;0;0.0;43.2750265;-2.9719254
19564;País Vasco;house;terraced house;29900.0;180.0;0;0.0;43.2684583;-3.2518762
82768;País Vasco;house;terraced house;318000.0;182.0;1;0.0;43.3755529;-2.991923
82933;País Vasco;house;terraced house;290000.0;331.0;1;2.0;43.3725141;-2.5941239
84297;País Vasco;house;terraced house;29995.0;45.0;2;0.0;43.3115938;-3.0559507
125899;País Vasco;house;terraced house;185400.0;77.0;2;2.0;42.678046;-2.3417172
144803;País Vasco;house;terraced house;246414.0;90.0;2;0.0;43.3038565;-3.0360631
144958;País Vasco;house;terraced house;180000.0;90.0;2;0.0;42.8735159;-2.6807444
149754;País Vasco;house;terraced house;235000.0;95.0;2;0.0;43.2985538;-2.9903564
152450;País Vasco;house;terraced house;289000.0;100.0;2;0.0;43.3042565;-3.0340631
160742;País Vasco;house;terraced house;259500.0;125.0;2;0.0;43.3877052;-2.9851316
160945;País Vasco;house;terraced house;400000.0;127.0;2;0.0;43.2145465;-3.141127
161813;País Vasco;house;terraced house;311073.0;133.0;2;0.0;43.3814709;-2.9905604
161814;País Vasco;house;terraced house;311013.0;133.0;2;0.0;43.3814709;-2.9905604
161815;País Vasco;house;terraced house;310955.0;133.0;2;0.0;43.3814709;-2.9905604
161816;País Vasco;house;terraced house;356959.0;133.0;2;0.0;43.3814709;-2.9905604
161817;País Vasco;house;terraced house;310755.0;133.0;2;0.0;43.3814709;-2.9905604
162248;País Vasco;house;terraced house;350241.0;138.0;2;0.0;43.3814709;-2.9905604
163282;País Vasco;house;terraced house;290000.0;150.0;2;0.0;43.3541687;-1.8000858
163855;País Vasco;house;terraced house;295000.0;157.0;2;0.0;43.2829788;-1.9464864
164062;País Vasco;house;terraced house;440000.0;160.0;2;0.0;43.325192;-2.8529984
164535;País Vasco;house;terraced house;690000.0;175.0;2;0.0;43.3623958;-3.0186936
164784;País Vasco;house;terraced house;295000.0;183.0;2;0.0;43.2646166;-2.958807
164970;País Vasco;house;terraced house;350000.0;191.0;2;0.0;43.3918272;-2.9217491
165450;País Vasco;house;terraced house;700000.0;224.0;2;0.0;43.3000118;-1.9782965
165933;País Vasco;house;terraced house;136800.0;318.0;2;0.0;43.0406836;-2.1491028
181152;País Vasco;house;terraced house;220000.0;75.0;3;0.0;43.3001843;-3.0342233
186611;País Vasco;house;terraced house;550000.0;78.0;3;0.0;43.3101156;-1.9898326
186825;País Vasco;house;terraced house;550000.0;78.0;3;0.0;43.3103156;-1.9878326
191568;País Vasco;house;terraced house;300000.0;80.0;3;0.0;43.3168651;-3.0145313
207385;País Vasco;house;terraced house;191000.0;89.0;3;0.0;43.3211369;-3.1155304
207861;País Vasco;house;terraced house;225000.0;89.0;3;2.0;42.841338;-2.5136573
209392;País Vasco;house;terraced house;160000.0;90.0;3;0.0;43.13024;-2.78192
225763;País Vasco;house;terraced house;329000.0;96.0;3;0.0;43.22226;-3.02018
231940;País Vasco;house;terraced house;360600.0;100.0;3;0.0;42.9876448;-3.0083565
232671;País Vasco;house;terraced house;190000.0;100.0;3;0.0;43.310369;-3.0047888
232884;País Vasco;house;terraced house;143000.0;100.0;3;0.0;42.5876887;-2.7951963
233316;País Vasco;house;terraced house;180000.0;100.0;3;0.0;42.97498;-2.2932617
252212;País Vasco;house;terraced house;190000.0;110.0;3;2.0;42.740765;-2.4469407
254746;País Vasco;house;terraced house;310000.0;112.0;3;0.0;43.3576516;-2.9964351
254853;País Vasco;house;terraced house;310000.0;112.0;3;0.0;43.3610402;-2.9891999
254856;País Vasco;house;terraced house;310000.0;112.0;3;0.0;43.3621132;-2.9955207
254910;País Vasco;house;terraced house;219000.0;112.0;3;0.0;43.3522198;-2.9076243
254911;País Vasco;house;terraced house;219000.0;112.0;3;0.0;43.3490889;-2.9066123
255084;País Vasco;house;terraced house;341000.0;112.0;3;0.0;43.3610402;-2.9891999
255153;País Vasco;house;terraced house;312000.0;112.0;3;0.0;43.224633;-3.0192135
256068;País Vasco;house;terraced house;106000.0;113.0;3;0.0;42.5859887;-2.7921963
258608;País Vasco;house;terraced house;341000.0;115.0;3;0.0;43.3630402;-2.9873999
266010;País Vasco;house;terraced house;490000.0;120.0;3;2.0;43.326931;-1.967539
266441;País Vasco;house;terraced house;275000.0;121.0;3;0.0;43.3010843;-2.878799
266442;País Vasco;house;terraced house;330000.0;121.0;3;0.0;43.0584976;-2.9953276
266702;País Vasco;house;terraced house;199000.0;121.0;3;0.0;42.8134906;-2.863599
267177;País Vasco;house;terraced house;450000.0;122.0;3;0.0;43.3512881;-3.0055378
267396;País Vasco;house;terraced house;275000.0;122.0;3;0.0;42.8459013;-2.7044173
267816;País Vasco;house;terraced house;398000.0;123.0;3;0.0;43.3597113;-2.9795236
268336;País Vasco;house;terraced house;340500.0;124.0;3;2.0;42.8659572;-2.6736978
268673;País Vasco;house;terraced house;285000.0;125.0;3;0.0;42.8666511;-2.6998199
268927;País Vasco;house;terraced house;90000.0;125.0;3;0.0;42.5890543;-2.7984016
269132;País Vasco;house;terraced house;238000.0;125.0;3;0.0;42.8833452;-2.7283621
269133;País Vasco;house;terraced house;285000.0;125.0;3;0.0;42.8694511;-2.6974199
271107;País Vasco;house;terraced house;361500.0;128.0;3;2.0;42.8717128;-2.6856392
272921;País Vasco;house;terraced house;240000.0;130.0;3;0.0;43.1537678;-3.027162
273142;País Vasco;house;terraced house;340000.0;130.0;3;0.0;42.8694315;-2.6966338
