index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
44317;País Vasco;land;Vacio;69000.0;0.0;0;0.0;43.2717053;-2.4944516
44318;País Vasco;land;Vacio;195000.0;0.0;0;0.0;43.2678885;-2.4985114
44319;País Vasco;land;Vacio;100000.0;0.0;0;0.0;42.8593665;-2.576864
44320;País Vasco;land;Vacio;85000.0;0.0;0;0.0;43.27149;-2.4971799
44322;País Vasco;land;Vacio;129000.0;0.0;0;0.0;43.3664348;-2.5054868
44323;País Vasco;land;Vacio;75000.0;0.0;0;0.0;43.3146667;-2.4674667
44812;País Vasco;land;Vacio;210000.0;0.0;0;0.0;43.3438577;-2.9865013
44814;País Vasco;land;Vacio;3000000.0;0.0;0;0.0;43.3099198;-3.0928786
45084;País Vasco;land;Vacio;15000000.0;0.0;0;0.0;43.3003014;-3.0311828
45138;País Vasco;land;Vacio;1431522.0;0.0;0;0.0;43.3774911;-2.9831086
45139;País Vasco;land;Vacio;200000.0;0.0;0;0.0;43.3774911;-2.9831086
45141;País Vasco;land;Vacio;1543744.0;0.0;0;0.0;43.3208955;-3.0186811
45451;País Vasco;land;Vacio;425000.0;0.0;0;0.0;42.8441959;-2.7476051
45538;País Vasco;land;Vacio;155000.0;0.0;0;0.0;43.4085155;-2.9015797
45539;País Vasco;land;Vacio;240000.0;0.0;0;0.0;43.4085155;-2.9015797
45541;País Vasco;land;Vacio;320000.0;0.0;0;0.0;43.4116336;-2.9251913
45542;País Vasco;land;Vacio;420000.0;0.0;0;0.0;43.4056211;-2.9451032
45543;País Vasco;land;Vacio;276000.0;0.0;0;0.0;43.4173991;-2.9317625
45544;País Vasco;land;Vacio;210000.0;0.0;0;0.0;43.4124336;-2.9211913
45721;País Vasco;land;Vacio;350000.0;0.0;0;0.0;43.3444556;-1.7844799
46075;País Vasco;land;Vacio;400000.0;0.0;0;0.0;43.2896705;-1.9735613
46076;País Vasco;land;Vacio;400000.0;0.0;0;0.0;43.2929915;-1.9757209
46232;País Vasco;land;Vacio;240400.0;0.0;0;0.0;43.3420145;-2.6546743
46233;País Vasco;land;Vacio;246000.0;0.0;0;0.0;43.395178;-2.699531
46234;País Vasco;land;Vacio;278570.0;0.0;0;0.0;43.384692;-2.695859
46235;País Vasco;land;Vacio;180000.0;0.0;0;0.0;43.2914723;-2.6881316
46236;País Vasco;land;Vacio;39000.0;0.0;0;0.0;43.4172248;-2.7289756
46237;País Vasco;land;Vacio;204345.0;0.0;0;0.0;43.3299087;-2.7831861
46238;País Vasco;land;Vacio;246500.0;0.0;0;0.0;43.3248321;-2.6612777
