index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60751;Principado de Asturias;countryHouse;country house;24000.0;12.0;1;0.0;43.4019002;-6.2533128
61155;Principado de Asturias;countryHouse;country house;50000.0;31.0;1;0.0;43.3836656;-5.1838288
82186;Principado de Asturias;countryHouse;country house;47000.0;110.0;1;0.0;43.3297101;-4.7026775
83425;Principado de Asturias;countryHouse;country house;63630.0;40.0;2;0.0;43.4584102;-5.7208305
84246;Principado de Asturias;countryHouse;country house;78600.0;45.0;2;0.0;43.4810419;-5.6850485
93851;Principado de Asturias;countryHouse;country house;107000.0;60.0;2;0.0;43.5246226;-5.5427299
305008;Principado de Asturias;countryHouse;country house;1700000.0;400.0;3;0.0;43.3856656;-5.1852288
333730;Principado de Asturias;countryHouse;country house;118000.0;140.0;4;0.0;43.4533435;-5.7969042
364958;Principado de Asturias;countryHouse;country house;1350000.0;298.0;4;0.0;43.5574553;-5.921152
402221;Principado de Asturias;countryHouse;country house;300000.0;600.0;6;4.0;43.3593739;-5.2573693
