index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
4026;Principado de Asturias;countryHouse;village house;55000.0;49.0;0;0.0;43.2786491;-4.8312798
11067;Principado de Asturias;countryHouse;village house;25000.0;91.0;0;0.0;43.4015509;-5.6311227
15445;Principado de Asturias;countryHouse;village house;30000.0;130.0;0;0.0;43.347569;-5.1281406
22617;Principado de Asturias;countryHouse;village house;120000.0;234.0;0;0.0;43.346169;-5.1289406
68889;Principado de Asturias;countryHouse;village house;40000.0;50.0;1;0.0;43.3968273;-5.1858994
82034;Principado de Asturias;countryHouse;village house;40000.0;104.0;1;0.0;43.4077938;-5.1520507
82878;Principado de Asturias;countryHouse;village house;58000.0;263.0;1;0.0;43.436536;-5.8274108
99840;Principado de Asturias;countryHouse;village house;55000.0;64.0;2;0.0;43.3497794;-5.9762037
102878;Principado de Asturias;countryHouse;village house;23000.0;65.0;2;0.0;43.2547713;-5.7845205
102879;Principado de Asturias;countryHouse;village house;23000.0;65.0;2;0.0;43.2554927;-5.7838494
109655;Principado de Asturias;countryHouse;village house;56500.0;70.0;2;0.0;43.2100409;-5.7577688
113444;Principado de Asturias;countryHouse;village house;90000.0;70.0;2;0.0;43.347569;-5.1279406
117852;Principado de Asturias;countryHouse;village house;53000.0;73.0;2;0.0;43.3252311;-5.0771606
127953;Principado de Asturias;countryHouse;village house;40000.0;79.0;2;0.0;43.2723041;-5.6090906
135251;Principado de Asturias;countryHouse;village house;140000.0;82.0;2;0.0;43.4875388;-6.1133106
150506;Principado de Asturias;countryHouse;village house;115000.0;96.0;2;0.0;43.3854085;-5.7113894
153303;Principado de Asturias;countryHouse;village house;15000.0;100.0;2;0.0;43.3147613;-6.0211
153490;Principado de Asturias;countryHouse;village house;99000.0;100.0;2;0.0;43.4835247;-5.2735366
155502;Principado de Asturias;countryHouse;village house;225000.0;105.0;2;0.0;43.3449574;-5.3644256
162014;Principado de Asturias;countryHouse;village house;210000.0;135.0;2;0.0;43.3480852;-5.3648329
164702;Principado de Asturias;countryHouse;village house;198000.0;180.0;2;0.0;43.4864388;-6.1113106
173562;Principado de Asturias;countryHouse;village house;47900.0;68.0;3;0.0;43.3451389;-5.9757246
189191;Principado de Asturias;countryHouse;village house;75000.0;80.0;3;0.0;43.4378505;-5.8492287
208823;Principado de Asturias;countryHouse;village house;150000.0;90.0;3;0.0;43.3002148;-5.3610712
233784;Principado de Asturias;countryHouse;village house;65000.0;100.0;3;0.0;43.3561703;-5.6090658
263583;Principado de Asturias;countryHouse;village house;58000.0;120.0;3;0.0;43.4020795;-5.1442407
264123;Principado de Asturias;countryHouse;village house;90000.0;120.0;3;0.0;43.4816733;-5.4335497
273341;Principado de Asturias;countryHouse;village house;48000.0;130.0;3;0.0;43.2511975;-5.8732696
278407;Principado de Asturias;countryHouse;village house;160000.0;140.0;3;0.0;43.1870632;-6.8528418
287575;Principado de Asturias;countryHouse;village house;80500.0;162.0;3;2.0;43.31902;-5.69823
325543;Principado de Asturias;countryHouse;village house;75000.0;122.0;4;0.0;43.3296;-5.56289
337144;Principado de Asturias;countryHouse;village house;37000.0;150.0;4;0.0;43.22863;-5.52007
337588;Principado de Asturias;countryHouse;village house;107000.0;150.0;4;0.0;43.1210027;-5.5616833
338391;Principado de Asturias;countryHouse;village house;315000.0;150.0;4;0.0;43.4158443;-5.9847284
352128;Principado de Asturias;countryHouse;village house;100000.0;200.0;4;0.0;43.3666863;-5.9600877
352303;Principado de Asturias;countryHouse;village house;150000.0;200.0;4;0.0;43.5632156;-5.9693139
371877;Principado de Asturias;countryHouse;village house;160000.0;500.0;4;0.0;43.3435659;-5.7964762
