index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61716;Principado de Asturias;flat;penthouse;90000.0;35.0;1;10.0;43.3609791;-5.8657341
62587;Principado de Asturias;flat;penthouse;75000.0;40.0;1;6.0;43.2502983;-5.5610387
63497;Principado de Asturias;flat;penthouse;79724.0;41.0;1;7.0;43.5099372;-5.6681121
64927;Principado de Asturias;flat;penthouse;150000.0;45.0;1;7.0;43.3718726;-5.8550535
66865;Principado de Asturias;flat;penthouse;79500.0;48.0;1;4.0;43.5435789;-6.1027446
67168;Principado de Asturias;flat;penthouse;102450.0;49.0;1;8.0;43.3764575;-5.8354937
67271;Principado de Asturias;flat;penthouse;120000.0;49.0;1;7.0;43.5257209;-5.6826467
68340;Principado de Asturias;flat;penthouse;105000.0;50.0;1;8.0;43.6156719;-5.8015115
69564;Principado de Asturias;flat;penthouse;59000.0;51.0;1;7.0;43.276348;-5.6075373
71078;Principado de Asturias;flat;penthouse;130000.0;54.0;1;8.0;43.527289;-5.6799137
72085;Principado de Asturias;flat;penthouse;135000.0;55.0;1;7.0;43.5409985;-5.6574032
73508;Principado de Asturias;flat;penthouse;133800.0;58.0;1;7.0;43.5446181;-5.6631656
73802;Principado de Asturias;flat;penthouse;133800.0;58.0;1;8.0;43.5405224;-5.6620987
76602;Principado de Asturias;flat;penthouse;139000.0;63.0;1;6.0;43.5222682;-5.6574577
78030;Principado de Asturias;flat;penthouse;225178.0;67.0;1;8.0;43.3547239;-5.8619556
79415;Principado de Asturias;flat;penthouse;97000.0;71.0;1;8.0;43.5306116;-5.6637877
81020;Principado de Asturias;flat;penthouse;110000.0;82.0;1;5.0;43.5411629;-5.6565925
85335;Principado de Asturias;flat;penthouse;114000.0;50.0;2;7.0;43.5480516;-6.825014
86240;Principado de Asturias;flat;penthouse;130000.0;50.0;2;12.0;43.5376718;-5.659507
86769;Principado de Asturias;flat;penthouse;118000.0;52.0;2;5.0;43.5190906;-6.8458204
87560;Principado de Asturias;flat;penthouse;66660.0;54.0;2;5.0;43.5894301;-5.7696563
89711;Principado de Asturias;flat;penthouse;195000.0;56.0;2;8.0;43.3569009;-5.851889
91246;Principado de Asturias;flat;penthouse;80000.0;58.0;2;4.0;43.2813333;-4.7684667
92310;Principado de Asturias;flat;penthouse;192000.0;60.0;2;8.0;43.3569009;-5.851889
93957;Principado de Asturias;flat;penthouse;139000.0;60.0;2;8.0;43.372044;-5.8541808
94111;Principado de Asturias;flat;penthouse;110000.0;60.0;2;5.0;43.5244516;-7.0260028
94113;Principado de Asturias;flat;penthouse;115000.0;60.0;2;5.0;43.5480516;-6.825014
94489;Principado de Asturias;flat;penthouse;139000.0;60.0;2;8.0;43.368344;-5.8550808
95675;Principado de Asturias;flat;penthouse;131000.0;60.0;2;8.0;43.3720708;-5.835347
97797;Principado de Asturias;flat;penthouse;144000.0;62.0;2;6.0;43.345569;-5.1269406
98320;Principado de Asturias;flat;penthouse;139000.0;62.0;2;8.0;43.372344;-5.8563808
98975;Principado de Asturias;flat;penthouse;165000.0;63.0;2;7.0;43.5409985;-5.6574032
100828;Principado de Asturias;flat;penthouse;110000.0;65.0;2;4.0;43.527189;-5.6759137
100837;Principado de Asturias;flat;penthouse;120000.0;65.0;2;6.0;43.2451444;-5.5611736
101106;Principado de Asturias;flat;penthouse;89800.0;65.0;2;11.0;43.56196;-5.97505
103610;Principado de Asturias;flat;penthouse;80000.0;65.0;2;7.0;43.3665786;-5.8649447
108929;Principado de Asturias;flat;penthouse;148000.0;69.0;2;8.0;43.3647738;-5.8546937
110190;Principado de Asturias;flat;penthouse;79000.0;70.0;2;5.0;43.3496832;-5.3646403
111665;Principado de Asturias;flat;penthouse;91000.0;70.0;2;10.0;43.3608826;-5.8603947
112526;Principado de Asturias;flat;penthouse;189500.0;70.0;2;7.0;43.371839;-5.8403883
114208;Principado de Asturias;flat;penthouse;129000.0;70.0;2;10.0;43.5372679;-5.6684154
114932;Principado de Asturias;flat;penthouse;112800.0;71.0;2;5.0;43.2456605;-5.5618974
116482;Principado de Asturias;flat;penthouse;140000.0;72.0;2;9.0;43.366749;-5.8711066
116892;Principado de Asturias;flat;penthouse;110000.0;72.0;2;8.0;43.3685311;-5.8428614
118917;Principado de Asturias;flat;penthouse;170000.0;74.0;2;11.0;43.3643144;-5.8773224
120377;Principado de Asturias;flat;penthouse;220000.0;75.0;2;6.0;43.4615235;-5.0599517
121149;Principado de Asturias;flat;penthouse;100000.0;75.0;2;4.0;43.3738573;-4.5442565
121520;Principado de Asturias;flat;penthouse;170000.0;75.0;2;7.0;43.5349339;-5.6594194
122200;Principado de Asturias;flat;penthouse;100000.0;75.0;2;4.0;43.3758573;-4.5437565
122733;Principado de Asturias;flat;penthouse;120000.0;75.0;2;8.0;43.3632224;-5.8589732
123515;Principado de Asturias;flat;penthouse;155000.0;75.0;2;7.0;43.3881786;-5.8199012
123602;Principado de Asturias;flat;penthouse;140000.0;75.0;2;8.0;43.37046;-5.86637
126902;Principado de Asturias;flat;penthouse;152900.0;78.0;2;10.0;43.3705;-5.8289588
126963;Principado de Asturias;flat;penthouse;136000.0;78.0;2;6.0;43.5241048;-5.6703173
129859;Principado de Asturias;flat;penthouse;190000.0;80.0;2;8.0;43.3706047;-5.8370423
130432;Principado de Asturias;flat;penthouse;200000.0;80.0;2;8.0;43.3666047;-5.8396423
131182;Principado de Asturias;flat;penthouse;185000.0;80.0;2;10.0;43.3534997;-5.8748522
131423;Principado de Asturias;flat;penthouse;195000.0;80.0;2;7.0;43.5342074;-5.6579077
133773;Principado de Asturias;flat;penthouse;263501.0;81.0;2;8.0;43.3547239;-5.8619556
135218;Principado de Asturias;flat;penthouse;192600.0;82.0;2;5.0;43.4225501;-4.7514095
135436;Principado de Asturias;flat;penthouse;188000.0;82.0;2;10.0;43.5392001;-5.6578802
136164;Principado de Asturias;flat;penthouse;198000.0;83.0;2;7.0;43.537596;-5.6604721
136384;Principado de Asturias;flat;penthouse;162000.0;83.0;2;8.0;43.3662704;-5.854816
137332;Principado de Asturias;flat;penthouse;148000.0;84.0;2;9.0;43.3841621;-5.8210938
137333;Principado de Asturias;flat;penthouse;148000.0;84.0;2;9.0;43.3819621;-5.8202938
137541;Principado de Asturias;flat;penthouse;130000.0;84.0;2;8.0;43.3630959;-5.8510796
138054;Principado de Asturias;flat;penthouse;90000.0;85.0;2;6.0;43.2412221;-5.5646665
138365;Principado de Asturias;flat;penthouse;265000.0;85.0;2;10.0;43.3735149;-5.8315241
138806;Principado de Asturias;flat;penthouse;209000.0;85.0;2;9.0;43.35714;-5.83464
139341;Principado de Asturias;flat;penthouse;159000.0;85.0;2;7.0;43.3704755;-5.8455444
140024;Principado de Asturias;flat;penthouse;195000.0;85.0;2;8.0;43.3666047;-5.8373423
141085;Principado de Asturias;flat;penthouse;185000.0;86.0;2;9.0;43.3675139;-5.8533871
142010;Principado de Asturias;flat;penthouse;129690.0;88.0;2;0.0;43.4235503;-4.7665408
142011;Principado de Asturias;flat;penthouse;129690.0;88.0;2;0.0;43.4235503;-4.7665408
142012;Principado de Asturias;flat;penthouse;129690.0;88.0;2;0.0;43.4235503;-4.7665408
142796;Principado de Asturias;flat;penthouse;124690.0;89.0;2;0.0;43.4235503;-4.7665408
145480;Principado de Asturias;flat;penthouse;189000.0;90.0;2;7.0;43.371839;-5.8385883
147100;Principado de Asturias;flat;penthouse;175000.0;91.0;2;10.0;43.3666791;-5.8698749
148267;Principado de Asturias;flat;penthouse;100000.0;93.0;2;8.0;43.3639319;-5.8622751
155035;Principado de Asturias;flat;penthouse;150000.0;105.0;2;0.0;43.4235503;-4.7665408
159926;Principado de Asturias;flat;penthouse;300000.0;120.0;2;10.0;43.37394;-5.84023
163983;Principado de Asturias;flat;penthouse;385000.0;160.0;2;9.0;43.3535492;-5.8512326
169928;Principado de Asturias;flat;penthouse;108000.0;63.0;3;10.0;43.3712761;-5.8376127
185399;Principado de Asturias;flat;penthouse;220000.0;77.0;3;5.0;43.5266367;-7.030892
186587;Principado de Asturias;flat;penthouse;149040.0;78.0;3;11.0;43.5522942;-5.916624
186648;Principado de Asturias;flat;penthouse;220000.0;78.0;3;7.0;43.3817367;-5.8141696
196082;Principado de Asturias;flat;penthouse;115000.0;82.0;3;8.0;43.3699353;-5.8540504
196914;Principado de Asturias;flat;penthouse;165000.0;83.0;3;9.0;43.3659994;-5.8444159
200041;Principado de Asturias;flat;penthouse;270000.0;85.0;3;10.0;43.5414663;-5.6589293
203183;Principado de Asturias;flat;penthouse;88000.0;86.0;3;7.0;43.276348;-5.6075373
205046;Principado de Asturias;flat;penthouse;165000.0;87.0;3;9.0;43.369949;-5.8711066
205047;Principado de Asturias;flat;penthouse;165000.0;87.0;3;9.0;43.368149;-5.8711066
205672;Principado de Asturias;flat;penthouse;159000.0;87.0;3;5.0;43.5278299;-5.68397
213187;Principado de Asturias;flat;penthouse;120000.0;90.0;3;7.0;43.5299405;-5.6611906
216312;Principado de Asturias;flat;penthouse;305000.0;91.0;3;0.0;43.3586903;-5.8683883
217813;Principado de Asturias;flat;penthouse;165000.0;92.0;3;9.0;43.366049;-5.8717066
218464;Principado de Asturias;flat;penthouse;185000.0;92.0;3;8.0;43.3691391;-5.8564441
222766;Principado de Asturias;flat;penthouse;290000.0;95.0;3;5.0;43.5261713;-5.6443402
223321;Principado de Asturias;flat;penthouse;190000.0;95.0;3;9.0;43.35874;-5.83864
223322;Principado de Asturias;flat;penthouse;186000.0;95.0;3;9.0;43.3692712;-5.8478709
224026;Principado de Asturias;flat;penthouse;236000.0;95.0;3;3.0;43.3808293;-5.8155396
224296;Principado de Asturias;flat;penthouse;390000.0;95.0;3;10.0;43.3637607;-5.8458988
224963;Principado de Asturias;flat;penthouse;255000.0;95.0;3;6.0;43.5199682;-5.6545577
224964;Principado de Asturias;flat;penthouse;275000.0;95.0;3;10.0;43.5413663;-5.6589293
224965;Principado de Asturias;flat;penthouse;257000.0;95.0;3;11.0;43.5388182;-5.6548436
226207;Principado de Asturias;flat;penthouse;180000.0;96.0;3;9.0;43.3658712;-5.8501709
227204;Principado de Asturias;flat;penthouse;206000.0;97.0;3;5.0;43.4205501;-4.7526095
232264;Principado de Asturias;flat;penthouse;270000.0;100.0;3;9.0;43.366923;-5.8744829
234572;Principado de Asturias;flat;penthouse;149900.0;100.0;3;8.0;43.3827874;-5.822244
236433;Principado de Asturias;flat;penthouse;350000.0;100.0;3;9.0;43.3523933;-5.8718084
243906;Principado de Asturias;flat;penthouse;174900.0;105.0;3;10.0;43.3717966;-5.8349578
244353;Principado de Asturias;flat;penthouse;299000.0;105.0;3;8.0;43.35281;-5.86873
250779;Principado de Asturias;flat;penthouse;245000.0;110.0;3;8.0;43.355127;-5.8328339
258393;Principado de Asturias;flat;penthouse;225000.0;115.0;3;6.0;43.603349;-5.7953997
262649;Principado de Asturias;flat;penthouse;401933.0;120.0;3;8.0;43.3547239;-5.8619556
263963;Principado de Asturias;flat;penthouse;360000.0;120.0;3;9.0;43.376355;-5.8530372
276921;Principado de Asturias;flat;penthouse;190000.0;137.0;3;7.0;43.612719;-5.7959057
278443;Principado de Asturias;flat;penthouse;340000.0;140.0;3;2.0;43.3554836;-5.8592415
283539;Principado de Asturias;flat;penthouse;195000.0;150.0;3;12.0;43.5368828;-5.6624982
284199;Principado de Asturias;flat;penthouse;210000.0;151.0;3;5.0;43.5217095;-5.6836839
288561;Principado de Asturias;flat;penthouse;360000.0;167.0;3;12.0;43.5325407;-5.6389314
310450;Principado de Asturias;flat;penthouse;149900.0;94.0;4;8.0;43.3673162;-5.8586719
314581;Principado de Asturias;flat;penthouse;225000.0;103.0;4;9.0;43.367849;-5.8751066
318685;Principado de Asturias;flat;penthouse;300000.0;110.0;4;9.0;43.3653106;-5.8630129
320103;Principado de Asturias;flat;penthouse;300000.0;114.0;4;9.0;43.3659106;-5.8637129
320433;Principado de Asturias;flat;penthouse;105000.0;115.0;4;8.0;43.3488248;-5.3628222
322074;Principado de Asturias;flat;penthouse;180000.0;118.0;4;10.0;43.3899711;-5.8152358
322941;Principado de Asturias;flat;penthouse;220000.0;120.0;4;6.0;43.5438135;-6.5363245
323551;Principado de Asturias;flat;penthouse;240000.0;120.0;4;10.0;43.3577658;-5.8498456
323552;Principado de Asturias;flat;penthouse;240000.0;120.0;4;10.0;43.3541276;-5.8477937
324452;Principado de Asturias;flat;penthouse;315000.0;120.0;4;10.0;43.3622095;-5.853693
327127;Principado de Asturias;flat;penthouse;310000.0;125.0;4;8.0;43.3692983;-5.8552708
329208;Principado de Asturias;flat;penthouse;235000.0;130.0;4;7.0;43.3823394;-5.8277366
329209;Principado de Asturias;flat;penthouse;235000.0;130.0;4;7.0;43.3794019;-5.8229043
329817;Principado de Asturias;flat;penthouse;237000.0;130.0;4;8.0;43.5637836;-5.9752534
330364;Principado de Asturias;flat;penthouse;197000.0;132.0;4;9.0;43.3678277;-5.8528096
331820;Principado de Asturias;flat;penthouse;325000.0;136.0;4;0.0;43.5410489;-5.6620343
332157;Principado de Asturias;flat;penthouse;310000.0;137.0;4;10.0;43.366596;-5.8545301
333080;Principado de Asturias;flat;penthouse;450000.0;140.0;4;8.0;43.3635663;-5.8657458
334100;Principado de Asturias;flat;penthouse;580000.0;140.0;4;8.0;43.3663846;-5.8564428
334280;Principado de Asturias;flat;penthouse;265000.0;140.0;4;10.0;43.360415;-5.8642676
338720;Principado de Asturias;flat;penthouse;282000.0;150.0;4;9.0;43.3561306;-5.8382998
341024;Principado de Asturias;flat;penthouse;420000.0;160.0;4;10.0;43.3629318;-5.8527663
345554;Principado de Asturias;flat;penthouse;750000.0;175.0;4;8.0;43.3634291;-5.8528015
348048;Principado de Asturias;flat;penthouse;320000.0;184.0;4;5.0;43.5357794;-5.6489996
368072;Principado de Asturias;flat;penthouse;415000.0;345.0;4;10.0;43.5398681;-5.6581347
376053;Principado de Asturias;flat;penthouse;239000.0;158.0;5;8.0;43.3643403;-5.8479694
376305;Principado de Asturias;flat;penthouse;310000.0;160.0;5;8.0;43.3532966;-5.8719488
377805;Principado de Asturias;flat;penthouse;315000.0;180.0;5;8.0;43.35337;-5.87008
379591;Principado de Asturias;flat;penthouse;640000.0;200.0;5;10.0;43.3593762;-5.8486433
382086;Principado de Asturias;flat;penthouse;600000.0;230.0;5;7.0;43.365006;-5.8507765
383767;Principado de Asturias;flat;penthouse;600000.0;250.0;5;7.0;43.3623895;-5.8548495
397385;Principado de Asturias;flat;penthouse;475000.0;242.0;6;10.0;43.3631398;-5.8567439
401498;Principado de Asturias;flat;penthouse;1600000.0;500.0;6;7.0;43.3617856;-5.8553359
