index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32595;Principado de Asturias;garage;Vacio;16000.0;0.0;0;0.0;43.3510759;-5.8691067
32596;Principado de Asturias;garage;Vacio;7910.0;0.0;0;0.0;43.4235503;-4.7665408
32753;Principado de Asturias;garage;Vacio;9500.0;0.0;0;0.0;43.3612949;-5.8814361
40604;Principado de Asturias;garage;Vacio;10000.0;0.0;0;0.0;43.53957;-7.0181
42058;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42059;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42060;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42061;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42062;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42063;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42064;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42065;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42066;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42067;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42068;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42069;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42070;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42071;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42072;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42073;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42074;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42075;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42076;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42077;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42078;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42079;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42080;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42081;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42082;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42083;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42084;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42085;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42086;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42087;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42088;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42089;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42090;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42091;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42092;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42093;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42094;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42095;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42096;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42097;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42098;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42099;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42100;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42101;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42102;Principado de Asturias;garage;Vacio;4000.0;0.0;0;0.0;43.3806596;-5.183615
42449;Principado de Asturias;garage;Vacio;11029.0;0.0;0;0.0;43.35758;-5.1333
42450;Principado de Asturias;garage;Vacio;14546.0;0.0;0;0.0;43.35758;-5.1333
42451;Principado de Asturias;garage;Vacio;11751.0;0.0;0;0.0;43.35758;-5.1333
42452;Principado de Asturias;garage;Vacio;12219.0;0.0;0;0.0;43.35758;-5.1333
42453;Principado de Asturias;garage;Vacio;13207.0;0.0;0;0.0;43.35758;-5.1333
43855;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43856;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43857;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43858;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43859;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43860;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43861;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
43862;Principado de Asturias;garage;Vacio;11148.0;0.0;0;0.0;43.54274;-5.69445
