index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
14411;Principado de Asturias;house;independent;360000.0;120.0;0;0.0;43.5427963;-5.6215025
16783;Principado de Asturias;house;independent;93000.0;144.0;0;0.0;43.3816656;-5.1827288
17078;Principado de Asturias;house;independent;185000.0;148.0;0;0.0;43.3440852;-5.3611329
17208;Principado de Asturias;house;independent;39000.0;150.0;0;0.0;43.5452295;-6.6668248
24711;Principado de Asturias;house;independent;198000.0;300.0;0;0.0;43.346769;-5.1289406
26874;Principado de Asturias;house;independent;24000.0;410.0;0;0.0;43.4294511;-6.8145971
27291;Principado de Asturias;house;independent;250000.0;450.0;0;0.0;43.541457;-6.5421434
27449;Principado de Asturias;house;independent;260000.0;460.0;0;0.0;43.3518551;-5.1289433
60771;Principado de Asturias;house;independent;29000.0;20.0;1;2.0;43.1046899;-6.216433
62403;Principado de Asturias;house;independent;15750.0;40.0;1;0.0;43.1527572;-5.7226753
62805;Principado de Asturias;house;independent;33000.0;40.0;1;0.0;43.3480852;-5.3639329
63154;Principado de Asturias;house;independent;65000.0;40.0;1;0.0;43.4591063;-5.0587592
65054;Principado de Asturias;house;independent;50000.0;45.0;1;0.0;43.3853656;-5.1858288
74500;Principado de Asturias;house;independent;105250.0;60.0;1;0.0;43.3451749;-5.9375243
75469;Principado de Asturias;house;independent;175000.0;60.0;1;0.0;43.4520119;-5.770028
77024;Principado de Asturias;house;independent;126000.0;65.0;1;0.0;43.5066458;-5.6937338
77564;Principado de Asturias;house;independent;68015.0;65.0;1;0.0;43.3850028;-6.0776685
78561;Principado de Asturias;house;independent;260000.0;69.0;1;0.0;43.5464549;-5.6201766
80369;Principado de Asturias;house;independent;68015.0;77.0;1;2.0;43.35333;-6.01864
80630;Principado de Asturias;house;independent;14000.0;80.0;1;0.0;43.3054879;-5.5872395
81492;Principado de Asturias;house;independent;40000.0;90.0;1;0.0;43.3440852;-5.3645329
81588;Principado de Asturias;house;independent;26250.0;91.0;1;3.0;43.28841;-5.66899
82807;Principado de Asturias;house;independent;67000.0;200.0;1;0.0;43.4796733;-5.4331497
83043;Principado de Asturias;house;independent;250000.0;1620.0;1;0.0;43.541557;-6.5428434
85336;Principado de Asturias;house;independent;36000.0;50.0;2;0.0;43.3460852;-5.3630329
88072;Principado de Asturias;house;independent;40877.0;55.0;2;0.0;43.4913507;-5.5607557
88299;Principado de Asturias;house;independent;66000.0;55.0;2;0.0;43.3639213;-5.1520486
93852;Principado de Asturias;house;independent;117000.0;60.0;2;0.0;43.5303345;-5.545119
94021;Principado de Asturias;house;independent;49000.0;60.0;2;0.0;43.3480852;-5.3620329
94110;Principado de Asturias;house;independent;95000.0;60.0;2;0.0;43.5702333;-6.9439096
95468;Principado de Asturias;house;independent;80000.0;60.0;2;0.0;43.3762275;-5.8662513
95574;Principado de Asturias;house;independent;87000.0;60.0;2;0.0;43.4871003;-5.7348999
96544;Principado de Asturias;house;independent;38899.0;61.0;2;3.0;43.28431;-5.62606
98478;Principado de Asturias;house;independent;15750.0;63.0;2;3.0;43.4977639;-5.7497599
101917;Principado de Asturias;house;independent;100000.0;65.0;2;0.0;43.343569;-5.1279406
108377;Principado de Asturias;house;independent;39798.0;69.0;2;2.0;43.3106277;-5.6837109
110170;Principado de Asturias;house;independent;98000.0;70.0;2;0.0;43.4796733;-5.4331497
111750;Principado de Asturias;house;independent;75000.0;70.0;2;0.0;43.5583917;-5.9748123
113396;Principado de Asturias;house;independent;56500.0;70.0;2;0.0;43.2551509;-5.77996
115683;Principado de Asturias;house;independent;52500.0;72.0;2;3.0;43.49569;-6.15189
116410;Principado de Asturias;house;independent;105000.0;72.0;2;0.0;43.343569;-5.1276406
117008;Principado de Asturias;house;independent;33660.0;72.0;2;0.0;43.4197501;-4.7546095
119860;Principado de Asturias;house;independent;106000.0;75.0;2;0.0;43.4864388;-6.1113106
119861;Principado de Asturias;house;independent;65000.0;75.0;2;0.0;43.5303005;-6.0708714
120389;Principado de Asturias;house;independent;129000.0;75.0;2;0.0;43.1766324;-5.3387526
125664;Principado de Asturias;house;independent;186000.0;77.0;2;0.0;43.5480516;-6.825014
129558;Principado de Asturias;house;independent;19000.0;80.0;2;2.0;43.2138835;-5.7341273
130512;Principado de Asturias;house;independent;105000.0;80.0;2;0.0;43.503062;-5.335507
135054;Principado de Asturias;house;independent;155000.0;82.0;2;0.0;43.4250237;-4.8622311
138702;Principado de Asturias;house;independent;125000.0;85.0;2;0.0;43.3448852;-5.3610329
139170;Principado de Asturias;house;independent;140000.0;85.0;2;0.0;43.4789733;-5.4311497
144128;Principado de Asturias;house;independent;330000.0;90.0;2;0.0;43.4674446;-5.0831613
144279;Principado de Asturias;house;independent;215000.0;90.0;2;0.0;43.4607971;-5.6458319
144280;Principado de Asturias;house;independent;210000.0;90.0;2;0.0;43.4387505;-5.8512287
145478;Principado de Asturias;house;independent;58000.0;90.0;2;0.0;43.3491524;-5.9675236
146114;Principado de Asturias;house;independent;52500.0;90.0;2;0.0;43.2907522;-5.676859
148285;Principado de Asturias;house;independent;285000.0;93.0;2;0.0;43.5117933;-6.7509689
150168;Principado de Asturias;house;independent;82100.0;95.0;2;0.0;43.4401503;-5.8180386
152764;Principado de Asturias;house;independent;100000.0;100.0;2;0.0;43.35613;-5.44576
153102;Principado de Asturias;house;independent;165000.0;100.0;2;0.0;43.400672;-5.7967685
154888;Principado de Asturias;house;independent;70000.0;104.0;2;0.0;43.466531;-7.0497683
155037;Principado de Asturias;house;independent;265000.0;105.0;2;0.0;43.4710945;-5.2099235
156902;Principado de Asturias;house;independent;75000.0;110.0;2;0.0;43.3444852;-5.3650329
158077;Principado de Asturias;house;independent;229000.0;114.0;2;4.0;43.5448505;-5.6176111
159799;Principado de Asturias;house;independent;84000.0;120.0;2;0.0;43.3879725;-5.6997585
