index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3;Principado de Asturias;office;Vacio;11200.0;4.0;0;0.0;43.54178;-5.66552
6;Principado de Asturias;office;Vacio;13400.0;5.0;0;0.0;43.54178;-5.66552
8;Principado de Asturias;office;Vacio;15100.0;6.0;0;0.0;43.54178;-5.66552
9;Principado de Asturias;office;Vacio;15100.0;6.0;0;0.0;43.54178;-5.66552
29;Principado de Asturias;office;Vacio;31200.0;11.0;0;0.0;43.54178;-5.66552
42;Principado de Asturias;office;Vacio;33900.0;12.0;0;0.0;43.54178;-5.66552
43;Principado de Asturias;office;Vacio;33300.0;12.0;0;0.0;43.54178;-5.66552
44;Principado de Asturias;office;Vacio;33500.0;12.0;0;0.0;43.54178;-5.66552
81;Principado de Asturias;office;Vacio;40700.0;14.0;0;0.0;43.54178;-5.66552
154;Principado de Asturias;office;Vacio;47200.0;17.0;0;0.0;43.54178;-5.66552
182;Principado de Asturias;office;Vacio;49400.0;18.0;0;0.0;43.54178;-5.66552
208;Principado de Asturias;office;Vacio;54100.0;19.0;0;0.0;43.54178;-5.66552
522;Principado de Asturias;office;Vacio;24000.0;25.0;0;4.0;43.3949386;-5.6600662
1225;Principado de Asturias;office;Vacio;65000.0;32.0;0;3.0;43.3602174;-5.8489636
1731;Principado de Asturias;office;Vacio;67000.0;35.0;0;3.0;43.365394;-5.8486673
1791;Principado de Asturias;office;Vacio;45000.0;35.0;0;3.0;43.3647453;-5.8521302
2130;Principado de Asturias;office;Vacio;69000.0;38.0;0;4.0;43.3604739;-5.8466773
3586;Principado de Asturias;office;Vacio;75000.0;45.0;0;3.0;43.3669272;-5.8549654
3966;Principado de Asturias;office;Vacio;47000.0;48.0;0;2.0;43.5569038;-5.9333516
6069;Principado de Asturias;office;Vacio;70000.0;60.0;0;9.0;43.3652791;-5.8503797
6097;Principado de Asturias;office;Vacio;52900.0;60.0;0;5.0;43.358405;-5.8598111
6864;Principado de Asturias;office;Vacio;155000.0;65.0;0;3.0;43.3621113;-5.8564988
7301;Principado de Asturias;office;Vacio;99000.0;69.0;0;3.0;43.5591679;-5.9225552
7307;Principado de Asturias;office;Vacio;50323.0;69.0;0;0.0;43.4320075;-5.8432507
7435;Principado de Asturias;office;Vacio;50471.0;70.0;0;0.0;43.4281075;-5.8393507
7879;Principado de Asturias;office;Vacio;106335.0;71.0;0;3.0;43.3716256;-5.82831
8047;Principado de Asturias;office;Vacio;31700.0;72.0;0;5.0;43.3601035;-5.8564916
8081;Principado de Asturias;office;Vacio;99000.0;72.0;0;3.0;43.5443577;-5.6673366
8223;Principado de Asturias;office;Vacio;102000.0;74.0;0;2.0;43.3654968;-5.8563408
8601;Principado de Asturias;office;Vacio;120000.0;75.0;0;3.0;43.3636132;-5.8478805
9371;Principado de Asturias;office;Vacio;130000.0;80.0;0;2.0;43.5386231;-5.6626065
9477;Principado de Asturias;office;Vacio;110000.0;80.0;0;2.0;43.35672;-5.8508
9478;Principado de Asturias;office;Vacio;250000.0;80.0;0;4.0;43.5400664;-5.6580413
9777;Principado de Asturias;office;Vacio;85000.0;82.0;0;3.0;43.5423669;-5.6641743
10437;Principado de Asturias;office;Vacio;175000.0;88.0;0;4.0;43.3650684;-5.8524549
10621;Principado de Asturias;office;Vacio;180000.0;89.0;0;5.0;43.5433978;-5.6620503
10919;Principado de Asturias;office;Vacio;179000.0;90.0;0;4.0;43.3642985;-5.850475
11272;Principado de Asturias;office;Vacio;132048.0;94.0;0;3.0;43.3581677;-5.8483432
12035;Principado de Asturias;office;Vacio;205000.0;100.0;0;3.0;43.3642899;-5.8484686
12319;Principado de Asturias;office;Vacio;250000.0;100.0;0;6.0;43.3659671;-5.8478157
13502;Principado de Asturias;office;Vacio;135000.0;110.0;0;3.0;43.3571835;-5.8504245
13679;Principado de Asturias;office;Vacio;120000.0;112.0;0;3.0;43.368719;-5.8488873
15382;Principado de Asturias;office;Vacio;280000.0;130.0;0;2.0;43.3605983;-5.8552341
17334;Principado de Asturias;office;Vacio;350000.0;150.0;0;3.0;43.36795;-5.85335
18270;Principado de Asturias;office;Vacio;280000.0;160.0;0;3.0;43.3594646;-5.8466044
18913;Principado de Asturias;office;Vacio;100000.0;170.0;0;0.0;43.3747243;-5.8087578
19121;Principado de Asturias;office;Vacio;400000.0;172.0;0;3.0;43.3655098;-5.8542845
19620;Principado de Asturias;office;Vacio;160000.0;180.0;0;3.0;43.3645347;-5.8473372
19692;Principado de Asturias;office;Vacio;210000.0;180.0;0;3.0;43.3642998;-5.857441
19693;Principado de Asturias;office;Vacio;230000.0;180.0;0;3.0;43.3656452;-5.8556265
20513;Principado de Asturias;office;Vacio;226177.0;196.0;0;3.0;43.367065;-5.8457784
20676;Principado de Asturias;office;Vacio;90500.0;200.0;0;0.0;43.51212;-5.86843
20955;Principado de Asturias;office;Vacio;225000.0;200.0;0;2.0;43.3665391;-5.8729802
21236;Principado de Asturias;office;Vacio;250000.0;205.0;0;3.0;43.3578835;-5.8484245
21595;Principado de Asturias;office;Vacio;84400.0;211.0;0;4.0;43.3160787;-5.8072638
21723;Principado de Asturias;office;Vacio;358000.0;215.0;0;2.0;43.3695134;-5.8407011
21779;Principado de Asturias;office;Vacio;151200.0;216.0;0;0.0;43.54178;-5.66552
22098;Principado de Asturias;office;Vacio;350000.0;222.0;0;3.0;43.3581678;-5.851003
23198;Principado de Asturias;office;Vacio;600000.0;250.0;0;3.0;43.3639078;-5.8561091
23670;Principado de Asturias;office;Vacio;360000.0;260.0;0;3.0;43.3654327;-5.8503344
25554;Principado de Asturias;office;Vacio;295000.0;335.0;0;2.0;43.3543053;-5.8515496
26602;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.50852;-5.86723
26603;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.50832;-5.87123
26604;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.50822;-5.87123
26605;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.50872;-5.86723
26606;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.50812;-5.86973
26607;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.51212;-5.86823
26608;Principado de Asturias;office;Vacio;133400.0;400.0;0;0.0;43.51042;-5.86723
29555;Principado de Asturias;office;Vacio;243100.0;786.0;0;0.0;43.50812;-5.86983
29589;Principado de Asturias;office;Vacio;247200.0;800.0;0;0.0;43.51212;-5.86783
30022;Principado de Asturias;office;Vacio;1400000.0;900.0;0;2.0;43.3631186;-5.8541715
