index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
8581;Región de Murcia;countryHouse;country house;56000.0;75.0;0;0.0;37.7701855;-1.4951897
92875;Región de Murcia;countryHouse;country house;120000.0;60.0;2;0.0;37.7779018;-1.5477743
113030;Región de Murcia;countryHouse;country house;150000.0;70.0;2;0.0;37.6472222;-0.8679595
122950;Región de Murcia;countryHouse;country house;70000.0;75.0;2;0.0;37.7986793;-1.5175771
129740;Región de Murcia;countryHouse;country house;60000.0;80.0;2;2.0;37.9174148;-1.3306184
155272;Región de Murcia;countryHouse;country house;129500.0;105.0;2;0.0;38.1803006;-1.122005
164221;Región de Murcia;countryHouse;country house;87000.0;165.0;2;0.0;37.9986548;-1.1627507
170272;Región de Murcia;countryHouse;country house;76300.0;64.0;3;0.0;37.9274881;-1.1743738
170274;Región de Murcia;countryHouse;country house;110300.0;64.0;3;2.0;38.0875195;-1.2105759
170275;Región de Murcia;countryHouse;country house;110300.0;64.0;3;0.0;37.8861264;-0.9466685
170277;Región de Murcia;countryHouse;country house;100300.0;64.0;3;0.0;38.0674866;-1.1749226
180992;Región de Murcia;countryHouse;country house;160000.0;75.0;3;0.0;37.7851176;-1.5071754
233351;Región de Murcia;countryHouse;country house;115600.0;100.0;3;0.0;38.0653736;-1.1739356
233352;Región de Murcia;countryHouse;country house;138600.0;100.0;3;0.0;38.1008541;-1.179449
233353;Región de Murcia;countryHouse;country house;115600.0;100.0;3;0.0;37.8853482;-0.9462965
233355;Región de Murcia;countryHouse;country house;125600.0;100.0;3;0.0;38.0888386;-1.210669
235135;Región de Murcia;countryHouse;country house;90000.0;100.0;3;0.0;38.0379214;-1.4953523
240137;Región de Murcia;countryHouse;country house;360000.0;103.0;3;2.0;37.8726512;-1.409314
271387;Región de Murcia;countryHouse;country house;170000.0;129.0;3;3.0;37.9904325;-1.1284575
278213;Región de Murcia;countryHouse;country house;750000.0;140.0;3;2.0;37.4097546;-1.5825678
282850;Región de Murcia;countryHouse;country house;100000.0;150.0;3;0.0;37.7126912;-1.4121925
313412;Región de Murcia;countryHouse;country house;130000.0;100.0;4;0.0;38.2358902;-1.426375
319502;Región de Murcia;countryHouse;country house;130000.0;112.0;4;0.0;38.0510243;-1.1911709
329625;Región de Murcia;countryHouse;country house;120000.0;130.0;4;0.0;37.6050525;-0.9175428
337088;Región de Murcia;countryHouse;country house;162500.0;150.0;4;0.0;37.8076945;-0.8360491
350857;Región de Murcia;countryHouse;country house;450000.0;200.0;4;4.0;37.7759661;-1.5208785
373049;Región de Murcia;countryHouse;country house;130000.0;10500.0;4;0.0;38.2358902;-1.426375
380590;Región de Murcia;countryHouse;country house;330000.0;211.0;5;0.0;37.7894167;-1.5133892
396595;Región de Murcia;countryHouse;country house;310000.0;200.0;6;0.0;37.7898707;-1.4956278
405162;Región de Murcia;countryHouse;country house;300000.0;500.0;7;0.0;38.1304507;-1.15404
408356;Región de Murcia;countryHouse;country house;1600000.0;1669.0;9;0.0;38.1841503;-1.886818
