index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10066;Región de Murcia;flat;duplex;159600.0;85.0;0;Vacio;37.8036719;-0.8022648
76888;Región de Murcia;flat;duplex;186600.0;64.0;1;5.0;37.9851608;-1.1309282
81670;Región de Murcia;flat;duplex;31700.0;94.0;1;2.0;37.9728168;-1.1487095
84759;Región de Murcia;flat;duplex;72450.0;48.0;2;2.0;37.7544041;-0.839081
88146;Región de Murcia;flat;duplex;75000.0;55.0;2;2.0;37.7460251;-0.856177
88264;Región de Murcia;flat;duplex;69900.0;55.0;2;2.0;37.8414491;-0.7649464
91563;Región de Murcia;flat;duplex;29700.0;58.0;2;Vacio;37.9440776;-1.1113423
98973;Región de Murcia;flat;duplex;120500.0;63.0;2;2.0;37.7628532;-0.8336275
99682;Región de Murcia;flat;duplex;186600.0;64.0;2;5.0;37.985239;-1.1287628
100745;Región de Murcia;flat;duplex;64500.0;65.0;2;2.0;37.8205505;-0.7885276
100999;Región de Murcia;flat;duplex;58000.0;65.0;2;2.0;37.8048848;-0.80557
101740;Región de Murcia;flat;duplex;104000.0;65.0;2;3.0;37.5678908;-1.2626836
105091;Región de Murcia;flat;duplex;79400.0;66.0;2;2.0;37.6931014;-0.8395216
106730;Región de Murcia;flat;duplex;117500.0;68.0;2;2.0;37.7585371;-0.8359501
109745;Región de Murcia;flat;duplex;78000.0;70.0;2;2.0;37.8249867;-0.7780131
109912;Región de Murcia;flat;duplex;125000.0;70.0;2;3.0;37.6306982;-0.7014747
109913;Región de Murcia;flat;duplex;159000.0;70.0;2;2.0;37.66457;-0.72251
110966;Región de Murcia;flat;duplex;89000.0;70.0;2;2.0;37.5620365;-1.290539
110968;Región de Murcia;flat;duplex;150000.0;70.0;2;3.0;37.5633729;-1.2828057
110977;Región de Murcia;flat;duplex;75000.0;70.0;2;3.0;37.5649503;-1.267513
114253;Región de Murcia;flat;duplex;133000.0;70.0;2;2.0;38.0046275;-1.1420532
116039;Región de Murcia;flat;duplex;117000.0;72.0;2;3.0;37.6346982;-0.7039747
119668;Región de Murcia;flat;duplex;65000.0;75.0;2;2.0;37.8211533;-0.7856287
127132;Región de Murcia;flat;duplex;81000.0;78.0;2;2.0;37.8041237;-0.8388619
129289;Región de Murcia;flat;duplex;57000.0;80.0;2;3.0;37.5704752;-1.2591577
129415;Región de Murcia;flat;duplex;89000.0;80.0;2;2.0;37.8304125;-0.7764114
129416;Región de Murcia;flat;duplex;109000.0;80.0;2;2.0;37.8244205;-0.7767948
130283;Región de Murcia;flat;duplex;105000.0;80.0;2;2.0;37.5662117;-1.2707526
131104;Región de Murcia;flat;duplex;115000.0;80.0;2;2.0;37.9819703;-1.1280471
131197;Región de Murcia;flat;duplex;59000.0;80.0;2;Vacio;37.7603187;-0.8415586
132528;Región de Murcia;flat;duplex;52000.0;80.0;2;3.0;37.6216074;-0.7797682
133794;Región de Murcia;flat;duplex;68500.0;81.0;2;2.0;37.8033248;-0.8077581
134632;Región de Murcia;flat;duplex;127500.0;82.0;2;2.0;37.7737409;-0.8565415
134764;Región de Murcia;flat;duplex;127500.0;82.0;2;2.0;37.7726047;-0.8586525
136615;Región de Murcia;flat;duplex;323400.0;84.0;2;0.0;37.7684416;-0.8569736
139249;Región de Murcia;flat;duplex;120000.0;85.0;2;2.0;37.6415906;-0.7614004
140912;Región de Murcia;flat;duplex;72500.0;86.0;2;6.0;37.9528819;-1.1767712
141178;Región de Murcia;flat;duplex;140000.0;87.0;2;6.0;37.4218043;-1.5422472
144858;Región de Murcia;flat;duplex;129000.0;90.0;2;3.0;37.5781909;-1.2121842
145295;Región de Murcia;flat;duplex;204000.0;90.0;2;2.0;37.5483854;-1.1676643
145321;Región de Murcia;flat;duplex;85000.0;90.0;2;3.0;37.7544909;-0.8446745
