index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62759;Región de Murcia;flat;penthouse;70000.0;40.0;1;3.0;37.5791337;-1.2499258
68540;Región de Murcia;flat;penthouse;79500.0;50.0;1;3.0;37.7567609;-0.8430482
68561;Región de Murcia;flat;penthouse;95000.0;50.0;1;10.0;37.9918675;-1.1293346
69314;Región de Murcia;flat;penthouse;120000.0;50.0;1;10.0;37.9891534;-1.1333642
69755;Región de Murcia;flat;penthouse;95000.0;51.0;1;12.0;37.9877617;-1.1328656
72481;Región de Murcia;flat;penthouse;80000.0;55.0;1;7.0;37.6687383;-1.7029311
73795;Región de Murcia;flat;penthouse;90800.0;58.0;1;11.0;37.6653803;-0.7276258
73902;Región de Murcia;flat;penthouse;80000.0;58.0;1;4.0;37.9404155;-1.1400139
75104;Región de Murcia;flat;penthouse;64500.0;60.0;1;4.0;37.8215269;-0.7870906
75729;Región de Murcia;flat;penthouse;192000.0;60.0;1;5.0;37.9852306;-1.1291443
76861;Región de Murcia;flat;penthouse;186600.0;64.0;1;5.0;37.985039;-1.1287628
76893;Región de Murcia;flat;penthouse;106000.0;64.0;1;2.0;37.8265419;-0.7908959
78520;Región de Murcia;flat;penthouse;85000.0;69.0;1;0.0;37.9784192;-1.1306417
78759;Región de Murcia;flat;penthouse;120000.0;70.0;1;7.0;37.9924224;-1.1408159
79262;Región de Murcia;flat;penthouse;136000.0;70.0;1;9.0;37.9967011;-1.1311433
79926;Región de Murcia;flat;penthouse;69900.0;75.0;1;6.0;37.566093;-1.2659824
81969;Región de Murcia;flat;penthouse;148000.0;100.0;1;9.0;38.0013144;-1.1362995
88202;Región de Murcia;flat;penthouse;79950.0;55.0;2;5.0;37.5699687;-1.3066465
88970;Región de Murcia;flat;penthouse;38100.0;55.0;2;3.0;37.8227342;-0.7886297
88972;Región de Murcia;flat;penthouse;46000.0;55.0;2;3.0;37.8230236;-0.7833242
88973;Región de Murcia;flat;penthouse;40000.0;55.0;2;6.0;37.8187421;-0.785172
90531;Región de Murcia;flat;penthouse;195000.0;57.0;2;2.0;37.56341;-1.25773
91068;Región de Murcia;flat;penthouse;60000.0;58.0;2;0.0;38.1214478;-1.3066533
91728;Región de Murcia;flat;penthouse;55000.0;59.0;2;5.0;37.838089;-1.164486
92849;Región de Murcia;flat;penthouse;65000.0;60.0;2;4.0;37.7385399;-0.8484888
93200;Región de Murcia;flat;penthouse;37100.0;60.0;2;2.0;37.6098381;-1.4226268
93557;Región de Murcia;flat;penthouse;80000.0;60.0;2;4.0;37.8189466;-0.7870122
93827;Región de Murcia;flat;penthouse;163000.0;60.0;2;6.0;37.5628853;-1.3083308
94039;Región de Murcia;flat;penthouse;85000.0;60.0;2;5.0;37.5994939;-0.9730755
96930;Región de Murcia;flat;penthouse;129000.0;61.0;2;4.0;37.5640261;-1.309339
96981;Región de Murcia;flat;penthouse;67300.0;61.0;2;3.0;37.67724;-0.82999
98028;Región de Murcia;flat;penthouse;60000.0;62.0;2;3.0;37.8243561;-0.7777221
99774;Región de Murcia;flat;penthouse;79000.0;64.0;2;5.0;37.5700827;-1.2663098
101721;Región de Murcia;flat;penthouse;85000.0;65.0;2;3.0;37.5808184;-1.2448302
101739;Región de Murcia;flat;penthouse;89000.0;65.0;2;5.0;37.5666827;-1.2650098
102367;Región de Murcia;flat;penthouse;105000.0;65.0;2;3.0;37.8058237;-0.8389619
102661;Región de Murcia;flat;penthouse;69950.0;65.0;2;3.0;37.810528;-0.8063372
102664;Región de Murcia;flat;penthouse;75600.0;65.0;2;4.0;37.8433045;-0.7901159
103038;Región de Murcia;flat;penthouse;45000.0;65.0;2;5.0;37.6204319;-0.8756875
104968;Región de Murcia;flat;penthouse;64000.0;66.0;2;4.0;37.9719563;-0.9712411
106102;Región de Murcia;flat;penthouse;101300.0;67.0;2;4.0;37.8218296;-0.7879769
108399;Región de Murcia;flat;penthouse;84995.0;69.0;2;5.0;37.5683961;-1.268152
109431;Región de Murcia;flat;penthouse;99000.0;70.0;2;5.0;37.8179558;-1.003749
110974;Región de Murcia;flat;penthouse;88000.0;70.0;2;4.0;37.5738989;-1.2551207
111042;Región de Murcia;flat;penthouse;108000.0;70.0;2;6.0;37.5654554;-1.2655628
111866;Región de Murcia;flat;penthouse;59900.0;70.0;2;3.0;37.7399623;-0.8531363
111871;Región de Murcia;flat;penthouse;82000.0;70.0;2;3.0;37.7564909;-0.8428745
112186;Región de Murcia;flat;penthouse;78000.0;70.0;2;3.0;37.8246308;-0.7819835
113930;Región de Murcia;flat;penthouse;145000.0;70.0;2;4.0;38.012407;-1.1605137
118678;Región de Murcia;flat;penthouse;135000.0;74.0;2;6.0;37.5633819;-1.2588501
119174;Región de Murcia;flat;penthouse;139000.0;74.0;2;3.0;37.7600728;-0.8472517
119264;Región de Murcia;flat;penthouse;160000.0;74.0;2;6.0;37.60451;-0.98121
119547;Región de Murcia;flat;penthouse;145000.0;74.0;2;9.0;37.9712664;-1.1318764
121947;Región de Murcia;flat;penthouse;69900.0;75.0;2;4.0;37.7541444;-0.8443779
121948;Región de Murcia;flat;penthouse;139000.0;75.0;2;3.0;37.7551062;-0.8468509
121949;Región de Murcia;flat;penthouse;99950.0;75.0;2;3.0;37.7507465;-0.8524043
121950;Región de Murcia;flat;penthouse;99950.0;75.0;2;5.0;37.7559223;-0.8431987
121951;Región de Murcia;flat;penthouse;95000.0;75.0;2;4.0;37.7714627;-0.8577688
121955;Región de Murcia;flat;penthouse;125000.0;75.0;2;3.0;37.7688627;-0.8617688
123146;Región de Murcia;flat;penthouse;50000.0;75.0;2;5.0;37.6222124;-0.8792286
123149;Región de Murcia;flat;penthouse;35000.0;75.0;2;5.0;37.6222124;-0.8773286
123429;Región de Murcia;flat;penthouse;92000.0;75.0;2;6.0;37.9883368;-1.1349245
128098;Región de Murcia;flat;penthouse;109464.0;79.0;2;5.0;37.89607;-1.029942
128481;Región de Murcia;flat;penthouse;88000.0;79.0;2;5.0;37.951881;-1.1771424
129290;Región de Murcia;flat;penthouse;72000.0;80.0;2;4.0;37.5678453;-1.2654011
129810;Región de Murcia;flat;penthouse;86000.0;80.0;2;4.0;38.1193063;-1.3113747
129855;Región de Murcia;flat;penthouse;110000.0;80.0;2;5.0;37.9364245;-1.1336186
131195;Región de Murcia;flat;penthouse;75000.0;80.0;2;3.0;37.7593728;-0.8391417
131200;Región de Murcia;flat;penthouse;127500.0;80.0;2;5.0;37.7433416;-0.8491752
131202;Región de Murcia;flat;penthouse;123000.0;80.0;2;3.0;37.7550909;-0.8426745
131464;Región de Murcia;flat;penthouse;75000.0;80.0;2;6.0;37.8216224;-0.7817587
131647;Región de Murcia;flat;penthouse;219000.0;80.0;2;5.0;37.6041976;-0.9771211
132239;Región de Murcia;flat;penthouse;124000.0;80.0;2;7.0;37.6703157;-1.7016889
132240;Región de Murcia;flat;penthouse;72000.0;80.0;2;6.0;37.6750754;-1.6983199
135071;Región de Murcia;flat;penthouse;120000.0;82.0;2;5.0;37.666962;-1.7037279
136838;Región de Murcia;flat;penthouse;89000.0;84.0;2;4.0;37.5725989;-1.2551207
137183;Región de Murcia;flat;penthouse;76800.0;84.0;2;6.0;37.6859894;-1.6823506
138724;Región de Murcia;flat;penthouse;150000.0;85.0;2;2.0;37.7455495;-0.923493
138726;Región de Murcia;flat;penthouse;125000.0;85.0;2;5.0;37.8041237;-0.8358619
139645;Región de Murcia;flat;penthouse;96000.0;85.0;2;6.0;38.2344947;-1.4157211
140157;Región de Murcia;flat;penthouse;135000.0;85.0;2;5.0;37.9718649;-1.0806162
140488;Región de Murcia;flat;penthouse;195000.0;86.0;2;2.0;37.8212599;-0.7884368
140610;Región de Murcia;flat;penthouse;190000.0;86.0;2;6.0;37.8454116;-1.4263072
141041;Región de Murcia;flat;penthouse;73900.0;86.0;2;5.0;37.9488819;-1.1781712
141540;Región de Murcia;flat;penthouse;159000.0;87.0;2;6.0;37.5641913;-1.2612409
144594;Región de Murcia;flat;penthouse;120000.0;90.0;2;4.0;37.9430219;-1.1402038
144653;Región de Murcia;flat;penthouse;136000.0;90.0;2;4.0;37.56327;-1.30636
145403;Región de Murcia;flat;penthouse;59000.0;90.0;2;4.0;37.6409877;-0.7766026
146006;Región de Murcia;flat;penthouse;95000.0;90.0;2;5.0;37.7699335;-1.5031991
146110;Región de Murcia;flat;penthouse;300000.0;90.0;2;11.0;37.9833888;-1.132211
146924;Región de Murcia;flat;penthouse;137000.0;91.0;2;6.0;38.0116194;-1.1561104
147007;Región de Murcia;flat;penthouse;145500.0;91.0;2;6.0;38.0113414;-1.1570714
147019;Región de Murcia;flat;penthouse;185000.0;91.0;2;8.0;37.5775216;-1.2036831
147118;Región de Murcia;flat;penthouse;68000.0;91.0;2;2.0;37.9281791;-1.2105426
147917;Región de Murcia;flat;penthouse;132870.0;92.0;2;5.0;37.9887281;-1.1363184
148545;Región de Murcia;flat;penthouse;155445.0;93.0;2;8.0;37.9924528;-1.1258608
151479;Región de Murcia;flat;penthouse;129400.0;98.0;2;5.0;37.8420658;-0.7896813
152336;Región de Murcia;flat;penthouse;87500.0;100.0;2;4.0;37.572207;-1.2515136
152482;Región de Murcia;flat;penthouse;76855.0;100.0;2;4.0;37.9402786;-1.1647157
152755;Región de Murcia;flat;penthouse;168000.0;100.0;2;6.0;37.5620386;-1.2718822
153111;Región de Murcia;flat;penthouse;99950.0;100.0;2;6.0;37.6427877;-0.7746026
153112;Región de Murcia;flat;penthouse;99950.0;100.0;2;5.0;37.6388729;-0.7710265
153116;Región de Murcia;flat;penthouse;95000.0;100.0;2;6.0;37.6398695;-0.7638991
153117;Región de Murcia;flat;penthouse;110000.0;100.0;2;4.0;37.6429877;-0.7770026
153555;Región de Murcia;flat;penthouse;240000.0;100.0;2;8.0;37.6728526;-1.7001841
153698;Región de Murcia;flat;penthouse;190000.0;100.0;2;7.0;37.6073052;-0.9906441
153699;Región de Murcia;flat;penthouse;169000.0;100.0;2;6.0;37.6011007;-0.9875621
153715;Región de Murcia;flat;penthouse;140000.0;100.0;2;7.0;37.971916;-1.1344928
155286;Región de Murcia;flat;penthouse;95000.0;105.0;2;5.0;37.567458;-1.2714256
156636;Región de Murcia;flat;penthouse;110000.0;110.0;2;3.0;37.638928;-0.7662792
157049;Región de Murcia;flat;penthouse;140000.0;110.0;2;6.0;37.6246875;-0.7115913
157470;Región de Murcia;flat;penthouse;174000.0;111.0;2;5.0;37.6802957;-1.6966593
158434;Región de Murcia;flat;penthouse;87000.0;115.0;2;5.0;38.2379642;-1.4278767
158898;Región de Murcia;flat;penthouse;140000.0;118.0;2;6.0;37.6258821;-0.7102082
159501;Región de Murcia;flat;penthouse;120000.0;120.0;2;5.0;37.9906608;-1.1124396
159531;Región de Murcia;flat;penthouse;94900.0;120.0;2;3.0;37.7997857;-0.8108749
159577;Región de Murcia;flat;penthouse;170000.0;120.0;2;4.0;38.0020759;-1.1487033
160001;Región de Murcia;flat;penthouse;470000.0;120.0;2;7.0;37.9866849;-1.1325174
160045;Región de Murcia;flat;penthouse;125000.0;120.0;2;3.0;37.7178558;-0.9242962
160860;Región de Murcia;flat;penthouse;195000.0;126.0;2;4.0;37.833463;-0.7905221
161222;Región de Murcia;flat;penthouse;138000.0;130.0;2;4.0;37.5647506;-1.3111428
161250;Región de Murcia;flat;penthouse;93000.0;130.0;2;4.0;37.5755977;-1.2523353
162000;Región de Murcia;flat;penthouse;136000.0;135.0;2;5.0;37.5641475;-1.2597218
162625;Región de Murcia;flat;penthouse;128000.0;140.0;2;3.0;37.9986739;-1.1509462
162907;Región de Murcia;flat;penthouse;115000.0;144.0;2;6.0;37.6251996;-0.7037801
