index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
269;Región de Murcia;flat;studio;38000.0;20.0;0;3.0;37.7573179;-0.8347458
308;Región de Murcia;flat;studio;25750.0;20.0;0;2.0;37.9882587;-1.1389118
401;Región de Murcia;flat;studio;36000.0;24.0;0;0.0;37.8015931;-0.8040264
530;Región de Murcia;flat;studio;45000.0;25.0;0;2.0;37.7631424;-0.8392135
571;Región de Murcia;flat;studio;25000.0;25.0;0;3.0;37.9782633;-1.1355686
1051;Región de Murcia;flat;studio;57000.0;30.0;0;8.0;38.0010808;-1.1299759
1078;Región de Murcia;flat;studio;30000.0;30.0;0;5.0;37.9742633;-1.1360686
1562;Región de Murcia;flat;studio;50000.0;35.0;0;4.0;37.7061079;-0.7413796
1639;Región de Murcia;flat;studio;55000.0;35.0;0;4.0;37.5995322;-0.9879458
1825;Región de Murcia;flat;studio;51500.0;35.0;0;4.0;38.0004063;-1.1426362
2303;Región de Murcia;flat;studio;80000.0;39.0;0;3.0;37.9908939;-1.1327041
2564;Región de Murcia;flat;studio;40000.0;40.0;0;3.0;37.6206074;-0.7773682
2782;Región de Murcia;flat;studio;40000.0;40.0;0;2.0;37.9782098;-1.1291155
2877;Región de Murcia;flat;studio;165000.0;41.0;0;4.0;37.9861782;-1.1273713
2889;Región de Murcia;flat;studio;48300.0;41.0;0;3.0;38.0068732;-1.1607758
2926;Región de Murcia;flat;studio;39900.0;42.0;0;2.0;37.8326667;-0.7981384
2957;Región de Murcia;flat;studio;41600.0;42.0;0;2.0;37.9934833;-1.1076149
3335;Región de Murcia;flat;studio;65000.0;45.0;0;5.0;37.5708489;-1.2579638
3426;Región de Murcia;flat;studio;85000.0;45.0;0;2.0;37.5950241;-0.803162
3807;Región de Murcia;flat;studio;39900.0;47.0;0;2.0;37.8306667;-0.7968384
4129;Región de Murcia;flat;studio;46074.0;50.0;0;4.0;37.7499143;-0.8433724
4157;Región de Murcia;flat;studio;30000.0;50.0;0;2.0;37.5674307;-1.2594651
4629;Región de Murcia;flat;studio;22300.0;51.0;0;4.0;37.891589;-0.94288
5097;Región de Murcia;flat;studio;48142.0;55.0;0;4.0;37.8236728;-0.7805185
5158;Región de Murcia;flat;studio;39800.0;55.0;0;4.0;37.97541;-1.1296177
5337;Región de Murcia;flat;studio;33000.0;55.0;0;2.0;37.6221301;-0.7779418
6685;Región de Murcia;flat;studio;50300.0;65.0;0;2.0;37.8244904;-0.7815703
6904;Región de Murcia;flat;studio;40000.0;65.0;0;4.0;37.6167043;-0.8770215
8514;Región de Murcia;flat;studio;50000.0;75.0;0;3.0;37.9389444;-1.1426251
10055;Región de Murcia;flat;studio;160000.0;85.0;0;0.0;37.9966802;-1.1373683
10365;Región de Murcia;flat;studio;69000.0;87.0;0;3.0;37.9831874;-1.1192992
10512;Región de Murcia;flat;studio;77500.0;88.0;0;3.0;37.9834058;-1.116391
11004;Región de Murcia;flat;studio;43700.0;91.0;0;2.0;38.0545587;-1.2168979
11916;Región de Murcia;flat;studio;52822.0;100.0;0;3.0;37.8459588;-1.4224709
12685;Región de Murcia;flat;studio;43789.0;104.0;0;2.0;38.210019;-1.0426733
