index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
168;Región de Murcia;premise;Vacio;18000.0;17.0;0;3.0;37.9532572;-1.1740787
268;Región de Murcia;premise;Vacio;18250.0;20.0;0;2.0;37.977395;-1.1133457
626;Región de Murcia;premise;Vacio;15000.0;26.0;0;2.0;37.60622;-0.98145
1036;Región de Murcia;premise;Vacio;60000.0;30.0;0;2.0;37.9847447;-1.1353754
1117;Región de Murcia;premise;Vacio;44000.0;31.0;0;2.0;37.619554;-0.997788
1281;Región de Murcia;premise;Vacio;20026.0;33.0;0;0.0;37.6685397;-1.70074
1426;Región de Murcia;premise;Vacio;44000.0;34.0;0;2.0;37.6184603;-1.0001384
1453;Región de Murcia;premise;Vacio;60000.0;34.0;0;2.0;37.97591;-1.1243
2170;Región de Murcia;premise;Vacio;55000.0;38.0;0;2.0;37.6140402;-0.9910752
2184;Región de Murcia;premise;Vacio;37000.0;38.0;0;2.0;37.7687613;-1.5048946
2333;Región de Murcia;premise;Vacio;60000.0;40.0;0;2.0;37.6304146;-0.702803
2427;Región de Murcia;premise;Vacio;40000.0;40.0;0;2.0;38.0653524;-1.0427028
2440;Región de Murcia;premise;Vacio;120000.0;40.0;0;2.0;37.5649585;-1.2591912
2498;Región de Murcia;premise;Vacio;58000.0;40.0;0;2.0;37.6118872;-0.9956135
2908;Región de Murcia;premise;Vacio;96000.0;41.0;0;2.0;37.9950051;-1.1234862
2932;Región de Murcia;premise;Vacio;40000.0;42.0;0;2.0;37.5663561;-1.2637833
3276;Región de Murcia;premise;Vacio;90000.0;44.0;0;2.0;37.6131402;-0.9870752
3321;Región de Murcia;premise;Vacio;19800.0;45.0;0;2.0;38.2650508;-1.0220466
3792;Región de Murcia;premise;Vacio;55000.0;47.0;0;2.0;38.0016219;-1.1389196
3880;Región de Murcia;premise;Vacio;90000.0;48.0;0;2.0;37.763787;-1.1925473
3971;Región de Murcia;premise;Vacio;77000.0;48.0;0;2.0;37.6527563;-1.0148037
4132;Región de Murcia;premise;Vacio;35000.0;50.0;0;0.0;38.081627;-1.2518029
4133;Región de Murcia;premise;Vacio;35000.0;50.0;0;0.0;38.081627;-1.2518029
4257;Región de Murcia;premise;Vacio;55000.0;50.0;0;2.0;38.0408207;-1.0998585
4421;Región de Murcia;premise;Vacio;39000.0;50.0;0;2.0;37.6263532;-0.9858684
4488;Región de Murcia;premise;Vacio;100000.0;50.0;0;2.0;38.0782714;-1.1929114
4660;Región de Murcia;premise;Vacio;41700.0;51.0;0;3.0;37.7747529;-1.499634
4687;Región de Murcia;premise;Vacio;55560.0;51.0;0;2.0;37.9846001;-1.1404363
4704;Región de Murcia;premise;Vacio;65000.0;51.0;0;0.0;37.9926709;-1.1273747
4856;Región de Murcia;premise;Vacio;37000.0;53.0;0;0.0;38.081627;-1.2518029
4857;Región de Murcia;premise;Vacio;37000.0;53.0;0;0.0;38.081627;-1.2518029
5087;Región de Murcia;premise;Vacio;47000.0;55.0;0;0.0;38.0423802;-1.001853
5448;Región de Murcia;premise;Vacio;42000.0;56.0;0;3.0;37.7707529;-1.496634
5624;Región de Murcia;premise;Vacio;125000.0;58.0;0;2.0;37.9725372;-1.1200757
5652;Región de Murcia;premise;Vacio;40000.0;58.0;0;3.0;37.9726757;-1.219506
5685;Región de Murcia;premise;Vacio;270000.0;58.0;0;2.0;37.987422;-1.13189
5750;Región de Murcia;premise;Vacio;95987.0;59.0;0;3.0;37.7463246;-0.9553403
5790;Región de Murcia;premise;Vacio;35000.0;60.0;0;2.0;37.6193951;-1.00381
5816;Región de Murcia;premise;Vacio;74000.0;60.0;0;2.0;37.8153022;-0.7882333
5952;Región de Murcia;premise;Vacio;73000.0;60.0;0;2.0;37.6068831;-0.9746562
6249;Región de Murcia;premise;Vacio;58000.0;60.0;0;2.0;37.9720145;-1.1214108
6390;Región de Murcia;premise;Vacio;49900.0;62.0;0;3.0;38.0854217;-1.2215772
6537;Región de Murcia;premise;Vacio;49000.0;63.0;0;2.0;37.6276269;-0.9967866
6629;Región de Murcia;premise;Vacio;120000.0;64.0;0;2.0;37.9903751;-1.1345616
6968;Región de Murcia;premise;Vacio;47000.0;66.0;0;2.0;37.6822049;-1.6906768
7118;Región de Murcia;premise;Vacio;80000.0;67.0;0;2.0;38.0610575;-1.0446647
7271;Región de Murcia;premise;Vacio;83000.0;68.0;0;2.0;37.6030839;-0.9757115
7314;Región de Murcia;premise;Vacio;31000.0;69.0;0;2.0;37.9548481;-1.0924223
7555;Región de Murcia;premise;Vacio;130000.0;70.0;0;2.0;37.9902987;-1.1183034
7566;Región de Murcia;premise;Vacio;234000.0;70.0;0;2.0;37.5649722;-1.2591848
7665;Región de Murcia;premise;Vacio;38000.0;70.0;0;2.0;37.9712839;-1.2148867
7709;Región de Murcia;premise;Vacio;78000.0;70.0;0;2.0;37.6051434;-0.9883332
7710;Región de Murcia;premise;Vacio;70000.0;70.0;0;2.0;37.6242303;-0.986607
7866;Región de Murcia;premise;Vacio;60000.0;70.0;0;2.0;37.9543135;-1.1500496
7931;Región de Murcia;premise;Vacio;150000.0;71.0;0;2.0;37.6042123;-0.9792239
8022;Región de Murcia;premise;Vacio;90000.0;72.0;0;2.0;37.5613091;-1.2698557
8055;Región de Murcia;premise;Vacio;72000.0;72.0;0;2.0;37.6176455;-0.9856951
8143;Región de Murcia;premise;Vacio;67000.0;73.0;0;3.0;37.6805687;-1.6915802
8160;Región de Murcia;premise;Vacio;79000.0;73.0;0;2.0;37.5600778;-1.2596414
8215;Región de Murcia;premise;Vacio;165000.0;74.0;0;2.0;37.8276903;-0.7850892
8401;Región de Murcia;premise;Vacio;54500.0;75.0;0;3.0;37.9588151;-1.2170484
8416;Región de Murcia;premise;Vacio;40000.0;75.0;0;2.0;37.9408377;-1.1126872
8421;Región de Murcia;premise;Vacio;75000.0;75.0;0;2.0;37.9766539;-1.0589766
8435;Región de Murcia;premise;Vacio;103630.0;75.0;0;2.0;37.9934106;-1.1197563
8467;Región de Murcia;premise;Vacio;77000.0;75.0;0;2.0;37.9916035;-1.1248098
8639;Región de Murcia;premise;Vacio;73000.0;75.0;0;2.0;37.9772824;-1.1264293
8659;Región de Murcia;premise;Vacio;107800.0;76.0;0;0.0;37.975575;-1.071923
8661;Región de Murcia;premise;Vacio;30000.0;76.0;0;2.0;37.4097554;-1.5843678
8676;Región de Murcia;premise;Vacio;60000.0;76.0;0;3.0;37.9338783;-1.1586993
8818;Región de Murcia;premise;Vacio;140000.0;77.0;0;2.0;37.9871367;-1.1424426
8927;Región de Murcia;premise;Vacio;100000.0;78.0;0;2.0;38.0623402;-1.0446725
9107;Región de Murcia;premise;Vacio;50000.0;80.0;0;2.0;37.9770088;-1.1317041
9128;Región de Murcia;premise;Vacio;120000.0;80.0;0;2.0;37.9650167;-1.0758766
9179;Región de Murcia;premise;Vacio;222200.0;80.0;0;2.0;37.6066178;-0.991233
9196;Región de Murcia;premise;Vacio;80000.0;80.0;0;3.0;38.05292;-1.21089
9213;Región de Murcia;premise;Vacio;58000.0;80.0;0;2.0;37.6733298;-1.6992392
9214;Región de Murcia;premise;Vacio;80000.0;80.0;0;2.0;37.6174446;-0.9985638
9272;Región de Murcia;premise;Vacio;80000.0;80.0;0;2.0;37.5601072;-1.2703667
9291;Región de Murcia;premise;Vacio;99000.0;80.0;0;2.0;37.6763368;-1.6968486
9390;Región de Murcia;premise;Vacio;186300.0;80.0;0;2.0;37.6154175;-0.9931802
9544;Región de Murcia;premise;Vacio;58000.0;80.0;0;2.0;37.6224693;-0.9850572
9572;Región de Murcia;premise;Vacio;44000.0;81.0;0;2.0;37.6323171;-1.0088511
9579;Región de Murcia;premise;Vacio;456800.0;81.0;0;2.0;38.0065164;-1.1290917
9587;Región de Murcia;premise;Vacio;80950.0;81.0;0;2.0;38.004633;-1.1284916
9600;Región de Murcia;premise;Vacio;44000.0;81.0;0;2.0;37.6322865;-1.0071385
9800;Región de Murcia;premise;Vacio;32000.0;83.0;0;2.0;37.4097554;-1.5812678
9814;Región de Murcia;premise;Vacio;70000.0;83.0;0;3.0;37.5946068;-0.968747
9967;Región de Murcia;premise;Vacio;500000.0;84.0;0;2.0;37.990553;-1.1298883
9968;Región de Murcia;premise;Vacio;125000.0;84.0;0;2.0;37.9890603;-1.1217809
10036;Región de Murcia;premise;Vacio;96900.0;85.0;0;2.0;37.96612;-1.11651
10311;Región de Murcia;premise;Vacio;60000.0;87.0;0;2.0;37.6681502;-1.7013595
10377;Región de Murcia;premise;Vacio;500000.0;87.0;0;2.0;37.98322;-1.1329868
10424;Región de Murcia;premise;Vacio;50000.0;88.0;0;3.0;37.6326167;-0.7074567
10466;Región de Murcia;premise;Vacio;8000.0;88.0;0;3.0;37.9922547;-1.1328927
10499;Región de Murcia;premise;Vacio;112000.0;88.0;0;2.0;37.6245486;-0.988737
10594;Región de Murcia;premise;Vacio;70000.0;89.0;0;2.0;38.1187735;-1.2995431
10666;Región de Murcia;premise;Vacio;190500.0;90.0;0;0.0;37.9973927;-1.1338515
10702;Región de Murcia;premise;Vacio;190500.0;90.0;0;4.0;37.999443;-1.1320728
10722;Región de Murcia;premise;Vacio;80000.0;90.0;0;3.0;38.0023174;-1.1392286
10926;Región de Murcia;premise;Vacio;93000.0;90.0;0;2.0;37.9358666;-1.163077
10996;Región de Murcia;premise;Vacio;40000.0;90.0;0;2.0;37.9857766;-1.1264767
10999;Región de Murcia;premise;Vacio;70000.0;91.0;0;0.0;38.018169;-1.1737376
11021;Región de Murcia;premise;Vacio;80000.0;91.0;0;2.0;38.0015553;-1.1370133
11062;Región de Murcia;premise;Vacio;60000.0;91.0;0;2.0;37.9801677;-1.1195174
11276;Región de Murcia;premise;Vacio;190500.0;94.0;0;4.0;37.999443;-1.1322728
11309;Región de Murcia;premise;Vacio;190000.0;94.0;0;3.0;38.0046893;-1.1320711
11406;Región de Murcia;premise;Vacio;250000.0;95.0;0;2.0;38.0414097;-1.4895316
11513;Región de Murcia;premise;Vacio;74000.0;96.0;0;2.0;37.9391368;-1.1406094
11572;Región de Murcia;premise;Vacio;31500.0;96.0;0;2.0;37.7446027;-0.9630611
11608;Región de Murcia;premise;Vacio;74250.0;96.0;0;0.0;37.6272825;-0.9826935
11809;Región de Murcia;premise;Vacio;180000.0;98.0;0;2.0;37.6125831;-0.9914531
11846;Región de Murcia;premise;Vacio;32000.0;99.0;0;0.0;37.966764;-1.2229853
11848;Región de Murcia;premise;Vacio;49500.0;99.0;0;2.0;37.407217;-1.580839
11853;Región de Murcia;premise;Vacio;60000.0;99.0;0;2.0;37.7237722;-1.170652
11855;Región de Murcia;premise;Vacio;59000.0;99.0;0;2.0;38.0240808;-1.1374402
11877;Región de Murcia;premise;Vacio;49500.0;99.0;0;2.0;37.4091331;-1.5796564
11922;Región de Murcia;premise;Vacio;39000.0;100.0;0;2.0;38.030177;-1.250299
11927;Región de Murcia;premise;Vacio;300000.0;100.0;0;2.0;38.074619;-1.1645381
11930;Región de Murcia;premise;Vacio;96900.0;100.0;0;2.0;37.982501;-1.134963
12026;Región de Murcia;premise;Vacio;80000.0;100.0;0;2.0;38.2041203;-1.3995939
12053;Región de Murcia;premise;Vacio;90000.0;100.0;0;2.0;37.687059;-0.7351887
12079;Región de Murcia;premise;Vacio;110000.0;100.0;0;2.0;37.5616733;-1.259825
12096;Región de Murcia;premise;Vacio;240000.0;100.0;0;2.0;37.9996139;-1.1389874
12103;Región de Murcia;premise;Vacio;99000.0;100.0;0;0.0;38.0617578;-1.0531522
12199;Región de Murcia;premise;Vacio;125000.0;100.0;0;2.0;37.9790544;-1.1293147
12214;Región de Murcia;premise;Vacio;83000.0;100.0;0;2.0;37.626615;-1.0007987
12283;Región de Murcia;premise;Vacio;65000.0;100.0;0;2.0;38.2447118;-1.4189502
12409;Región de Murcia;premise;Vacio;286000.0;100.0;0;2.0;37.9939145;-1.1361912
12410;Región de Murcia;premise;Vacio;180000.0;100.0;0;2.0;37.99023;-1.14565
12451;Región de Murcia;premise;Vacio;60800.0;101.0;0;2.0;37.9295016;-1.2114144
12506;Región de Murcia;premise;Vacio;200000.0;101.0;0;2.0;37.60758;-0.9822
12522;Región de Murcia;premise;Vacio;85000.0;101.0;0;2.0;37.9820623;-1.1207159
12639;Región de Murcia;premise;Vacio;110000.0;103.0;0;3.0;37.5588994;-1.808798
12711;Región de Murcia;premise;Vacio;89000.0;104.0;0;2.0;37.8330789;-0.7984706
12719;Región de Murcia;premise;Vacio;82000.0;104.0;0;3.0;38.0865217;-1.2215772
12750;Región de Murcia;premise;Vacio;78000.0;104.0;0;2.0;37.7576953;-0.837338
12796;Región de Murcia;premise;Vacio;80000.0;105.0;0;2.0;37.9758677;-1.0734061
12844;Región de Murcia;premise;Vacio;115000.0;105.0;0;2.0;37.5664402;-1.2610327
12866;Región de Murcia;premise;Vacio;250000.0;105.0;0;2.0;37.9786117;-1.1157618
12904;Región de Murcia;premise;Vacio;72000.0;105.0;0;2.0;37.9868319;-1.1265589
12937;Región de Murcia;premise;Vacio;75000.0;105.0;0;2.0;37.9864319;-1.1265589
12983;Región de Murcia;premise;Vacio;106000.0;106.0;0;3.0;37.6819687;-1.6940802
13192;Región de Murcia;premise;Vacio;180000.0;108.0;0;2.0;37.9766906;-1.1143642
13276;Región de Murcia;premise;Vacio;70000.0;110.0;0;2.0;37.8521024;-1.4235902
13355;Región de Murcia;premise;Vacio;75000.0;110.0;0;2.0;37.5623108;-1.2883677
13424;Región de Murcia;premise;Vacio;215000.0;110.0;0;2.0;37.9779553;-1.1334239
13576;Región de Murcia;premise;Vacio;100000.0;111.0;0;2.0;37.8521654;-1.4235595
