index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
507;Vacio;flat;studio;75000.0;25.0;0;12.0;41.8155766;3.0712054
593;Vacio;flat;studio;65000.0;26.0;0;8.0;42.5375137;1.5749161
597;Vacio;flat;studio;78000.0;26.0;0;6.0;42.531989;1.566736
599;Vacio;flat;studio;33000.0;26.0;0;8.0;42.2430241;3.1317494
602;Vacio;flat;studio;127500.0;26.0;0;8.0;36.5951864;-4.5163578
644;Vacio;flat;studio;33000.0;26.4;0;2.0;28.00364;-16.64314
669;Vacio;flat;studio;49000.0;27.0;0;7.0;42.2431241;3.1313494
674;Vacio;flat;studio;41952.0;27.0;0;4.0;42.5767941;1.6942434
685;Vacio;flat;studio;43000.0;27.0;0;3.0;36.5657388;-4.5962726
708;Vacio;flat;studio;61000.0;28.0;0;5.0;42.5769929;1.6511009
741;Vacio;flat;studio;69000.0;28.0;0;11.0;36.5853149;-4.5311458
769;Vacio;flat;studio;94000.0;29.0;0;5.0;42.2430241;3.1317494
823;Vacio;flat;studio;58000.0;30.0;0;6.0;42.587859;1.6886711
839;Vacio;flat;studio;87000.0;30.0;0;5.0;42.5413507;1.5158888
840;Vacio;flat;studio;102000.0;30.0;0;5.0;42.5373549;1.5724339
860;Vacio;flat;studio;69000.0;30.0;0;4.0;38.5323791;-0.1085623
920;Vacio;flat;studio;105000.0;30.0;0;3.0;43.3743369;-1.772681
939;Vacio;flat;studio;133000.0;30.0;0;4.0;43.37037;-1.772335
972;Vacio;flat;studio;66000.0;30.0;0;0.0;28.1476391;-15.4321292
974;Vacio;flat;studio;29000.0;30.0;0;3.0;38.1900374;-0.5618955
981;Vacio;flat;studio;59000.0;30.0;0;3.0;42.5801488;1.6511742
982;Vacio;flat;studio;56000.0;30.0;0;3.0;42.5801488;1.6511742
983;Vacio;flat;studio;57750.0;30.0;0;4.0;42.5338309;1.6085098
1026;Vacio;flat;studio;53000.0;30.0;0;3.0;38.0884557;-0.64673
1028;Vacio;flat;studio;47900.0;30.0;0;3.0;36.5660388;-4.5962726
1054;Vacio;flat;studio;58000.0;30.0;0;0.0;36.7392227;-3.8833978
1111;Vacio;flat;studio;41000.0;30.0;0;11.0;36.5626402;-4.6021873
1112;Vacio;flat;studio;105000.0;30.0;0;5.0;41.2630377;1.9486324
1122;Vacio;flat;studio;100000.0;31.0;0;5.0;42.56465;1.59932
1123;Vacio;flat;studio;69000.0;31.0;0;5.0;42.5341961;1.5767427
1144;Vacio;flat;studio;59000.0;31.0;0;3.0;42.5801488;1.6511742
1145;Vacio;flat;studio;52000.0;31.0;0;3.0;42.5801488;1.6511742
1179;Vacio;flat;studio;108000.0;32.0;0;3.0;42.5803929;1.6511009
1180;Vacio;flat;studio;65000.0;32.0;0;5.0;42.56715;1.59772
1181;Vacio;flat;studio;105000.0;32.0;0;5.0;42.5315309;1.6098098
1200;Vacio;flat;studio;118700.0;32.0;0;4.0;36.5064398;-4.8948119
1221;Vacio;flat;studio;72631.0;32.0;0;3.0;42.5427828;1.492597
1244;Vacio;flat;studio;135000.0;32.0;0;2.0;41.6933894;2.8322764
1276;Vacio;flat;studio;79000.0;33.0;0;5.0;42.5774333;1.6551235
1303;Vacio;flat;studio;60000.0;33.0;0;3.0;42.5807929;1.6472009
1310;Vacio;flat;studio;145000.0;33.0;0;2.0;41.3771568;2.1928386
1332;Vacio;flat;studio;49000.0;33.0;0;6.0;36.5031242;-4.6723489
1353;Vacio;flat;studio;41400.0;33.0;0;2.0;42.5755941;1.6982434
