index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
67192;Vacio;house;semi-detached;35650.0;49.0;1;0.0;28.1530654;-14.2286917
111178;Vacio;house;semi-detached;63000.0;70.0;2;0.0;38.0254484;-0.6512703
135167;Vacio;house;semi-detached;279367.0;82.0;2;0.0;42.4518719;1.4945505
147087;Vacio;house;semi-detached;99000.0;91.0;2;2.0;36.8125224;-2.2823857
149636;Vacio;house;semi-detached;225000.0;95.0;2;0.0;42.459807;1.916208
150832;Vacio;house;semi-detached;155000.0;97.0;2;0.0;40.5088301;0.5065711
160887;Vacio;house;semi-detached;93000.0;126.0;2;0.0;29.1468162;-13.4450055
232282;Vacio;house;semi-detached;159950.0;100.0;3;2.0;37.2023838;-7.2443491
233037;Vacio;house;semi-detached;159900.0;100.0;3;0.0;37.8461574;-0.7621556
254563;Vacio;house;semi-detached;89500.0;112.0;3;0.0;28.0960869;-16.4800785
255352;Vacio;house;semi-detached;350000.0;112.0;3;0.0;39.8898665;4.2851003
255991;Vacio;house;semi-detached;179550.0;113.0;3;0.0;36.7327055;-3.7038362
259943;Vacio;house;semi-detached;448000.0;116.0;3;0.0;36.74303;-3.8762489
267731;Vacio;house;semi-detached;205000.0;123.0;3;0.0;42.459807;1.916208
268825;Vacio;house;semi-detached;340000.0;125.0;3;0.0;36.5024668;-4.6786743
275621;Vacio;house;semi-detached;145000.0;135.0;3;0.0;41.1655911;1.4717006
275829;Vacio;house;semi-detached;260000.0;135.0;3;0.0;37.1537193;-1.8221033
283375;Vacio;house;semi-detached;190000.0;150.0;3;0.0;39.7769345;-0.1465506
283537;Vacio;house;semi-detached;395000.0;150.0;3;0.0;41.2625417;1.938306
287216;Vacio;house;semi-detached;310000.0;160.0;3;0.0;36.5799039;-4.550335
291606;Vacio;house;semi-detached;780000.0;180.0;3;0.0;39.5104669;-0.3197843
294866;Vacio;house;semi-detached;800000.0;200.0;3;0.0;42.5406548;1.528855
297949;Vacio;house;semi-detached;325000.0;220.0;3;0.0;37.6565255;-0.7972263
298127;Vacio;house;semi-detached;400000.0;220.0;3;0.0;41.0574431;1.0364535
299742;Vacio;house;semi-detached;235000.0;240.0;3;0.0;42.4659339;2.0110533
304627;Vacio;house;semi-detached;2150000.0;355.0;3;0.0;42.5426828;1.494597
304786;Vacio;house;semi-detached;650000.0;370.0;3;0.0;42.5409864;1.5104626
305184;Vacio;house;semi-detached;465000.0;408.0;3;0.0;36.5023585;-4.6771665
313013;Vacio;house;semi-detached;320000.0;100.0;4;0.0;41.6636167;2.7859474
324185;Vacio;house;semi-detached;420000.0;120.0;4;0.0;36.7288431;-3.68192
331854;Vacio;house;semi-detached;145000.0;136.0;4;0.0;36.8125224;-2.2823857
337089;Vacio;house;semi-detached;246000.0;150.0;4;0.0;37.8455475;-0.7616811
340676;Vacio;house;semi-detached;249000.0;160.0;4;0.0;42.4336859;1.9436265
340839;Vacio;house;semi-detached;365000.0;160.0;4;2.0;41.23278;1.81262
343847;Vacio;house;semi-detached;380000.0;170.0;4;0.0;43.3472605;-1.7617611
344321;Vacio;house;semi-detached;285000.0;170.0;4;0.0;36.710998;-4.267109
346205;Vacio;house;semi-detached;700000.0;180.0;4;0.0;36.5903978;-6.2710991
346813;Vacio;house;semi-detached;580000.0;180.0;4;0.0;39.5331028;2.7106744
347224;Vacio;house;semi-detached;199000.0;180.0;4;0.0;43.4319354;-3.7576288
349248;Vacio;house;semi-detached;250000.0;190.0;4;3.0;43.3829012;-3.2145045
349562;Vacio;house;semi-detached;950000.0;191.0;4;0.0;36.4934725;-4.9425624
353180;Vacio;house;semi-detached;280000.0;205.0;4;0.0;41.5028745;2.3959887
354197;Vacio;house;semi-detached;1150000.0;211.0;4;2.0;41.96115;3.23105
356330;Vacio;house;semi-detached;350000.0;225.0;4;0.0;40.9968627;0.935186
356969;Vacio;house;semi-detached;600000.0;230.0;4;0.0;41.773068;3.0261941
358408;Vacio;house;semi-detached;750000.0;240.0;4;0.0;39.1791178;-0.2273438
359892;Vacio;house;semi-detached;630000.0;250.0;4;0.0;42.4503802;1.534137
359948;Vacio;house;semi-detached;475000.0;250.0;4;0.0;43.358388;-1.77794
363256;Vacio;house;semi-detached;289000.0;276.0;4;0.0;28.4015399;-16.3305342
363263;Vacio;house;semi-detached;580000.0;276.0;4;0.0;43.3604483;-1.7865445
365609;Vacio;house;semi-detached;419000.0;300.0;4;0.0;36.8186297;-2.4396473
366998;Vacio;house;semi-detached;390000.0;320.0;4;0.0;39.2666464;-0.2682214
380795;Vacio;house;semi-detached;700000.0;215.0;5;0.0;39.4952963;2.7418292
381523;Vacio;house;semi-detached;990000.0;223.0;5;0.0;41.5665583;2.5254123
383229;Vacio;house;semi-detached;369198.0;250.0;5;0.0;42.5803914;1.4973107
384912;Vacio;house;semi-detached;224500.0;270.0;5;0.0;36.7130884;-4.2051795
388087;Vacio;house;semi-detached;330000.0;322.0;5;0.0;41.5764537;2.5524219
389977;Vacio;house;semi-detached;615000.0;365.0;5;0.0;39.5492428;2.6242193
391471;Vacio;house;semi-detached;987000.0;405.0;5;0.0;39.1793178;-0.2233438
391959;Vacio;house;semi-detached;540000.0;430.0;5;0.0;43.3578483;-1.7852445
392721;Vacio;house;semi-detached;975000.0;465.0;5;0.0;42.536143;1.526755
393022;Vacio;house;semi-detached;1700000.0;482.0;5;0.0;42.5371021;1.5329029
397421;Vacio;house;semi-detached;380000.0;245.0;6;0.0;41.4996436;2.3918645
398010;Vacio;house;semi-detached;350000.0;278.0;6;0.0;38.0628835;-0.6505488
398861;Vacio;house;semi-detached;1300000.0;320.0;6;2.0;38.6721433;0.0994477
400268;Vacio;house;semi-detached;625000.0;400.0;6;0.0;38.3539796;-0.4260955
400668;Vacio;house;semi-detached;1260000.0;435.0;6;0.0;43.4716995;-3.777891
401965;Vacio;house;semi-detached;1250000.0;550.0;6;0.0;38.3512412;-0.4132859
403614;Vacio;house;semi-detached;256000.0;200.0;7;0.0;41.5783544;2.5536618
407924;Vacio;house;semi-detached;892500.0;530.0;9;0.0;42.1982529;-8.7911351
408646;Vacio;house;semi-detached;2700000.0;1350.0;10;2.0;39.0068847;-0.1622918
408657;Vacio;house;semi-detached;1200000.0;1700.0;10;0.0;38.4936498;-0.2661519
