index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
46;Vacio;premise;Vacio;9000.0;12.0;0;0.0;42.538354;1.582445
47;Vacio;premise;Vacio;9000.0;12.0;0;0.0;42.538354;1.583845
134;Vacio;premise;Vacio;18000.0;16.0;0;2.0;42.533889;1.566936
415;Vacio;premise;Vacio;9950.0;24.0;0;2.0;43.476703;-8.243893
854;Vacio;premise;Vacio;66000.0;30.0;0;2.0;41.6122442;2.6637702
1020;Vacio;premise;Vacio;45500.0;30.0;0;2.0;28.1827507;-16.8207817
1858;Vacio;premise;Vacio;70000.0;36.0;0;1.0;42.4703504;1.4919625
1991;Vacio;premise;Vacio;95000.0;37.0;0;2.0;42.4663306;1.4890641
2008;Vacio;premise;Vacio;80000.0;37.0;0;2.0;41.8453696;3.1071311
2356;Vacio;premise;Vacio;60000.0;40.0;0;2.0;38.5353323;-0.1331733
2360;Vacio;premise;Vacio;60000.0;40.0;0;1.0;42.533889;1.568036
2560;Vacio;premise;Vacio;104000.0;40.0;0;2.0;39.5197988;2.5371946
2636;Vacio;premise;Vacio;129900.0;40.0;0;2.0;36.7110753;-4.284787
2651;Vacio;premise;Vacio;20000.0;40.0;0;0.0;27.7733241;-15.5298909
2705;Vacio;premise;Vacio;66150.0;40.0;0;3.0;38.5363706;-0.1346965
2986;Vacio;premise;Vacio;155000.0;42.0;0;2.0;28.1161259;-16.7751805
3064;Vacio;premise;Vacio;60000.0;42.0;0;0.0;36.7488684;-3.8687004
3189;Vacio;premise;Vacio;94460.0;43.0;0;2.0;36.5110918;-6.2825741
3658;Vacio;premise;Vacio;15000.0;46.0;0;0.0;28.54814;-16.36787
3701;Vacio;premise;Vacio;35000.0;46.0;0;2.0;38.4088611;-0.4025836
3906;Vacio;premise;Vacio;26000.0;48.0;0;3.0;39.5496765;2.689781
3932;Vacio;premise;Vacio;79000.0;48.0;0;2.0;28.4182038;-16.5408446
4200;Vacio;premise;Vacio;80000.0;50.0;0;2.0;43.3568483;-1.7892445
4601;Vacio;premise;Vacio;210000.0;50.0;0;2.0;28.1306445;-15.4283878
4711;Vacio;premise;Vacio;42000.0;51.0;0;0.0;39.5041188;2.7510408
4990;Vacio;premise;Vacio;106208.0;54.0;0;2.0;28.1377777;-15.438786
5085;Vacio;premise;Vacio;120000.0;55.0;0;2.0;36.7133459;-4.3096882
5130;Vacio;premise;Vacio;143000.0;55.0;0;2.0;42.4510719;1.4944505
5191;Vacio;premise;Vacio;120000.0;55.0;0;2.0;36.5380247;-4.6188448
5333;Vacio;premise;Vacio;62111.0;55.0;0;2.0;39.4613741;-0.3287797
5452;Vacio;premise;Vacio;51385.0;56.0;0;2.0;28.120829;-14.36345
5543;Vacio;premise;Vacio;45613.0;57.0;0;2.0;41.8453238;3.1056589
5825;Vacio;premise;Vacio;189360.0;60.0;0;2.0;42.538301;1.5841
5850;Vacio;premise;Vacio;145000.0;60.0;0;5.0;42.530889;1.570736
6043;Vacio;premise;Vacio;24950.0;60.0;0;2.0;37.108174;-1.8451218
6123;Vacio;premise;Vacio;159000.0;60.0;0;2.0;36.7096881;-4.2793083
6134;Vacio;premise;Vacio;105000.0;60.0;0;2.0;39.0101217;-0.1657666
6493;Vacio;premise;Vacio;100000.0;63.0;0;3.0;36.6134273;-4.4985899
6496;Vacio;premise;Vacio;99900.0;63.0;0;2.0;39.5359397;2.4501913
6576;Vacio;premise;Vacio;115000.0;64.0;0;1.0;42.4737504;1.4906625
6606;Vacio;premise;Vacio;112800.0;64.0;0;2.0;41.6626946;2.784854
7087;Vacio;premise;Vacio;230568.0;67.0;0;2.0;28.7467191;-13.8683158
7474;Vacio;premise;Vacio;220000.0;70.0;0;2.0;42.494669;1.496726
7479;Vacio;premise;Vacio;155000.0;70.0;0;0.0;38.5341556;-0.1324626
7760;Vacio;premise;Vacio;66420.0;70.0;0;0.0;27.767603;-15.5400224
7779;Vacio;premise;Vacio;435000.0;70.0;0;0.0;36.74303;-3.8758489
7863;Vacio;premise;Vacio;70000.0;70.0;0;0.0;39.5335339;2.7197225
7884;Vacio;premise;Vacio;80000.0;71.0;0;2.0;41.5777766;2.5510495
8111;Vacio;premise;Vacio;125000.0;73.0;0;0.0;42.5167455;1.5323259
8112;Vacio;premise;Vacio;218000.0;73.0;0;2.0;42.530389;1.570736
8125;Vacio;premise;Vacio;33726.0;73.0;0;2.0;37.9765843;-0.6683329
8134;Vacio;premise;Vacio;98552.0;73.0;0;2.0;40.2531395;0.2875263
8341;Vacio;premise;Vacio;175000.0;75.0;0;2.0;41.065594;1.0674156
8370;Vacio;premise;Vacio;341500.0;75.0;0;2.0;42.5576411;1.5319862
8655;Vacio;premise;Vacio;425519.0;76.0;0;2.0;42.568898;1.60083
8875;Vacio;premise;Vacio;170000.0;78.0;0;0.0;36.7124318;-4.2771031
8899;Vacio;premise;Vacio;209715.0;78.0;0;2.0;41.6140094;2.6680767
8905;Vacio;premise;Vacio;93197.0;78.0;0;2.0;36.42271;-5.14675
9126;Vacio;premise;Vacio;75000.0;80.0;0;2.0;41.6217022;2.6964272
9135;Vacio;premise;Vacio;65000.0;80.0;0;1.0;42.532389;1.570736
9228;Vacio;premise;Vacio;185000.0;80.0;0;2.0;35.2740769;-2.9444423
9349;Vacio;premise;Vacio;30000.0;80.0;0;2.0;37.108174;-1.8451218
9445;Vacio;premise;Vacio;28000.0;80.0;0;0.0;27.7728241;-15.5314909
10230;Vacio;premise;Vacio;150000.0;86.0;0;2.0;28.1417062;-15.4367299
10265;Vacio;premise;Vacio;145000.0;86.0;0;2.0;43.5419475;-5.6560386
10276;Vacio;premise;Vacio;199000.0;86.0;0;2.0;37.108174;-1.8451218
10290;Vacio;premise;Vacio;195000.0;86.0;0;2.0;43.3917006;-2.9917521
10454;Vacio;premise;Vacio;117236.0;88.0;0;3.0;28.1066141;-15.4130733
10505;Vacio;premise;Vacio;300000.0;88.0;0;2.0;28.0424098;-16.5378919
10575;Vacio;premise;Vacio;72712.0;89.0;0;2.0;41.8455238;3.1050589
10847;Vacio;premise;Vacio;240000.0;90.0;0;3.0;36.7172084;-4.4067067
11108;Vacio;premise;Vacio;435000.0;92.0;0;5.0;42.53877;1.517663
11124;Vacio;premise;Vacio;88000.0;92.0;0;2.0;38.5328287;-0.1127131
11127;Vacio;premise;Vacio;40000.0;92.0;0;3.0;36.7262904;-3.957356
11181;Vacio;premise;Vacio;189000.0;92.0;0;3.0;28.9558616;-13.5522187
11207;Vacio;premise;Vacio;258000.0;93.0;0;2.0;41.2342427;1.8106379
11443;Vacio;premise;Vacio;145000.0;95.0;0;2.0;43.3169269;-1.9882658
11512;Vacio;premise;Vacio;60000.0;96.0;0;0.0;28.0817996;-16.7368995
11554;Vacio;premise;Vacio;863942.0;96.0;0;2.0;42.5095528;1.5345039
11653;Vacio;premise;Vacio;240000.0;97.0;0;2.0;42.2584625;3.1785931
11722;Vacio;premise;Vacio;73000.0;97.0;0;0.0;28.0272367;-16.5938326
11767;Vacio;premise;Vacio;198500.0;98.0;0;2.0;41.1956694;1.6477397
11804;Vacio;premise;Vacio;275000.0;98.0;0;2.0;39.5142208;2.5382894
11911;Vacio;premise;Vacio;72000.0;100.0;0;0.0;28.0640144;-16.7334873
11933;Vacio;premise;Vacio;110000.0;100.0;0;2.0;36.6250686;-4.4930912
11963;Vacio;premise;Vacio;156000.0;100.0;0;2.0;37.8637207;-0.7612061
11964;Vacio;premise;Vacio;250000.0;100.0;0;2.0;43.4617529;-3.799167
12203;Vacio;premise;Vacio;56000.0;100.0;0;2.0;41.637595;2.733897
12301;Vacio;premise;Vacio;249000.0;100.0;0;0.0;36.7392227;-3.8855978
