index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
2583;Andalucía;flat;Vacio;40000.0;40.0;0;2.0;37.89124;-4.80069
3083;Andalucía;flat;Vacio;44000.0;42.0;0;11.0;36.624922;-4.5004522
3435;Andalucía;flat;Vacio;68000.0;45.0;0;3.0;37.22217;-1.80905
3447;Andalucía;flat;Vacio;60000.0;45.0;0;2.0;37.3741696;-5.9669353
9458;Andalucía;flat;Vacio;95000.0;80.0;0;2.0;36.7120266;-4.4277464
10259;Andalucía;flat;Vacio;143600.0;86.0;0;2.0;37.3758072;-5.9950403
10260;Andalucía;flat;Vacio;158000.0;86.0;0;2.0;37.3762072;-5.9989403
14450;Andalucía;flat;Vacio;49950.0;120.0;0;3.0;37.3956644;-2.5934173
15039;Andalucía;flat;Vacio;92000.0;125.0;0;2.0;37.3795777;-6.0050882
19406;Andalucía;flat;Vacio;210000.0;176.0;0;2.0;37.3874811;-5.9998968
20283;Andalucía;flat;Vacio;425000.0;190.0;0;6.0;37.3789314;-6.0005748
31905;Andalucía;flat;Vacio;2750000.0;2947.0;0;2.0;36.7245357;-4.4230872
60824;Andalucía;flat;Vacio;90000.0;25.0;1;2.0;36.3763469;-6.1857764
60828;Andalucía;flat;Vacio;60000.0;25.0;1;3.0;37.1864226;-3.6031119
60839;Andalucía;flat;Vacio;38500.0;25.0;1;0.0;36.253579;-5.9692866
60873;Andalucía;flat;Vacio;45300.0;26.0;1;9.0;36.7188063;-4.3081303
60876;Andalucía;flat;Vacio;58000.0;27.0;1;3.0;36.5803816;-4.5903189
60883;Andalucía;flat;Vacio;85550.0;27.0;1;4.0;37.3981552;-5.9771288
60910;Andalucía;flat;Vacio;49900.0;28.0;1;3.0;36.8315119;-2.3108276
60923;Andalucía;flat;Vacio;48000.0;28.0;1;2.0;36.7225;-3.3591667
60927;Andalucía;flat;Vacio;29500.0;28.0;1;0.0;36.7245104;-4.4161408
60928;Andalucía;flat;Vacio;48000.0;28.0;1;2.0;36.7231;-3.3611667
60931;Andalucía;flat;Vacio;65500.0;28.0;1;2.0;37.3988605;-5.9954639
60937;Andalucía;flat;Vacio;42500.0;29.0;1;3.0;36.6262393;-4.5024336
60938;Andalucía;flat;Vacio;47250.0;29.0;1;3.0;36.6040096;-4.5362885
60940;Andalucía;flat;Vacio;87801.0;29.0;1;0.0;37.3985222;-5.9868638
60946;Andalucía;flat;Vacio;71900.0;29.0;1;2.0;36.7221205;-4.3816713
60949;Andalucía;flat;Vacio;40800.0;29.0;1;4.0;37.8880588;-4.7606981
60957;Andalucía;flat;Vacio;88000.0;29.0;1;5.0;36.7234151;-4.4299836
60977;Andalucía;flat;Vacio;55500.0;30.0;1;4.0;36.80445;-4.38542
60985;Andalucía;flat;Vacio;53000.0;30.0;1;5.0;37.1785717;-3.6015701
60994;Andalucía;flat;Vacio;68000.0;30.0;1;3.0;36.6019676;-4.5110478
61003;Andalucía;flat;Vacio;95000.0;30.0;1;2.0;36.5987755;-4.6335067
