index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
18;Andalucía;premise;Vacio;2500.0;10.0;0;3.0;37.2985302;-4.8719748
19;Andalucía;premise;Vacio;2500.0;10.0;0;3.0;37.2954302;-4.8716748
34;Andalucía;premise;Vacio;8300.0;11.0;0;2.0;36.7582851;-2.6109308
36;Andalucía;premise;Vacio;2000.0;11.0;0;2.0;37.9426674;-4.4980687
45;Andalucía;premise;Vacio;11000.0;12.0;0;2.0;37.8909605;-4.7908407
51;Andalucía;premise;Vacio;11000.0;12.0;0;2.0;37.8889605;-4.7917407
71;Andalucía;premise;Vacio;1500.0;13.0;0;2.0;37.13169;-3.53747
72;Andalucía;premise;Vacio;4000.0;13.0;0;3.0;36.7805271;-6.3511584
74;Andalucía;premise;Vacio;1500.0;13.0;0;0.0;37.13199;-3.53747
75;Andalucía;premise;Vacio;1500.0;13.0;0;0.0;37.13089;-3.54147
89;Andalucía;premise;Vacio;13400.0;14.0;0;2.0;36.7599033;-2.6482354
92;Andalucía;premise;Vacio;13400.0;14.0;0;2.0;36.7590033;-2.6514354
93;Andalucía;premise;Vacio;3500.0;14.0;0;3.0;36.7790271;-6.3551584
94;Andalucía;premise;Vacio;4000.0;14.0;0;3.0;36.7794271;-6.3551584
95;Andalucía;premise;Vacio;2500.0;14.0;0;3.0;36.8259527;-4.7076199
106;Andalucía;premise;Vacio;24359.0;14.0;0;2.0;36.7760844;-2.8073951
116;Andalucía;premise;Vacio;3500.0;15.0;0;3.0;37.2985302;-4.8740748
117;Andalucía;premise;Vacio;3500.0;15.0;0;3.0;37.2945302;-4.8730748
118;Andalucía;premise;Vacio;4500.0;15.0;0;3.0;36.7821449;-6.3526606
130;Andalucía;premise;Vacio;23000.0;15.33;0;0.0;36.528784;-6.2978672
141;Andalucía;premise;Vacio;3000.0;16.0;0;2.0;38.37712;-4.85038
146;Andalucía;premise;Vacio;15000.0;16.0;0;2.0;36.7083606;-4.4492165
155;Andalucía;premise;Vacio;26000.0;17.0;0;2.0;37.3895674;-5.9194519
170;Andalucía;premise;Vacio;3000.0;17.0;0;0.0;38.37872;-4.84638
188;Andalucía;premise;Vacio;18000.0;18.0;0;3.0;36.7350552;-4.4225842
192;Andalucía;premise;Vacio;3500.0;18.0;0;3.0;36.59754;-4.57371
193;Andalucía;premise;Vacio;3000.0;18.0;0;3.0;36.8267527;-4.7074199
198;Andalucía;premise;Vacio;3500.0;18.0;0;0.0;36.59554;-4.57481
210;Andalucía;premise;Vacio;9500.0;19.0;0;0.0;37.2403193;-3.6425686
213;Andalucía;premise;Vacio;21000.0;19.0;0;2.0;37.6968763;-5.2840521
231;Andalucía;premise;Vacio;4000.0;20.0;0;0.0;37.3618092;-1.662311
232;Andalucía;premise;Vacio;4000.0;20.0;0;0.0;37.3578092;-1.663711
233;Andalucía;premise;Vacio;4000.0;20.0;0;0.0;37.3578092;-1.661011
234;Andalucía;premise;Vacio;4000.0;20.0;0;0.0;37.3579092;-1.664911
289;Andalucía;premise;Vacio;69000.0;20.0;0;2.0;37.1755264;-3.6104417
315;Andalucía;premise;Vacio;4000.0;21.0;0;3.0;36.7737176;-6.3529118
324;Andalucía;premise;Vacio;69000.0;21.0;0;0.0;36.6911583;-4.4540801
330;Andalucía;premise;Vacio;48880.0;21.0;0;2.0;36.7713288;-2.8182367
345;Andalucía;premise;Vacio;4000.0;22.0;0;0.0;36.7717176;-6.3510118
347;Andalucía;premise;Vacio;55000.0;22.0;0;2.0;37.1113742;-1.8445428
352;Andalucía;premise;Vacio;50000.0;22.0;0;2.0;37.387512;-5.9970843
361;Andalucía;premise;Vacio;32100.0;23.0;0;5.0;36.7228073;-4.4216773
371;Andalucía;premise;Vacio;32100.0;23.0;0;3.0;36.7248073;-4.4231773
381;Andalucía;premise;Vacio;54000.0;23.0;0;0.0;37.3909542;-6.0036721
383;Andalucía;premise;Vacio;33900.0;23.0;0;0.0;36.7232183;-4.4195404
385;Andalucía;premise;Vacio;18000.0;23.0;0;0.0;36.5439243;-4.6276898
388;Andalucía;premise;Vacio;69300.0;23.0;0;0.0;36.5401044;-4.6223528
