index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
7661;Aragón;flat;Vacio;107000.0;70.0;0;2.0;41.6399745;-0.8873799
15730;Aragón;flat;Vacio;170000.0;132.0;0;3.0;41.6844467;-0.8748057
28419;Aragón;flat;Vacio;113708.0;567.0;0;0.0;40.823271;-0.195524
28470;Aragón;flat;Vacio;485000.0;575.0;0;3.0;41.0159179;0.1911634
60750;Aragón;flat;Vacio;48000.0;11.0;1;2.0;42.03096;0.12899
60764;Aragón;flat;Vacio;28000.0;19.0;1;2.0;41.6522084;-0.8877311
60808;Aragón;flat;Vacio;83259.0;24.0;1;3.0;42.678663;-0.540914
60896;Aragón;flat;Vacio;69680.0;28.0;1;4.0;42.573216;-0.546255
60925;Aragón;flat;Vacio;30000.0;28.0;1;2.0;41.6565227;-0.882888
60965;Aragón;flat;Vacio;80000.0;30.0;1;10.0;42.6390671;-0.5508457
60966;Aragón;flat;Vacio;50000.0;30.0;1;3.0;42.6748122;-0.5327026
60967;Aragón;flat;Vacio;54680.0;30.0;1;5.0;42.6818554;-0.5397403
61018;Aragón;flat;Vacio;52000.0;30.0;1;5.0;41.6515549;-0.87407
61097;Aragón;flat;Vacio;54000.0;30.0;1;3.0;42.7877747;-0.5297
61170;Aragón;flat;Vacio;61260.0;32.0;1;5.0;42.6780475;-0.5426434
61196;Aragón;flat;Vacio;42000.0;32.0;1;5.0;41.6540407;-0.8865273
61350;Aragón;flat;Vacio;88470.0;34.0;1;3.0;42.7885105;-0.5249639
61432;Aragón;flat;Vacio;54500.0;35.0;1;5.0;42.7844574;-0.5276141
61433;Aragón;flat;Vacio;55000.0;35.0;1;7.0;42.7860524;-0.5311219
61434;Aragón;flat;Vacio;75000.0;35.0;1;5.0;42.7865574;-0.5250141
61435;Aragón;flat;Vacio;62000.0;35.0;1;3.0;42.6780624;-0.539982
61436;Aragón;flat;Vacio;180000.0;35.0;1;6.0;42.7902105;-0.5284639
61437;Aragón;flat;Vacio;99680.0;35.0;1;6.0;42.777842;-0.363443
61643;Aragón;flat;Vacio;92100.0;35.0;1;2.0;41.6375164;-0.8757627
61725;Aragón;flat;Vacio;121000.0;35.0;1;2.0;41.651453;-0.9249384
61792;Aragón;flat;Vacio;52000.0;36.0;1;5.0;41.6487;-0.872993
61795;Aragón;flat;Vacio;58000.0;36.0;1;4.0;41.552438;-0.9692018
61819;Aragón;flat;Vacio;150000.0;36.0;1;12.0;41.6759893;-0.8852739
61820;Aragón;flat;Vacio;52000.0;36.0;1;5.0;41.6486549;-0.87297
61904;Aragón;flat;Vacio;97260.0;37.0;1;4.0;42.7441355;-0.515946
61905;Aragón;flat;Vacio;99680.0;37.0;1;2.0;42.7459533;-0.5171466
61921;Aragón;flat;Vacio;47100.0;37.0;1;2.0;42.522498;-0.372197
61931;Aragón;flat;Vacio;130350.0;37.0;1;3.0;41.6277868;-0.8839636
61932;Aragón;flat;Vacio;68037.0;37.0;1;3.0;42.5225581;-0.3718181
62026;Aragón;flat;Vacio;95000.0;38.0;1;6.0;42.5714131;-0.5559941
62027;Aragón;flat;Vacio;108259.0;38.0;1;2.0;42.7534496;-0.5139314
62096;Aragón;flat;Vacio;83000.0;38.0;1;4.0;42.7160351;-0.5255865
62123;Aragón;flat;Vacio;52000.0;38.0;1;5.0;41.6492549;-0.87007
62144;Aragón;flat;Vacio;83000.0;38.0;1;0.0;42.59141;0.53803
62157;Aragón;flat;Vacio;30000.0;38.0;1;5.0;41.632082;-0.8920088
62192;Aragón;flat;Vacio;76600.0;38.0;1;5.0;42.1411127;-0.4105853
62242;Aragón;flat;Vacio;160710.0;39.0;1;5.0;42.5699834;-0.5463837
62243;Aragón;flat;Vacio;149318.0;39.0;1;4.0;41.712433;-0.996151
62341;Aragón;flat;Vacio;91200.0;39.0;1;3.0;41.66676;-0.82564
