index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
63106;Aragón;flat;duplex;32000.0;40.0;1;6.0;41.6523345;-0.8741666
64590;Aragón;flat;duplex;77000.0;45.0;1;Vacio;42.753042;-0.5148594
65023;Aragón;flat;duplex;72000.0;45.0;1;Vacio;42.6809757;-0.5369665
70264;Aragón;flat;duplex;175000.0;52.0;1;3.0;42.7245691;-0.2943655
71308;Aragón;flat;duplex;89000.0;54.0;1;9.0;41.6432092;-0.8631588
72097;Aragón;flat;duplex;62920.0;55.0;1;Vacio;41.6576999;-0.8829681
73792;Aragón;flat;duplex;43013.0;58.0;1;4.0;41.5782308;-1.1129904
80821;Aragón;flat;duplex;55000.0;80.0;1;3.0;41.6350581;-0.7509533
81698;Aragón;flat;duplex;210320.0;95.0;1;Vacio;41.645139;-0.906818
85467;Aragón;flat;duplex;95000.0;50.0;2;Vacio;42.6759122;-0.5307026
86276;Aragón;flat;duplex;119000.0;50.0;2;4.0;41.5778891;-1.1171894
88004;Aragón;flat;duplex;119680.0;55.0;2;2.0;42.677786;-0.527748
88310;Aragón;flat;duplex;120000.0;55.0;2;Vacio;42.605315;0.5240138
89463;Aragón;flat;duplex;110000.0;55.0;2;5.0;42.5670543;-0.5488555
89936;Aragón;flat;duplex;45000.0;56.0;2;Vacio;42.68043;-0.5384722
90417;Aragón;flat;duplex;105000.0;57.0;2;6.0;42.5733904;-0.5479591
92726;Aragón;flat;duplex;64000.0;60.0;2;6.0;42.6798682;-0.5379187
95775;Aragón;flat;duplex;53000.0;60.0;2;3.0;42.2908602;0.5286097
98657;Aragón;flat;duplex;95000.0;63.0;2;4.0;42.7279386;-0.5213091
98823;Aragón;flat;duplex;60420.0;63.0;2;3.0;42.3236224;0.5835712
100207;Aragón;flat;duplex;145000.0;65.0;2;7.0;42.7465222;-0.5157048
100208;Aragón;flat;duplex;120000.0;65.0;2;7.0;42.7465222;-0.5157048
100216;Aragón;flat;duplex;109680.0;65.0;2;3.0;42.677463;-0.536599
103551;Aragón;flat;duplex;145000.0;65.0;2;2.0;42.7725608;-0.3329623
104905;Aragón;flat;duplex;70015.0;66.0;2;Vacio;41.8703048;-0.7857568
105172;Aragón;flat;duplex;99000.0;66.0;2;0.0;42.4639161;0.6959482
106584;Aragón;flat;duplex;209552.0;68.0;2;0.0;41.6455814;-0.9101745
107006;Aragón;flat;duplex;60231.0;68.0;2;3.0;41.8703048;-0.7857568
107260;Aragón;flat;duplex;72431.0;68.0;2;Vacio;41.8704452;-0.7859247
107485;Aragón;flat;duplex;137000.0;68.0;2;2.0;42.7725297;-0.3329298
108960;Aragón;flat;duplex;129000.0;70.0;2;4.0;42.6739122;-0.5305026
110917;Aragón;flat;duplex;125000.0;70.0;2;3.0;42.4411277;0.0697428
110918;Aragón;flat;duplex;123600.0;70.0;2;5.0;42.6025051;-0.1226546
112028;Aragón;flat;duplex;160000.0;70.0;2;Vacio;41.6519826;-0.8742855
115028;Aragón;flat;duplex;63262.0;71.0;2;3.0;41.8703048;-0.7857568
115201;Aragón;flat;duplex;75262.0;71.0;2;Vacio;41.8703048;-0.7857568
116153;Aragón;flat;duplex;66874.0;72.0;2;3.0;41.8703048;-0.7857568
116321;Aragón;flat;duplex;153000.0;72.0;2;5.0;41.67792;-0.88399
117292;Aragón;flat;duplex;123680.0;73.0;2;2.0;42.58579;-0.73402
117306;Aragón;flat;duplex;113900.0;73.0;2;5.0;42.1888542;0.3363765
117734;Aragón;flat;duplex;64263.0;73.0;2;3.0;41.8703048;-0.7857568
117922;Aragón;flat;duplex;76263.0;73.0;2;Vacio;41.8704452;-0.7859247
118189;Aragón;flat;duplex;55000.0;73.0;2;4.0;42.12699;-1.13219
119606;Aragón;flat;duplex;126000.0;75.0;2;2.0;42.6759122;-0.5307026
120121;Aragón;flat;duplex;88000.0;75.0;2;6.0;42.6809757;-0.5369665
121648;Aragón;flat;duplex;175000.0;75.0;2;3.0;41.6666868;-0.828703
126156;Aragón;flat;duplex;150000.0;78.0;2;2.0;42.6677389;-0.5466031
127648;Aragón;flat;duplex;120000.0;79.0;2;3.0;42.5650002;-0.5505694
128261;Aragón;flat;duplex;74900.0;79.0;2;3.0;41.6297821;-0.8852228
129079;Aragón;flat;duplex;109500.0;80.0;2;3.0;42.7248352;-0.3235675
131290;Aragón;flat;duplex;72000.0;80.0;2;2.0;41.6306821;-0.8812228
132503;Aragón;flat;duplex;120000.0;80.0;2;3.0;42.2769447;-0.6902296
135987;Aragón;flat;duplex;106700.0;83.0;2;Vacio;41.520199;0.3272422
137298;Aragón;flat;duplex;125000.0;84.0;2;Vacio;41.6444513;-0.9291417
140256;Aragón;flat;duplex;200000.0;85.35;2;6.0;41.3535605;-1.6359708
140257;Aragón;flat;duplex;190000.0;85.4;2;6.0;41.3535605;-1.6359708
140259;Aragón;flat;duplex;210000.0;85.59;2;6.0;41.3535605;-1.6359708
140260;Aragón;flat;duplex;209000.0;85.75;2;6.0;41.3535605;-1.6359708
140899;Aragón;flat;duplex;130000.0;86.0;2;4.0;41.5876125;-0.9395139
141645;Aragón;flat;duplex;77000.0;87.0;2;Vacio;41.8703111;-0.7848347
142787;Aragón;flat;duplex;210000.0;88.89;2;6.0;41.3535605;-1.6359708
143468;Aragón;flat;duplex;160890.0;90.0;2;4.0;42.5709409;-0.5430501
143995;Aragón;flat;duplex;150000.0;90.0;2;5.0;42.6913502;-0.6655934
144824;Aragón;flat;duplex;70000.0;90.0;2;3.0;40.3683672;-0.7142062
146080;Aragón;flat;duplex;140000.0;90.0;2;Vacio;41.5918454;-0.9370973
148560;Aragón;flat;duplex;215000.0;93.13;2;6.0;41.3535605;-1.6359708
148815;Aragón;flat;duplex;125000.0;94.0;2;3.0;40.3716643;-0.7200229
149023;Aragón;flat;duplex;209000.0;94.05;2;6.0;41.3535605;-1.6359708
149027;Aragón;flat;duplex;210000.0;94.7;2;6.0;41.3535605;-1.6359708
149173;Aragón;flat;duplex;190000.0;95.0;2;6.0;41.3535605;-1.6359708
149174;Aragón;flat;duplex;190000.0;95.0;2;6.0;41.3535605;-1.6359708
149497;Aragón;flat;duplex;74200.0;95.0;2;2.0;42.3230376;0.5846307
149658;Aragón;flat;duplex;195000.0;95.0;2;4.0;42.7334853;-0.3120266
149817;Aragón;flat;duplex;145000.0;95.0;2;Vacio;41.6512521;-0.8899821
150176;Aragón;flat;duplex;130000.0;96.0;2;6.0;42.7484322;-0.515736
150660;Aragón;flat;duplex;153630.0;96.0;2;Vacio;41.6543271;-0.8970197
