index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
176;Aragón;flat;studio;39680.0;18.0;0;9.0;42.5773043;-0.5507124
228;Aragón;flat;studio;49680.0;20.0;0;5.0;42.5769043;-0.5507124
310;Aragón;flat;studio;47000.0;21.0;0;7.0;42.5763145;-0.550889
567;Aragón;flat;studio;33900.0;25.0;0;Vacio;42.5738303;-0.5507886
717;Aragón;flat;studio;29000.0;28.0;0;2.0;42.5894304;0.5019208
805;Aragón;flat;studio;60000.0;30.0;0;9.0;42.5695207;-0.5509251
806;Aragón;flat;studio;59680.0;30.0;0;3.0;42.5709166;-0.5450554
857;Aragón;flat;studio;55000.0;30.0;0;7.0;42.5725406;-0.5476037
871;Aragón;flat;studio;43000.0;30.0;0;5.0;41.8687716;-0.7874393
923;Aragón;flat;studio;57000.0;30.0;0;Vacio;42.5721217;-0.5486834
1489;Aragón;flat;studio;60000.0;35.0;0;2.0;42.5695747;-0.5555829
1714;Aragón;flat;studio;70000.0;35.0;0;4.0;42.5689143;-0.5483648
1851;Aragón;flat;studio;29700.0;36.0;0;3.0;41.6553363;-0.9046323
2309;Aragón;flat;studio;59000.0;40.0;0;2.0;42.6269733;-0.5479218
2530;Aragón;flat;studio;71400.0;40.0;0;5.0;42.7225453;-0.2849768
2770;Aragón;flat;studio;54230.0;40.0;0;3.0;41.6536439;-0.8795264
2980;Aragón;flat;studio;98000.0;42.0;0;5.0;41.6487498;-0.8941942
3292;Aragón;flat;studio;51800.0;44.0;0;2.0;41.6345147;-0.747693
3581;Aragón;flat;studio;70000.0;45.0;0;4.0;42.7882105;-0.5269639
3603;Aragón;flat;studio;60500.0;45.0;0;5.0;42.746633;-0.5138357
3731;Aragón;flat;studio;39000.0;46.0;0;6.0;41.6504621;-0.8756173
4164;Aragón;flat;studio;85000.0;50.0;0;5.0;42.5689143;-0.5483648
4320;Aragón;flat;studio;70900.0;50.0;0;Vacio;41.633501;-0.889801
4943;Aragón;flat;studio;39000.0;53.0;0;6.0;41.6485261;-0.8740213
5213;Aragón;flat;studio;115000.0;55.0;0;3.0;41.6552903;-0.8771702
5277;Aragón;flat;studio;129000.0;55.0;0;6.0;41.6538523;-0.8798299
6092;Aragón;flat;studio;87000.0;60.0;0;2.0;42.6794823;-0.5346941
7459;Aragón;flat;studio;70000.0;70.0;0;2.0;42.7467876;-0.5155694
8045;Aragón;flat;studio;79500.0;72.0;0;4.0;42.1426398;-0.4110441
8322;Aragón;flat;studio;119000.0;74.0;0;5.0;41.639911;-0.8853993
8522;Aragón;flat;studio;145000.0;75.0;0;3.0;41.6551589;-0.9063037
9061;Aragón;flat;studio;46500.0;79.0;0;7.0;42.1413423;-0.4017583
9348;Aragón;flat;studio;138000.0;80.0;0;5.0;41.6469885;-0.88751
9960;Aragón;flat;studio;87000.0;84.0;0;6.0;42.12236;-1.1410673
11451;Aragón;flat;studio;218000.0;95.0;0;7.0;41.6503935;-0.8884914
12114;Aragón;flat;studio;218000.0;100.0;0;7.0;41.6522935;-0.8864914
13243;Aragón;flat;studio;247000.0;109.0;0;7.0;41.648569;-0.8918426
14208;Aragón;flat;studio;114800.0;118.0;0;3.0;42.1420185;-0.4124625
15801;Aragón;flat;studio;185000.0;133.0;0;4.0;41.6498237;-0.8821242
17371;Aragón;flat;studio;125000.0;150.0;0;5.0;42.1413735;-0.4032407
17442;Aragón;flat;studio;85000.0;150.0;0;2.0;41.6345965;-0.8871831
22876;Aragón;flat;studio;242000.0;240.0;0;4.0;42.5676619;-0.550236
