index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
909;Aragón;house;independent;36000.0;30.0;0;0.0;42.6320711;0.2188026
7569;Aragón;house;independent;33000.0;70.0;0;0.0;42.5891038;0.3201743
8296;Aragón;house;independent;60000.0;74.0;0;0.0;42.553881;-0.71632
8933;Aragón;house;independent;98000.0;78.0;0;0.0;42.6320711;0.2188026
9269;Aragón;house;independent;58000.0;80.0;0;0.0;42.3909201;0.2610942
10739;Aragón;house;independent;32000.0;90.0;0;0.0;42.414553;0.1395849
10757;Aragón;house;independent;69000.0;90.0;0;0.0;42.6377717;0.2140667
14307;Aragón;house;independent;128000.0;120.0;0;0.0;42.625109;-0.110792
16424;Aragón;house;independent;76000.0;140.0;0;0.0;42.4435552;0.06626
17254;Aragón;house;independent;90000.0;150.0;0;0.0;42.6348799;0.2183103
17265;Aragón;house;independent;30000.0;150.0;0;0.0;40.8713425;0.1579955
18604;Aragón;house;independent;20000.0;165.0;0;0.0;40.168799;-0.611891
19637;Aragón;house;independent;65000.0;180.0;0;0.0;42.4661363;0.5972752
21307;Aragón;house;independent;45000.0;207.0;0;0.0;40.130585;-0.6246871
22368;Aragón;house;independent;120000.0;228.0;0;0.0;42.2301061;0.0356479
22554;Aragón;house;independent;90000.0;232.0;0;0.0;42.3189973;0.077829
23009;Aragón;house;independent;8000.0;244.0;0;0.0;40.9355066;-1.1830283
29064;Aragón;house;independent;85000.0;666.0;0;0.0;41.7721382;-0.3313204
60841;Aragón;house;independent;65000.0;25.0;1;0.0;40.8713425;0.1579955
60914;Aragón;house;independent;29500.0;28.0;1;0.0;42.625109;-0.110792
61016;Aragón;house;independent;60000.0;30.0;1;0.0;40.8713425;0.1579955
62665;Aragón;house;independent;17900.0;40.0;1;2.0;41.3350161;-1.7937769
63958;Aragón;house;independent;87210.0;42.0;1;0.0;40.0600006;-0.6937586
69948;Aragón;house;independent;138000.0;52.0;1;0.0;42.6166591;-0.489844
73477;Aragón;house;independent;55000.0;58.0;1;2.0;41.4927174;-1.3483313
74778;Aragón;house;independent;30000.0;60.0;1;0.0;40.8743592;0.1569067
79964;Aragón;house;independent;72000.0;75.0;1;0.0;42.3214043;0.0763381
80389;Aragón;house;independent;27000.0;77.0;1;0.0;40.9301906;0.2120873
80732;Aragón;house;independent;54000.0;80.0;1;2.0;42.0413524;0.1187925
80758;Aragón;house;independent;80000.0;80.0;1;0.0;41.5090923;-0.6306662
80986;Aragón;house;independent;20000.0;82.0;1;0.0;40.9355296;0.1099405
81486;Aragón;house;independent;69000.0;90.0;1;2.0;42.5112008;0.4929137
81798;Aragón;house;independent;46000.0;97.0;1;0.0;41.6300111;-0.7531766
81892;Aragón;house;independent;59000.0;100.0;1;0.0;42.2395456;0.0678633
82395;Aragón;house;independent;12000.0;120.0;1;0.0;40.7056631;-1.2673029
82446;Aragón;house;independent;27000.0;124.0;1;0.0;42.3680702;0.2720615
82553;Aragón;house;independent;66000.0;135.0;1;0.0;40.2362847;-0.639303
82631;Aragón;house;independent;150000.0;150.0;1;2.0;42.0792368;0.2172916
82666;Aragón;house;independent;79000.0;155.0;1;0.0;40.4091977;-1.4517217
82671;Aragón;house;independent;90000.0;156.0;1;0.0;42.6026029;-0.1216715
82815;Aragón;house;independent;110000.0;200.0;1;0.0;41.2406811;-0.0373201
82816;Aragón;house;independent;18000.0;200.0;1;0.0;41.1728542;-0.4509663
82828;Aragón;house;independent;25000.0;210.0;1;0.0;40.0570063;-0.6928291
82829;Aragón;house;independent;125000.0;210.0;1;0.0;41.5007361;0.0638384
82864;Aragón;house;independent;89000.0;250.0;1;0.0;41.5553589;-0.7050015
82915;Aragón;house;independent;370000.0;300.0;1;0.0;40.7901336;-0.0359495
82929;Aragón;house;independent;36000.0;325.0;1;0.0;40.7974381;-0.3202028
82930;Aragón;house;independent;39500.0;329.0;1;2.0;41.1148869;-1.4122655
82973;Aragón;house;independent;110000.0;400.0;1;0.0;40.7766596;-0.0186555
82974;Aragón;house;independent;76000.0;400.0;1;0.0;40.7849768;-0.0321495
82989;Aragón;house;independent;69000.0;450.0;1;0.0;40.7331186;0.0529939
83078;Aragón;house;independent;38000.0;25.0;2;2.0;41.84632;0.297054
83731;Aragón;house;independent;57800.0;42.0;2;2.0;41.639004;-0.9328295
87384;Aragón;house;independent;69000.0;53.0;2;0.0;41.9320739;-1.3942977
90787;Aragón;house;independent;39000.0;57.0;2;0.0;41.4052045;-0.4604872
94793;Aragón;house;independent;56000.0;60.0;2;0.0;41.9818759;-0.9940109
94794;Aragón;house;independent;170000.0;60.0;2;0.0;42.6023728;0.5238277
96319;Aragón;house;independent;45000.0;60.0;2;0.0;41.4681902;-1.085611
98399;Aragón;house;independent;60000.0;63.0;2;2.0;41.36693;-1.29901
99781;Aragón;house;independent;158000.0;64.0;2;0.0;41.5729043;-0.9453621
101898;Aragón;house;independent;95000.0;65.0;2;0.0;41.6110856;-0.6948575
108979;Aragón;house;independent;160890.0;70.0;2;2.0;41.8693504;-0.788582
120785;Aragón;house;independent;130000.0;75.0;2;0.0;41.625605;-0.8767771
121603;Aragón;house;independent;25000.0;75.0;2;0.0;41.8681228;-0.7944251
125677;Aragón;house;independent;210000.0;77.0;2;0.0;41.9326378;-0.7544908
127106;Aragón;house;independent;77000.0;78.0;2;0.0;41.6301487;-0.8856556
127174;Aragón;house;independent;30000.0;78.0;2;0.0;41.3947009;-1.3238724
128650;Aragón;house;independent;29000.0;80.0;2;0.0;41.894196;-1.7701319
129078;Aragón;house;independent;157000.0;80.0;2;0.0;42.626258;-0.3247504
129795;Aragón;house;independent;66975.0;80.0;2;2.0;40.0610063;-0.6937291
130846;Aragón;house;independent;33000.0;80.0;2;0.0;41.8338402;-0.764529
131592;Aragón;house;independent;160000.0;80.0;2;0.0;41.4697856;-1.1237082
131594;Aragón;house;independent;38000.0;80.0;2;0.0;40.8539175;-0.4270639
132848;Aragón;house;independent;62990.0;80.0;2;0.0;41.6536371;-0.8990685
134125;Aragón;house;independent;20000.0;81.0;2;0.0;41.8774117;-1.7831339
136338;Aragón;house;independent;55000.0;83.0;2;0.0;41.7172551;-1.0303384
136589;Aragón;house;independent;180000.0;84.0;2;0.0;42.5691143;-0.5463648
138411;Aragón;house;independent;120000.0;85.0;2;0.0;42.504734;0.1549046
138556;Aragón;house;independent;100000.0;85.0;2;0.0;42.5849862;-0.108871
143467;Aragón;house;independent;166000.0;90.0;2;0.0;42.5777472;-0.5412102
143545;Aragón;house;independent;103000.0;90.0;2;0.0;41.8842104;-1.7536659
145567;Aragón;house;independent;35000.0;90.0;2;0.0;40.6919767;-1.3475456
145568;Aragón;house;independent;81000.0;90.0;2;0.0;41.0470912;0.103938
146091;Aragón;house;independent;129000.0;90.0;2;0.0;41.6742374;-1.0214272
148894;Aragón;house;independent;56000.0;94.0;2;0.0;41.2842064;-0.3258492
149776;Aragón;house;independent;21000.0;95.0;2;0.0;41.1605609;-0.4702895
152641;Aragón;house;independent;299000.0;100.0;2;0.0;42.4505316;0.1338469
152703;Aragón;house;independent;54000.0;100.0;2;0.0;42.5689143;-0.5483648
152742;Aragón;house;independent;180000.0;100.0;2;0.0;42.6320711;0.2188026
152796;Aragón;house;independent;108000.0;100.0;2;0.0;41.5735748;-0.6459916
152926;Aragón;house;independent;119000.0;100.0;2;0.0;41.8681256;-0.7858565
153168;Aragón;house;independent;99000.0;100.0;2;0.0;41.7782153;-1.7222734
153169;Aragón;house;independent;80000.0;100.0;2;0.0;41.2593437;-0.1271191
153712;Aragón;house;independent;184000.0;100.0;2;0.0;41.7564577;-0.7957869
154217;Aragón;house;independent;102118.0;102.0;2;2.0;41.6533147;-0.9246224
157620;Aragón;house;independent;42000.0;112.0;2;2.0;41.7963894;-1.1615913
158051;Aragón;house;independent;85000.0;114.0;2;0.0;41.6935219;-1.0734546
158140;Aragón;house;independent;49500.0;115.0;2;0.0;41.738037;-0.1520423
158970;Aragón;house;independent;190000.0;118.0;2;0.0;41.630535;-0.8882478
