index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
18105;Aragón;house;semi-detached;57000.0;160.0;0;0.0;42.5782457;-0.1144823
87224;Aragón;house;semi-detached;42650.0;53.0;2;0.0;41.3724628;0.2978592
104981;Aragón;house;semi-detached;72000.0;66.0;2;0.0;41.6499303;-0.9220474
109062;Aragón;house;semi-detached;55000.0;70.0;2;0.0;41.8817994;-1.7540949
126207;Aragón;house;semi-detached;61000.0;78.0;2;0.0;42.1971024;0.517669
141202;Aragón;house;semi-detached;61000.0;87.0;2;0.0;42.2004024;0.514669
141203;Aragón;house;semi-detached;61000.0;87.0;2;0.0;42.2004024;0.514269
141204;Aragón;house;semi-detached;61000.0;87.0;2;0.0;42.1998024;0.513669
141205;Aragón;house;semi-detached;62000.0;87.0;2;0.0;42.1970024;0.513669
141206;Aragón;house;semi-detached;61000.0;87.0;2;0.0;42.1974024;0.517669
141207;Aragón;house;semi-detached;58000.0;87.0;2;0.0;42.1988024;0.513669
141208;Aragón;house;semi-detached;59000.0;87.0;2;0.0;42.1972024;0.517669
141209;Aragón;house;semi-detached;61000.0;87.0;2;0.0;42.1964024;0.514169
141210;Aragón;house;semi-detached;61000.0;87.0;2;0.0;42.1967024;0.517669
142825;Aragón;house;semi-detached;61000.0;89.0;2;0.0;42.1990024;0.517669
147957;Aragón;house;semi-detached;73000.0;93.0;2;0.0;42.2004024;0.514769
150440;Aragón;house;semi-detached;150000.0;96.0;2;0.0;42.5765252;-0.5389537
156245;Aragón;house;semi-detached;23000.0;108.0;2;0.0;41.1852541;-0.3903956
158293;Aragón;house;semi-detached;112000.0;115.0;2;0.0;41.8683836;-0.7904589
158359;Aragón;house;semi-detached;90000.0;115.0;2;0.0;40.3588911;-0.7018274
165724;Aragón;house;semi-detached;14000.0;258.0;2;0.0;40.8056088;0.0659935
185495;Aragón;house;semi-detached;130000.0;77.0;3;0.0;40.253714;-0.751552
190516;Aragón;house;semi-detached;100000.0;80.0;3;0.0;41.8287896;-0.7702576
206866;Aragón;house;semi-detached;280000.0;88.0;3;0.0;42.7258632;-0.2889047
212669;Aragón;house;semi-detached;94000.0;90.0;3;0.0;40.7971381;-0.3182028
220373;Aragón;house;semi-detached;140000.0;94.0;3;0.0;42.3826234;0.3897256
222846;Aragón;house;semi-detached;180000.0;95.0;3;0.0;41.8710015;-0.7894539
226217;Aragón;house;semi-detached;15180.0;96.0;3;0.0;41.5673754;-1.3229527
232748;Aragón;house;semi-detached;145000.0;100.0;3;0.0;42.605933;-0.4603271
236314;Aragón;house;semi-detached;73000.0;100.0;3;0.0;42.0402561;-0.8737765
236618;Aragón;house;semi-detached;149900.0;100.0;3;0.0;41.7505772;-0.6354992
260429;Aragón;house;semi-detached;220000.0;117.0;3;0.0;42.4130899;0.15076
261218;Aragón;house;semi-detached;49000.0;118.0;3;0.0;41.862389;-0.7922965
261913;Aragón;house;semi-detached;27280.0;119.0;3;0.0;41.6300781;-1.3023365
262796;Aragón;house;semi-detached;85800.0;120.0;3;0.0;41.7419193;-1.0934961
263521;Aragón;house;semi-detached;210000.0;120.0;3;0.0;42.49993;0.14404
270247;Aragón;house;semi-detached;83900.0;126.0;3;0.0;41.8661949;-0.7925753
270554;Aragón;house;semi-detached;145000.0;127.0;3;0.0;41.8753738;-0.7901037
271627;Aragón;house;semi-detached;85000.0;130.0;3;0.0;41.8813994;-1.7540949
273093;Aragón;house;semi-detached;240000.0;130.0;3;0.0;41.6304525;-0.8887266
275695;Aragón;house;semi-detached;169000.0;135.0;3;0.0;42.4513721;0.1325813
276519;Aragón;house;semi-detached;55000.0;136.0;3;0.0;41.2516592;-1.1556962
278273;Aragón;house;semi-detached;165000.0;140.0;3;0.0;42.5124963;0.1330755
278447;Aragón;house;semi-detached;145000.0;140.0;3;0.0;41.8641256;-0.7851565
279536;Aragón;house;semi-detached;143000.0;141.0;3;0.0;41.8661256;-0.7868565
280859;Aragón;house;semi-detached;165000.0;145.0;3;0.0;41.9385844;-0.7557081
282102;Aragón;house;semi-detached;98984.0;150.0;3;2.0;41.7633265;-1.1777215
282252;Aragón;house;semi-detached;228000.0;150.0;3;0.0;42.4990991;-0.1219946
283089;Aragón;house;semi-detached;156000.0;150.0;3;0.0;41.8272896;-0.7686576
284776;Aragón;house;semi-detached;154000.0;154.0;3;0.0;41.8661256;-0.7868565
285091;Aragón;house;semi-detached;204000.0;155.0;3;0.0;41.9351745;-0.75662
285398;Aragón;house;semi-detached;150000.0;156.0;3;0.0;41.8597957;-0.7833321
286004;Aragón;house;semi-detached;190000.0;159.0;3;0.0;42.3215901;0.0771044
286060;Aragón;house;semi-detached;23800.0;159.0;3;0.0;42.0348534;0.125973
286637;Aragón;house;semi-detached;176000.0;160.0;3;0.0;41.830155;-0.7655543
287789;Aragón;house;semi-detached;120000.0;164.0;3;0.0;41.7901301;-0.1568598
290146;Aragón;house;semi-detached;154000.0;174.0;3;0.0;41.8661256;-0.7868565
291864;Aragón;house;semi-detached;27000.0;180.0;3;0.0;41.1575258;-0.4706294
292374;Aragón;house;semi-detached;128000.0;182.0;3;0.0;41.5365056;-1.0040369
294875;Aragón;house;semi-detached;343232.0;200.0;3;2.0;41.5792635;-0.9525607
296091;Aragón;house;semi-detached;141800.0;200.0;3;0.0;41.5940272;-0.6868242
296399;Aragón;house;semi-detached;281000.0;205.0;3;0.0;41.6594657;-0.9311987
296777;Aragón;house;semi-detached;343232.0;210.0;3;2.0;41.589763;-0.939583
298032;Aragón;house;semi-detached;204000.0;220.0;3;0.0;41.5835167;-1.1154533
298151;Aragón;house;semi-detached;345000.0;220.0;3;0.0;41.6285795;-0.9314065
299284;Aragón;house;semi-detached;130000.0;231.0;3;0.0;41.8716074;-0.7859026
299433;Aragón;house;semi-detached;161000.0;234.0;3;2.0;42.0515466;0.2453379
299645;Aragón;house;semi-detached;164900.0;237.0;3;0.0;42.1332885;-1.3101503
299923;Aragón;house;semi-detached;350000.0;240.0;3;0.0;41.6331938;-0.9416703
299974;Aragón;house;semi-detached;360000.0;240.0;3;0.0;41.6299256;-0.9331698
300656;Aragón;house;semi-detached;190000.0;250.0;3;3.0;40.2604643;-0.746902
303523;Aragón;house;semi-detached;36000.0;300.0;3;0.0;41.8292679;-1.4988711
305120;Aragón;house;semi-detached;300000.0;400.0;3;2.0;41.585042;-0.9282099
305218;Aragón;house;semi-detached;590000.0;415.0;3;0.0;41.667688;-0.9463862
305708;Aragón;house;semi-detached;60000.0;538.0;3;0.0;42.0115272;0.2567455
306351;Aragón;house;semi-detached;56000.0;70.0;4;0.0;41.8360593;-1.7901004
309842;Aragón;house;semi-detached;124500.0;91.0;4;0.0;42.6293068;-0.5498221
317580;Aragón;house;semi-detached;105000.0;110.0;4;0.0;42.5698756;-0.5470216
322972;Aragón;house;semi-detached;100000.0;120.0;4;0.0;41.5937098;-1.0973803
325882;Aragón;house;semi-detached;7500.0;123.0;4;0.0;41.6326848;-1.2758081
327909;Aragón;house;semi-detached;136000.0;128.0;4;0.0;41.868367;-0.7904209
330983;Aragón;house;semi-detached;175000.0;135.0;4;0.0;42.6194336;-0.2967381
