index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
14502;Aragón;house;terraced house;9000.0;120.0;0;0.0;40.8369206;-1.1915342
23072;Aragón;house;terraced house;150000.0;247.0;0;3.0;40.1351287;-0.6259404
24609;Aragón;house;terraced house;120000.0;300.0;0;3.0;40.1301314;-0.6262601
25757;Aragón;house;terraced house;105000.0;347.0;0;3.0;40.2365726;-0.6342119
26163;Aragón;house;terraced house;132000.0;370.0;0;3.0;40.1341945;-0.6223027
83008;Aragón;house;terraced house;135000.0;571.0;1;0.0;40.2477189;-0.7572346
85730;Aragón;house;terraced house;84000.0;50.0;2;3.0;41.8292211;-0.7650291
92908;Aragón;house;terraced house;181500.0;60.0;2;2.0;42.5527301;-0.3415756
94459;Aragón;house;terraced house;77000.0;60.0;2;0.0;41.8610929;-0.7618112
113394;Aragón;house;terraced house;17010.0;70.0;2;0.0;41.4617201;-1.7853165
128610;Aragón;house;terraced house;75000.0;80.0;2;0.0;40.4111355;-1.345177
131593;Aragón;house;terraced house;77000.0;80.0;2;2.0;41.4199427;-0.5446912
134352;Aragón;house;terraced house;99650.0;82.0;2;0.0;40.4077368;-1.443876
144577;Aragón;house;terraced house;118000.0;90.0;2;0.0;42.5474559;-0.3476222
145939;Aragón;house;terraced house;270000.0;90.0;2;0.0;41.7655733;-0.8839977
146079;Aragón;house;terraced house;70000.0;90.0;2;0.0;41.5081487;-1.0318715
150314;Aragón;house;terraced house;119000.0;96.0;2;0.0;42.1137838;0.2927297
150315;Aragón;house;terraced house;119000.0;96.0;2;0.0;42.1137838;0.2927297
150921;Aragón;house;terraced house;149000.0;97.0;2;0.0;42.6759122;-0.5307026
151355;Aragón;house;terraced house;80000.0;98.0;2;0.0;41.7414696;-1.0960778
152542;Aragón;house;terraced house;114000.0;100.0;2;0.0;41.8684184;-0.7905473
152706;Aragón;house;terraced house;60000.0;100.0;2;0.0;40.2528881;-0.7519091
152966;Aragón;house;terraced house;27080.0;100.0;2;3.0;41.9190786;0.1944636
157226;Aragón;house;terraced house;70000.0;110.0;2;0.0;42.3554989;-0.7943836
158210;Aragón;house;terraced house;112000.0;115.0;2;0.0;41.8683572;-0.7901954
159715;Aragón;house;terraced house;215000.0;120.0;2;0.0;42.6898647;-0.3068218
161972;Aragón;house;terraced house;165000.0;135.0;2;0.0;42.4136572;0.1519443
162024;Aragón;house;terraced house;159000.0;135.0;2;0.0;42.4691389;0.6015717
163110;Aragón;house;terraced house;43015.0;146.0;2;0.0;41.8375985;-1.5326427
164044;Aragón;house;terraced house;164024.0;160.0;2;0.0;41.5898111;-0.9374819
164063;Aragón;house;terraced house;171425.0;160.0;2;0.0;41.5918088;-0.9363166
164485;Aragón;house;terraced house;10560.0;173.0;2;0.0;41.1240628;-0.5082396
164578;Aragón;house;terraced house;19800.0;177.0;2;0.0;42.0099124;0.2564639
164757;Aragón;house;terraced house;81300.0;181.0;2;0.0;41.4220986;-0.4941604
165027;Aragón;house;terraced house;40000.0;195.0;2;0.0;40.2551886;-0.7546635
165307;Aragón;house;terraced house;190000.0;211.0;2;0.0;41.8657732;-0.7895373
193139;Aragón;house;terraced house;150000.0;80.0;3;0.0;41.2132366;-1.0815507
200533;Aragón;house;terraced house;78000.0;85.0;3;2.0;41.8564095;0.288936
201284;Aragón;house;terraced house;50000.0;85.0;3;0.0;41.6525705;-0.9250012
220572;Aragón;house;terraced house;135000.0;94.0;3;0.0;41.7382719;-1.0903962
222316;Aragón;house;terraced house;120000.0;95.0;3;0.0;41.6908876;-0.8662624
222421;Aragón;house;terraced house;130000.0;95.0;3;0.0;42.4096595;0.3927819
224586;Aragón;house;terraced house;96000.0;95.0;3;0.0;41.7554772;-1.0665997
225496;Aragón;house;terraced house;176000.0;96.0;3;0.0;42.5537433;-0.3430786
229221;Aragón;house;terraced house;125000.0;98.0;3;0.0;41.8279267;-0.7674807
231654;Aragón;house;terraced house;175000.0;100.0;3;0.0;42.6200046;-0.2971654
232749;Aragón;house;terraced house;136000.0;100.0;3;0.0;42.605933;-0.4603271
233550;Aragón;house;terraced house;109000.0;100.0;3;0.0;41.8722365;-0.7957229
234120;Aragón;house;terraced house;112000.0;100.0;3;0.0;42.0379461;-0.5764426
243229;Aragón;house;terraced house;200000.0;105.0;3;0.0;41.6847319;-0.8711182
243312;Aragón;house;terraced house;151000.0;105.0;3;2.0;42.3800056;0.3888287
244080;Aragón;house;terraced house;112900.0;105.0;3;0.0;41.504493;-1.408116
244447;Aragón;house;terraced house;123000.0;105.0;3;0.0;42.0361048;-0.5782025
245683;Aragón;house;terraced house;230000.0;106.0;3;0.0;42.6898647;-0.3068218
246272;Aragón;house;terraced house;100000.0;107.0;3;0.0;42.5668723;0.1673235
246639;Aragón;house;terraced house;120000.0;107.0;3;0.0;42.0478685;-0.9114159
249025;Aragón;house;terraced house;216000.0;110.0;3;0.0;42.5689143;-0.5483648
250156;Aragón;house;terraced house;130000.0;110.0;3;0.0;42.5507559;-0.3438222
250368;Aragón;house;terraced house;155000.0;110.0;3;3.0;42.5488521;0.4637865
251780;Aragón;house;terraced house;66000.0;110.0;3;0.0;41.8350719;-1.5327489
252645;Aragón;house;terraced house;107500.0;110.0;3;2.0;41.5406504;-0.9966258
252841;Aragón;house;terraced house;265000.0;110.0;3;0.0;41.6589253;-0.9400334
254926;Aragón;house;terraced house;222000.0;112.0;3;0.0;41.6288321;-0.9359646
254927;Aragón;house;terraced house;220000.0;112.0;3;0.0;41.6297321;-0.9322646
255216;Aragón;house;terraced house;47900.0;112.0;3;0.0;41.5642954;-1.3247627
257623;Aragón;house;terraced house;80000.0;115.0;3;0.0;42.036052;-0.8748869
257624;Aragón;house;terraced house;82000.0;115.0;3;0.0;42.036052;-0.8748869
257865;Aragón;house;terraced house;110000.0;115.0;3;0.0;40.168045;-0.6170795
258136;Aragón;house;terraced house;80000.0;115.0;3;0.0;42.0347808;-0.8757033
258137;Aragón;house;terraced house;100000.0;115.0;3;0.0;42.0356808;-0.8738033
259055;Aragón;house;terraced house;90000.0;115.0;3;0.0;41.7709211;-1.1172911
260042;Aragón;house;terraced house;193068.0;117.0;3;6.0;42.5805785;-0.5364683
261440;Aragón;house;terraced house;143200.0;118.0;3;0.0;41.7882503;-1.2240966
264652;Aragón;house;terraced house;95000.0;120.0;3;0.0;41.6134754;-0.7001536
265764;Aragón;house;terraced house;170000.0;120.0;3;0.0;42.6798881;-0.5401313
265810;Aragón;house;terraced house;115000.0;120.0;3;0.0;41.7845129;-1.2229552
266147;Aragón;house;terraced house;133100.0;120.0;3;0.0;41.6307025;-0.7476718
267140;Aragón;house;terraced house;232000.0;122.0;3;0.0;41.6286192;-0.9259046
267141;Aragón;house;terraced house;232000.0;122.0;3;0.0;41.6294707;-0.928162
267851;Aragón;house;terraced house;123000.0;123.0;3;0.0;42.0359678;-0.5779268
268234;Aragón;house;terraced house;38000.0;124.0;3;2.0;42.1385873;0.1369811
268846;Aragón;house;terraced house;179000.0;125.0;3;0.0;42.4951304;-0.1225186
