index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32477;Aragón;land;Vacio;90000.0;0.0;0;0.0;42.5862304;-0.4639299
32478;Aragón;land;Vacio;120000.0;0.0;0;0.0;42.6684819;-0.5491925
32592;Aragón;land;Vacio;68000.0;0.0;0;0.0;41.655927;-0.8670945
33271;Aragón;land;Vacio;15000.0;0.0;0;0.0;41.903927;-1.7118182
33272;Aragón;land;Vacio;47000.0;0.0;0;0.0;41.9055617;-1.7309877
40516;Aragón;land;Vacio;990000.0;0.0;0;0.0;41.5692097;-0.9477615
40517;Aragón;land;Vacio;1100000.0;0.0;0;0.0;41.5692097;-0.9477615
40524;Aragón;land;Vacio;2400000.0;0.0;0;0.0;41.6536379;-0.9363164
40526;Aragón;land;Vacio;50000.0;0.0;0;0.0;41.5248961;-1.3427418
44403;Aragón;land;Vacio;20000.0;0.0;0;0.0;41.834693;-1.5389209
44404;Aragón;land;Vacio;20000.0;0.0;0;0.0;41.834693;-1.5389209
44793;Aragón;land;Vacio;52500.0;0.0;0;0.0;41.9094042;0.1979501
45958;Aragón;land;Vacio;30000.0;0.0;0;2.0;40.2834363;-1.1549964
46137;Aragón;land;Vacio;26000.0;0.0;0;0.0;41.5374541;-0.9915882
46230;Aragón;land;Vacio;42000.0;0.0;0;0.0;41.7718374;-1.1170803
46231;Aragón;land;Vacio;76000.0;0.0;0;0.0;41.7454793;-1.0724491
46714;Aragón;land;Vacio;45900.0;0.0;0;0.0;42.094373;-0.0466135
46715;Aragón;land;Vacio;183600.0;0.0;0;0.0;42.0273825;0.110262
46716;Aragón;land;Vacio;40800.0;0.0;0;0.0;42.4735768;0.0684115
47125;Aragón;land;Vacio;50000.0;0.0;0;0.0;41.5209614;-1.3431924
47126;Aragón;land;Vacio;2400000.0;0.0;0;0.0;41.6606592;-0.9444541
47133;Aragón;land;Vacio;145000.0;0.0;0;0.0;41.8767638;-0.7900097
47160;Aragón;land;Vacio;20000.0;0.0;0;0.0;42.1446193;0.287948
47161;Aragón;land;Vacio;23000.0;0.0;0;0.0;42.0365451;0.13044
51463;Aragón;land;Vacio;19000.0;0.0;0;0.0;41.4660897;-0.7063054
51489;Aragón;land;Vacio;201000.0;0.0;0;0.0;41.8453276;0.2975276
51523;Aragón;land;Vacio;330000.0;0.0;0;0.0;41.6319624;-0.9425098
51737;Aragón;land;Vacio;29500.0;0.0;0;0.0;42.0347656;0.12376
51738;Aragón;land;Vacio;80000.0;0.0;0;0.0;42.457359;0.2213885
51739;Aragón;land;Vacio;32000.0;0.0;0;0.0;42.4910491;0.1978491
51740;Aragón;land;Vacio;24000.0;0.0;0;0.0;42.4333757;0.0840299
51741;Aragón;land;Vacio;99900.0;0.0;0;0.0;42.4574807;0.2213071
51742;Aragón;land;Vacio;73000.0;0.0;0;0.0;42.4160488;0.0910684
51743;Aragón;land;Vacio;99000.0;0.0;0;0.0;42.4978592;0.1437259
51744;Aragón;land;Vacio;45000.0;0.0;0;0.0;42.4166278;0.1480832
51745;Aragón;land;Vacio;35200.0;0.0;0;0.0;42.4471096;0.1345248
51746;Aragón;land;Vacio;59000.0;0.0;0;0.0;42.412753;0.1375849
51925;Aragón;land;Vacio;126000.0;0.0;0;2.0;42.5517924;0.4734271
51926;Aragón;land;Vacio;119000.0;0.0;0;2.0;42.57576;0.46681
51927;Aragón;land;Vacio;139000.0;0.0;0;2.0;42.5113698;0.4939375
52307;Aragón;land;Vacio;96000.0;0.0;0;0.0;42.6546756;-0.5552171
52308;Aragón;land;Vacio;12000.0;0.0;0;0.0;42.5968498;-0.7840633
52319;Aragón;land;Vacio;46000.0;0.0;0;0.0;40.2478158;-0.7501409
52320;Aragón;land;Vacio;15000.0;0.0;0;0.0;40.1697957;-0.6149397
52414;Aragón;land;Vacio;8000.0;0.0;0;0.0;40.984137;0.0837456
52415;Aragón;land;Vacio;55000.0;0.0;0;0.0;40.9343784;0.1087433
52514;Aragón;land;Vacio;24000.0;0.0;0;0.0;42.1441306;0.2863097
52515;Aragón;land;Vacio;69000.0;0.0;0;0.0;42.4509372;0.2031758
52516;Aragón;land;Vacio;69000.0;0.0;0;0.0;42.6320711;0.2188026
52517;Aragón;land;Vacio;85000.0;0.0;0;0.0;42.4500902;0.2051962
