index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1243;Aragón;office;Vacio;48000.0;32.0;0;2.0;41.6760037;-0.8870857
1655;Aragón;office;Vacio;29000.0;35.0;0;2.0;41.6519771;-0.8743173
1964;Aragón;office;Vacio;40000.0;36.0;0;2.0;41.6270736;-0.8762995
2104;Aragón;office;Vacio;50000.0;38.0;0;2.0;42.1406085;-0.4099789
3259;Aragón;office;Vacio;80000.0;44.0;0;3.0;41.6507068;-0.8754133
3663;Aragón;office;Vacio;38000.0;46.0;0;3.0;42.1385895;-0.4196865
4119;Aragón;office;Vacio;48000.0;50.0;0;2.0;41.6586783;-0.9402226
4353;Aragón;office;Vacio;82500.0;50.0;0;0.0;41.6406326;-0.8834384
5324;Aragón;office;Vacio;98000.0;55.0;0;2.0;41.6479093;-0.8893267
5490;Aragón;office;Vacio;104000.0;56.0;0;3.0;41.6489905;-0.8803866
5610;Aragón;office;Vacio;79000.0;58.0;0;5.0;41.6589311;-0.8741433
6054;Aragón;office;Vacio;95000.0;60.0;0;2.0;41.6384822;-0.8947189
6206;Aragón;office;Vacio;97000.0;60.0;0;2.0;41.6371393;-0.8906723
6334;Aragón;office;Vacio;105000.0;61.0;0;3.0;41.6554169;-0.8952687
6335;Aragón;office;Vacio;105000.0;61.0;0;2.0;41.6625259;-0.8749129
6442;Aragón;office;Vacio;129000.0;62.0;0;10.0;41.6501478;-0.8833226
6774;Aragón;office;Vacio;85000.0;65.0;0;5.0;41.646114;-0.8800058
6898;Aragón;office;Vacio;109000.0;65.0;0;8.0;41.6488027;-0.876891
7072;Aragón;office;Vacio;170000.0;67.0;0;3.0;41.6438375;-0.8697943
7473;Aragón;office;Vacio;97000.0;70.0;0;2.0;41.6366748;-0.8922655
7561;Aragón;office;Vacio;105000.0;70.0;0;0.0;41.6561083;-0.8849305
7785;Aragón;office;Vacio;93600.0;70.0;0;2.0;41.6497388;-0.8784899
8036;Aragón;office;Vacio;58000.0;72.0;0;3.0;41.6522519;-0.8736037
8118;Aragón;office;Vacio;79000.0;73.0;0;5.0;41.6589311;-0.8741433
8176;Aragón;office;Vacio;99000.0;73.0;0;8.0;41.6508027;-0.877191
8353;Aragón;office;Vacio;35000.0;75.0;0;0.0;41.6690334;-0.8377653
8354;Aragón;office;Vacio;35000.0;75.0;0;0.0;41.6690334;-0.8377653
8826;Aragón;office;Vacio;70000.0;77.0;0;3.0;42.1404148;-0.4214035
8873;Aragón;office;Vacio;205500.0;78.0;0;3.0;41.6565629;-0.8655613
8886;Aragón;office;Vacio;35000.0;78.0;0;2.0;41.6676408;-0.8367212
9218;Aragón;office;Vacio;110000.0;80.0;0;2.0;41.6374857;-0.8893956
9219;Aragón;office;Vacio;70000.0;80.0;0;2.0;41.6653112;-0.8814394
9326;Aragón;office;Vacio;90000.0;80.0;0;2.0;42.033937;0.119448
9644;Aragón;office;Vacio;195000.0;81.0;0;7.0;41.6418668;-0.8856533
9685;Aragón;office;Vacio;220600.0;82.0;0;3.0;41.6565629;-0.8655613
9959;Aragón;office;Vacio;335000.0;84.0;0;11.0;41.6484975;-0.8843155
10497;Aragón;office;Vacio;90000.0;88.0;0;2.0;41.6539857;-0.8812786
10613;Aragón;office;Vacio;160000.0;89.0;0;4.0;41.6504373;-0.87648
10736;Aragón;office;Vacio;82000.0;90.0;0;3.0;41.6585303;-0.8746154
11008;Aragón;office;Vacio;128963.0;91.0;0;0.0;41.6578138;-0.8692066
11101;Aragón;office;Vacio;239000.0;92.0;0;3.0;41.6565629;-0.8655613
11102;Aragón;office;Vacio;239000.0;92.0;0;3.0;41.6565629;-0.8655613
