index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
12;Aragón;premise;Vacio;6500.0;6.0;0;1.0;41.6436512;-0.8899597
20;Aragón;premise;Vacio;13000.0;10.0;0;2.0;41.637141;-0.8760888
24;Aragón;premise;Vacio;15900.0;10.0;0;1.0;41.6394894;-0.8782188
33;Aragón;premise;Vacio;3500.0;11.0;0;2.0;41.6447531;-0.8816105
69;Aragón;premise;Vacio;4000.0;13.0;0;2.0;41.6415531;-0.8818105
152;Aragón;premise;Vacio;5600.0;16.0;0;2.0;41.6498882;-0.9115696
158;Aragón;premise;Vacio;9400.0;17.0;0;2.0;41.6455531;-0.8827105
161;Aragón;premise;Vacio;9400.0;17.0;0;2.0;41.6455531;-0.8850105
162;Aragón;premise;Vacio;9500.0;17.0;0;2.0;41.6420531;-0.8856105
163;Aragón;premise;Vacio;9400.0;17.0;0;2.0;41.6439531;-0.8856105
177;Aragón;premise;Vacio;7000.0;18.0;0;0.0;41.8279157;-0.7689051
245;Aragón;premise;Vacio;4200.0;20.0;0;2.0;41.6455531;-0.8838105
264;Aragón;premise;Vacio;21000.0;20.0;0;0.0;41.8461292;0.2966914
396;Aragón;premise;Vacio;29000.0;24.0;0;2.0;41.6579835;-0.8918255
449;Aragón;premise;Vacio;58000.0;24.0;0;2.0;41.6475143;-0.888791
463;Aragón;premise;Vacio;14000.0;25.0;0;1.0;42.5677107;-0.5494903
531;Aragón;premise;Vacio;18000.0;25.0;0;1.0;42.6021728;0.5258277
620;Aragón;premise;Vacio;39500.0;26.0;0;2.0;41.6267623;-0.8742625
748;Aragón;premise;Vacio;60000.0;28.0;0;2.0;41.6390991;-0.914509
799;Aragón;premise;Vacio;53000.0;29.0;0;2.0;41.6462656;-0.8659182
1287;Aragón;premise;Vacio;43956.0;33.0;0;0.0;41.6466302;-0.8819347
1333;Aragón;premise;Vacio;43956.0;33.0;0;0.0;41.6479257;-0.8771028
1378;Aragón;premise;Vacio;18500.0;33.0;0;2.0;41.65567;-0.88392
1385;Aragón;premise;Vacio;28000.0;33.0;0;2.0;41.6369818;-0.8727924
1505;Aragón;premise;Vacio;34100.0;35.0;0;0.0;41.6586918;-0.8749199
1506;Aragón;premise;Vacio;22100.0;35.0;0;0.0;41.6559043;-0.8862313
1775;Aragón;premise;Vacio;39900.0;35.0;0;2.0;41.6542956;-0.8838581
1958;Aragón;premise;Vacio;40000.0;36.0;0;2.0;41.6501237;-0.9009192
1979;Aragón;premise;Vacio;45000.0;37.0;0;2.0;41.6613466;-0.8753446
2054;Aragón;premise;Vacio;19000.0;37.0;0;2.0;41.65807;-0.88472
2177;Aragón;premise;Vacio;30000.0;38.0;0;2.0;41.6488917;-0.8615599
2327;Aragón;premise;Vacio;18300.0;40.0;0;2.0;41.6572587;-0.8869465
2341;Aragón;premise;Vacio;50000.0;40.0;0;2.0;41.6440138;-0.9172821
2406;Aragón;premise;Vacio;5700.0;40.0;0;3.0;41.7928471;-0.1600264
2496;Aragón;premise;Vacio;48000.0;40.0;0;2.0;41.6531918;-0.9089503
2520;Aragón;premise;Vacio;39000.0;40.0;0;0.0;41.91379;0.19359
2525;Aragón;premise;Vacio;18300.0;40.0;0;2.0;41.6552587;-0.8866465
2712;Aragón;premise;Vacio;55600.0;40.0;0;2.0;41.6803424;-0.8915051
