index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
82613;Canarias;countryHouse;farmhouse;48000.0;144.0;1;0.0;28.0584537;-15.5575201
82655;Canarias;countryHouse;farmhouse;78620.0;154.0;1;0.0;28.059498;-15.5482405
150501;Canarias;countryHouse;farmhouse;98000.0;96.0;2;0.0;28.06334;-15.5712975
175014;Canarias;countryHouse;farmhouse;175000.0;70.0;3;3.0;28.3177703;-16.3893138
191841;Canarias;countryHouse;farmhouse;210700.0;80.0;3;0.0;28.0635877;-15.5405692
200527;Canarias;countryHouse;farmhouse;89000.0;85.0;3;0.0;28.1535454;-15.6304558
248950;Canarias;countryHouse;farmhouse;80000.0;109.0;3;0.0;28.2814091;-16.4012606
256760;Canarias;countryHouse;farmhouse;198000.0;114.0;3;0.0;28.105387;-15.558627
289289;Canarias;countryHouse;farmhouse;150000.0;170.0;3;2.0;28.3507911;-14.106119
290711;Canarias;countryHouse;farmhouse;185000.0;176.0;3;2.0;27.9074729;-15.5437286
305294;Canarias;countryHouse;farmhouse;339500.0;433.0;3;0.0;28.1106821;-16.6762859
312804;Canarias;countryHouse;farmhouse;299000.0;100.0;4;0.0;28.1151554;-15.4392836
343293;Canarias;countryHouse;farmhouse;335000.0;167.0;4;4.0;28.0955707;-16.626158
373536;Canarias;countryHouse;farmhouse;149200.0;113.0;5;0.0;28.0738441;-15.5723144
385050;Canarias;countryHouse;farmhouse;995000.0;273.0;5;2.0;28.0084166;-15.4001617
399092;Canarias;countryHouse;farmhouse;1300000.0;332.0;6;0.0;28.0130749;-15.5936317
403900;Canarias;countryHouse;farmhouse;320000.0;255.0;7;0.0;28.0111801;-15.4113237
408829;Canarias;countryHouse;farmhouse;1395000.0;807.0;12;3.0;28.1113537;-16.6127243
