index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
112;Canarias;flat;studio;60000.0;15.0;0;0.0;27.7615254;-15.6857682
452;Canarias;flat;studio;46000.0;24.0;0;3.0;27.7751356;-15.603999
475;Canarias;flat;studio;65000.0;25.0;0;2.0;28.9227845;-13.6725692
533;Canarias;flat;studio;48000.0;25.0;0;4.0;27.753881;-15.6759601
581;Canarias;flat;studio;49900.0;25.0;0;4.0;27.9852638;-15.3771305
653;Canarias;flat;studio;31500.0;27.0;0;5.0;28.403823;-16.3317533
698;Canarias;flat;studio;39000.0;28.0;0;0.0;28.053027;-16.7055259
701;Canarias;flat;studio;49900.0;28.0;0;0.0;27.7593364;-15.6806629
912;Canarias;flat;studio;37000.0;30.0;0;5.0;28.4139638;-16.5564232
913;Canarias;flat;studio;31000.0;30.0;0;5.0;28.4164673;-16.5530993
945;Canarias;flat;studio;115000.0;30.0;0;6.0;27.7603254;-15.6817682
946;Canarias;flat;studio;115000.0;30.0;0;6.0;27.7638277;-15.6827604
978;Canarias;flat;studio;75000.0;30.0;0;7.0;27.7844168;-15.7180156
997;Canarias;flat;studio;72000.0;30.0;0;6.0;28.1381346;-15.434091
1007;Canarias;flat;studio;60000.0;30.0;0;7.0;28.414581;-16.5513452
1064;Canarias;flat;studio;43000.0;30.0;0;3.0;28.9226642;-13.6647611
1119;Canarias;flat;studio;60000.0;31.0;0;10.0;28.3954897;-16.5910728
1143;Canarias;flat;studio;45000.0;31.0;0;5.0;28.4150171;-16.5349024
1174;Canarias;flat;studio;129000.0;32.0;0;0.0;27.785021;-15.65
1175;Canarias;flat;studio;157000.0;32.0;0;0.0;27.785021;-15.65
1245;Canarias;flat;studio;69000.0;32.0;0;0.0;28.1433479;-15.433048
1263;Canarias;flat;studio;68000.0;32.0;0;4.0;27.7609752;-15.5714637
1267;Canarias;flat;studio;81000.0;32.0;0;0.0;27.7592937;-15.5667488
1270;Canarias;flat;studio;86700.0;32.0;0;3.0;28.12214;-16.77606
1286;Canarias;flat;studio;34650.0;33.0;0;7.0;28.4101463;-16.5449178
1295;Canarias;flat;studio;89000.0;33.0;0;0.0;27.7617009;-15.6836365
1296;Canarias;flat;studio;59000.0;33.0;0;0.0;27.79847;-15.69856
1297;Canarias;flat;studio;59000.0;33.0;0;0.0;27.79847;-15.69856
1298;Canarias;flat;studio;59000.0;33.0;0;0.0;27.79847;-15.69856
1299;Canarias;flat;studio;99000.0;33.0;0;0.0;27.7617009;-15.6836365
1304;Canarias;flat;studio;33000.0;33.0;0;5.0;28.4149764;-16.5500644
1308;Canarias;flat;studio;69000.0;33.0;0;2.0;28.0622;-16.72575
1337;Canarias;flat;studio;58800.0;33.0;0;4.0;28.1397321;-15.4316758
1343;Canarias;flat;studio;73800.0;33.0;0;4.0;27.8836973;-15.7239836
1371;Canarias;flat;studio;38850.0;33.0;0;2.0;28.00923;-16.6424699
1380;Canarias;flat;studio;97000.0;33.0;0;3.0;28.00887;-16.6403876
1390;Canarias;flat;studio;42500.0;33.0;0;4.0;28.0342731;-16.6073466
1393;Canarias;flat;studio;59500.0;33.0;0;9.0;28.412581;-16.5532452
1398;Canarias;flat;studio;125000.0;33.0;0;2.0;27.75625;-15.5878188
1403;Canarias;flat;studio;38850.0;34.0;0;2.0;28.0082926;-16.6459498
1421;Canarias;flat;studio;57000.0;34.0;0;3.0;28.00879;-16.6424
1442;Canarias;flat;studio;69000.0;34.0;0;5.0;28.4129802;-16.5507604
1464;Canarias;flat;studio;95000.0;34.0;0;2.0;28.1216751;-16.7257742
1503;Canarias;flat;studio;57920.0;35.0;0;2.0;27.8596729;-15.3993555
1541;Canarias;flat;studio;63500.0;35.0;0;4.0;28.4156809;-16.5515855
1604;Canarias;flat;studio;55000.0;35.0;0;3.0;28.0069486;-16.6477435
1660;Canarias;flat;studio;100000.0;35.0;0;4.0;28.346634;-14.1153538
1669;Canarias;flat;studio;64000.0;35.0;0;5.0;27.7878827;-15.7180227
1716;Canarias;flat;studio;99420.0;35.0;0;0.0;28.1373719;-15.4352372
1717;Canarias;flat;studio;66420.0;35.0;0;5.0;28.1342343;-15.430574
1742;Canarias;flat;studio;53700.0;35.0;0;3.0;28.4067526;-16.5381425
1785;Canarias;flat;studio;48800.0;35.0;0;3.0;28.4082235;-16.5386242
1794;Canarias;flat;studio;75000.0;35.0;0;2.0;27.7930072;-15.7078946
1810;Canarias;flat;studio;105000.0;35.0;0;3.0;28.1363777;-15.4345707
1844;Canarias;flat;studio;92500.0;36.0;0;5.0;27.7856046;-15.7030089
1861;Canarias;flat;studio;55000.0;36.0;0;4.0;28.4145629;-16.5365272
1862;Canarias;flat;studio;46000.0;36.0;0;5.0;28.366188;-16.568498
1905;Canarias;flat;studio;66000.0;36.0;0;4.0;28.4139877;-16.5506435
1919;Canarias;flat;studio;60000.0;36.0;0;0.0;28.0815202;-16.7272044
1920;Canarias;flat;studio;60000.0;36.0;0;3.0;28.4124629;-16.5339272
1921;Canarias;flat;studio;60000.0;36.0;0;2.0;28.4146304;-16.5367835
1967;Canarias;flat;studio;75000.0;36.0;0;0.0;28.1476391;-15.4329292
1984;Canarias;flat;studio;68000.0;37.0;0;10.0;28.4149465;-16.5437859
1987;Canarias;flat;studio;82000.0;37.0;0;6.0;27.786185;-15.7030592
1998;Canarias;flat;studio;32500.0;37.0;0;4.0;28.0369132;-16.6378271
2021;Canarias;flat;studio;52500.0;37.0;0;5.0;28.4146791;-16.5536564
2022;Canarias;flat;studio;70000.0;37.0;0;7.0;28.2354401;-16.8402149
2029;Canarias;flat;studio;35000.0;37.0;0;2.0;28.0421017;-16.7087696
2030;Canarias;flat;studio;45000.0;37.0;0;0.0;28.0553417;-14.3221177
2036;Canarias;flat;studio;39300.0;37.0;0;5.0;28.4139699;-16.5541088
2044;Canarias;flat;studio;72000.0;37.0;0;12.0;28.0488313;-14.3401718
2069;Canarias;flat;studio;57000.0;37.0;0;3.0;28.4128998;-16.5395492
2077;Canarias;flat;studio;55000.0;37.0;0;3.0;28.1385802;-15.4348992
2094;Canarias;flat;studio;53000.0;38.0;0;3.0;28.413024;-16.5362621
2136;Canarias;flat;studio;60000.0;38.0;0;8.0;28.4150162;-16.547807
2152;Canarias;flat;studio;69999.0;38.0;0;4.0;27.7592995;-15.5743231
2157;Canarias;flat;studio;79000.0;38.0;0;0.0;28.0703353;-16.7322378
2178;Canarias;flat;studio;48000.0;38.0;0;2.0;28.00703;-16.6461699
2179;Canarias;flat;studio;48000.0;38.0;0;3.0;28.4134823;-16.5511158
2197;Canarias;flat;studio;69999.0;38.0;0;5.0;27.7571271;-15.5678858
2247;Canarias;flat;studio;45000.0;39.0;0;3.0;28.4139877;-16.5487435
2252;Canarias;flat;studio;98000.0;39.0;0;6.0;28.0717582;-16.7303552
2270;Canarias;flat;studio;43000.0;39.0;0;12.0;28.4815286;-16.4119972
2287;Canarias;flat;studio;68000.0;39.0;0;3.0;28.92536;-13.67752
2302;Canarias;flat;studio;125000.0;39.0;0;3.0;28.1239562;-15.4329161
2305;Canarias;flat;studio;43000.0;39.6;0;2.0;28.0152;-16.64938
2363;Canarias;flat;studio;55000.0;40.0;0;7.0;28.4170193;-16.5397016
2445;Canarias;flat;studio;179000.0;40.0;0;3.0;28.1451329;-15.4299638
2452;Canarias;flat;studio;86000.0;40.0;0;0.0;28.0734833;-16.7297216
2465;Canarias;flat;studio;45000.0;40.0;0;3.0;28.415096;-16.547924
2470;Canarias;flat;studio;45000.0;40.0;0;5.0;28.4101463;-16.5449178
2482;Canarias;flat;studio;63500.0;40.0;0;5.0;27.7901701;-15.7114423
2483;Canarias;flat;studio;140000.0;40.0;0;2.0;27.7610588;-15.6808545
2484;Canarias;flat;studio;137000.0;40.0;0;2.0;27.8825973;-15.7219836
2642;Canarias;flat;studio;90000.0;40.0;0;9.0;28.0574403;-16.7273893
2653;Canarias;flat;studio;68000.0;40.0;0;0.0;28.0082893;-16.6462185
2654;Canarias;flat;studio;70188.0;40.0;0;3.0;28.0080399;-16.6423673
2656;Canarias;flat;studio;51000.0;40.0;0;4.0;27.7728748;-15.6075321
2739;Canarias;flat;studio;166000.0;40.0;0;7.0;28.1384022;-15.4367271
2779;Canarias;flat;studio;35000.0;40.0;0;6.0;28.0342731;-16.6073466
2826;Canarias;flat;studio;63000.0;41.0;0;8.0;28.412924;-16.5374621
2829;Canarias;flat;studio;62000.0;41.0;0;12.0;28.4070555;-16.5703629
2830;Canarias;flat;studio;105950.0;41.0;0;3.0;28.0835316;-16.7322926
2917;Canarias;flat;studio;22672.0;42.0;0;3.0;28.41362;-13.85912
2936;Canarias;flat;studio;79000.0;42.0;0;3.0;28.92111;-13.6719787
2937;Canarias;flat;studio;95000.0;42.0;0;2.0;28.92311;-13.6712787
2952;Canarias;flat;studio;89000.0;42.0;0;2.0;28.0795489;-16.7353469
2961;Canarias;flat;studio;74900.0;42.0;0;4.0;28.0688358;-16.7314037
2962;Canarias;flat;studio;75000.0;42.0;0;4.0;28.0727358;-16.7283037
3016;Canarias;flat;studio;84000.0;42.0;0;2.0;28.0573668;-16.7227653
3046;Canarias;flat;studio;60000.0;42.0;0;6.0;28.0818983;-16.7278392
3091;Canarias;flat;studio;79000.0;42.0;0;3.0;28.0827685;-16.7323777
3106;Canarias;flat;studio;71886.0;43.0;0;3.0;28.9266149;-13.6712614
3112;Canarias;flat;studio;90000.0;43.0;0;2.0;28.0444112;-15.4977635
3148;Canarias;flat;studio;48150.0;43.0;0;5.0;28.4177465;-16.5465859
3179;Canarias;flat;studio;74000.0;43.0;0;3.0;28.0507359;-16.7068351
3218;Canarias;flat;studio;61420.0;44.0;0;2.0;28.0082468;-16.6459218
3266;Canarias;flat;studio;100000.0;44.0;0;0.0;28.0323628;-16.5618444
3306;Canarias;flat;studio;96000.0;44.0;0;3.0;28.1360055;-15.4344266
3315;Canarias;flat;studio;74120.0;45.0;0;2.0;28.9226361;-13.6718202
3431;Canarias;flat;studio;55000.0;45.0;0;3.0;28.4142211;-16.549168
3477;Canarias;flat;studio;105000.0;45.0;0;3.0;28.0487961;-14.3347712
3490;Canarias;flat;studio;70000.0;45.0;0;4.0;28.1135264;-15.4237979
3516;Canarias;flat;studio;98000.0;45.0;0;6.0;28.1436967;-15.4312203
3521;Canarias;flat;studio;58000.0;45.0;0;4.0;28.0240841;-16.7038651
3538;Canarias;flat;studio;89000.0;45.0;0;2.0;28.0826493;-16.7333285
3541;Canarias;flat;studio;45000.0;45.0;0;6.0;28.55244;-16.34055
