index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
21638;Canarias;house;semi-detached;280000.0;212.0;0;0.0;28.4706038;-16.2601148
61541;Canarias;house;semi-detached;135000.0;35.0;1;0.0;27.7540216;-15.5891762
64940;Canarias;house;semi-detached;119500.0;45.0;1;0.0;27.7549491;-15.5948144
64941;Canarias;house;semi-detached;99000.0;45.0;1;0.0;27.751927;-15.5859056
65360;Canarias;house;semi-detached;95000.0;45.0;1;0.0;27.752127;-15.5839056
67710;Canarias;house;semi-detached;96000.0;50.0;1;0.0;27.7511734;-15.5965309
68092;Canarias;house;semi-detached;159000.0;50.0;1;0.0;27.7576703;-15.6001638
69220;Canarias;house;semi-detached;176000.0;50.0;1;0.0;27.7648507;-15.5699186
69370;Canarias;house;semi-detached;90000.0;50.0;1;0.0;27.9269459;-15.5739295
71185;Canarias;house;semi-detached;95000.0;54.0;1;0.0;27.752127;-15.5839056
72288;Canarias;house;semi-detached;106000.0;55.0;1;0.0;27.7529749;-15.5915737
74444;Canarias;house;semi-detached;139000.0;60.0;1;0.0;28.9195104;-13.7012907
75308;Canarias;house;semi-detached;112000.0;60.0;1;0.0;27.7519875;-15.5911231
76091;Canarias;house;semi-detached;99950.0;62.0;1;0.0;28.922818;-13.6554955
77059;Canarias;house;semi-detached;139000.0;65.0;1;0.0;28.9191929;-13.7037484
77442;Canarias;house;semi-detached;137000.0;65.0;1;0.0;28.0777533;-16.727217
77906;Canarias;house;semi-detached;132900.0;66.0;1;2.0;28.0426718;-16.6818568
78532;Canarias;house;semi-detached;87029.0;69.0;1;0.0;28.6934152;-13.8877004
80756;Canarias;house;semi-detached;180000.0;80.0;1;0.0;28.9538787;-13.5937477
80772;Canarias;house;semi-detached;220000.0;80.0;1;0.0;28.1516237;-15.6958388
80811;Canarias;house;semi-detached;95000.0;80.0;1;0.0;27.7523796;-15.5914071
80812;Canarias;house;semi-detached;95000.0;80.0;1;0.0;27.7521394;-15.5912948
81657;Canarias;house;semi-detached;119000.0;93.0;1;2.0;28.4083698;-16.5393655
82100;Canarias;house;semi-detached;299000.0;106.0;1;0.0;28.0767449;-16.7249731
82402;Canarias;house;semi-detached;106000.0;120.0;1;0.0;27.7614596;-15.5737492
82403;Canarias;house;semi-detached;106000.0;120.0;1;0.0;27.7524812;-15.5917239
82763;Canarias;house;semi-detached;49000.0;180.0;1;0.0;28.1235836;-16.5745628
82778;Canarias;house;semi-detached;329611.0;189.0;1;0.0;28.0550312;-15.4592818
88265;Canarias;house;semi-detached;139500.0;55.0;2;0.0;28.9243048;-13.6648964
92750;Canarias;house;semi-detached;165000.0;60.0;2;0.0;27.760911;-15.6008728
93487;Canarias;house;semi-detached;275000.0;60.0;2;0.0;27.7524743;-15.5899007
96290;Canarias;house;semi-detached;119000.0;60.0;2;0.0;28.0963336;-16.6190435
98739;Canarias;house;semi-detached;194000.0;63.0;2;0.0;28.9887942;-13.5089158
105996;Canarias;house;semi-detached;77750.0;67.0;2;0.0;28.6582298;-17.9236876
112171;Canarias;house;semi-detached;110000.0;70.0;2;0.0;29.003198;-13.6127265
112898;Canarias;house;semi-detached;172000.0;70.0;2;0.0;28.9503089;-13.5947442
115091;Canarias;house;semi-detached;55000.0;71.0;2;4.0;28.5022213;-13.8706126
115092;Canarias;house;semi-detached;55000.0;71.0;2;4.0;28.4987842;-13.8688916
124213;Canarias;house;semi-detached;185000.0;76.0;2;0.0;28.9524668;-13.7652634
127540;Canarias;house;semi-detached;74000.0;78.0;2;0.0;28.9609727;-13.5652938
129452;Canarias;house;semi-detached;290000.0;80.0;2;0.0;29.2613925;-13.479774
129919;Canarias;house;semi-detached;325000.0;80.0;2;0.0;27.75293;-15.5746
131159;Canarias;house;semi-detached;76000.0;80.0;2;0.0;28.4733915;-16.2477093
131176;Canarias;house;semi-detached;267750.0;80.0;2;0.0;27.765821;-15.5805489
132061;Canarias;house;semi-detached;175000.0;80.0;2;0.0;28.9511584;-13.5844043
135358;Canarias;house;semi-detached;110000.0;82.0;2;0.0;28.9515752;-13.7448998
135882;Canarias;house;semi-detached;67000.0;83.0;2;2.0;28.508645;-13.8498951
136645;Canarias;house;semi-detached;78343.0;84.0;2;2.0;28.4985;-13.86131
137317;Canarias;house;semi-detached;130000.0;84.0;2;0.0;29.000498;-13.6157265
140852;Canarias;house;semi-detached;100000.0;86.0;2;0.0;28.6947464;-13.8939472
141624;Canarias;house;semi-detached;218000.0;87.0;2;0.0;27.7749283;-15.696485
144066;Canarias;house;semi-detached;285000.0;90.0;2;0.0;28.9256876;-13.6598031
144253;Canarias;house;semi-detached;135000.0;90.0;2;0.0;28.9513457;-13.5943022
144641;Canarias;house;semi-detached;265000.0;90.0;2;0.0;27.7726448;-15.545579
145990;Canarias;house;semi-detached;145000.0;90.0;2;0.0;28.9554254;-13.5814292
146435;Canarias;house;semi-detached;100000.0;90.0;2;0.0;28.9544668;-13.7669634
147132;Canarias;house;semi-detached;95000.0;91.0;2;0.0;28.1031935;-16.6833549
148486;Canarias;house;semi-detached;156000.0;93.0;2;0.0;28.8671475;-13.8087752
148679;Canarias;house;semi-detached;375000.0;94.0;2;2.0;27.7599413;-15.5971781
151421;Canarias;house;semi-detached;350000.0;98.0;2;0.0;28.4163736;-16.535657
152298;Canarias;house;semi-detached;298000.0;100.0;2;0.0;28.9253894;-13.67429
153317;Canarias;house;semi-detached;180000.0;100.0;2;0.0;28.9260236;-13.6750549
155617;Canarias;house;semi-detached;525000.0;106.0;2;0.0;27.7787972;-15.6198978
157575;Canarias;house;semi-detached;475000.0;112.0;2;2.0;27.7704398;-15.5786169
157839;Canarias;house;semi-detached;410000.0;113.0;2;0.0;27.8224971;-15.6161257
158278;Canarias;house;semi-detached;300000.0;115.0;2;0.0;27.7654697;-15.681239
158391;Canarias;house;semi-detached;131420.0;115.0;2;0.0;28.0378505;-15.4967128
158764;Canarias;house;semi-detached;130000.0;117.0;2;0.0;27.9950779;-15.3723784
158797;Canarias;house;semi-detached;298000.0;117.0;2;0.0;27.753413;-15.6086617
158981;Canarias;house;semi-detached;595000.0;118.0;2;0.0;28.1181954;-16.7494283
159135;Canarias;house;semi-detached;132688.0;119.0;2;0.0;28.4773846;-16.4031009
159643;Canarias;house;semi-detached;320000.0;120.0;2;0.0;27.779886;-15.6191529
159869;Canarias;house;semi-detached;165000.0;120.0;2;0.0;28.0899737;-15.6775647
160480;Canarias;house;semi-detached;365000.0;124.0;2;0.0;28.0535828;-16.5271901
160648;Canarias;house;semi-detached;150500.0;125.0;2;0.0;28.0660837;-15.5452755
