index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
11081;Canarias;house;terraced house;139000.0;91.0;0;2.0;28.0045401;-16.6435957
61654;Canarias;house;terraced house;105000.0;35.0;1;0.0;28.7304284;-13.8659964
62617;Canarias;house;terraced house;67000.0;40.0;1;0.0;27.8008845;-15.7320691
62694;Canarias;house;terraced house;107500.0;40.0;1;0.0;27.7580216;-15.5880762
62695;Canarias;house;terraced house;92500.0;40.0;1;0.0;27.7556643;-15.6021254
62878;Canarias;house;terraced house;126500.0;40.0;1;0.0;27.7633946;-15.5896622
63676;Canarias;house;terraced house;58500.0;42.0;1;0.0;28.39462;-13.8569494
65196;Canarias;house;terraced house;120000.0;45.0;1;0.0;27.7645629;-15.5882923
65999;Canarias;house;terraced house;850000.0;46.0;1;2.0;27.7532968;-15.5743999
67445;Canarias;house;terraced house;63900.0;49.0;1;0.0;28.341201;-14.1352
68532;Canarias;house;terraced house;135000.0;50.0;1;0.0;27.7609536;-15.5716602
68737;Canarias;house;terraced house;68000.0;50.0;1;0.0;27.7635182;-15.5894852
69221;Canarias;house;terraced house;139000.0;50.0;1;0.0;27.7598043;-15.5703928
69222;Canarias;house;terraced house;124000.0;50.0;1;0.0;27.7605492;-15.5814433
69223;Canarias;house;terraced house;89000.0;50.0;1;0.0;27.7624695;-15.5911312
71142;Canarias;house;terraced house;149500.0;54.0;1;0.0;27.7540043;-15.5941719
72152;Canarias;house;terraced house;102500.0;55.0;1;0.0;27.7592389;-15.5717833
72462;Canarias;house;terraced house;168000.0;55.0;1;0.0;27.7624096;-15.5819402
75542;Canarias;house;terraced house;152000.0;60.0;1;0.0;27.7625619;-15.5853172
76014;Canarias;house;terraced house;137600.0;61.0;1;3.0;28.2085844;-16.777098
77943;Canarias;house;terraced house;132900.0;66.0;1;2.0;28.0418718;-16.6827568
79975;Canarias;house;terraced house;185000.0;75.0;1;0.0;28.0897643;-16.7263259
81253;Canarias;house;terraced house;94900.0;85.0;1;0.0;27.7670957;-15.5486734
81254;Canarias;house;terraced house;94900.0;85.0;1;0.0;27.759967;-15.5824538
81871;Canarias;house;terraced house;239000.0;100.0;1;0.0;28.0730288;-16.7329533
82245;Canarias;house;terraced house;53818.0;112.0;1;0.0;28.4098279;-13.8565044
84065;Canarias;house;terraced house;157500.0;45.0;2;0.0;27.7543442;-15.5865571
85914;Canarias;house;terraced house;65000.0;50.0;2;0.0;28.169908;-14.220227
87962;Canarias;house;terraced house;38000.0;54.0;2;0.0;28.111399;-15.5086984
92041;Canarias;house;terraced house;126000.0;59.0;2;0.0;28.1702474;-14.2236736
93488;Canarias;house;terraced house;225000.0;60.0;2;0.0;27.7589375;-15.5722602
93489;Canarias;house;terraced house;125000.0;60.0;2;0.0;27.7618025;-15.5818337
93490;Canarias;house;terraced house;252000.0;60.0;2;0.0;27.7611469;-15.5884737
95770;Canarias;house;terraced house;189000.0;60.0;2;0.0;27.7557853;-15.5737141
96817;Canarias;house;terraced house;280000.0;61.0;2;0.0;27.7749499;-15.5313785
102585;Canarias;house;terraced house;132000.0;65.0;2;0.0;28.1449361;-16.4441156
108636;Canarias;house;terraced house;100000.0;69.0;2;0.0;28.1002592;-15.6996738
109779;Canarias;house;terraced house;100000.0;70.0;2;0.0;28.1002592;-15.6996738
110470;Canarias;house;terraced house;99000.0;70.0;2;0.0;29.1181601;-13.5657455
110488;Canarias;house;terraced house;158000.0;70.0;2;0.0;27.7609981;-15.6051306
110489;Canarias;house;terraced house;595000.0;70.0;2;0.0;27.748715;-15.5765097
110748;Canarias;house;terraced house;100000.0;70.0;2;0.0;28.1002592;-15.6996738
111818;Canarias;house;terraced house;190000.0;70.0;2;0.0;28.73275;-13.87293
112899;Canarias;house;terraced house;85000.0;70.0;2;0.0;28.9519343;-13.5942219
115740;Canarias;house;terraced house;22800.0;72.0;2;2.0;28.9806543;-13.5684835
118871;Canarias;house;terraced house;134000.0;74.0;2;0.0;28.39462;-13.8569494
120029;Canarias;house;terraced house;130000.0;75.0;2;0.0;28.045668;-15.4958493
