index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
60986;Cantabria;flat;penthouse;39000.0;30.0;1;7.0;43.4229587;-3.4472347
61117;Cantabria;flat;penthouse;32900.0;30.0;1;7.0;43.4634881;-3.8186174
61780;Cantabria;flat;penthouse;50000.0;35.0;1;8.0;43.462502;-3.8146938
62991;Cantabria;flat;penthouse;45000.0;40.0;1;0.0;43.2721433;-3.6025197
63034;Cantabria;flat;penthouse;129000.0;40.0;1;7.0;43.441976;-3.8627466
63811;Cantabria;flat;penthouse;64900.0;42.0;1;8.0;43.465302;-3.8106938
64192;Cantabria;flat;penthouse;43000.0;43.0;1;2.0;43.2567761;-3.4636509
64693;Cantabria;flat;penthouse;80000.0;45.0;1;6.0;43.4855922;-3.5273784
65928;Cantabria;flat;penthouse;77000.0;46.0;1;5.0;43.4229216;-4.0550374
66024;Cantabria;flat;penthouse;77000.0;46.0;1;5.0;43.4246216;-4.0530374
66750;Cantabria;flat;penthouse;54000.0;48.0;1;5.0;43.4762106;-3.6211277
66970;Cantabria;flat;penthouse;69000.0;48.0;1;2.0;43.3517422;-4.5062553
68348;Cantabria;flat;penthouse;55000.0;50.0;1;6.0;43.4653011;-3.7959072
68535;Cantabria;flat;penthouse;65000.0;50.0;1;2.0;43.337278;-4.064089
68794;Cantabria;flat;penthouse;93000.0;50.0;1;5.0;43.4537107;-3.7430603
68849;Cantabria;flat;penthouse;93000.0;50.0;1;5.0;43.45536;-3.74035
68853;Cantabria;flat;penthouse;40000.0;50.0;1;5.0;43.415382;-3.5810331
68906;Cantabria;flat;penthouse;66000.0;50.0;1;7.0;43.4649889;-3.8127811
69459;Cantabria;flat;penthouse;46000.0;50.0;1;4.0;43.31371;-3.95492
69473;Cantabria;flat;penthouse;77000.0;50.0;1;5.0;43.4288333;-3.9455667
69474;Cantabria;flat;penthouse;350000.0;50.0;1;7.0;43.4714617;-3.7857237
69475;Cantabria;flat;penthouse;129000.0;50.0;1;4.0;43.4656975;-3.8014886
69923;Cantabria;flat;penthouse;105000.0;51.0;1;10.0;43.41927;-3.83434
74097;Cantabria;flat;penthouse;89500.0;59.0;1;5.0;43.461998;-3.7205241
74390;Cantabria;flat;penthouse;62000.0;60.0;1;5.0;43.3382769;-3.4179845
74631;Cantabria;flat;penthouse;315000.0;60.0;1;6.0;43.475758;-3.7874795
74655;Cantabria;flat;penthouse;157300.0;60.0;1;7.0;43.4777608;-3.8024086
74785;Cantabria;flat;penthouse;110300.0;60.0;1;7.0;43.3780677;-3.219714
75258;Cantabria;flat;penthouse;60000.0;60.0;1;5.0;43.3883117;-3.6966299
75860;Cantabria;flat;penthouse;169950.0;61.0;1;7.0;43.4586753;-3.8260691
75934;Cantabria;flat;penthouse;169950.0;61.0;1;7.0;43.4559753;-3.8220691
76193;Cantabria;flat;penthouse;78700.0;62.0;1;5.0;43.3779567;-4.0139373
76819;Cantabria;flat;penthouse;99000.0;64.0;1;0.0;43.4136098;-3.440789
77475;Cantabria;flat;penthouse;100000.0;65.0;1;5.0;43.4617551;-3.7186501
78312;Cantabria;flat;penthouse;108000.0;68.0;1;6.0;43.396413;-3.8197108
78314;Cantabria;flat;penthouse;108000.0;68.0;1;5.0;43.4032167;-3.844887
78822;Cantabria;flat;penthouse;157300.0;70.0;1;8.0;43.4773986;-3.8011241
81900;Cantabria;flat;penthouse;350000.0;100.0;1;9.0;43.4717254;-3.8104002
83298;Cantabria;flat;penthouse;60000.0;35.0;2;7.0;43.45862;-3.819039
83520;Cantabria;flat;penthouse;45000.0;40.0;2;5.0;43.2590309;-3.4673548
84358;Cantabria;flat;penthouse;110000.0;46.0;2;4.0;43.3769214;-4.2546462
84474;Cantabria;flat;penthouse;45000.0;46.56;2;0.0;42.9819947;-4.1498269
85352;Cantabria;flat;penthouse;60000.0;50.0;2;6.0;43.3805625;-3.2170608
87919;Cantabria;flat;penthouse;90000.0;54.0;2;7.0;43.4443419;-3.8577136
88503;Cantabria;flat;penthouse;150000.0;55.0;2;10.0;43.4231363;-3.8458733
88664;Cantabria;flat;penthouse;66000.0;55.0;2;4.0;43.3186118;-3.9270655
88665;Cantabria;flat;penthouse;93550.0;55.0;2;4.0;43.3206118;-3.9272655
89234;Cantabria;flat;penthouse;150000.0;55.0;2;10.0;43.4206111;-3.8356
90392;Cantabria;flat;penthouse;57000.0;57.0;2;5.0;43.404017;-3.8301507
91133;Cantabria;flat;penthouse;165000.0;58.0;2;7.0;43.4839307;-3.5275733
91136;Cantabria;flat;penthouse;118000.0;58.0;2;6.0;43.4771161;-3.5209805
92527;Cantabria;flat;penthouse;150000.0;60.0;2;5.0;43.4251516;-4.0559711
92528;Cantabria;flat;penthouse;110000.0;60.0;2;6.0;43.4210335;-4.0372402
92640;Cantabria;flat;penthouse;108000.0;60.0;2;6.0;43.4809091;-3.5273478
92644;Cantabria;flat;penthouse;85000.0;60.0;2;5.0;43.4867877;-3.5272482
92660;Cantabria;flat;penthouse;105000.0;60.0;2;6.0;43.4786059;-3.5261928
94814;Cantabria;flat;penthouse;170000.0;60.0;2;6.0;43.3709598;-3.203555
95185;Cantabria;flat;penthouse;90000.0;60.0;2;5.0;43.4563599;-3.5745611
95191;Cantabria;flat;penthouse;100000.0;60.0;2;5.0;43.3817847;-3.5873857
96963;Cantabria;flat;penthouse;85000.0;61.0;2;5.0;43.4825305;-3.5179651
96996;Cantabria;flat;penthouse;170000.0;61.0;2;6.0;43.3712598;-3.203555
98147;Cantabria;flat;penthouse;93000.0;62.0;2;5.0;43.4535007;-3.5724899
98707;Cantabria;flat;penthouse;144000.0;63.0;2;5.0;43.4828877;-3.5261482
98950;Cantabria;flat;penthouse;144000.0;63.0;2;5.0;43.4831877;-3.5301482
100203;Cantabria;flat;penthouse;120000.0;65.0;2;3.0;43.3896762;-4.3937275
