index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
100;Cantabria;flat;studio;32900.0;14.0;0;2.0;43.4244317;-3.4467893
2474;Cantabria;flat;studio;36000.0;40.0;0;6.0;43.4656059;-3.8048287
2631;Cantabria;flat;studio;50000.0;40.0;0;6.0;43.4089022;-3.4146321
3151;Cantabria;flat;studio;168000.0;43.0;0;5.0;43.4600245;-3.8129755
3417;Cantabria;flat;studio;66000.0;45.0;0;7.0;43.4643889;-3.8127811
4183;Cantabria;flat;studio;38000.0;50.0;0;6.0;43.4442405;-3.8553945
4197;Cantabria;flat;studio;75000.0;50.0;0;11.0;43.4258317;-3.4495893
4474;Cantabria;flat;studio;79000.0;50.0;0;3.0;43.3841909;-3.2169781
4689;Cantabria;flat;studio;73000.0;51.0;0;3.0;43.4637393;-3.8145585
4690;Cantabria;flat;studio;79000.0;51.0;0;2.0;43.4597393;-3.8160585
5137;Cantabria;flat;studio;75000.0;55.0;0;2.0;43.4481602;-3.9232787
5289;Cantabria;flat;studio;41000.0;55.0;0;2.0;43.4697768;-3.795413
6378;Cantabria;flat;studio;180000.0;62.0;0;4.0;43.3805625;-3.2170608
7558;Cantabria;flat;studio;78000.0;70.0;0;2.0;43.4126306;-3.4112431
8013;Cantabria;flat;studio;90000.0;72.0;0;5.0;43.3070256;-4.2314207
8571;Cantabria;flat;studio;50000.0;75.0;0;0.0;43.4672074;-3.8153542
20976;Cantabria;flat;studio;242000.0;200.0;0;2.0;43.4210003;-3.856703
