index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
9547;Cantabria;house;Vacio;55000.0;80.0;0;0.0;43.3536734;-4.0638585
15321;Cantabria;house;Vacio;38700.0;129.0;0;0.0;43.352146;-4.3639835
15860;Cantabria;house;Vacio;50000.0;134.0;0;0.0;43.1402258;-3.7778396
17664;Cantabria;house;Vacio;38500.0;153.0;0;0.0;43.3441079;-4.2418433
18493;Cantabria;house;Vacio;97260.0;163.0;0;0.0;43.3772821;-4.2567782
18612;Cantabria;house;Vacio;115000.0;165.0;0;0.0;43.0021273;-4.2721482
20297;Cantabria;house;Vacio;69000.0;190.0;0;0.0;43.3214537;-3.6643967
23830;Cantabria;house;Vacio;60000.0;266.0;0;0.0;43.3832656;-3.5939154
25048;Cantabria;house;Vacio;230000.0;311.0;0;0.0;43.3884746;-4.1089904
62151;Cantabria;house;Vacio;55000.0;38.0;1;0.0;43.3218295;-4.0401651
72607;Cantabria;house;Vacio;199000.0;55.0;1;0.0;43.443012;-3.885436
77861;Cantabria;house;Vacio;80000.0;66.0;1;0.0;43.3602078;-4.4514588
79257;Cantabria;house;Vacio;60000.0;70.0;1;0.0;43.325056;-4.016267
81202;Cantabria;house;Vacio;130000.0;85.0;1;0.0;42.8457923;-3.8628946
82477;Cantabria;house;Vacio;75900.0;127.0;1;0.0;43.1826396;-3.9858427
82622;Cantabria;house;Vacio;20000.0;148.0;1;0.0;43.2111299;-3.9402553
82771;Cantabria;house;Vacio;59000.0;184.0;1;0.0;43.2609199;-4.24788
82897;Cantabria;house;Vacio;78000.0;288.0;1;0.0;43.33124;-4.35158
82963;Cantabria;house;Vacio;150000.0;381.0;1;0.0;43.2410086;-3.2817137
83039;Cantabria;house;Vacio;495000.0;1000.0;1;0.0;43.3948163;-3.652246
83606;Cantabria;house;Vacio;83000.0;40.0;2;0.0;43.3639227;-3.6455251
83777;Cantabria;house;Vacio;57450.0;42.0;2;0.0;43.3870859;-4.0461659
93753;Cantabria;house;Vacio;107500.0;60.0;2;0.0;43.3538739;-4.1277888
94126;Cantabria;house;Vacio;45000.0;60.0;2;2.0;43.2009633;-3.7976362
95269;Cantabria;house;Vacio;133000.0;60.0;2;0.0;43.4040599;-3.84605
95651;Cantabria;house;Vacio;133000.0;60.0;2;0.0;43.4060599;-3.84465
102018;Cantabria;house;Vacio;46000.0;65.0;2;0.0;43.2667712;-3.7848792
111388;Cantabria;house;Vacio;140000.0;70.0;2;3.0;43.2563309;-4.0687202
116343;Cantabria;house;Vacio;119600.0;72.0;2;0.0;43.3672754;-4.1277905
121146;Cantabria;house;Vacio;110000.0;75.0;2;0.0;43.322725;-3.7429838
129963;Cantabria;house;Vacio;59900.0;80.0;2;0.0;43.18415;-4.04813
133216;Cantabria;house;Vacio;120000.0;80.0;2;0.0;43.381825;-3.7390065
133217;Cantabria;house;Vacio;140000.0;80.0;2;0.0;43.3994782;-3.9521171
135544;Cantabria;house;Vacio;139000.0;82.0;2;0.0;43.3850695;-3.9552374
136552;Cantabria;house;Vacio;99000.0;83.0;2;0.0;43.36066;-4.09452
138420;Cantabria;house;Vacio;228384.0;85.0;2;0.0;43.1099091;-4.391158
144685;Cantabria;house;Vacio;108182.0;90.0;2;0.0;43.37811;-4.07083
145669;Cantabria;house;Vacio;155000.0;90.0;2;0.0;43.347921;-3.326818
146618;Cantabria;house;Vacio;160000.0;90.0;2;0.0;43.3408304;-4.0292803
152718;Cantabria;house;Vacio;50000.0;100.0;2;0.0;43.278738;-3.7744269
152890;Cantabria;house;Vacio;56000.0;100.0;2;0.0;43.4323305;-3.8563143
155546;Cantabria;house;Vacio;234000.0;105.0;2;0.0;43.3821123;-3.7361464
156436;Cantabria;house;Vacio;110000.0;109.0;2;0.0;43.3256089;-3.7087046
156821;Cantabria;house;Vacio;66000.0;110.0;2;0.0;42.9734777;-4.0577586
156864;Cantabria;house;Vacio;130000.0;110.0;2;0.0;43.2147268;-3.9404835
157044;Cantabria;house;Vacio;130000.0;110.0;2;0.0;43.2127268;-3.9393835
158254;Cantabria;house;Vacio;120000.0;115.0;2;0.0;43.3160625;-4.456431
159564;Cantabria;house;Vacio;98000.0;120.0;2;0.0;43.0949242;-4.5603516
159732;Cantabria;house;Vacio;98000.0;120.0;2;0.0;43.0969242;-4.5609516
162010;Cantabria;house;Vacio;90000.0;135.0;2;0.0;43.4280891;-3.9910464
162012;Cantabria;house;Vacio;188000.0;135.0;2;0.0;43.3477372;-4.503877
162194;Cantabria;house;Vacio;135000.0;137.0;2;2.0;43.1495754;-4.020018
162283;Cantabria;house;Vacio;71000.0;138.0;2;0.0;43.3239698;-4.3934693
163092;Cantabria;house;Vacio;74000.0;146.0;2;0.0;43.3310503;-4.195655
163397;Cantabria;house;Vacio;275000.0;150.0;2;0.0;43.3073941;-3.6524196
163885;Cantabria;house;Vacio;40000.0;158.0;2;0.0;43.1489709;-4.0443547
164372;Cantabria;house;Vacio;145000.0;170.0;2;0.0;43.1345288;-3.7485691
164528;Cantabria;house;Vacio;100000.0;175.0;2;0.0;43.0050231;-4.0061509
164575;Cantabria;house;Vacio;275000.0;177.0;2;0.0;43.3604134;-3.8290357
164623;Cantabria;house;Vacio;131000.0;180.0;2;0.0;43.3614979;-3.7308532
164668;Cantabria;house;Vacio;131000.0;180.0;2;0.0;43.3594979;-3.7304532
164884;Cantabria;house;Vacio;360000.0;188.0;2;0.0;43.4866208;-3.7961642
164888;Cantabria;house;Vacio;94000.0;189.0;2;0.0;43.1160999;-3.84445
165186;Cantabria;house;Vacio;360000.0;200.0;2;0.0;43.3529091;-3.2322299
165354;Cantabria;house;Vacio;180000.0;216.0;2;0.0;43.4083259;-3.8596673
165355;Cantabria;house;Vacio;180000.0;216.0;2;0.0;43.4083259;-3.8596673
165503;Cantabria;house;Vacio;200000.0;230.0;2;0.0;43.3378365;-4.0429858
165665;Cantabria;house;Vacio;90000.0;250.0;2;0.0;42.97666;-4.11877
165767;Cantabria;house;Vacio;60000.0;268.0;2;0.0;42.9789248;-4.2074033
165909;Cantabria;house;Vacio;299900.0;300.0;2;0.0;43.428833;-3.945267
165963;Cantabria;house;Vacio;126000.0;338.0;2;0.0;43.3111517;-3.8546848
166159;Cantabria;house;Vacio;45700.0;36.0;3;0.0;43.2446549;-4.0585153
167810;Cantabria;house;Vacio;76600.0;58.0;3;0.0;43.2446549;-4.0585153
168930;Cantabria;house;Vacio;140000.0;60.0;3;0.0;43.3884145;-3.3719565
174518;Cantabria;house;Vacio;89000.0;70.0;3;0.0;43.3630592;-4.0451499
175167;Cantabria;house;Vacio;89000.0;70.0;3;0.0;43.3650592;-4.0436499
176811;Cantabria;house;Vacio;79000.0;70.0;3;0.0;43.2458778;-3.2622778
181428;Cantabria;house;Vacio;99000.0;75.0;3;0.0;43.1434751;-4.0353581
181964;Cantabria;house;Vacio;72500.0;75.0;3;0.0;43.2771283;-3.9210457
181965;Cantabria;house;Vacio;142000.0;75.0;3;0.0;43.255283;-4.067127
181966;Cantabria;house;Vacio;120000.0;75.0;3;0.0;43.2709686;-4.0427089
190449;Cantabria;house;Vacio;65000.0;80.0;3;3.0;43.2591457;-4.0615175
191424;Cantabria;house;Vacio;48000.0;80.0;3;0.0;43.3441398;-3.4874915
193382;Cantabria;house;Vacio;48000.0;80.0;3;0.0;43.2953334;-3.7032173
193767;Cantabria;house;Vacio;98000.0;80.0;3;0.0;43.3081611;-3.9370439
195498;Cantabria;house;Vacio;115000.0;82.0;3;0.0;43.2827777;-4.0442732
200341;Cantabria;house;Vacio;199000.0;85.0;3;0.0;43.4283695;-3.9787361
210564;Cantabria;house;Vacio;64900.0;90.0;3;0.0;43.175417;-3.6858637
210565;Cantabria;house;Vacio;112000.0;90.0;3;0.0;43.330748;-4.19559
215739;Cantabria;house;Vacio;157000.0;90.0;3;0.0;43.38673;-3.95503
217590;Cantabria;house;Vacio;129900.0;92.0;3;0.0;42.9719919;-4.0203694
217803;Cantabria;house;Vacio;70000.0;92.0;3;0.0;43.356625;-4.0781788
220073;Cantabria;house;Vacio;72465.0;94.0;3;0.0;42.9726586;-4.0323737
224855;Cantabria;house;Vacio;145300.0;95.0;3;0.0;43.3528554;-4.1141063
226506;Cantabria;house;Vacio;55000.0;96.0;3;0.0;43.2038514;-3.6980876
231193;Cantabria;house;Vacio;210000.0;100.0;3;0.0;43.4811987;-3.6129716
232769;Cantabria;house;Vacio;97000.0;100.0;3;0.0;43.14373;-3.84074
232770;Cantabria;house;Vacio;140000.0;100.0;3;2.0;43.3534978;-4.1048557
232771;Cantabria;house;Vacio;300000.0;100.0;3;0.0;43.33778;-4.0433331
233420;Cantabria;house;Vacio;232000.0;100.0;3;0.0;43.4151459;-3.8509877
236337;Cantabria;house;Vacio;150000.0;100.0;3;0.0;43.3883042;-3.374007
237206;Cantabria;house;Vacio;209000.0;100.0;3;0.0;43.4668032;-3.8282419
239294;Cantabria;house;Vacio;135000.0;102.0;3;0.0;43.2562923;-4.0654723
249497;Cantabria;house;Vacio;162000.0;110.0;3;0.0;43.4249074;-3.8580691
256126;Cantabria;house;Vacio;102000.0;113.0;3;0.0;43.2442024;-3.7235928
258342;Cantabria;house;Vacio;228380.0;115.0;3;0.0;43.327525;-3.190565
262243;Cantabria;house;Vacio;120000.0;120.0;3;0.0;43.2854402;-3.436425
262244;Cantabria;house;Vacio;125000.0;120.0;3;0.0;43.2842868;-3.4346815
262245;Cantabria;house;Vacio;120000.0;120.0;3;0.0;43.2859107;-3.439864
262246;Cantabria;house;Vacio;135000.0;120.0;3;0.0;43.2872868;-3.4350815
263468;Cantabria;house;Vacio;135000.0;120.0;3;0.0;43.2028436;-3.7011578
266119;Cantabria;house;Vacio;210000.0;120.0;3;0.0;43.4257319;-3.9494563
266120;Cantabria;house;Vacio;150000.0;120.0;3;0.0;43.4467;-3.9277222
266121;Cantabria;house;Vacio;156000.0;120.0;3;0.0;43.4657773;-3.8970308
266122;Cantabria;house;Vacio;165000.0;120.0;3;0.0;43.4167361;-3.7339186
266123;Cantabria;house;Vacio;264500.0;120.0;3;0.0;43.4730959;-3.8279106
266124;Cantabria;house;Vacio;115000.0;120.0;3;0.0;43.42852;-3.85859
266125;Cantabria;house;Vacio;220000.0;120.0;3;0.0;43.4427922;-3.89578
268176;Cantabria;house;Vacio;150000.0;124.0;3;0.0;43.4273176;-3.8587156
268278;Cantabria;house;Vacio;150000.0;124.0;3;0.0;43.4287176;-3.8567156
268908;Cantabria;house;Vacio;240000.0;125.0;3;0.0;43.4307176;-3.8580156
269035;Cantabria;house;Vacio;104000.0;125.0;3;4.0;43.4257317;-3.8560662
269199;Cantabria;house;Vacio;178000.0;125.0;3;0.0;43.3435765;-3.4110526
269239;Cantabria;house;Vacio;240000.0;125.0;3;0.0;43.4287176;-3.8567156
269444;Cantabria;house;Vacio;240000.0;125.0;3;0.0;43.42552;-3.85589
272416;Cantabria;house;Vacio;125000.0;130.0;3;0.0;43.2451018;-3.6797307
273239;Cantabria;house;Vacio;75000.0;130.0;3;0.0;43.4013959;-3.889863
