index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
14;Cantabria;premise;Vacio;12800.0;8.0;0;2.0;43.4631646;-3.8095977
27;Cantabria;premise;Vacio;5500.0;10.0;0;6.0;43.3974426;-3.4487604
62;Cantabria;premise;Vacio;10500.0;12.0;0;1.0;43.4639723;-3.7892693
133;Cantabria;premise;Vacio;3000.0;16.0;0;0.0;43.2783761;-4.0457788
222;Cantabria;premise;Vacio;22000.0;19.0;0;2.0;43.4678199;-3.78937
255;Cantabria;premise;Vacio;38000.0;20.0;0;0.0;43.4630652;-3.8467323
286;Cantabria;premise;Vacio;5400.0;20.0;0;1.0;43.3374606;-4.0611461
332;Cantabria;premise;Vacio;166000.0;22.0;0;0.0;43.4635649;-3.7968696
473;Cantabria;premise;Vacio;70000.0;25.0;0;0.0;43.4634156;-3.7922811
694;Cantabria;premise;Vacio;49000.0;27.6;0;2.0;43.4410423;-3.4610235
1522;Cantabria;premise;Vacio;97000.0;35.0;0;0.0;43.4644366;-3.8017518
1614;Cantabria;premise;Vacio;79000.0;35.0;0;0.0;43.3518591;-4.0441863
2426;Cantabria;premise;Vacio;36000.0;40.0;0;2.0;42.9624597;-4.0451944
2559;Cantabria;premise;Vacio;144000.0;40.0;0;0.0;43.4392161;-3.8414328
2860;Cantabria;premise;Vacio;68000.0;41.0;0;4.0;43.4430912;-3.8539311
2883;Cantabria;premise;Vacio;68000.0;41.0;0;4.0;43.4444912;-3.8519311
2918;Cantabria;premise;Vacio;25000.0;42.0;0;0.0;43.3285503;-3.8513621
3155;Cantabria;premise;Vacio;45000.0;43.0;0;2.0;43.4599846;-3.851229
3156;Cantabria;premise;Vacio;45000.0;43.0;0;2.0;43.4613846;-3.853229
3608;Cantabria;premise;Vacio;68000.0;45.0;0;2.0;43.4635176;-3.8233826
4030;Cantabria;premise;Vacio;195000.0;49.0;0;2.0;43.4602873;-3.8194814
4163;Cantabria;premise;Vacio;99000.0;50.0;0;2.0;43.4546148;-3.8199305
4655;Cantabria;premise;Vacio;55389.0;51.0;0;2.0;43.4581552;-3.8108164
4855;Cantabria;premise;Vacio;47000.0;53.0;0;0.0;43.4415434;-3.8590907
4955;Cantabria;premise;Vacio;65000.0;54.0;0;0.0;43.4268723;-4.0420418
5160;Cantabria;premise;Vacio;46888.0;55.0;0;2.0;43.4636875;-3.8091688
5206;Cantabria;premise;Vacio;130000.0;55.0;0;2.0;43.3820649;-3.2215312
5257;Cantabria;premise;Vacio;53000.0;55.0;0;2.0;43.2634448;-4.0715021
5549;Cantabria;premise;Vacio;56600.0;57.0;0;3.0;43.32961;-4.09135
5603;Cantabria;premise;Vacio;56600.0;57.0;0;0.0;43.3271616;-4.0688616
5710;Cantabria;premise;Vacio;77000.0;58.0;0;2.0;43.4643889;-3.7860288
5782;Cantabria;premise;Vacio;49000.0;59.0;0;2.0;43.4016331;-3.9469919
5830;Cantabria;premise;Vacio;75000.0;60.0;0;0.0;43.4618934;-3.8206548
5853;Cantabria;premise;Vacio;71100.0;60.0;0;2.0;43.461115;-3.8170026
5930;Cantabria;premise;Vacio;100000.0;60.0;0;2.0;43.4653024;-3.8043064
6130;Cantabria;premise;Vacio;135000.0;60.0;0;0.0;43.4132845;-3.8429524
6336;Cantabria;premise;Vacio;54000.0;61.0;0;0.0;43.4401912;-3.8473392
6640;Cantabria;premise;Vacio;50000.0;64.0;0;4.0;43.3498909;-4.0498726
6789;Cantabria;premise;Vacio;108000.0;65.0;0;0.0;43.4652029;-3.802931
6841;Cantabria;premise;Vacio;59000.0;65.0;0;2.0;43.4075976;-3.4149488
6851;Cantabria;premise;Vacio;108000.0;65.0;0;0.0;43.4646029;-3.800931
6883;Cantabria;premise;Vacio;108000.0;65.0;0;0.0;43.4666029;-3.801231
6885;Cantabria;premise;Vacio;120000.0;65.0;0;2.0;43.3814139;-3.2216966
7085;Cantabria;premise;Vacio;89000.0;67.0;0;3.0;43.4590761;-3.8388733
7141;Cantabria;premise;Vacio;125000.0;67.0;0;2.0;43.4660673;-3.8137712
7160;Cantabria;premise;Vacio;89000.0;67.0;0;3.0;43.4624838;-3.8379732
7229;Cantabria;premise;Vacio;62000.0;68.0;0;2.0;43.4676618;-3.8050444
7300;Cantabria;premise;Vacio;56600.0;68.4;0;2.0;43.3272876;-4.0685821
7352;Cantabria;premise;Vacio;68500.0;69.0;0;3.0;43.32891;-4.09135
7455;Cantabria;premise;Vacio;92000.0;70.0;0;0.0;43.4652627;-3.8132862
7477;Cantabria;premise;Vacio;88815.0;70.0;0;2.0;43.3565889;-3.9525024
7507;Cantabria;premise;Vacio;97000.0;70.0;0;2.0;43.4618224;-3.8167551
7522;Cantabria;premise;Vacio;31150.0;70.0;0;3.0;43.2580092;-3.4614142
7584;Cantabria;premise;Vacio;156000.0;70.0;0;0.0;43.4634104;-3.8142468
7693;Cantabria;premise;Vacio;150000.0;70.0;0;2.0;43.4707;-3.82811
7702;Cantabria;premise;Vacio;410000.0;70.0;0;2.0;43.463272;-3.8081975
7818;Cantabria;premise;Vacio;55000.0;70.0;0;2.0;43.3970519;-3.8225929
7819;Cantabria;premise;Vacio;180000.0;70.0;0;2.0;43.4610657;-3.820594
7843;Cantabria;premise;Vacio;31150.0;70.0;0;0.0;43.2824603;-3.4396341
8012;Cantabria;premise;Vacio;420000.0;72.0;0;2.0;43.4633134;-3.8089762
8379;Cantabria;premise;Vacio;79000.0;75.0;0;2.0;43.4653042;-3.8431086
8523;Cantabria;premise;Vacio;120000.0;75.0;0;0.0;43.4643042;-3.8411086
8558;Cantabria;premise;Vacio;235000.0;75.0;0;2.0;43.4531145;-3.7431273
8961;Cantabria;premise;Vacio;70000.0;78.0;0;2.0;43.4640828;-3.8061067
9114;Cantabria;premise;Vacio;119000.0;80.0;0;0.0;43.4592254;-3.7192031
9115;Cantabria;premise;Vacio;85000.0;80.0;0;2.0;43.4530676;-3.5728427
9231;Cantabria;premise;Vacio;110000.0;80.0;0;0.0;43.4603602;-3.8059336
9232;Cantabria;premise;Vacio;96000.0;80.0;0;0.0;43.3460708;-4.0577774
9350;Cantabria;premise;Vacio;60000.0;80.0;0;2.0;43.459929;-3.8231738
9402;Cantabria;premise;Vacio;235000.0;80.0;0;2.0;43.4531145;-3.7431273
9488;Cantabria;premise;Vacio;179000.0;80.0;0;2.0;43.3907034;-3.2293363
9501;Cantabria;premise;Vacio;150000.0;80.0;0;2.0;43.4659266;-3.7968148
9518;Cantabria;premise;Vacio;70000.0;80.0;0;0.0;43.3812938;-3.740457
9753;Cantabria;premise;Vacio;39000.0;82.0;0;5.0;43.37115;-4.04279
10071;Cantabria;premise;Vacio;166000.0;85.0;0;9.0;43.4461545;-3.8534054
10080;Cantabria;premise;Vacio;180000.0;85.0;0;0.0;43.4588408;-3.8519876
10119;Cantabria;premise;Vacio;166000.0;85.0;0;9.0;43.4452545;-3.8514054
10128;Cantabria;premise;Vacio;240000.0;85.0;0;2.0;43.4535953;-3.8189449
10138;Cantabria;premise;Vacio;76000.0;85.0;0;0.0;43.4189572;-3.8442309
10282;Cantabria;premise;Vacio;130000.0;86.0;0;2.0;43.3114254;-3.8538414
10445;Cantabria;premise;Vacio;326000.0;88.0;0;3.0;43.464407;-3.8108363
10518;Cantabria;premise;Vacio;326000.0;88.0;0;0.0;43.4631513;-3.8130588
10658;Cantabria;premise;Vacio;280500.0;90.0;0;2.0;43.4635135;-3.8115767
10824;Cantabria;premise;Vacio;160000.0;90.0;0;2.0;43.3844475;-3.2188792
10831;Cantabria;premise;Vacio;64000.0;90.0;0;2.0;43.402951;-3.52849
10859;Cantabria;premise;Vacio;70000.0;90.0;0;2.0;43.4685686;-3.8029057
10937;Cantabria;premise;Vacio;198000.0;90.0;0;2.0;43.4622402;-3.8011753
11165;Cantabria;premise;Vacio;85000.0;92.0;0;0.0;43.4638317;-3.8124639
11166;Cantabria;premise;Vacio;450000.0;92.0;0;2.0;43.3840224;-3.2231357
11241;Cantabria;premise;Vacio;125000.0;93.0;0;2.0;43.3523277;-4.0549842
11317;Cantabria;premise;Vacio;156000.0;94.0;0;0.0;43.346529;-4.0442227
11322;Cantabria;premise;Vacio;96000.0;94.0;0;0.0;43.2588346;-4.0662155
11329;Cantabria;premise;Vacio;115000.0;94.0;0;2.0;43.3465861;-4.0591078
11362;Cantabria;premise;Vacio;149000.0;95.0;0;0.0;43.4010063;-3.8219955
11483;Cantabria;premise;Vacio;400000.0;95.0;0;2.0;43.4629738;-3.8066138
11799;Cantabria;premise;Vacio;293400.0;98.0;0;2.0;43.4648788;-3.7899886
11805;Cantabria;premise;Vacio;124000.0;98.0;0;2.0;43.4528759;-3.8248634
11814;Cantabria;premise;Vacio;240000.0;98.0;0;2.0;43.4966109;-3.5420862
11926;Cantabria;premise;Vacio;104000.0;100.0;0;0.0;43.3959426;-3.4476604
11934;Cantabria;premise;Vacio;139000.0;100.0;0;0.0;43.47896;-3.6121
11945;Cantabria;premise;Vacio;70000.0;100.0;0;0.0;43.4023388;-3.8233012
12062;Cantabria;premise;Vacio;96000.0;100.0;0;0.0;43.3919037;-4.0198702
12179;Cantabria;premise;Vacio;248000.0;100.0;0;2.0;43.4431742;-3.4544905
12310;Cantabria;premise;Vacio;200000.0;100.0;0;2.0;43.473199;-3.7963223
12349;Cantabria;premise;Vacio;600000.0;100.0;0;2.0;43.4592959;-3.8108569
12649;Cantabria;premise;Vacio;90000.0;103.0;0;0.0;43.4562127;-3.8208595
