index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
67544;Castilla y León;flat;duplex;55000.0;50.0;1;3.0;40.7805516;-4.2157766
69215;Castilla y León;flat;duplex;60000.0;50.0;1;6.0;41.505091;-5.7479684
69680;Castilla y León;flat;duplex;85000.0;51.0;1;2.0;40.6559079;-4.7005257
74267;Castilla y León;flat;duplex;52000.0;60.0;1;4.0;40.7818685;-4.215517
75677;Castilla y León;flat;duplex;83000.0;60.0;1;5.0;41.6398628;-4.7232917
78071;Castilla y León;flat;duplex;79900.0;67.0;1;5.0;41.62759;-4.7716599
78098;Castilla y León;flat;duplex;73888.0;67.0;1;4.0;40.9489181;-4.0827495
78155;Castilla y León;flat;duplex;145000.0;67.0;1;4.0;40.9627897;-5.667633
80336;Castilla y León;flat;duplex;140000.0;77.0;1;Vacio;41.5848159;-4.5797455
80337;Castilla y León;flat;duplex;150000.0;77.0;1;Vacio;41.5848159;-4.5797455
82335;Castilla y León;flat;duplex;140000.0;117.0;1;2.0;40.9001269;-4.006593
82374;Castilla y León;flat;duplex;125000.0;120.0;1;2.0;40.8981397;-4.0063344
82466;Castilla y León;flat;duplex;144200.0;126.0;1;2.0;40.8979124;-4.0073965
89911;Castilla y León;flat;duplex;110000.0;56.0;2;6.0;42.3361;-3.70353
97124;Castilla y León;flat;duplex;130000.0;61.0;2;7.0;41.4907238;-5.7429867
98428;Castilla y León;flat;duplex;119150.0;63.0;2;0.0;42.639753;-5.5563052
102076;Castilla y León;flat;duplex;67000.0;65.0;2;5.0;41.2788448;-3.4764353
104793;Castilla y León;flat;duplex;164000.0;66.0;2;3.0;40.9511188;-4.1276058
104826;Castilla y León;flat;duplex;155000.0;66.0;2;2.0;40.9611783;-5.671359
111152;Castilla y León;flat;duplex;55000.0;70.0;2;3.0;42.199585;-3.6967192
116952;Castilla y León;flat;duplex;139000.0;72.0;2;6.0;40.9655536;-5.654612
117148;Castilla y León;flat;duplex;127000.0;72.0;2;4.0;42.0249785;-4.5376037
117874;Castilla y León;flat;duplex;166000.0;73.0;2;4.0;42.7413192;-2.7904241
118429;Castilla y León;flat;duplex;120000.0;74.0;2;Vacio;41.5020112;-5.0031771
118723;Castilla y León;flat;duplex;129000.0;74.0;2;4.0;42.6120245;-5.5503553
119050;Castilla y León;flat;duplex;73500.0;74.0;2;3.0;42.3875604;-3.7345399
121300;Castilla y León;flat;duplex;49000.0;75.0;2;4.0;40.9529181;-4.0805495
121891;Castilla y León;flat;duplex;74000.0;75.0;2;6.0;41.5158073;-5.755713
123270;Castilla y León;flat;duplex;173000.0;75.0;2;8.0;41.4897206;-5.7433286
124653;Castilla y León;flat;duplex;65000.0;76.0;2;3.0;41.5994265;-4.7952498
125653;Castilla y León;flat;duplex;35300.0;77.0;2;3.0;42.1975625;-3.698329
126031;Castilla y León;flat;duplex;109000.0;77.0;2;4.0;41.5021015;-5.7524153
126065;Castilla y León;flat;duplex;196000.0;77.0;2;5.0;42.0143469;-4.5405697
127816;Castilla y León;flat;duplex;79000.0;79.0;2;4.0;42.9308887;-3.4878768
128699;Castilla y León;flat;duplex;136000.0;80.0;2;Vacio;41.5020112;-5.0031771
129688;Castilla y León;flat;duplex;79000.0;80.0;2;4.0;42.92887;-3.48522
130758;Castilla y León;flat;duplex;85000.0;80.0;2;5.0;42.6839863;-2.9506405
131136;Castilla y León;flat;duplex;60000.0;80.0;2;6.0;41.5137024;-5.7569456
131912;Castilla y León;flat;duplex;80000.0;80.0;2;3.0;41.3683617;-3.6132412
132361;Castilla y León;flat;duplex;130000.0;80.0;2;5.0;42.3529408;-3.7171798
132666;Castilla y León;flat;duplex;126000.0;80.0;2;6.0;41.5151285;-5.7528456
132888;Castilla y León;flat;duplex;230000.0;80.0;2;3.0;42.0111978;-4.529969
134025;Castilla y León;flat;duplex;100000.0;81.0;2;4.0;42.6242879;-5.566474
136491;Castilla y León;flat;duplex;365000.0;83.0;2;6.0;42.5932694;-5.5751833
136533;Castilla y León;flat;duplex;100000.0;83.0;2;2.0;42.0265444;-4.5320885
137099;Castilla y León;flat;duplex;148000.0;84.0;2;2.0;40.9544838;-4.1149577
137100;Castilla y León;flat;duplex;150000.0;84.0;2;4.0;40.9395623;-4.1164282
137101;Castilla y León;flat;duplex;49000.0;84.0;2;2.0;40.9556919;-4.1116148
138259;Castilla y León;flat;duplex;107900.0;85.0;2;5.0;41.6177408;-4.7766502
138528;Castilla y León;flat;duplex;90000.0;85.0;2;3.0;40.9976014;-5.6883324
139239;Castilla y León;flat;duplex;32000.0;85.0;2;3.0;41.012716;-5.8509177
140051;Castilla y León;flat;duplex;113000.0;85.0;2;2.0;41.629104;-4.7707598
140055;Castilla y León;flat;duplex;126000.0;85.0;2;5.0;41.6221345;-4.7755874
141463;Castilla y León;flat;duplex;108000.0;87.0;2;5.0;41.6217408;-4.7750502
141846;Castilla y León;flat;duplex;310000.0;87.0;2;Vacio;41.6510011;-4.7208799
143228;Castilla y León;flat;duplex;92000.0;89.0;2;4.0;40.999792;-4.115629
143424;Castilla y León;flat;duplex;226000.0;89.0;2;5.0;42.0122978;-4.531369
143426;Castilla y León;flat;duplex;103000.0;89.0;2;3.0;41.627104;-4.7697598
144781;Castilla y León;flat;duplex;126000.0;90.0;2;4.0;42.8844251;-4.5132085
145022;Castilla y León;flat;duplex;96000.0;90.0;2;7.0;41.5104909;-5.7603502
145332;Castilla y León;flat;duplex;114000.0;90.0;2;3.0;40.9319145;-5.6535503
145952;Castilla y León;flat;duplex;257500.0;90.0;2;4.0;40.9644609;-5.6665617
145954;Castilla y León;flat;duplex;82000.0;90.0;2;3.0;40.9983155;-5.6862964
146546;Castilla y León;flat;duplex;145000.0;90.0;2;3.0;41.5395852;-4.6995651
146810;Castilla y León;flat;duplex;106700.0;91.0;2;Vacio;41.8816402;-5.0461116
146936;Castilla y León;flat;duplex;69700.0;91.0;2;3.0;40.9067913;-4.1218531
147106;Castilla y León;flat;duplex;99900.0;91.0;2;7.0;41.5127285;-5.7547456
147880;Castilla y León;flat;duplex;241000.0;92.0;2;5.0;42.0122978;-4.532569
148582;Castilla y León;flat;duplex;115000.0;94.0;2;4.0;42.6187131;-5.5455803
148841;Castilla y León;flat;duplex;99810.0;94.0;2;3.0;40.9833379;-5.7116302
149494;Castilla y León;flat;duplex;113000.0;95.0;2;3.0;40.9282052;-5.6520448
149915;Castilla y León;flat;duplex;129000.0;95.0;2;4.0;40.9549298;-5.6784851
150587;Castilla y León;flat;duplex;110000.0;96.0;2;6.0;41.6218437;-4.7414248
150958;Castilla y León;flat;duplex;191000.0;97.0;2;5.0;40.9301161;-4.1195815
151494;Castilla y León;flat;duplex;390000.0;98.0;2;2.0;40.9671068;-5.6594559
151582;Castilla y León;flat;duplex;155000.0;98.0;2;6.0;41.511077;-5.7415961
151621;Castilla y León;flat;duplex;118000.0;98.0;2;3.0;41.6744335;-4.9192088
151637;Castilla y León;flat;duplex;110000.0;98.0;2;2.0;41.5381182;-4.6990654
151678;Castilla y León;flat;duplex;154000.0;99.0;2;Vacio;41.5020112;-5.0031771
152909;Castilla y León;flat;duplex;109954.0;100.0;2;5.0;40.7205228;-4.2489154
153009;Castilla y León;flat;duplex;85000.0;100.0;2;4.0;41.4928499;-5.743103
153367;Castilla y León;flat;duplex;165000.0;100.0;2;2.0;40.9997999;-5.6826101
153368;Castilla y León;flat;duplex;100000.0;100.0;2;3.0;40.9950551;-5.6952246
153552;Castilla y León;flat;duplex;75000.0;100.0;2;3.0;40.9999835;-5.6872768
