index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61292;Castilla y León;flat;penthouse;35000.0;33.0;1;7.0;40.6484569;-4.6996574
61517;Castilla y León;flat;penthouse;50000.0;35.0;1;6.0;41.7655614;-2.4618584
61739;Castilla y León;flat;penthouse;130000.0;35.0;1;5.0;41.9985616;-4.5279594
61740;Castilla y León;flat;penthouse;130000.0;35.0;1;5.0;41.9964616;-4.5284594
61845;Castilla y León;flat;penthouse;138173.0;36.0;1;6.0;41.6662369;-4.7322204
63235;Castilla y León;flat;penthouse;52000.0;40.0;1;5.0;41.0073804;-5.6491553
63263;Castilla y León;flat;penthouse;119000.0;40.0;1;8.0;42.0195791;-4.5416248
64016;Castilla y León;flat;penthouse;115000.0;42.0;1;5.0;40.9755192;-5.680569
64456;Castilla y León;flat;penthouse;82000.0;44.0;1;6.0;40.6531326;-4.6901879
64670;Castilla y León;flat;penthouse;140000.0;45.0;1;5.0;42.6007405;-5.5666756
65661;Castilla y León;flat;penthouse;52000.0;45.0;1;5.0;41.0189169;-5.6687696
65663;Castilla y León;flat;penthouse;52000.0;45.0;1;5.0;41.005176;-5.6483143
66178;Castilla y León;flat;penthouse;130000.0;46.0;1;8.0;42.0037801;-4.5268658
66179;Castilla y León;flat;penthouse;100000.0;46.0;1;4.0;42.0199575;-4.5286577
66888;Castilla y León;flat;penthouse;86000.0;48.0;1;5.0;41.0091602;-5.6513066
67102;Castilla y León;flat;penthouse;50000.0;48.0;1;2.0;41.451844;-5.7317795
67114;Castilla y León;flat;penthouse;128000.0;48.0;1;7.0;42.0206002;-4.5406648
67140;Castilla y León;flat;penthouse;121600.0;48.0;1;6.0;41.6516152;-4.7276883
67354;Castilla y León;flat;penthouse;35000.0;49.0;1;7.0;42.3326797;-3.7035921
67679;Castilla y León;flat;penthouse;70000.0;50.0;1;5.0;40.7176328;-4.2456203
68200;Castilla y León;flat;penthouse;126000.0;50.0;1;4.0;40.9749426;-5.6727106
68293;Castilla y León;flat;penthouse;135000.0;50.0;1;7.0;42.3451155;-3.7303475
68717;Castilla y León;flat;penthouse;170000.0;50.0;1;5.0;40.9649002;-5.6594447
68942;Castilla y León;flat;penthouse;43000.0;50.0;1;6.0;40.7772915;-4.221707
68968;Castilla y León;flat;penthouse;118000.0;50.0;1;5.0;40.9768124;-5.6795082
68972;Castilla y León;flat;penthouse;122000.0;50.0;1;7.0;40.9790697;-5.6732968
69323;Castilla y León;flat;penthouse;105000.0;50.0;1;3.0;42.0239575;-4.5302577
69324;Castilla y León;flat;penthouse;120000.0;50.0;1;5.0;42.0207575;-4.5313577
69325;Castilla y León;flat;penthouse;120000.0;50.0;1;6.0;42.0015611;-4.5310843
69467;Castilla y León;flat;penthouse;180000.0;50.0;1;6.0;41.65423;-4.7267846
69668;Castilla y León;flat;penthouse;150000.0;51.0;1;5.0;40.9511549;-5.6703426
69993;Castilla y León;flat;penthouse;57300.0;52.0;1;0.0;42.61611;-6.41543
70312;Castilla y León;flat;penthouse;89100.0;52.0;1;5.0;40.9764601;-5.6742087
70421;Castilla y León;flat;penthouse;140000.0;52.0;1;8.0;42.01399;-4.5444
70492;Castilla y León;flat;penthouse;86344.0;53.0;1;7.0;41.6224236;-4.7865895
70665;Castilla y León;flat;penthouse;86344.0;53.0;1;7.0;41.6173215;-4.7833983
70978;Castilla y León;flat;penthouse;90000.0;54.0;1;0.0;41.6111692;-4.7939688
71277;Castilla y León;flat;penthouse;101103.0;54.0;1;5.0;41.489108;-5.753096
71509;Castilla y León;flat;penthouse;84575.0;55.0;1;0.0;42.0016383;-4.518513
71542;Castilla y León;flat;penthouse;85000.0;55.0;1;6.0;40.9797601;-5.6732087
72814;Castilla y León;flat;penthouse;125000.0;56.0;1;5.0;41.6707541;-3.6948267
73045;Castilla y León;flat;penthouse;99500.0;56.0;1;4.0;41.9888097;-4.517908
73046;Castilla y León;flat;penthouse;170000.0;56.0;1;8.0;42.0058801;-4.5273658
73433;Castilla y León;flat;penthouse;51400.0;57.0;1;4.0;41.5533943;-5.7071949
73572;Castilla y León;flat;penthouse;146000.0;58.0;1;0.0;42.5914922;-5.5743555
73625;Castilla y León;flat;penthouse;120000.0;58.0;1;7.0;40.9742237;-5.6673028
74163;Castilla y León;flat;penthouse;110000.0;59.0;1;6.0;40.9773161;-5.667209
75063;Castilla y León;flat;penthouse;210000.0;60.0;1;6.0;42.3332661;-3.711035
75153;Castilla y León;flat;penthouse;88000.0;60.0;1;5.0;40.9804804;-5.6756914
75347;Castilla y León;flat;penthouse;96000.0;60.0;1;5.0;40.9526678;-5.6722564
75408;Castilla y León;flat;penthouse;90000.0;60.0;1;5.0;40.9804601;-5.6736087
76621;Castilla y León;flat;penthouse;105000.0;63.0;1;9.0;42.021421;-4.5449959
76782;Castilla y León;flat;penthouse;81000.0;64.0;1;5.0;40.9989116;-4.0714308
77092;Castilla y León;flat;penthouse;180000.0;65.0;1;6.0;40.9683425;-5.6497477
77407;Castilla y León;flat;penthouse;50000.0;65.0;1;6.0;40.7083101;-4.1885544
77506;Castilla y León;flat;penthouse;245500.0;65.0;1;6.0;41.6491781;-4.7257525
77543;Castilla y León;flat;penthouse;96000.0;65.0;1;5.0;40.9500549;-5.6683426
