index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
346;Castilla y León;flat;studio;25000.0;22.0;0;5.0;40.6961834;-4.7227796
580;Castilla y León;flat;studio;101000.0;25.0;0;9.0;41.6460172;-4.7221659
754;Castilla y León;flat;studio;41200.0;28.0;0;3.0;42.0298064;-4.5332175
808;Castilla y León;flat;studio;39000.0;30.0;0;5.0;40.780209;-4.2122096
915;Castilla y León;flat;studio;37000.0;30.0;0;3.0;40.9529826;-4.112067
1013;Castilla y León;flat;studio;125000.0;30.0;0;4.0;40.9628539;-5.6640864
1099;Castilla y León;flat;studio;110000.0;30.0;0;2.0;41.6519548;-4.7194284
1339;Castilla y León;flat;studio;55000.0;33.0;0;3.0;41.6164938;-4.7984546
1472;Castilla y León;flat;studio;67000.0;34.0;0;12.0;41.5106616;-5.7429461
1741;Castilla y León;flat;studio;90000.0;35.0;0;5.0;40.9728989;-5.6672472
1802;Castilla y León;flat;studio;67000.0;35.0;0;7.0;41.637053;-4.7272936
2068;Castilla y León;flat;studio;60000.0;37.0;0;2.0;42.007214;-4.5388256
2141;Castilla y León;flat;studio;95000.0;38.0;0;4.0;40.9362423;-4.1189928
2198;Castilla y León;flat;studio;53387.0;38.0;0;3.0;40.9974551;-5.6984246
2501;Castilla y León;flat;studio;32000.0;40.0;0;0.0;41.6426409;-4.7114988
2577;Castilla y León;flat;studio;124000.0;40.0;0;2.0;41.6533658;-4.7197402
2587;Castilla y León;flat;studio;120000.0;40.0;0;4.0;40.9611575;-5.6623156
2737;Castilla y León;flat;studio;72500.0;40.0;0;3.0;42.0153145;-4.543394
2769;Castilla y León;flat;studio;126000.0;40.0;0;4.0;41.6526616;-4.7198227
3075;Castilla y León;flat;studio;100000.0;42.0;0;2.0;41.9936552;-4.5179674
3116;Castilla y León;flat;studio;100000.0;43.0;0;3.0;40.9658323;-5.6609447
3188;Castilla y León;flat;studio;92700.0;43.0;0;4.0;42.0215134;-4.5372313
3217;Castilla y León;flat;studio;51800.0;44.0;0;3.0;42.5896586;-5.5831724
3269;Castilla y León;flat;studio;57000.0;44.0;0;2.0;40.9112059;-4.0549081
3356;Castilla y León;flat;studio;60000.0;45.0;0;3.0;40.976274;-5.6776137
3422;Castilla y León;flat;studio;90000.0;45.0;0;2.0;40.9116059;-4.0543081
3567;Castilla y León;flat;studio;89000.0;45.0;0;2.0;40.9683334;-5.6648962
3613;Castilla y León;flat;studio;75000.0;45.0;0;4.0;42.0102294;-4.5361896
3614;Castilla y León;flat;studio;120000.0;45.0;0;7.0;42.004578;-4.5265835
3615;Castilla y León;flat;studio;66000.0;45.0;0;2.0;42.0101058;-4.5404721
3851;Castilla y León;flat;studio;85000.0;47.0;0;5.0;42.012905;-4.5251887
3852;Castilla y León;flat;studio;61000.0;47.0;0;3.0;41.92321;-4.49325
3940;Castilla y León;flat;studio;103000.0;48.0;0;4.0;41.6731003;-3.6926111
