index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
17457;Castilla y León;house;independent;15000.0;150.0;0;0.0;42.2595562;-3.659063
19352;Castilla y León;house;independent;33000.0;175.0;0;0.0;42.7951797;-5.7411761
21009;Castilla y León;house;independent;180000.0;200.0;0;0.0;42.3547663;-3.6709657
24656;Castilla y León;house;independent;96000.0;300.0;0;0.0;42.8967949;-3.6906169
25869;Castilla y León;house;independent;14000.0;350.0;0;0.0;42.7699817;-5.887647
26146;Castilla y León;house;independent;24000.0;368.0;0;0.0;42.9698483;-6.0011309
26734;Castilla y León;house;independent;38000.0;400.0;0;0.0;42.8087361;-5.2187502
31551;Castilla y León;house;independent;90000.0;2045.0;0;0.0;40.7801934;-4.8373746
62122;Castilla y León;house;independent;38000.0;38.0;1;0.0;42.2261571;-4.0060294
66602;Castilla y León;house;independent;62124.0;47.0;1;3.0;40.8218378;-4.2113015
69661;Castilla y León;house;independent;25000.0;51.0;1;0.0;40.8554968;-5.6528723
72508;Castilla y León;house;independent;113360.0;55.0;1;2.0;42.09102;-4.52547
73427;Castilla y León;house;independent;24000.0;57.0;1;2.0;42.0709101;-6.5095073
74224;Castilla y León;house;independent;42000.0;59.0;1;2.0;41.5170296;-5.7547169
74867;Castilla y León;house;independent;95000.0;60.0;1;0.0;42.2288193;-3.5963558
75696;Castilla y León;house;independent;134602.0;60.0;1;3.0;40.7862107;-4.2183998
75705;Castilla y León;house;independent;63000.0;60.0;1;0.0;41.7045948;-4.7648927
77221;Castilla y León;house;independent;67000.0;65.0;1;0.0;42.6572356;-4.3108527
79557;Castilla y León;house;independent;65000.0;72.0;1;0.0;41.5940075;-4.5091233
80165;Castilla y León;house;independent;45000.0;75.0;1;2.0;41.4580638;-5.6217181
81346;Castilla y León;house;independent;15181.0;87.0;1;3.0;40.6157808;-5.6515547
81356;Castilla y León;house;independent;15181.0;87.0;1;2.0;40.6177808;-5.6517547
81638;Castilla y León;house;independent;27000.0;92.0;1;2.0;41.5953221;-5.2949287
81903;Castilla y León;house;independent;33000.0;100.0;1;2.0;42.4532845;-6.0615186
82129;Castilla y León;house;independent;65000.0;108.0;1;0.0;42.0235408;-4.5322605
82145;Castilla y León;house;independent;25000.0;109.0;1;2.0;41.3598759;-5.7246116
82203;Castilla y León;house;independent;37500.0;110.0;1;2.0;42.18888;-4.77314
82380;Castilla y León;house;independent;309000.0;120.0;1;0.0;42.3551681;-3.6827028
82440;Castilla y León;house;independent;30000.0;123.0;1;2.0;42.0721765;-6.5127834
82568;Castilla y León;house;independent;240000.0;137.0;1;0.0;42.8987949;-3.6909169
82624;Castilla y León;house;independent;32000.0;149.0;1;2.0;42.0513523;-4.5821755
82700;Castilla y León;house;independent;40000.0;162.0;1;0.0;40.3605294;-5.1339381
82727;Castilla y León;house;independent;63000.0;170.0;1;2.0;41.8777509;-4.5437149
82728;Castilla y León;house;independent;144242.0;170.0;1;2.0;42.0252219;-4.5322385
82761;Castilla y León;house;independent;39000.0;180.0;1;0.0;41.4901324;-5.6822594
82764;Castilla y León;house;independent;36000.0;180.0;1;2.0;42.081397;-6.3544169
82808;Castilla y León;house;independent;90000.0;200.0;1;0.0;42.7917456;-4.2580323
82833;Castilla y León;house;independent;100000.0;218.0;1;2.0;41.49003;-5.7563737
82848;Castilla y León;house;independent;64200.0;235.0;1;2.0;41.555174;-5.7076169
82863;Castilla y León;house;independent;170000.0;250.0;1;2.0;41.502784;-4.6768895
82913;Castilla y León;house;independent;65000.0;300.0;1;0.0;40.4831987;-5.1837858
82924;Castilla y León;house;independent;330000.0;312.0;1;2.0;42.4553973;-6.0597587
82980;Castilla y León;house;independent;69000.0;414.0;1;0.0;42.8947949;-3.6907169
82985;Castilla y León;house;independent;23000.0;440.0;1;0.0;42.6796775;-5.8693418
83005;Castilla y León;house;independent;9450.0;560.0;1;3.0;41.65428;-5.48845
83019;Castilla y León;house;independent;186372.0;664.0;1;3.0;40.8367816;-4.1708375
83046;Castilla y León;house;independent;200000.0;1920.0;1;0.0;40.4682703;-5.3269653
83339;Castilla y León;house;independent;16900.0;37.0;2;2.0;40.4573145;-4.4679503
84458;Castilla y León;house;independent;93000.0;46.0;2;2.0;41.4941775;-5.753975
84594;Castilla y León;house;independent;71000.0;47.0;2;2.0;41.4953207;-5.7473826
85331;Castilla y León;house;independent;50000.0;50.0;2;0.0;40.4610256;-5.327543
86305;Castilla y León;house;independent;70000.0;50.0;2;0.0;40.81725;-5.7081681
88195;Castilla y León;house;independent;50000.0;55.0;2;0.0;40.7200751;-4.2493763
89524;Castilla y León;house;independent;22000.0;55.0;2;0.0;41.6739;-4.91728
91248;Castilla y León;house;independent;49000.0;58.0;2;0.0;42.7776158;-3.2204164
94493;Castilla y León;house;independent;27000.0;60.0;2;0.0;40.4668984;-5.3283778
99203;Castilla y León;house;independent;63000.0;63.0;2;2.0;41.8746558;-4.5434638
103747;Castilla y León;house;independent;65000.0;65.0;2;2.0;41.4970544;-5.7443936
103748;Castilla y León;house;independent;65000.0;65.0;2;2.0;41.4888418;-5.6779466
104472;Castilla y León;house;independent;9450.0;66.0;2;3.0;42.6955818;-6.5133764
105919;Castilla y León;house;independent;84300.0;67.0;2;0.0;42.1887523;-3.9014663
106200;Castilla y León;house;independent;88000.0;67.0;2;0.0;41.0219;-5.76408
107907;Castilla y León;house;independent;48000.0;68.0;2;0.0;41.441553;-4.4612324
109402;Castilla y León;house;independent;63000.0;70.0;2;0.0;42.0830573;-5.1237865
110306;Castilla y León;house;independent;25900.0;70.0;2;2.0;40.9315034;-5.8796448
111527;Castilla y León;house;independent;160000.0;70.0;2;0.0;40.8692714;-4.1321045
112087;Castilla y León;house;independent;105000.0;70.0;2;0.0;40.7144968;-4.1884697
112447;Castilla y León;house;independent;125000.0;70.0;2;0.0;42.3459925;-3.695706
113246;Castilla y León;house;independent;64000.0;70.0;2;0.0;40.6564068;-4.7060455
113395;Castilla y León;house;independent;25900.0;70.0;2;0.0;40.9334251;-5.8809756
113673;Castilla y León;house;independent;66000.0;70.0;2;2.0;41.4944586;-5.7473452
114322;Castilla y León;house;independent;48000.0;70.0;2;0.0;41.5811892;-4.5797837
116170;Castilla y León;house;independent;14700.0;72.0;2;2.0;40.4033;-5.43293
117092;Castilla y León;house;independent;93500.0;72.0;2;2.0;41.4945068;-5.7454764
121384;Castilla y León;house;independent;70000.0;75.0;2;0.0;41.647624;-4.7022291
123074;Castilla y León;house;independent;98100.0;75.0;2;0.0;41.0272485;-4.1806319
123619;Castilla y León;house;independent;110000.0;75.0;2;0.0;41.6227938;-4.7397166
124011;Castilla y León;house;independent;22050.0;76.0;2;3.0;41.4162165;-4.9079016
124391;Castilla y León;house;independent;22050.0;76.0;2;2.0;41.4179165;-4.9099016
127288;Castilla y León;house;independent;86000.0;78.0;2;0.0;41.467915;-4.6458397
127511;Castilla y León;house;independent;24000.0;78.0;2;2.0;42.09222;-4.52787
129517;Castilla y León;house;independent;67000.0;80.0;2;0.0;40.8819216;-5.6812438
129808;Castilla y León;house;independent;110000.0;80.0;2;0.0;41.3907104;-3.6445516
130549;Castilla y León;house;independent;49900.0;80.0;2;2.0;42.54144;-6.0894
132885;Castilla y León;house;independent;123000.0;80.0;2;2.0;42.09117;-4.6137
134249;Castilla y León;house;independent;45000.0;81.0;2;2.0;41.4619772;-5.6581214
136602;Castilla y León;house;independent;136200.0;84.0;2;2.0;40.74355;-4.4724
139713;Castilla y León;house;independent;128000.0;85.0;2;0.0;41.542469;-4.6941175
139805;Castilla y León;house;independent;108000.0;85.0;2;2.0;41.5072808;-5.7582356
140919;Castilla y León;house;independent;85000.0;86.0;2;0.0;41.6648496;-4.7363243
142386;Castilla y León;house;independent;31600.0;88.0;2;2.0;41.5067701;-4.9116453
142734;Castilla y León;house;independent;113000.0;88.0;2;2.0;41.9517287;-4.5237067
142735;Castilla y León;house;independent;50000.0;88.0;2;2.0;42.017552;-4.5462061
143116;Castilla y León;house;independent;36800.0;89.0;2;2.0;40.39969;-5.71254
145732;Castilla y León;house;independent;95000.0;90.0;2;0.0;40.9970551;-5.6964246
146270;Castilla y León;house;independent;54000.0;90.0;2;2.0;41.4943844;-5.6844549
146411;Castilla y León;house;independent;39000.0;90.0;2;2.0;42.21141;-4.43493
149517;Castilla y León;house;independent;160000.0;95.0;2;0.0;41.0113013;-5.7121215
149832;Castilla y León;house;independent;48000.0;95.0;2;0.0;42.7205703;-5.9500254
150408;Castilla y León;house;independent;30000.0;96.0;2;2.0;41.3434066;-5.4059485
152995;Castilla y León;house;independent;180000.0;100.0;2;0.0;42.7129348;-2.6614498
153037;Castilla y León;house;independent;170000.0;100.0;2;0.0;40.4602072;-5.3722462
153199;Castilla y León;house;independent;99900.0;100.0;2;0.0;42.8476538;-3.3305388
153612;Castilla y León;house;independent;112500.0;100.0;2;2.0;41.94956;-4.51754
154255;Castilla y León;house;independent;40000.0;102.0;2;0.0;42.6070612;-5.609762
155294;Castilla y León;house;independent;166000.0;105.0;2;2.0;41.5059824;-4.6864087
155437;Castilla y León;house;independent;45000.0;105.0;2;0.0;42.8478554;-5.275176
155521;Castilla y León;house;independent;18000.0;105.0;2;2.0;41.9255004;-5.3396255
155899;Castilla y León;house;independent;84000.0;107.0;2;2.0;41.4356643;-5.7362934
156015;Castilla y León;house;independent;110000.0;107.0;2;2.0;41.4356579;-5.7365939
157041;Castilla y León;house;independent;67000.0;110.0;2;0.0;42.4022192;-3.6108816
157621;Castilla y León;house;independent;8077.0;112.0;2;2.0;42.18762;-3.90145
157663;Castilla y León;house;independent;112000.0;112.0;2;0.0;41.0490832;-3.9412843
157666;Castilla y León;house;independent;80000.0;112.0;2;0.0;41.8335793;-4.6143191
157998;Castilla y León;house;independent;89874.0;114.0;2;2.0;41.04898;-3.94271
158461;Castilla y León;house;independent;332000.0;115.0;2;2.0;41.5049801;-5.7588466
158662;Castilla y León;house;independent;112000.0;116.0;2;0.0;41.5057267;-4.911839
158663;Castilla y León;house;independent;55000.0;116.0;2;0.0;41.6501038;-5.0259492
159186;Castilla y León;house;independent;110000.0;120.0;2;0.0;40.7683119;-4.2212134
159304;Castilla y León;house;independent;115000.0;120.0;2;0.0;40.3604158;-5.2510317
159483;Castilla y León;house;independent;51300.0;120.0;2;2.0;41.6492399;-5.8104149
159485;Castilla y León;house;independent;47900.0;120.0;2;2.0;41.68868;-4.52104
160663;Castilla y León;house;independent;20300.0;125.0;2;2.0;41.69048;-5.27493
160697;Castilla y León;house;independent;70000.0;125.0;2;0.0;40.9789551;-5.6071013
160849;Castilla y León;house;independent;155000.0;126.0;2;0.0;40.948519;-4.1203044
160894;Castilla y León;house;independent;155000.0;126.0;2;2.0;41.5968474;-5.8611861
161067;Castilla y León;house;independent;155000.0;128.0;2;0.0;40.9477549;-4.116433
161099;Castilla y León;house;independent;98000.0;128.0;2;2.0;42.0180661;-4.5365049
161141;Castilla y León;house;independent;29308.0;129.0;2;2.0;41.3706885;-4.8489746
161226;Castilla y León;house;independent;230000.0;130.0;2;0.0;42.8981949;-3.6886169
161569;Castilla y León;house;independent;150000.0;130.0;2;2.0;42.0707306;-4.5582888
161985;Castilla y León;house;independent;128772.0;135.0;2;2.0;40.857545;-4.5552187
162071;Castilla y León;house;independent;135000.0;135.0;2;0.0;40.2406072;-4.9094818
162198;Castilla y León;house;independent;47900.0;137.0;2;2.0;41.69026;-4.52097
162338;Castilla y León;house;independent;27000.0;139.0;2;2.0;42.38183;-4.57413
162622;Castilla y León;house;independent;240000.0;140.0;2;0.0;41.047603;-5.6766989
162700;Castilla y León;house;independent;130000.0;140.0;2;2.0;42.0246132;-4.5337776
162754;Castilla y León;house;independent;150000.0;141.0;2;0.0;42.3450941;-3.6949061
163360;Castilla y León;house;independent;61200.0;150.0;2;2.0;41.08702;-4.39266
163474;Castilla y León;house;independent;180000.0;150.0;2;0.0;40.9672678;-5.6515598
163542;Castilla y León;house;independent;29000.0;150.0;2;2.0;42.13343;-4.42645
163724;Castilla y León;house;independent;120000.0;154.0;2;2.0;41.4943603;-5.7423918
163999;Castilla y León;house;independent;175000.0;160.0;2;0.0;41.6721493;-3.6870931
164303;Castilla y León;house;independent;172000.0;168.0;2;2.0;41.7553465;-4.7059737
164304;Castilla y León;house;independent;173000.0;168.0;2;2.0;41.7575355;-4.7014806
164305;Castilla y León;house;independent;173000.0;168.0;2;2.0;41.7571949;-4.7047977
164370;Castilla y León;house;independent;190900.0;170.0;2;0.0;40.9976683;-4.1190743
164406;Castilla y León;house;independent;65000.0;170.0;2;2.0;41.5943478;-4.5110647
164438;Castilla y León;house;independent;60375.0;172.0;2;3.0;41.4134889;-4.7904406
164447;Castilla y León;house;independent;60375.0;172.0;2;2.0;41.4120889;-4.7884406
164463;Castilla y León;house;independent;42000.0;172.0;2;2.0;41.9881848;-5.4061206
164481;Castilla y León;house;independent;270000.0;173.0;2;0.0;41.4967137;-5.7812097
165136;Castilla y León;house;independent;45500.0;200.0;2;0.0;40.6829798;-5.092381
165184;Castilla y León;house;independent;390000.0;200.0;2;2.0;41.553065;-5.7072911
165185;Castilla y León;house;independent;37000.0;200.0;2;2.0;42.5530201;-5.7944925
165190;Castilla y León;house;independent;190000.0;200.0;2;2.0;42.0364821;-4.5091496
165387;Castilla y León;house;independent;125000.0;220.0;2;0.0;42.8578329;-4.3657335
165556;Castilla y León;house;independent;85000.0;237.0;2;2.0;42.6387163;-6.6867761
165655;Castilla y León;house;independent;250000.0;250.0;2;0.0;41.4166303;-3.3783865
165846;Castilla y León;house;independent;24000.0;288.0;2;2.0;41.2500965;-5.5831783
165884;Castilla y León;house;independent;250000.0;300.0;2;0.0;42.4376615;-6.2425363
165900;Castilla y León;house;independent;63000.0;300.0;2;0.0;42.3121285;-3.8361772
165939;Castilla y León;house;independent;136800.0;320.0;2;2.0;42.80357;-5.7385
165976;Castilla y León;house;independent;495000.0;350.0;2;0.0;42.7897456;-4.2592323
166086;Castilla y León;house;independent;99000.0;503.0;2;2.0;41.418862;-6.2778055
166090;Castilla y León;house;independent;130000.0;520.0;2;2.0;42.09172;-4.52947
166149;Castilla y León;house;independent;12500.0;34.0;3;2.0;41.3598759;-5.7263116
166745;Castilla y León;house;independent;81200.0;52.0;3;2.0;41.5092726;-5.7501689
167954;Castilla y León;house;independent;66000.0;59.0;3;2.0;41.5099287;-5.7556215
168223;Castilla y León;house;independent;61500.0;60.0;3;2.0;40.9783909;-4.029884
169243;Castilla y León;house;independent;177000.0;61.0;3;0.0;42.3487826;-3.7288032
171000;Castilla y León;house;independent;81000.0;65.0;3;0.0;41.6679456;-4.7063282
172370;Castilla y León;house;independent;200000.0;66.0;3;0.0;40.1532682;-5.2424496
172640;Castilla y León;house;independent;126000.0;67.0;3;0.0;42.3478536;-3.7333695
172728;Castilla y León;house;independent;79000.0;67.0;3;0.0;40.85846;-4.5639
173045;Castilla y León;house;independent;43470.0;68.0;3;3.0;40.456192;-4.4643039
173436;Castilla y León;house;independent;75000.0;68.0;3;0.0;40.3136352;-5.4419191
173942;Castilla y León;house;independent;115000.0;69.0;3;0.0;42.3021301;-3.6682926
