index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
110;Castilla y León;office;Vacio;7200.0;15.0;0;0.0;41.0561002;-4.7214047
128;Castilla y León;office;Vacio;20000.0;15.0;0;2.0;41.5031547;-5.7434475
181;Castilla y León;office;Vacio;10400.0;18.0;0;0.0;41.0561002;-4.7214047
335;Castilla y León;office;Vacio;60000.0;22.0;0;3.0;41.644563;-4.7313332
573;Castilla y León;office;Vacio;60000.0;25.0;0;2.0;42.0150735;-4.5343711
638;Castilla y León;office;Vacio;50463.0;26.0;0;2.0;41.5056778;-5.738825
994;Castilla y León;office;Vacio;63000.0;30.0;0;5.0;42.0119309;-4.5337628
1172;Castilla y León;office;Vacio;13200.0;32.0;0;0.0;40.21069;-5.08587
1289;Castilla y León;office;Vacio;13800.0;33.0;0;0.0;40.21069;-5.08587
1290;Castilla y León;office;Vacio;13800.0;33.0;0;0.0;40.21069;-5.08587
1471;Castilla y León;office;Vacio;95150.0;34.0;0;2.0;41.5137101;-5.7411437
1509;Castilla y León;office;Vacio;23600.0;35.0;0;0.0;41.0561002;-4.7214047
1510;Castilla y León;office;Vacio;24100.0;35.0;0;0.0;41.0561002;-4.7214047
1706;Castilla y León;office;Vacio;35000.0;35.0;0;2.0;40.9759674;-5.6571596
1989;Castilla y León;office;Vacio;42500.0;37.0;0;2.0;41.0013911;-5.6962684
2240;Castilla y León;office;Vacio;16366.0;39.0;0;0.0;40.21069;-5.08587
2241;Castilla y León;office;Vacio;16400.0;39.0;0;0.0;40.21069;-5.08587
2359;Castilla y León;office;Vacio;48000.0;40.0;0;0.0;42.3508279;-3.6695341
2476;Castilla y León;office;Vacio;55000.0;40.0;0;2.0;42.35249;-3.68356
2736;Castilla y León;office;Vacio;82400.0;40.0;0;3.0;42.0074663;-4.533273
2857;Castilla y León;office;Vacio;100000.0;41.0;0;2.0;41.6089794;-4.6842748
3110;Castilla y León;office;Vacio;18200.0;43.0;0;0.0;40.21069;-5.08587
3209;Castilla y León;office;Vacio;58455.0;44.0;0;0.0;41.6204236;-4.7852895
3210;Castilla y León;office;Vacio;60021.0;44.0;0;0.0;41.6204236;-4.7852895
3211;Castilla y León;office;Vacio;58455.0;44.0;0;0.0;41.6204236;-4.7852895
3212;Castilla y León;office;Vacio;59701.0;44.0;0;0.0;41.6204236;-4.7852895
3213;Castilla y León;office;Vacio;60021.0;44.0;0;0.0;41.6204236;-4.7852895
3214;Castilla y León;office;Vacio;60021.0;44.0;0;0.0;41.6204236;-4.7852895
3264;Castilla y León;office;Vacio;60021.0;44.0;0;5.0;41.6209073;-4.7867212
3690;Castilla y León;office;Vacio;93000.0;46.0;0;4.0;41.6517478;-4.7275561
3960;Castilla y León;office;Vacio;55000.0;48.0;0;2.0;41.511429;-5.7436898
4081;Castilla y León;office;Vacio;73100.0;49.0;0;5.0;42.5816799;-5.5634198
4141;Castilla y León;office;Vacio;29200.0;50.0;0;0.0;41.0561002;-4.7214047
4143;Castilla y León;office;Vacio;31646.0;50.0;0;0.0;41.6345485;-4.7153605
4144;Castilla y León;office;Vacio;31646.0;50.0;0;0.0;41.6345485;-4.7153605
4145;Castilla y León;office;Vacio;31646.0;50.0;0;0.0;41.6345485;-4.7153605
4632;Castilla y León;office;Vacio;37400.0;51.0;0;0.0;41.0561002;-4.7214047
4633;Castilla y León;office;Vacio;37800.0;51.0;0;0.0;41.0561002;-4.7214047
4736;Castilla y León;office;Vacio;47000.0;52.0;0;0.0;41.0619463;-4.7199751
4862;Castilla y León;office;Vacio;38600.0;53.0;0;0.0;41.0561002;-4.7214047
4863;Castilla y León;office;Vacio;21900.0;53.0;0;0.0;41.0561002;-4.7214047
5011;Castilla y León;office;Vacio;52500.0;54.0;0;3.0;40.6425781;-4.6936659
5028;Castilla y León;office;Vacio;52500.0;54.0;0;2.0;40.6408781;-4.6916659
5106;Castilla y León;office;Vacio;24600.0;55.0;0;3.0;40.9530924;-5.619183
5525;Castilla y León;office;Vacio;25300.0;57.0;0;3.0;40.9530924;-5.619183
5551;Castilla y León;office;Vacio;49035.0;57.0;0;3.0;41.6184261;-4.8042835
5552;Castilla y León;office;Vacio;48957.0;57.0;0;3.0;41.6151261;-4.8036835
5598;Castilla y León;office;Vacio;150000.0;57.0;0;2.0;42.0074879;-4.5280436
5754;Castilla y León;office;Vacio;49035.0;59.0;0;4.0;41.6191261;-4.8027835
5755;Castilla y León;office;Vacio;49153.0;59.0;0;4.0;41.6151261;-4.8007835
