index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
65375;Castilla-La Mancha;flat;penthouse;51000.0;45.0;1;4.0;39.936332;-4.0242656
65501;Castilla-La Mancha;flat;penthouse;45000.0;45.0;1;5.0;39.8590349;-4.0278803
68123;Castilla-La Mancha;flat;penthouse;55000.0;50.0;1;5.0;40.5822541;-3.2991384
68155;Castilla-La Mancha;flat;penthouse;33000.0;50.0;1;5.0;39.1558535;-3.0147462
68848;Castilla-La Mancha;flat;penthouse;50000.0;50.0;1;5.0;40.0948733;-4.118723
69262;Castilla-La Mancha;flat;penthouse;71000.0;50.0;1;5.0;40.129923;-3.8498146
69702;Castilla-La Mancha;flat;penthouse;36900.0;51.0;1;5.0;40.0424364;-3.9025315
69794;Castilla-La Mancha;flat;penthouse;117260.0;51.0;1;7.0;40.56767;-3.26808
69840;Castilla-La Mancha;flat;penthouse;36900.0;51.0;1;5.0;40.0402576;-3.9051827
69841;Castilla-La Mancha;flat;penthouse;36900.0;51.0;1;5.0;40.0379576;-3.9011827
70194;Castilla-La Mancha;flat;penthouse;57000.0;52.0;1;6.0;40.581738;-3.2938809
70254;Castilla-La Mancha;flat;penthouse;34000.0;52.0;1;3.0;39.942858;-4.0189312
71979;Castilla-La Mancha;flat;penthouse;57000.0;55.0;1;5.0;40.577838;-3.2943809
72902;Castilla-La Mancha;flat;penthouse;75000.0;56.0;1;5.0;38.9915407;-1.874629
73358;Castilla-La Mancha;flat;penthouse;57000.0;57.0;1;6.0;40.5907485;-3.3039715
74135;Castilla-La Mancha;flat;penthouse;39900.0;59.0;1;4.0;38.7535212;-3.3744887
74727;Castilla-La Mancha;flat;penthouse;159000.0;60.0;1;8.0;40.6452884;-3.1561062
75219;Castilla-La Mancha;flat;penthouse;145000.0;60.0;1;7.0;38.9691755;-3.941795
75443;Castilla-La Mancha;flat;penthouse;64000.0;60.0;1;6.0;39.8615713;-4.0209833
76468;Castilla-La Mancha;flat;penthouse;39300.0;63.0;1;2.0;38.9773499;-2.88128
76731;Castilla-La Mancha;flat;penthouse;45500.0;64.0;1;0.0;38.985634;-2.895362
77844;Castilla-La Mancha;flat;penthouse;69000.0;66.0;1;5.0;40.5955444;-3.1069031
78112;Castilla-La Mancha;flat;penthouse;170000.0;67.0;1;5.0;39.8581376;-4.0230218
78266;Castilla-La Mancha;flat;penthouse;42900.0;68.0;1;5.0;38.9794499;-2.88418
79129;Castilla-La Mancha;flat;penthouse;188000.0;70.0;1;5.0;39.8568981;-4.0278892
79342;Castilla-La Mancha;flat;penthouse;39300.0;71.0;1;5.0;38.9811499;-2.88018
79978;Castilla-La Mancha;flat;penthouse;30000.0;75.0;1;5.0;39.9566056;-3.5012112
81247;Castilla-La Mancha;flat;penthouse;106000.0;85.0;1;7.0;38.9936234;-3.9278515
81656;Castilla-La Mancha;flat;penthouse;78000.0;93.0;1;10.0;40.1252247;-3.6704475
85520;Castilla-La Mancha;flat;penthouse;120000.0;50.0;2;11.0;38.9955938;-1.8541134
87749;Castilla-La Mancha;flat;penthouse;122000.0;54.0;2;5.0;38.9949005;-3.9284342
88678;Castilla-La Mancha;flat;penthouse;57000.0;55.0;2;5.0;39.2067936;-2.1567541
89324;Castilla-La Mancha;flat;penthouse;196000.0;55.0;2;4.0;39.8584319;-4.0204463
90117;Castilla-La Mancha;flat;penthouse;140000.0;56.0;2;5.0;38.9817017;-1.8715644
90464;Castilla-La Mancha;flat;penthouse;60000.0;57.0;2;0.0;40.5896334;-3.3056976
90465;Castilla-La Mancha;flat;penthouse;57000.0;57.0;2;0.0;40.5894267;-3.3061867
94725;Castilla-La Mancha;flat;penthouse;58000.0;60.0;2;3.0;39.2067936;-2.1565541
95177;Castilla-La Mancha;flat;penthouse;54000.0;60.0;2;5.0;40.094634;-4.1201753
95734;Castilla-La Mancha;flat;penthouse;113000.0;60.0;2;4.0;40.125719;-3.849227
97632;Castilla-La Mancha;flat;penthouse;31900.0;62.0;2;2.0;39.4051594;-2.9504473
98789;Castilla-La Mancha;flat;penthouse;130000.0;63.0;2;6.0;38.9952188;-1.8617373
100938;Castilla-La Mancha;flat;penthouse;123000.0;65.0;2;6.0;38.9875336;-3.926995
105400;Castilla-La Mancha;flat;penthouse;188000.0;67.0;2;0.0;38.9904506;-1.8501021
110081;Castilla-La Mancha;flat;penthouse;46000.0;70.0;2;2.0;39.1549739;-3.027316
110255;Castilla-La Mancha;flat;penthouse;126000.0;70.0;2;7.0;38.9942347;-1.8628326
110682;Castilla-La Mancha;flat;penthouse;155000.0;70.0;2;8.0;40.6434473;-3.1572241
113466;Castilla-La Mancha;flat;penthouse;120000.0;70.0;2;8.0;39.9674255;-4.8321865
116592;Castilla-La Mancha;flat;penthouse;163000.0;72.0;2;7.0;38.9969221;-1.8661573
121608;Castilla-La Mancha;flat;penthouse;129000.0;75.0;2;6.0;38.9881091;-3.9329759
122239;Castilla-La Mancha;flat;penthouse;80000.0;75.0;2;5.0;39.064082;-3.6025098
122258;Castilla-La Mancha;flat;penthouse;155000.0;75.0;2;5.0;38.9802243;-1.8650313
122461;Castilla-La Mancha;flat;penthouse;32000.0;75.0;2;5.0;39.96033;-3.49269
122589;Castilla-La Mancha;flat;penthouse;111900.0;75.0;2;5.0;38.9930039;-3.92547
122872;Castilla-La Mancha;flat;penthouse;139000.0;75.0;2;3.0;39.8658165;-4.0214858
123194;Castilla-La Mancha;flat;penthouse;120000.0;75.0;2;8.0;39.9671721;-4.8229011
123337;Castilla-La Mancha;flat;penthouse;100000.0;75.0;2;5.0;40.129719;-3.850027
124253;Castilla-La Mancha;flat;penthouse;215000.0;76.0;2;6.0;40.0790092;-3.8571215
124615;Castilla-La Mancha;flat;penthouse;134000.0;76.0;2;5.0;38.754375;-3.3876207
126988;Castilla-La Mancha;flat;penthouse;120000.0;78.0;2;7.0;38.9962188;-3.9305159
127205;Castilla-La Mancha;flat;penthouse;165500.0;78.0;2;11.0;38.9879006;-1.8649951
129734;Castilla-La Mancha;flat;penthouse;148000.0;80.0;2;7.0;38.9965493;-1.8690177
129735;Castilla-La Mancha;flat;penthouse;185000.0;80.0;2;7.0;38.9822844;-1.8735112
129955;Castilla-La Mancha;flat;penthouse;120000.0;80.0;2;5.0;38.9934058;-1.8630488
130090;Castilla-La Mancha;flat;penthouse;75000.0;80.0;2;5.0;39.1613907;-3.0202099
130213;Castilla-La Mancha;flat;penthouse;40000.0;80.0;2;4.0;39.9566056;-3.5012112
131221;Castilla-La Mancha;flat;penthouse;149000.0;80.0;2;7.0;39.9355394;-3.9160957
131731;Castilla-La Mancha;flat;penthouse;41000.0;80.0;2;6.0;39.9595581;-3.4907748
132347;Castilla-La Mancha;flat;penthouse;195000.0;80.0;2;10.0;38.994325;-1.8555199
132692;Castilla-La Mancha;flat;penthouse;75000.0;80.0;2;7.0;39.9660391;-4.8272854
134138;Castilla-La Mancha;flat;penthouse;210000.0;81.0;2;8.0;38.9893743;-1.8769037
134813;Castilla-La Mancha;flat;penthouse;165000.0;82.0;2;4.0;38.99122;-1.85414
135138;Castilla-La Mancha;flat;penthouse;65000.0;82.0;2;5.0;38.7593639;-3.3879179
137361;Castilla-La Mancha;flat;penthouse;128000.0;84.0;2;5.0;39.0048828;-1.8614228
138022;Castilla-La Mancha;flat;penthouse;116000.0;85.0;2;6.0;38.6884043;-4.1001852
138924;Castilla-La Mancha;flat;penthouse;205000.0;85.0;2;7.0;40.6385312;-3.1474274
138977;Castilla-La Mancha;flat;penthouse;160000.0;85.0;2;7.0;40.060715;-2.1415188
139158;Castilla-La Mancha;flat;penthouse;129000.0;85.0;2;6.0;38.9870769;-3.9354946
139990;Castilla-La Mancha;flat;penthouse;93000.0;85.0;2;3.0;40.0897863;-3.874109
141141;Castilla-La Mancha;flat;penthouse;120000.0;86.0;2;6.0;40.5674813;-3.2685934
141541;Castilla-La Mancha;flat;penthouse;130000.0;87.0;2;0.0;40.6512381;-3.1607469
141779;Castilla-La Mancha;flat;penthouse;105000.0;87.0;2;7.0;38.9977595;-1.8670043
142358;Castilla-La Mancha;flat;penthouse;260000.0;88.0;2;7.0;40.6289571;-3.1676827
144060;Castilla-La Mancha;flat;penthouse;65000.0;90.0;2;5.0;39.203769;-2.1600132
144763;Castilla-La Mancha;flat;penthouse;65000.0;90.0;2;5.0;39.1592304;-3.0199967
