index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
75245;Castilla-La Mancha;house;Vacio;73841.0;60.0;1;0.0;40.0443526;-3.7186876
80974;Castilla-La Mancha;house;Vacio;18000.0;82.0;1;0.0;40.49897;-2.93932
81643;Castilla-La Mancha;house;Vacio;31000.0;93.0;1;0.0;39.45169;-3.5975051
81856;Castilla-La Mancha;house;Vacio;56300.0;100.0;1;0.0;38.7945852;-3.74013
82713;Castilla-La Mancha;house;Vacio;96600.0;168.0;1;0.0;40.4643501;-3.1766456
84073;Castilla-La Mancha;house;Vacio;99000.0;45.0;2;2.0;39.8516453;-4.0260866
86060;Castilla-La Mancha;house;Vacio;45000.0;50.0;2;0.0;40.7232817;-3.1741567
91026;Castilla-La Mancha;house;Vacio;12000.0;58.0;2;0.0;39.7967573;-5.2409218
93450;Castilla-La Mancha;house;Vacio;69990.0;60.0;2;0.0;40.6389514;-3.1559466
99117;Castilla-La Mancha;house;Vacio;81699.0;63.0;2;0.0;40.465642;-3.176299
99471;Castilla-La Mancha;house;Vacio;15037.0;64.0;2;0.0;39.8755198;-5.2572388
106626;Castilla-La Mancha;house;Vacio;25400.0;68.0;2;0.0;39.9905373;-3.7634204
137094;Castilla-La Mancha;house;Vacio;80000.0;84.0;2;2.0;39.8550655;-4.0241241
142188;Castilla-La Mancha;house;Vacio;43915.0;88.0;2;2.0;39.7296379;-2.9213678
142629;Castilla-La Mancha;house;Vacio;314520.0;88.0;2;0.0;40.1211614;-3.8499773
142694;Castilla-La Mancha;house;Vacio;39500.0;88.0;2;0.0;40.4765652;-2.7345829
143335;Castilla-La Mancha;house;Vacio;80012.0;89.0;2;0.0;40.1171505;-3.9222014
143979;Castilla-La Mancha;house;Vacio;22000.0;90.0;2;0.0;39.1039451;-1.307393
146420;Castilla-La Mancha;house;Vacio;90000.0;90.0;2;0.0;39.0816678;-1.9669258
148578;Castilla-La Mancha;house;Vacio;87000.0;94.0;2;0.0;40.1961359;-3.9372878
148700;Castilla-La Mancha;house;Vacio;25000.0;94.0;2;0.0;39.8658127;-4.3609083
149509;Castilla-La Mancha;house;Vacio;130000.0;95.0;2;0.0;39.8559057;-4.0258771
151639;Castilla-La Mancha;house;Vacio;95000.0;98.0;2;2.0;40.6329569;-3.1590362
152908;Castilla-La Mancha;house;Vacio;90000.0;100.0;2;0.0;39.8551376;-4.0220467
153275;Castilla-La Mancha;house;Vacio;104840.0;100.0;2;2.0;40.1675442;-3.8996059
154344;Castilla-La Mancha;house;Vacio;17800.0;102.0;2;0.0;39.7100154;-3.4369487
154451;Castilla-La Mancha;house;Vacio;20300.0;103.0;2;0.0;39.29276;-2.795843
154927;Castilla-La Mancha;house;Vacio;124100.0;104.0;2;0.0;40.4869586;-3.1810802
154999;Castilla-La Mancha;house;Vacio;124100.0;104.0;2;0.0;40.4883586;-3.1812802
159920;Castilla-La Mancha;house;Vacio;125000.0;120.0;2;2.0;40.5917102;-3.2467834
159931;Castilla-La Mancha;house;Vacio;42000.0;120.0;2;0.0;40.7959107;-2.9566458
161349;Castilla-La Mancha;house;Vacio;108000.0;130.0;2;0.0;38.5099959;-1.706096
162242;Castilla-La Mancha;house;Vacio;18643.0;138.0;2;0.0;38.774775;-4.837143
162305;Castilla-La Mancha;house;Vacio;138000.0;138.0;2;0.0;40.513254;-2.716615
162490;Castilla-La Mancha;house;Vacio;48000.0;140.0;2;4.0;40.8091294;-2.7264901
163117;Castilla-La Mancha;house;Vacio;22200.0;147.0;2;0.0;38.6928731;-4.1164777
163851;Castilla-La Mancha;house;Vacio;50371.0;157.0;2;2.0;40.0704434;-3.7419326
163886;Castilla-La Mancha;house;Vacio;165000.0;158.0;2;0.0;39.8649;-4.0236727
164411;Castilla-La Mancha;house;Vacio;100000.0;170.0;2;0.0;40.456175;-3.043659
165425;Castilla-La Mancha;house;Vacio;130000.0;221.0;2;0.0;40.6412403;-3.1806342
174942;Castilla-La Mancha;house;Vacio;23000.0;70.0;3;4.0;40.9254668;-2.9248115
175015;Castilla-La Mancha;house;Vacio;130000.0;70.0;3;0.0;39.8516797;-4.0251217
179915;Castilla-La Mancha;house;Vacio;44000.0;74.0;3;0.0;38.70988;-0.98285
180303;Castilla-La Mancha;house;Vacio;36000.0;74.0;3;0.0;39.8857262;-4.4523159
185224;Castilla-La Mancha;house;Vacio;33800.0;77.0;3;0.0;39.8799056;-3.4881928
191781;Castilla-La Mancha;house;Vacio;45000.0;80.0;3;0.0;40.1292221;-3.060495
194066;Castilla-La Mancha;house;Vacio;29000.0;81.0;3;0.0;40.0213126;-3.130304
194709;Castilla-La Mancha;house;Vacio;48000.0;81.0;3;0.0;40.46335;-3.15736
195968;Castilla-La Mancha;house;Vacio;107700.0;82.0;3;0.0;40.4847783;-3.1798848
198514;Castilla-La Mancha;house;Vacio;98900.0;85.0;3;0.0;40.4378842;-3.1509952
201438;Castilla-La Mancha;house;Vacio;117700.0;85.0;3;0.0;40.1629403;-3.0417479
202275;Castilla-La Mancha;house;Vacio;75000.0;85.0;3;0.0;40.4355492;-3.1474262
204151;Castilla-La Mancha;house;Vacio;72369.0;86.0;3;0.0;40.948249;-3.085437
205238;Castilla-La Mancha;house;Vacio;79000.0;87.0;3;3.0;40.8008541;-3.0489695
210231;Castilla-La Mancha;house;Vacio;170000.0;90.0;3;4.0;39.8526265;-4.024758
214487;Castilla-La Mancha;house;Vacio;117700.0;90.0;3;0.0;40.1602403;-3.0393479
214488;Castilla-La Mancha;house;Vacio;88000.0;90.0;3;0.0;40.6272269;-3.1629764
220464;Castilla-La Mancha;house;Vacio;125000.0;94.0;3;0.0;39.95892;-4.1917614
223013;Castilla-La Mancha;house;Vacio;110000.0;95.0;3;0.0;40.48874;-3.0112699
223865;Castilla-La Mancha;house;Vacio;35700.0;95.0;3;0.0;40.1629471;-4.4052067
225308;Castilla-La Mancha;house;Vacio;35000.0;96.0;3;0.0;39.92772;-4.34808
225423;Castilla-La Mancha;house;Vacio;24403.0;96.0;3;3.0;40.0114564;-3.0054596
226363;Castilla-La Mancha;house;Vacio;81011.0;96.0;3;0.0;40.3564;-2.96366
226825;Castilla-La Mancha;house;Vacio;138699.0;97.0;3;0.0;40.7889308;-2.9544463
230874;Castilla-La Mancha;house;Vacio;37000.0;100.0;3;0.0;38.6803785;-4.1126237
230881;Castilla-La Mancha;house;Vacio;67000.0;100.0;3;0.0;39.8758005;-4.3586999
233499;Castilla-La Mancha;house;Vacio;120000.0;100.0;3;0.0;39.816856;-4.0277211
238572;Castilla-La Mancha;house;Vacio;64100.0;102.0;3;0.0;39.9448435;-4.438026
238738;Castilla-La Mancha;house;Vacio;67000.0;102.0;3;0.0;39.8783005;-4.3586999
240374;Castilla-La Mancha;house;Vacio;282000.0;103.0;3;2.0;39.8663739;-4.0337184
241016;Castilla-La Mancha;house;Vacio;115100.0;103.0;3;0.0;40.8402753;-3.4626546
