index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
11888;Castilla-La Mancha;house;independent;54000.0;99.0;0;0.0;38.7544378;-3.3763435
18880;Castilla-La Mancha;house;independent;34500.0;170.0;0;0.0;41.0449922;-2.5583383
26104;Castilla-La Mancha;house;independent;212000.0;366.0;0;0.0;41.0674568;-2.6399068
27819;Castilla-La Mancha;house;independent;32000.0;500.0;0;0.0;38.6865617;-4.1185505
29448;Castilla-La Mancha;house;independent;108000.0;750.0;0;0.0;38.7099205;-4.1845749
67605;Castilla-La Mancha;house;independent;18900.0;50.0;1;3.0;39.2085031;-2.1612923
68040;Castilla-La Mancha;house;independent;18900.0;50.0;1;2.0;39.2080714;-2.1588288
68431;Castilla-La Mancha;house;independent;30000.0;50.0;1;0.0;38.7186053;-2.3178986
68432;Castilla-La Mancha;house;independent;30000.0;50.0;1;0.0;38.7187053;-2.3178986
68873;Castilla-La Mancha;house;independent;43000.0;50.0;1;0.0;38.6872825;-4.0972249
74833;Castilla-La Mancha;house;independent;18900.0;60.0;1;0.0;39.2084543;-2.1613435
76377;Castilla-La Mancha;house;independent;8400.0;63.0;1;3.0;38.687498;-4.1168393
76378;Castilla-La Mancha;house;independent;22050.0;63.0;1;3.0;38.59044;-1.69518
76453;Castilla-La Mancha;house;independent;22050.0;63.0;1;2.0;38.58714;-1.69178
78807;Castilla-La Mancha;house;independent;26420.0;70.0;1;0.0;38.6934342;-4.1083328
78827;Castilla-La Mancha;house;independent;93000.0;70.0;1;0.0;39.6767424;-3.9660092
81031;Castilla-La Mancha;house;independent;65000.0;83.0;1;0.0;40.7829289;-2.6235512
81065;Castilla-La Mancha;house;independent;89632.0;83.0;1;2.0;40.1207187;-3.9656533
81198;Castilla-La Mancha;house;independent;22456.0;85.0;1;2.0;39.4055656;-2.4328262
81431;Castilla-La Mancha;house;independent;42987.0;89.0;1;2.0;40.0452969;-4.2697309
81516;Castilla-La Mancha;house;independent;108000.0;90.0;1;0.0;38.9735431;-3.9466066
81537;Castilla-La Mancha;house;independent;80000.0;90.0;1;0.0;40.1043917;-3.7665278
81852;Castilla-La Mancha;house;independent;115000.0;100.0;1;0.0;39.9906481;-4.7356911
81992;Castilla-La Mancha;house;independent;83800.0;102.0;1;2.0;40.70861;-3.12717
81994;Castilla-La Mancha;house;independent;88100.0;102.0;1;0.0;40.705752;-3.1226193
82057;Castilla-La Mancha;house;independent;329574.0;105.0;1;2.0;40.7476816;-3.0328635
82291;Castilla-La Mancha;house;independent;27017.0;115.0;1;2.0;40.0084598;-3.0039373
82378;Castilla-La Mancha;house;independent;58000.0;120.0;1;0.0;39.1958079;-2.1684804
82476;Castilla-La Mancha;house;independent;24926.0;127.0;1;2.0;39.6024024;-2.8220497
82715;Castilla-La Mancha;house;independent;39851.0;168.0;1;3.0;40.81306;-2.49262
82803;Castilla-La Mancha;house;independent;150000.0;200.0;1;0.0;38.966478;-3.892041
82887;Castilla-La Mancha;house;independent;74400.0;272.0;1;0.0;38.7066259;-4.178282
82899;Castilla-La Mancha;house;independent;216000.0;290.0;1;0.0;38.738175;-3.0136756
83014;Castilla-La Mancha;house;independent;120000.0;627.0;1;0.0;38.9654056;-3.8858952
83489;Castilla-La Mancha;house;independent;99000.0;40.0;2;0.0;40.64384;-3.29683
83540;Castilla-La Mancha;house;independent;68000.0;40.0;2;0.0;40.1552789;-4.0076338
84381;Castilla-La Mancha;house;independent;26000.0;46.0;2;2.0;40.1058623;-4.3257929
