index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
20679;Cataluña;countryHouse;masia;240000.0;200.0;0;0.0;42.3249832;1.6053646
20748;Cataluña;countryHouse;masia;197000.0;200.0;0;0.0;41.638694;2.717771
28072;Cataluña;countryHouse;masia;2200000.0;525.0;0;0.0;41.9507525;3.1282753
31079;Cataluña;countryHouse;masia;2400000.0;1453.0;0;0.0;41.2414164;1.7159271
31233;Cataluña;countryHouse;masia;2500000.0;1600.0;0;0.0;42.0196631;2.9737451
78973;Cataluña;countryHouse;masia;79000.0;70.0;1;0.0;41.2255994;1.2160396
81915;Cataluña;countryHouse;masia;35000.0;100.0;1;0.0;41.5344332;0.7229939
83030;Cataluña;countryHouse;masia;220000.0;750.0;1;0.0;41.7447033;0.9848434
139212;Cataluña;countryHouse;masia;100900.0;85.0;2;0.0;41.2810977;1.2473986
152760;Cataluña;countryHouse;masia;98000.0;100.0;2;0.0;40.8715479;0.7135176
165735;Cataluña;countryHouse;masia;190000.0;260.0;2;0.0;41.6318512;1.8586945
166087;Cataluña;countryHouse;masia;780000.0;508.0;2;0.0;42.189284;3.080972
194575;Cataluña;countryHouse;masia;170000.0;81.0;3;0.0;41.5934655;2.4127725
263577;Cataluña;countryHouse;masia;89000.0;120.0;3;0.0;40.9017604;0.8205689
277672;Cataluña;countryHouse;masia;290000.0;140.0;3;0.0;41.2663579;1.7684257
278959;Cataluña;countryHouse;masia;190000.0;140.0;3;0.0;42.39532;2.84498
294920;Cataluña;countryHouse;masia;260000.0;200.0;3;0.0;42.3249832;1.6053646
295583;Cataluña;countryHouse;masia;420000.0;200.0;3;0.0;42.0678294;2.9518612
295653;Cataluña;countryHouse;masia;300000.0;200.0;3;0.0;40.7043721;0.7161237
298152;Cataluña;countryHouse;masia;40000.0;220.0;3;0.0;42.4144109;2.8735222
298734;Cataluña;countryHouse;masia;220000.0;225.0;3;0.0;42.377716;3.025763
299522;Cataluña;countryHouse;masia;500000.0;235.0;3;0.0;41.1174741;1.0033997
301000;Cataluña;countryHouse;masia;398000.0;250.0;3;0.0;42.03456;2.6454233
302375;Cataluña;countryHouse;masia;600000.0;275.0;3;0.0;41.6143533;2.6557008
302483;Cataluña;countryHouse;masia;350000.0;278.0;3;0.0;42.3039803;3.0062867
302902;Cataluña;countryHouse;masia;780000.0;287.0;3;0.0;42.1463949;3.0243971
303220;Cataluña;countryHouse;masia;595000.0;300.0;3;0.0;41.9500525;3.1262753
303235;Cataluña;countryHouse;masia;900000.0;300.0;3;3.0;41.5459492;2.466355
303611;Cataluña;countryHouse;masia;300000.0;300.0;3;0.0;42.1455824;2.564863
304109;Cataluña;countryHouse;masia;625000.0;326.0;3;0.0;41.8608919;3.0786536
305047;Cataluña;countryHouse;masia;400000.0;400.0;3;0.0;42.1577666;2.9101338
305137;Cataluña;countryHouse;masia;895000.0;400.0;3;0.0;41.5175359;2.3552358
305189;Cataluña;countryHouse;masia;900000.0;409.0;3;0.0;41.9084706;3.1450812
305619;Cataluña;countryHouse;masia;500000.0;500.0;3;0.0;40.8713479;0.7135176
