index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
2878;Cataluña;countryHouse;village house;50000.0;41.0;0;0.0;42.1209272;3.1348816
7401;Cataluña;countryHouse;village house;129000.0;69.0;0;0.0;41.915804;3.1634929
19341;Cataluña;countryHouse;village house;66000.0;175.0;0;0.0;42.1156585;1.0472268
19807;Cataluña;countryHouse;village house;350000.0;182.0;0;0.0;41.9527861;2.9926224
20879;Cataluña;countryHouse;village house;340000.0;200.0;0;0.0;41.9855991;2.954994
20888;Cataluña;countryHouse;village house;150000.0;200.0;0;0.0;42.3040803;3.0102867
25860;Cataluña;countryHouse;village house;93000.0;350.0;0;0.0;41.2492192;0.4869597
28673;Cataluña;countryHouse;village house;290000.0;600.0;0;0.0;42.0258422;3.0703188
81918;Cataluña;countryHouse;village house;28000.0;100.0;1;0.0;41.6459326;0.9720607
82383;Cataluña;countryHouse;village house;145000.0;120.0;1;0.0;41.0181388;0.8326293
82499;Cataluña;countryHouse;village house;110000.0;130.0;1;0.0;41.5427324;2.4276592
82813;Cataluña;countryHouse;village house;46000.0;200.0;1;0.0;41.3285308;1.3600458
83018;Cataluña;countryHouse;village house;363000.0;660.0;1;0.0;42.043732;2.9411386
84643;Cataluña;countryHouse;village house;24506.0;48.0;2;0.0;40.6417718;0.4149032
131251;Cataluña;countryHouse;village house;138000.0;80.0;2;0.0;42.0788353;3.0922479
146012;Cataluña;countryHouse;village house;179900.0;90.0;2;0.0;41.3079;1.99632
150539;Cataluña;countryHouse;village house;165000.0;96.0;2;0.0;42.3085122;2.9732725
151475;Cataluña;countryHouse;village house;149000.0;98.0;2;0.0;41.9194933;3.1603467
152203;Cataluña;countryHouse;village house;148000.0;100.0;2;0.0;42.5918283;1.1298964
152620;Cataluña;countryHouse;village house;135000.0;100.0;2;0.0;41.9245298;3.1529079
154950;Cataluña;countryHouse;village house;23000.0;104.0;2;0.0;40.7368171;0.3732815
155378;Cataluña;countryHouse;village house;130000.0;105.0;2;0.0;42.2145508;2.5526639
156527;Cataluña;countryHouse;village house;175000.0;110.0;2;0.0;41.5108219;2.3839244
157868;Cataluña;countryHouse;village house;420000.0;113.0;2;0.0;41.9576431;3.0360568
158055;Cataluña;countryHouse;village house;58000.0;114.0;2;0.0;40.7333171;0.3718815
158801;Cataluña;countryHouse;village house;99000.0;117.0;2;0.0;42.3757539;3.0269887
159547;Cataluña;countryHouse;village house;170000.0;120.0;2;0.0;41.6251799;0.390679
162293;Cataluña;countryHouse;village house;99000.0;138.0;2;0.0;42.3036803;3.0089867
162542;Cataluña;countryHouse;village house;170000.0;140.0;2;0.0;42.3975265;2.8449435
163440;Cataluña;countryHouse;village house;260000.0;150.0;2;0.0;42.0428646;3.125644
163441;Cataluña;countryHouse;village house;260000.0;150.0;2;0.0;42.0428646;3.125644
163463;Cataluña;countryHouse;village house;45000.0;150.0;2;0.0;41.4116279;1.2292064
164022;Cataluña;countryHouse;village house;200000.0;160.0;2;0.0;42.0210266;3.0320677
165125;Cataluña;countryHouse;village house;150000.0;200.0;2;0.0;42.0663895;1.3132739
165290;Cataluña;countryHouse;village house;750000.0;210.0;2;0.0;41.9536531;3.205923
165323;Cataluña;countryHouse;village house;210000.0;213.0;2;0.0;42.3741539;3.0304887
165431;Cataluña;countryHouse;village house;68000.0;222.0;2;0.0;41.5200859;0.592608
165754;Cataluña;countryHouse;village house;208000.0;262.0;2;0.0;42.4474136;1.4203802
165818;Cataluña;countryHouse;village house;236000.0;280.0;2;0.0;41.5757919;2.4826365
169922;Cataluña;countryHouse;village house;280000.0;63.0;3;0.0;41.2391029;1.817931
173564;Cataluña;countryHouse;village house;147200.0;68.0;3;0.0;41.3092951;1.9955762
173879;Cataluña;countryHouse;village house;80000.0;69.0;3;0.0;41.5398149;2.4274461
183143;Cataluña;countryHouse;village house;138000.0;75.0;3;0.0;41.3092222;1.9916006
190137;Cataluña;countryHouse;village house;220000.0;80.0;3;0.0;41.2575125;1.7718184
208814;Cataluña;countryHouse;village house;240000.0;90.0;3;0.0;41.7819422;3.025311
211386;Cataluña;countryHouse;village house;54500.0;90.0;3;0.0;41.8207711;1.8962275
212493;Cataluña;countryHouse;village house;12000.0;90.0;3;0.0;41.4315084;0.9722767
214348;Cataluña;countryHouse;village house;39000.0;90.0;3;0.0;41.24636;1.4893
217008;Cataluña;countryHouse;village house;190000.0;91.0;3;0.0;41.6871853;2.2882266
217454;Cataluña;countryHouse;village house;40000.0;92.0;3;0.0;41.5129285;1.6509164
218006;Cataluña;countryHouse;village house;265000.0;92.0;3;0.0;41.5018801;2.3481246
234397;Cataluña;countryHouse;village house;325000.0;100.0;3;0.0;41.951111;3.2056238
238445;Cataluña;countryHouse;village house;240000.0;101.0;3;0.0;41.4806323;2.3076358
243886;Cataluña;countryHouse;village house;39000.0;105.0;3;0.0;42.1234268;0.9215652
247887;Cataluña;countryHouse;village house;325000.0;108.0;3;0.0;41.9159463;3.15682
256870;Cataluña;countryHouse;village house;39000.0;114.0;3;0.0;40.6332489;0.2821018
258477;Cataluña;countryHouse;village house;220000.0;115.0;3;0.0;41.3806803;1.1595892
260511;Cataluña;countryHouse;village house;250000.0;117.0;3;0.0;42.0069721;3.0427319
262835;Cataluña;countryHouse;village house;59000.0;120.0;3;0.0;42.0772746;2.2947989
263515;Cataluña;countryHouse;village house;225000.0;120.0;3;0.0;41.7969367;2.2197738
264317;Cataluña;countryHouse;village house;200000.0;120.0;3;0.0;41.9494764;3.0856783
264386;Cataluña;countryHouse;village house;170000.0;120.0;3;0.0;42.2280463;2.8212152
264533;Cataluña;countryHouse;village house;38000.0;120.0;3;0.0;42.1166751;1.0430117
267665;Cataluña;countryHouse;village house;86000.0;123.0;3;0.0;42.1716816;1.3170688
268837;Cataluña;countryHouse;village house;215000.0;125.0;3;0.0;41.2261744;1.7217017
