index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
230;Cataluña;flat;studio;46000.0;20.0;0;2.0;42.36458;3.16322
238;Cataluña;flat;studio;31000.0;20.0;0;0.0;42.3585953;3.1502232
297;Cataluña;flat;studio;158850.0;20.0;0;3.0;41.268181;1.9974017
307;Cataluña;flat;studio;87000.0;20.0;0;3.0;41.3753585;2.1674214
309;Cataluña;flat;studio;60000.0;20.0;0;2.0;41.3714991;2.1435122
323;Cataluña;flat;studio;70000.0;21.0;0;8.0;41.3979386;2.1750007
339;Cataluña;flat;studio;45000.0;22.0;0;3.0;42.0452395;3.1955035
360;Cataluña;flat;studio;90000.0;23.0;0;4.0;41.3733059;2.1625416
362;Cataluña;flat;studio;40500.0;23.0;0;11.0;42.236542;3.1237875
363;Cataluña;flat;studio;58000.0;23.0;0;12.0;42.2384968;3.1232737
390;Cataluña;flat;studio;68000.0;23.0;0;2.0;41.2819885;1.9747745
397;Cataluña;flat;studio;65000.0;24.0;0;3.0;42.36368;3.15922
437;Cataluña;flat;studio;60000.0;24.0;0;2.0;42.3421233;1.9463962
440;Cataluña;flat;studio;80000.0;24.0;0;6.0;41.8075004;3.0632355
448;Cataluña;flat;studio;35000.0;24.0;0;5.0;41.6130143;2.6579477
480;Cataluña;flat;studio;25000.0;25.0;0;2.0;41.6186927;0.6223108
502;Cataluña;flat;studio;48500.0;25.0;0;12.0;42.2471941;3.1277116
503;Cataluña;flat;studio;50000.0;25.0;0;2.0;42.2509166;3.1181059
509;Cataluña;flat;studio;63000.0;25.0;0;3.0;41.3729109;2.1433051
535;Cataluña;flat;studio;85000.0;25.0;0;12.0;41.8180749;3.0697914
536;Cataluña;flat;studio;75000.0;25.0;0;6.0;41.8200749;3.0694914
555;Cataluña;flat;studio;50000.0;25.0;0;2.0;41.3743495;2.1656989
584;Cataluña;flat;studio;100000.0;25.0;0;7.0;41.3644566;2.1310628
598;Cataluña;flat;studio;45000.0;26.0;0;2.0;42.2432498;3.1247759
622;Cataluña;flat;studio;65000.0;26.0;0;2.0;41.4184772;2.185608
624;Cataluña;flat;studio;71000.0;26.0;0;2.0;41.7785919;2.7043436
650;Cataluña;flat;studio;70000.0;27.0;0;6.0;42.0480065;3.1895861
668;Cataluña;flat;studio;65000.0;27.0;0;8.0;42.2452241;3.1313494
672;Cataluña;flat;studio;45000.0;27.0;0;7.0;41.0812718;1.1841205
762;Cataluña;flat;studio;69000.0;29.0;0;2.0;41.2681883;1.9508277
773;Cataluña;flat;studio;70000.0;29.0;0;3.0;42.2505564;3.1224488
804;Cataluña;flat;studio;55000.0;30.0;0;6.0;41.001895;0.9286777
807;Cataluña;flat;studio;68000.0;30.0;0;6.0;41.70078;2.84828
810;Cataluña;flat;studio;80000.0;30.0;0;3.0;42.36718;3.16022
829;Cataluña;flat;studio;44000.0;30.0;0;4.0;41.08442;1.18727
856;Cataluña;flat;studio;95000.0;30.0;0;5.0;41.2392121;1.813635
919;Cataluña;flat;studio;60000.0;30.0;0;4.0;42.2465299;3.1205655
941;Cataluña;flat;studio;77000.0;30.0;0;4.0;41.9887342;2.8244727
948;Cataluña;flat;studio;37000.0;30.0;0;8.0;41.08437;1.18333
949;Cataluña;flat;studio;49000.0;30.0;0;3.0;41.0808;1.18594
966;Cataluña;flat;studio;46000.0;30.0;0;8.0;41.08587;1.18333
967;Cataluña;flat;studio;49000.0;30.0;0;6.0;41.08552;1.18727
968;Cataluña;flat;studio;38000.0;30.0;0;8.0;41.0866384;1.1848378
999;Cataluña;flat;studio;43000.0;30.0;0;2.0;41.7015558;2.846608
1000;Cataluña;flat;studio;75000.0;30.0;0;9.0;41.6672546;2.7823781
1002;Cataluña;flat;studio;96000.0;30.0;0;8.0;41.6660976;2.7818182
