index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
6662;Cataluña;house;terraced house;90000.0;65.0;0;0.0;41.7834242;3.0360348
10638;Cataluña;house;terraced house;88000.0;90.0;0;0.0;41.7492848;1.9046029
12801;Cataluña;house;terraced house;20000.0;105.0;0;0.0;40.8214103;0.5025243
15782;Cataluña;house;terraced house;110000.0;133.0;0;0.0;41.8447184;3.131561
19480;Cataluña;house;terraced house;245000.0;178.0;0;0.0;41.4475471;2.2491141
21466;Cataluña;house;terraced house;395000.0;210.0;0;0.0;41.4951549;2.2933183
27851;Cataluña;house;terraced house;700000.0;500.0;0;0.0;41.9258556;3.0861783
64713;Cataluña;house;terraced house;126000.0;45.0;1;0.0;42.2684262;3.1428906
65618;Cataluña;house;terraced house;85000.0;45.0;1;0.0;41.1761406;1.4861469
79568;Cataluña;house;terraced house;76100.0;72.0;1;2.0;40.8279972;0.5089501
81487;Cataluña;house;terraced house;48000.0;90.0;1;0.0;41.5625438;2.1072195
81554;Cataluña;house;terraced house;900000.0;90.0;1;0.0;41.8895175;3.1813784
81944;Cataluña;house;terraced house;180000.0;100.0;1;0.0;41.2287777;1.7227707
82070;Cataluña;house;terraced house;25080.0;105.0;1;0.0;42.1067387;1.8479261
82293;Cataluña;house;terraced house;129000.0;115.0;1;0.0;41.3763604;1.1599061
82359;Cataluña;house;terraced house;135000.0;120.0;1;0.0;42.047029;2.9437501
82474;Cataluña;house;terraced house;20970.0;127.0;1;0.0;40.654555;0.4693144
82714;Cataluña;house;terraced house;33849.0;168.0;1;2.0;40.92412;0.39993
82795;Cataluña;house;terraced house;205000.0;198.0;1;2.0;41.662277;0.5511938
82832;Cataluña;house;terraced house;105900.0;216.0;1;0.0;41.3758604;1.1634061
82875;Cataluña;house;terraced house;850000.0;260.0;1;4.0;41.9532861;2.9906224
82954;Cataluña;house;terraced house;100100.0;369.0;1;0.0;41.98713;2.30962
83871;Cataluña;house;terraced house;80000.0;44.0;2;3.0;42.2377;3.12439
85140;Cataluña;house;terraced house;160000.0;50.0;2;0.0;41.973965;3.171113
