index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
11;Cataluña;premise;Vacio;5000.0;6.0;0;1.0;41.3827778;2.1865421
32;Cataluña;premise;Vacio;12000.0;11.0;0;2.0;41.9193105;3.1572018
38;Cataluña;premise;Vacio;35000.0;11.0;0;2.0;41.4135844;2.1619353
48;Cataluña;premise;Vacio;17320.0;12.0;0;2.0;41.4392248;2.2266199
49;Cataluña;premise;Vacio;2000.0;12.0;0;5.0;41.3010723;1.9987689
50;Cataluña;premise;Vacio;31960.0;12.0;0;2.0;41.5762811;1.6205596
65;Cataluña;premise;Vacio;19500.0;12.0;0;2.0;41.3997487;2.1752224
67;Cataluña;premise;Vacio;25845.0;13.0;0;2.0;41.5611367;2.0129943
76;Cataluña;premise;Vacio;9900.0;13.0;0;2.0;41.6369032;2.2344628
78;Cataluña;premise;Vacio;30500.0;13.0;0;2.0;41.8623347;2.6648504
82;Cataluña;premise;Vacio;48279.0;14.0;0;2.0;41.387424;2.1550849
90;Cataluña;premise;Vacio;18000.0;14.0;0;3.0;41.5440517;1.8657529
91;Cataluña;premise;Vacio;30500.0;14.0;0;2.0;41.8583272;2.6665361
101;Cataluña;premise;Vacio;33500.0;14.0;0;2.0;41.3999762;2.1384725
105;Cataluña;premise;Vacio;30000.0;14.0;0;2.0;41.379297;2.1745751
109;Cataluña;premise;Vacio;8750.0;15.0;0;0.0;41.4518;2.24565
113;Cataluña;premise;Vacio;34483.0;15.0;0;2.0;41.4480406;2.2223421
114;Cataluña;premise;Vacio;6700.0;15.0;0;3.0;41.5451522;1.8947597
115;Cataluña;premise;Vacio;16000.0;15.0;0;3.0;41.6090548;0.6131071
121;Cataluña;premise;Vacio;39900.0;15.0;0;2.0;41.4075861;2.1764954
124;Cataluña;premise;Vacio;39900.0;15.0;0;2.0;41.4075861;2.1764954
125;Cataluña;premise;Vacio;60000.0;15.0;0;2.0;41.4278053;2.1575459
135;Cataluña;premise;Vacio;6700.0;16.0;0;3.0;41.5430522;1.8928597
136;Cataluña;premise;Vacio;6700.0;16.0;0;3.0;41.5451522;1.8935597
137;Cataluña;premise;Vacio;6700.0;16.0;0;3.0;41.5451522;1.8942597
150;Cataluña;premise;Vacio;48000.0;16.0;0;3.0;41.9892622;2.8279086
153;Cataluña;premise;Vacio;27000.0;16.8;0;0.0;41.38563;2.10166
166;Cataluña;premise;Vacio;8000.0;17.0;0;3.0;41.2828745;1.2515464
167;Cataluña;premise;Vacio;14000.0;17.0;0;3.0;41.5438517;1.8688529
169;Cataluña;premise;Vacio;8000.0;17.0;0;2.0;41.91074;1.69677
171;Cataluña;premise;Vacio;12500.0;17.0;0;2.0;41.5338005;2.4218309
197;Cataluña;premise;Vacio;42000.0;18.0;0;2.0;41.4462691;2.178118
218;Cataluña;premise;Vacio;44500.0;19.0;0;2.0;41.5420527;2.1118441
