index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62947;Ceuta y Melilla;flat;Vacio;105000.0;40.0;1;2.0;35.8887235;-5.3016734
65026;Ceuta y Melilla;flat;Vacio;99840.0;45.0;1;3.0;35.8893154;-5.3299069
70649;Ceuta y Melilla;flat;Vacio;135000.0;53.0;1;4.0;35.8884747;-5.3037063
74838;Ceuta y Melilla;flat;Vacio;115000.0;60.0;1;5.0;35.2826857;-2.9405887
75091;Ceuta y Melilla;flat;Vacio;90000.0;60.0;1;5.0;35.8873874;-5.3209455
80697;Ceuta y Melilla;flat;Vacio;120000.0;80.0;1;2.0;35.2952551;-2.9420934
85410;Ceuta y Melilla;flat;Vacio;90000.0;50.0;2;2.0;35.2968427;-2.9446004
91232;Ceuta y Melilla;flat;Vacio;160000.0;58.0;2;4.0;35.2886773;-2.9467456
93522;Ceuta y Melilla;flat;Vacio;150000.0;60.0;2;4.0;35.2890773;-2.9447456
97947;Ceuta y Melilla;flat;Vacio;120000.0;62.0;2;3.0;35.2865069;-2.9447263
101340;Ceuta y Melilla;flat;Vacio;128000.0;65.0;2;2.0;35.2938055;-2.9438432
101864;Ceuta y Melilla;flat;Vacio;90000.0;65.0;2;4.0;35.2884812;-2.9496861
102631;Ceuta y Melilla;flat;Vacio;240000.0;65.0;2;2.0;35.8981883;-5.3422047
106092;Ceuta y Melilla;flat;Vacio;150000.0;67.0;2;3.0;35.8896729;-5.3030019
106582;Ceuta y Melilla;flat;Vacio;151000.0;68.0;2;0.0;35.8886874;-5.3233455
108625;Ceuta y Melilla;flat;Vacio;160000.0;69.0;2;4.0;35.9008031;-5.2907496
110533;Ceuta y Melilla;flat;Vacio;215000.0;70.0;2;2.0;35.2817828;-2.9388485
110535;Ceuta y Melilla;flat;Vacio;160000.0;70.0;2;2.0;35.2860229;-2.9422234
111140;Ceuta y Melilla;flat;Vacio;170000.0;70.0;2;5.0;35.2899846;-2.9425866
112141;Ceuta y Melilla;flat;Vacio;85000.0;70.0;2;6.0;35.8819548;-5.3275041
116703;Ceuta y Melilla;flat;Vacio;187000.0;72.0;2;4.0;35.8914889;-5.3267622
122193;Ceuta y Melilla;flat;Vacio;206000.0;75.0;2;3.0;35.8969031;-5.2937496
125006;Ceuta y Melilla;flat;Vacio;123000.0;76.0;2;2.0;35.2835867;-2.9443854
129943;Ceuta y Melilla;flat;Vacio;85000.0;80.0;2;4.0;35.2886685;-2.9438592
129944;Ceuta y Melilla;flat;Vacio;145000.0;80.0;2;4.0;35.2980571;-2.9420625
129945;Ceuta y Melilla;flat;Vacio;306000.0;80.0;2;5.0;35.3008729;-2.9443171
134035;Ceuta y Melilla;flat;Vacio;12800.0;81.0;2;6.0;35.2838501;-2.9389186
134990;Ceuta y Melilla;flat;Vacio;210000.0;82.0;2;5.0;35.8884747;-5.3037063
134991;Ceuta y Melilla;flat;Vacio;205000.0;82.0;2;3.0;35.8884747;-5.3037063
136282;Ceuta y Melilla;flat;Vacio;124000.0;83.0;2;3.0;35.2878931;-2.9455767
139132;Ceuta y Melilla;flat;Vacio;153000.0;85.0;2;3.0;35.8913874;-5.3196455
144972;Ceuta y Melilla;flat;Vacio;125000.0;90.0;2;3.0;35.2958055;-2.9440432
149430;Ceuta y Melilla;flat;Vacio;78000.0;95.0;2;3.0;35.2907454;-2.939364
153088;Ceuta y Melilla;flat;Vacio;230000.0;100.0;2;7.0;35.8899103;-5.3038971
158236;Ceuta y Melilla;flat;Vacio;223000.0;115.0;2;5.0;35.2952562;-2.9361077
158803;Ceuta y Melilla;flat;Vacio;240000.0;117.0;2;7.0;35.8883211;-5.3151456
161383;Ceuta y Melilla;flat;Vacio;289000.0;130.0;2;4.0;35.2938463;-2.9390287
164673;Ceuta y Melilla;flat;Vacio;200000.0;180.0;2;4.0;35.2846647;-2.9465847
165825;Ceuta y Melilla;flat;Vacio;580000.0;280.0;2;2.0;35.2945558;-2.9420888
168261;Ceuta y Melilla;flat;Vacio;94500.0;60.0;3;3.0;35.2879691;-2.9538722
169969;Ceuta y Melilla;flat;Vacio;115000.0;63.0;3;6.0;35.8889696;-5.2998284
170830;Ceuta y Melilla;flat;Vacio;105000.0;65.0;3;2.0;35.2863145;-2.9493394
178701;Ceuta y Melilla;flat;Vacio;139000.0;72.0;3;5.0;35.8867922;-5.3273701
182438;Ceuta y Melilla;flat;Vacio;120000.0;75.0;3;6.0;35.8919855;-5.3049816
191234;Ceuta y Melilla;flat;Vacio;170000.0;80.0;3;6.0;35.8866041;-5.3297
191235;Ceuta y Melilla;flat;Vacio;155000.0;80.0;3;6.0;35.8907652;-5.3287925
200629;Ceuta y Melilla;flat;Vacio;145000.0;85.0;3;2.0;35.2965527;-2.9579448
205097;Ceuta y Melilla;flat;Vacio;96000.0;87.0;3;4.0;35.2945558;-2.9420888
210143;Ceuta y Melilla;flat;Vacio;141000.0;90.0;3;4.0;35.2912387;-2.943649
210144;Ceuta y Melilla;flat;Vacio;180000.0;90.0;3;3.0;35.2920239;-2.9483806
210145;Ceuta y Melilla;flat;Vacio;150000.0;90.0;3;3.0;35.2877838;-2.9407473
210949;Ceuta y Melilla;flat;Vacio;225000.0;90.0;3;3.0;35.2812784;-2.9403657
211676;Ceuta y Melilla;flat;Vacio;170000.0;90.0;3;4.0;35.2899877;-2.944585
211677;Ceuta y Melilla;flat;Vacio;153000.0;90.0;3;3.0;35.2948289;-2.9433688
211678;Ceuta y Melilla;flat;Vacio;135000.0;90.0;3;4.0;35.2895534;-2.9493273
212367;Ceuta y Melilla;flat;Vacio;200000.0;90.0;3;2.0;35.8882652;-5.3327925
217585;Ceuta y Melilla;flat;Vacio;186000.0;92.0;3;4.0;35.2876619;-2.9416884
218684;Ceuta y Melilla;flat;Vacio;199000.0;93.0;3;0.0;35.8886874;-5.3233455
222160;Ceuta y Melilla;flat;Vacio;240000.0;95.0;3;5.0;35.2841369;-2.9390861
222162;Ceuta y Melilla;flat;Vacio;256000.0;95.0;3;2.0;35.3007729;-2.9483171
228661;Ceuta y Melilla;flat;Vacio;150000.0;98.0;3;2.0;35.2929767;-2.9484542
233100;Ceuta y Melilla;flat;Vacio;195000.0;100.0;3;4.0;35.2916508;-2.9473633
233102;Ceuta y Melilla;flat;Vacio;195000.0;100.0;3;6.0;35.29105;-2.943494
233103;Ceuta y Melilla;flat;Vacio;215000.0;100.0;3;5.0;35.2847159;-2.9379585
235258;Ceuta y Melilla;flat;Vacio;150000.0;100.0;3;3.0;35.2965558;-2.9436888
